text,start,duration,time_midpoint,vader,textblob,llama3
moris moris you're fat and you are,207.599,8.2,211.699,0.0,0.0,0.2
sinner Janet Janet,211.239,7.56,215.019,0.0,0.0,-0.5
look was it,223.48,7.0,226.98,0.0,0.0,-0.8
a mama English she loves you in French,226.56,6.679,229.8995,0.5719,0.0,0.7
we all miss you in any language it does,230.48,4.8,232.88,-0.1531,0.0,0.4
not look well that means she wants to,233.239,4.321,235.3995,-0.2057,0.2,-0.7
you're a away too,241.48,4.36,243.66,0.0,0.0,0.8
long almost 2 years,242.959,6.241,246.0795,0.0,-0.05,0.4
huh thanks Maurice you remembered,245.84,6.88,249.28,0.4404,0.2,0.4
bourbon straight water on the side you,249.2,6.039,252.2195,0.2263,0.2,0.3
and Mr gamble only people who speak,252.72,3.639,254.5395,0.0,0.0,0.4
English would put things like that in,255.239,3.321,256.8995,0.3612,0.0,0.6
stomachs you're back on business perhaps,258.799,6.4,261.999,0.0,0.0,0.7
no no just to see my little girl a,262.04,4.0,264.04,0.2235,-0.1875,0.2
ballerina she do not go back with you no,266.04,5.439,268.7595,-0.296,0.0,-0.7
more for me thanks,268.6,6.28,271.74,0.4877,0.35,0.7
the world has changed yes he not so,271.479,6.041,274.4995,0.4019,0.0,-0.7
crazy anymore like it was after the war,274.88,3.48,276.62,-0.5859,-0.6,-0.7
remember we had much laughter together a,278.36,6.42,281.57,0.4939,0.2,0.7
sh maybe we had too many laughs,281.919,15.931,289.8845,0.4939,0.5,0.7
some big day huh it's c for a very big,347.36,5.839,350.27950000000004,0.0,0.0,0.6
very cold bourbon in water no bourbon no,349.88,6.159,352.9595,-0.0803,-0.78,-0.7
gin no gnac no anything how will you,353.199,5.481,355.9395,-0.0803,0.0,0.2
celebrate for me I keep the per for you,356.039,7.041,359.5595,0.5719,0.0,0.7
and me that uh lady over there how' you,358.68,8.079,362.7195,0.0,0.0,0.2
say she gives you the,363.08,7.64,366.9,0.0,0.0,0.4
eye that one it's not even smiling at me,366.759,5.801,369.6595,-0.357,0.0,-0.7
the eye without a smile is the most,370.72,3.37,372.405,-0.2755,0.4,0.7
eye excuse,382.479,5.56,385.259,0.0772,-0.05,0.2
me Charles,385.52,6.2,388.62,0.0,0.0,0.4
CL I knew you'd make it oh but you I was,388.039,5.56,390.819,0.0,0.0,-0.7
afraid of nah don't you know the bad,391.72,4.16,393.8,-0.5994,-0.6499999999999999,-0.7
characters never die in a war excuse me,393.599,4.241,395.7195,-0.1164,-0.05,0.4
I saw my old friend tonight this is my,395.88,4.52,398.14,0.4939,0.1,0.7
dear and crazy friend Charles Wills Miss,397.84,6.72,401.2,0.4215,-0.6,0.5
Ellsworth Miss Ellsworth Maran please,400.4,5.919,403.3595,0.1779,0.0,0.3
American you you've been here all,404.56,4.639,406.8795,0.0,0.0,0.2
through this we never left dad and I,406.319,5.481,409.0595,0.0,0.0,0.7
stayed on in an occupied franly,409.199,5.201,411.7995,0.0,0.0,-0.7
mostly how do you know CLA oh he was an,411.8,4.04,413.82,0.0,0.5,0.4
observer with our outfit haven't seen,414.4,3.479,416.1395,0.0,0.0,0.2
him as D-Day in Normy I parted company,415.84,4.96,418.32,0.0,0.0,0.4
with US Army after s H back into the ffi,417.879,6.241,420.9995,0.0,0.0,0.4
