text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
rocks these gals must have their rocks,14.88,16.96,23.36,0.0,0.0,0.3,-0.006157378213763216,0.05998817509541436,0.3536666703036684
dorothy wait a minute,110.96,4.88,113.4,0.0,0.0,0.4,0.036458053827798834,0.06730926151139423,0.34588469123816473
louie will you ask mr asmr to come back,116.96,3.519,118.7195,0.0,0.0,0.6,0.03704645234851391,0.06748791351346604,0.34609561961632995
to our dressing room he's sitting in his,118.88,3.76,120.76,0.0,0.0,0.2,0.037229544134143124,0.06754853908710236,0.3461876069080675
usual place right away miss lake,120.479,4.401,122.6795,-0.1531,0.0178571428571428,0.3,0.037380911122442115,0.06760155077772874,0.3462793228834028
what's the rush he's not gonna run away,122.64,4.159,124.7195,0.0,0.0,0.7,0.037520086296261065,0.06765360695762992,0.34638201379648514
i know but i just can't wait,124.88,4.96,127.36,0.0,0.0,0.4,0.03766784513533845,0.06771441107739468,0.3465224263412604
for what dwarfy didn't you notice his,126.799,5.041,129.3195,0.0,0.0,0.4,0.037754470827552955,0.06775472193988986,0.34663173156039195
pocket was bulging yeah that could be a,129.84,3.2,131.44,0.296,0.0,0.6,0.037826690245122176,0.06779371124747471,0.34675456954890616
bag of gumdrops,131.84,3.119,133.39950000000002,0.0,0.0,0.7,0.03787401567290604,0.06782544565582926,0.34687199746277486
no it was a square balls like a box for,133.04,5.36,135.72,0.0772,0.0,-0.7,0.037906576809536144,0.06785767456854261,0.347015543044643
a ring i think he's got a present for me,134.959,4.881,137.3995,0.0,0.0,0.4,0.03791465617084579,0.06787737002787224,0.34712222919479147
you know i think you're the only girl in,138.4,3.12,139.96,0.0,0.0,0.7,0.03790265203006617,0.06790151069269164,0.3472889643409334
the world who can stand on a stage with,139.84,3.36,141.52,0.0,0.0,0.6,0.037881307733240804,0.06791272350387634,0.3473927440132106
a spotlight in your eye and still see a,141.52,16.32,149.68,0.0,0.0,0.3,0.03760619526448396,0.06792799191199698,0.34795683367464736
diamond inside a man's pocket,143.2,14.64,150.51999999999998,0.34,0.0,0.7,0.037563085785923246,0.06792540741888464,0.34801644732634257
good evening mr esther won't you pray,158.0,4.16,160.08,0.2354,0.7,0.7,0.036896264325681265,0.06784084494594299,0.3487041596203312
come in thank you i'd love to,160.319,4.081,162.3595,0.7717,0.5,0.7,0.03669283318439926,0.06780562140277335,0.34886859650385094
i guess good evening dorothy you were,162.16,3.92,164.12,0.4404,0.7,0.2,0.036524968998615,0.06777442302248457,0.34899513428186
wonderful tonight darling simply,164.4,3.919,166.3595,0.8176,0.5,0.8,0.03629844973513546,0.06772969011270265,0.34915518389713046
wonderful you were magnificent,166.08,4.96,168.56,0.8225,0.7921896097241419,0.9,0.03606231664641904,0.06768021663484648,0.3493110828303468
you were good too gee thanks because,168.319,5.2,170.91899999999998,0.7003,0.4499999999999999,0.7,0.03579497400157843,0.06762108387183295,0.3494762711089383
that makes me feel all warm inside,171.04,6.16,174.12,0.2263,0.6,0.7,0.03541007997445843,0.06753072168634047,0.349696381340217
mr smith is it the right size oh they,173.519,5.201,176.11950000000002,0.0,0.2857142857142857,0.8,0.03515750727231215,0.0674683417450695,0.34983104138647714
can never be too big,177.2,5.2,179.79999999999998,0.0,0.0,0.3,0.03467001034686895,0.0673415366484985,0.3500721047732922
do you think that's too small dorothy,178.72,3.68,180.56,0.0,-0.25,0.4,0.03456591510961808,0.06731341221124751,0.3501206535813298
looks like it ought to have a high ball,183.599,4.321,185.7595,0.3612,0.16,0.2,0.03382522026776524,0.06710310880769252,0.35043971825713777
