text,start,duration,time_midpoint
good evening and welcome to Full Moon,31.72,4.839,34.1395
matina I'm your host the detective,33.76,4.959,36.2395
bringing you the finest crime dramas and,36.559,4.48,38.799
film Noir from the Golden Age of,38.719,5.68,41.559
Hollywood tonight's picture is from,41.039,6.561,44.319500000000005
1948 The dark past starring William,44.399,7.64,48.219
Holden Nina fos Lee J Cobb and Adele,47.6,8.0,51.6
Jurgens it's directed by Rudolph M and,52.039,7.961,56.0195
its cinematographer is Joseph Walker now,55.6,7.44,59.32
this picture and it's made by Colombia,60.0,6.64,63.32
pictures this is a remake of,63.04,7.24,66.66
1939's blind alley which was also by,66.64,6.44,69.86
Colombia and it's based on a play that,70.28,5.26,72.91
was written by James,73.08,3.6,74.88
Warwick now this is it's something of a,76.68,6.72,80.04
psychological Thriller uh much like we,80.52,5.639,83.3395
see in a lot of British noirs from this,83.4,4.6,85.7
era you know it just seemed like the,86.159,4.96,88.63900000000001
British had a penchant uh they like to,88.0,5.759,90.87950000000001
do a lot of noirs that had like a,91.119,5.881,94.0595
psychological aspect to them and not,93.759,6.04,96.779
that Hollywood didn't do any like that,97.0,5.24,99.62
but they seem to be fewer in,99.799,5.521,102.5595
number and so on that aspect it kind of,102.24,6.72,105.6
reminds me of a British Noir but this is,105.32,6.52,108.58
an American,108.96,2.88,110.39999999999999
Film now it's about a deranged killer,112.28,6.64,115.6
who escapes prison and takes a,116.159,5.401,118.85950000000001
psychiatrist family and their weekend,118.92,7.08,122.46000000000001
guest hostage but the doctor is unshaken,121.56,7.52,125.32000000000001
and he helps the uh he helps the Killer,126.0,5.84,128.92
by trying to decipher a recurring,129.08,5.239,131.6995
nightmare that he thinks may be the,131.84,4.2,133.94
cause of his,134.319,4.401,136.5195
crimes so from,136.04,7.23,139.655
1948 the dark passed let's roll the,138.72,9.969,143.7045
what does a big city mean to you you may,224.599,5.481,227.3395
think of soaring skyscrapers monuments,227.519,4.241,229.6395
creation but I think of the people the,231.76,5.96,234.73999999999998
one and the many no names no faces I'm,234.76,5.64,237.57999999999998
one of the people too I've got my,237.72,5.28,240.35999999999999
routine same as all of them I rush for,240.4,4.52,242.66
work usually just in time to catch the,243.0,4.68,245.34
last bus always late part of that last,244.92,4.679,247.25949999999997
crowd yet for all the similarity of our,249.599,5.681,252.43949999999998
routine we're none of us the same we're,252.28,5.44,255.0
is different as the print of our,255.28,4.6,257.58
thumbs ever think about the differences,257.72,4.88,260.16
in people I do sort of a little game I,259.88,5.36,262.56
play a guessing,262.6,5.2,265.20000000000005
game guess what she's,265.24,5.679,268.0795
doing she's hoping to pleas the,267.8,6.0,270.8
boss and now here's the boss he doesn't,270.919,5.161,273.49949999999995
pleased and this beautiful young thing,276.199,5.321,278.8595
on the threshold of life with her eyes,279.44,6.28,282.58
full of dreams of romance and,281.52,4.2,283.62
music no dreams here only tears and not,286.12,7.4,289.82
even room for Tears here only the shame,290.639,5.12,293.199
defeat and his hopes never end,296.28,6.6,299.58
well he can dream cand he oh,302.88,6.599,306.1795
well the game is over for today no more,306.16,5.68,309.0
guessing now I've got to know about,309.479,5.72,312.339
people this is where I,311.84,6.359,315.0195
work familiar looking place isn't it,315.199,4.401,317.3995
headquarters for the city's law,318.199,3.961,320.1795
enforcement,319.6,2.56,320.88
agency hi rally morning,323.68,4.4,325.88
Swanson no I'm not a,330.28,7.039,333.79949999999997
policeman I'm not a detective either not,333.039,6.921,336.4995
exactly here every man is a sort of,337.319,4.561,339.59950000000003
specialist an,339.96,4.12,342.02
expert there may be some fragment of,341.88,3.84,343.8
Truth in the old saying that it takes a,344.08,4.399,346.2795
thief To Catch a Thief but there's a lot,345.72,4.8,348.12
more truth to the fact that in this day,348.479,4.681,350.8195
and age it takes an expert to catch,350.52,5.08,353.06
expert and there are all kinds of,355.68,5.2,358.28000000000003
psychiatrists like myself experts at,362.319,5.961,365.2995
understanding,366.52,3.0,368.02
people morning,369.52,3.399,371.2195
doctor morning,375.12,3.4,376.82
herb anything exciting just a,379.28,4.919,381.73949999999996
like any other doctor I have my daily,393.24,5.519,395.9995
routine my patients are these men who,395.68,5.12,398.24
blast their way into today's headlines,398.759,4.041,400.77950000000004
with crimes of violence now being,400.8,4.16,402.88
brought in for the morning,402.8,4.679,405.1395
showup I get my first good look at them,404.96,3.679,406.79949999999997
in the viewing,407.479,3.641,409.29949999999997
room together with the detectives who,408.639,4.56,410.919
are there to memorize every last detail,411.12,6.919,414.5795
of their appearance mannerisms,413.199,4.84,415.619
characteristics,418.4,4.4,420.59999999999997
some of them don't look so,422.8,3.16,424.38
good some of them don't feel too well,429.199,6.041,432.21950000000004
frightened and,432.44,2.8,433.84
short this one doesn't show any fear,436.84,5.44,439.56
he's a repeater for more than half his,439.68,4.28,441.82
life you and I have been supporting him,442.28,5.28,444.91999999999996
in reform school prison and Penitentiary,443.96,7.359,447.6395
he knows the routine well,447.56,3.759,449.4395
here's one who doesn't know the routine,453.96,5.519,456.7195
at all he interests me he's young I may,455.639,6.321,458.7995
be able to help,459.479,5.481,462.2195
Laro armed robbery assault with deadly,464.96,3.959,466.93949999999995
weapons resisting,467.599,3.641,469.41949999999997
arrest holy,468.919,5.881,471.85949999999997
Laro he's bitter the resentment burning,471.24,5.76,474.12
out of his,474.8,7.44,478.52000000000004
eyes he's been hurt hurt,477.0,9.039,481.5195
often how old are you 18 you ever been,482.24,6.32,485.40000000000003
arrested before no you're not telling,486.039,5.12,488.599
the truth in the last 6 years you've,488.56,4.56,490.84
been arrested nine times as a juvenile,491.159,3.72,493.019
delinquent you're getting paid to know,493.12,3.12,494.68
the answers not,494.879,3.6,496.67900000000003
me take them,496.24,5.76,499.12
away that's all for,498.479,3.521,500.23949999999996
Williams hello there Dak hello I see you,507.919,6.401,511.11949999999996
were the arresting officer in the Laro,512.24,5.12,514.8
case I'm interested in that boy you and,514.32,5.12,516.88
both I'm going to recommend that he be,519.44,3.479,521.1795000000001
sent to the psychiatric boorder of the,521.56,2.399,522.7594999999999
hospital don't expect me to make that,523.959,3.801,525.8594999999999
kind of a recommendation in my report to,526.12,4.08,528.16
the DA have you seen his medical history,527.76,3.96,529.74
there's nothing wrong with Laro that a,530.2,3.24,531.82
good stretch of hard labor won't cure,531.72,4.08,533.76
he's a bad boy mean all over people,533.44,3.88,535.3800000000001
behave badly sometimes doesn't mean,535.8,3.2,537.4
they're bad yeah yeah you're going to,537.32,2.959,538.7995000000001
tell tell me if there's a little bit of,539.0,2.72,540.36
good in the worst of us maybe there's,540.279,2.8,541.679
just a little bit of bad deep down in,541.72,2.6,543.02
the hearts of the best of us take,543.079,3.561,544.8594999999999
yourself for instance oh now Doc don't,544.32,3.88,546.2600000000001
start on me again all right well then,546.64,4.04,548.66
take me now if this kid's hand were,548.2,4.72,550.5600000000001
bleeding or if he had a festering foot,550.68,3.64,552.5
we'd want to rush him to the hospital,552.92,3.84,554.8399999999999
wouldn't we but an inside hurt that's,554.32,4.88,556.7600000000001
been festering for years poisoning him,556.76,3.519,558.5195
that doesn't mean anything to you does,559.2,2.44,560.4200000000001
it what do you want me to do feel sorry,560.279,4.041,562.2995
for him I don't want us hardening him,561.64,4.439,563.8595
into a hopeless criminal he's young,564.32,3.04,565.84
something can be done for him while he's,566.079,3.76,567.959
young he's a sick boy mentally and,567.36,4.52,569.62
emotionally I know doc you think,569.839,4.321,571.9995
everything is in the mind well most of,571.88,4.36,574.06
it is this in my,574.16,4.239,576.2795
mind come into my office you want to,576.24,4.64,578.5600000000001
discuss your,578.399,2.481,579.6395
mind say DC why should you care about a,583.48,4.68,585.82
Laro somebody has to,588.16,4.76,590.54
care you know Williams I wasn't always,590.64,4.52,592.9
in police work you never tried to bring,592.92,4.64,595.24
