text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-ollama,sentiment-vader_norm,sentiment-textblob_norm,sentiment-ollama_norm
e,0.0,3.0,1,1.5,0.0,0.0,0.0,-3.433022075250147,-2.2551627861791683,-3.3938528813862243
n,56.92,3.0,2,58.42,0.0,0.0,-0.1,-3.43329134347618,-2.2572480681346923,-4.455447158222593
a,60.28,3.0,3,61.78,0.0,0.0,0.0,-3.4331806674341214,-2.256434287887464,-4.05238430775075
[Music],76.94,43.37,4,98.625,0.0,0.0,0.25,-3.4322957601853243,-2.249737447967485,-2.624046956762979
n,119.079,19.52,5,128.839,0.0,0.0,-0.1,-3.433263753696256,-2.2562950581502323,-3.1781669291259353
[Music],120.31,21.73,6,131.175,0.0,0.0,0.25,-3.4334481603793168,-2.257587215436507,-2.3678893815840927
my Royal day can be a royal board it,138.599,6.761,7,141.9795,0.0,0.0,0.45,-3.4345593319282104,-2.2654181867066563,-1.1849869681603
beads me colder than a basement floor,142.04,6.52,8,145.29999999999998,0.0,0.0,-0.5,-3.4334723442958057,-2.262219616847745,-2.7369002028555096
the only moment I keep waiting for is,145.36,5.8,9,148.26000000000002,0.0,0.0,0.2,-3.425129770108141,-2.229099726977005,-2.3681605338525595
when the day will be,148.56,6.0,10,151.56,0.0,0.0,0.1,-3.4511718750202762,-2.2712100502807693,-2.2624907691064164
through I never notice if it's dark or,151.16,6.799,11,154.55949999999999,0.0,-0.15,-0.15,-3.4061516105468463,-2.66205716317776,-2.629204234628272
clear what people say to me I hardly,154.56,6.759,12,157.9395,0.3818,-0.09583333333333333,0.3,-2.6004526234271284,-2.8823214472665564,-2.199506769638267
hear the passing hours are an endless,157.959,6.28,13,161.099,0.0,-0.125,-0.5,-2.5874606694022297,-3.1209468819937696,-3.0803878136254683
year until at last I'm,161.319,6.241,14,164.43949999999998,0.0,0.0,-0.1,-2.757230961390777,-3.058136362176068,-3.215075966079473
alone with,164.239,3.321,15,165.89950000000002,-0.25,0.0,0.15,-3.1526130108828005,-3.0093351048601407,-3.0752402557023197
you every night at,172.04,8.16,16,176.12,0.0,0.0,0.5,-3.188852099376233,-2.958284844883895,-2.420349311270802
7 you walk in as fresh as Clover and I I,175.28,9.599,17,180.0795,0.3182,0.3,0.5,-2.7694888455243056,-2.38684492279858,-1.882577652445842
begin to sigh all over,180.2,4.679,18,182.53949999999998,0.0258,0.0,-0.25,-2.6686353423248086,-2.3696335846577785,-2.2402369609239328
again every night at,185.76,8.0,19,189.76,0.0,0.0,-0.1,-2.758949287088357,-2.373735340202191,-2.418049934102914
s you come by like May returning and me,189.08,8.879,20,193.51950000000002,0.3612,0.0,0.1,-2.290256774670732,-2.3631212689653354,-2.3548440505541737
oh my I start in yearning,193.76,7.28,21,197.39999999999998,0.128,0.0,0.35,-2.1811418931699134,-2.3583744454091073,-2.0784055795101457
again you seem to,197.959,9.241,22,202.5795,0.0,0.0,0.1,-2.2359717019581917,-2.32349474403295,-2.0011955465662563
bring Far Away spring near,201.04,10.44,23,206.26,0.0,0.1,0.5,-2.2939023055168954,-2.2632781350575715,-1.6741777521632815
me I'm always in for,207.2,8.0,24,211.2,0.0,0.0,0.65,-2.330377314214578,-2.1990268912526747,-1.157337876219257
BL when you're in the room for every,211.48,6.0,25,214.48,0.6166,0.0,0.15,-1.7158840343992736,-2.206533988692396,-1.087403832254531
night,215.2,6.2,26,218.29999999999998,0.0,0.0,0.1,-1.7777315822066593,-2.2463893279567086,-1.1680125294515848
at every time the same thing happens I,217.48,7.52,27,221.23999999999998,0.0,0.0,-0.1,-1.8199609140473725,-2.2055757083333853,-1.255272669322604
fall once again in love but only with,221.4,5.51,28,224.155,0.3818,0.25,-0.1,-1.5572522972825786,-1.9634137675240502,-1.4721813498085206
you,225.0,3.01,29,226.505,0.0,0.0,0.0,-1.5487273449316135,-1.9536108346874035,-1.4776987549970086
[Applause],226.91,5.8,30,229.81,0.4215,0.0,0.85,-1.310658047979354,-1.9768259032718711,-1.0018192525131324
[Music],228.01,7.889,31,231.9545,0.0,0.0,0.5,-1.2975344214680515,-1.9830950701481662,-0.7132069101419186
[Applause],232.71,3.189,32,234.30450000000002,0.4215,0.0,0.85,-1.056385380976618,-1.9888246197769972,-0.2664706630906115
[Music],245.96,17.679,33,254.7995,0.0,0.0,0.5,-1.11576026473675,-2.0042055042876563,-0.042769689277104984
the,264.56,3.0,34,266.06,0.0,0.0,0.0,-1.1831456502581674,-2.0028796179399793,-0.14394961202911716
the,270.199,3.0,35,271.699,0.0,0.0,0.0,-1.249106245885587,-2.004472203669462,-0.23336851345194198
[Music],280.42,8.189,36,284.5145,0.0,0.0,0.25,-1.308107118082753,-2.023280284724728,-0.17956889047952113
[Applause],285.48,3.129,37,287.0445,0.4215,0.0,0.85,-1.056463057564816,-2.0305046485490355,0.20866473637769545
every night,317.759,6.641,38,321.0795,0.0,0.0,0.0,-1.1184817560144693,-2.0459132336839154,0.11979543183083627
at every time the same thing happens I,320.44,9.56,39,325.21999999999997,0.0,0.0,-0.1,-1.1777063127651026,-2.008995369202141,-0.03926975202429217
fall once again in love but only with,324.4,21.43,40,335.11499999999995,0.3818,0.25,-0.1,-0.9742747867043334,-1.886432766969787,-0.16127263091030675
[Music],330.0,18.08,41,339.04,0.0,0.0,0.25,-1.034048132282764,-1.847491326848096,-0.11140034238946409
[Applause],345.83,4.57,42,348.115,0.4215,0.0,0.85,-0.81421771993315,-1.8480411066415043,0.21280352482887155
you may I say your performance was a bit,348.08,4.119,43,350.1395,0.0,0.0,0.2,-0.886056801224086,-1.9146502573320794,0.22023121011579286
ragged you were so slow going around the,350.4,3.32,44,352.06,0.0,-0.30000000000000004,-0.5,-0.9356204399496262,-2.0899693152276733,-0.05691247926210428
throne I almost caught you well the,352.199,4.241,45,354.3195,0.2111,0.0,0.3,-0.8507935599705582,-2.07263113540628,-0.016424873792440023
audience seem to like it it was so hot,353.72,4.039,46,355.7395,0.3612,0.25,0.45,-0.7140417177441377,-1.9614827898554672,0.11438251628929223
in New York in the summertime I'm glad,356.44,3.319,47,358.0995,0.4588,0.3181818181818182,0.65,-0.5220215997491818,-1.7724272472026925,0.26042002494057653
we're closing tomorrow night what,357.759,3.401,48,359.4595,0.0,0.0,-0.1,-0.5268723853991997,-1.7291059794055312,0.23480370183229457
happened to the air conditioning Mr,359.759,2.801,49,361.15950000000004,0.0,0.0,-0.1,-0.6307192369150207,-1.7357177185509645,0.11848677667119321
Killer probably turned it off to save,361.16,4.64,50,363.48,-0.2732,0.0,-0.2,-0.8127996450091404,-1.7785991095546687,-0.059243042277982376
money oh would you blot my face too up,362.56,6.12,51,365.62,0.0,0.0,0.1,-0.8986111066218483,-1.7875764465681983,-0.12696523246098407
here it's who's Mr Hill the house,365.8,4.08,52,367.84000000000003,0.0,0.0,0.1,-0.9186848994157221,-1.792333344209024,-0.1419034614326509
manager you ought to know that you've,368.68,2.48,53,369.92,0.0,0.0,-0.2,-0.9235198352025509,-1.8403396145545137,-0.18414757707566476
been playing as din for the past year,369.88,2.96,54,371.36,0.2023,-0.25,0.2,-0.9407110478078075,-1.9148164708671678,-0.2610569353712414
and a half oh is that that even little,371.16,3.2,55,372.76000000000005,0.0,-0.17708333333333331,-0.1,-0.9686619803846812,-1.9986240055152185,-0.3587242673860887
man who comes around and pinches that's,372.84,3.32,56,374.5,0.0,0.0,-0.2,-1.0122918545160162,-2.0758155555583633,-0.4343553005577047
your department sister here all I can,374.36,3.32,57,376.02000000000004,0.0,0.0,0.45,-1.052423881281203,-2.0901619880014812,-0.3422295347416136
say is let Mr Hiller keep his air,376.16,2.84,58,377.58000000000004,0.0,0.0,0.5,-1.08950657298471,-2.0710085515779704,-0.2660480949403279
conditioning he can't take it with him,377.68,3.56,59,379.46,0.0,0.0,-0.5,-1.1202726949172854,-2.0455608439847697,-0.39827268942203503
and where he's going he'll need it oh,379.0,4.759,60,381.3795,0.0,0.0,0.1,-1.1264885070050905,-2.0544683982546785,-0.48970621570631984
boy it's F say If Ever I play a king,381.24,3.6,61,383.04,0.34,0.0,0.1,-1.1056383167995578,-2.0767738143394596,-0.49726264368200523
again I'm going to be one of those,383.759,2.921,62,385.21950000000004,0.0,0.0,0.1,-1.0631262576222973,-2.088491505098915,-0.4766075573664762
Asiatic boys who just wears earrings in,384.84,6.359,63,388.0195,0.0,0.0,0.1,-1.119324285944566,-2.0574749441309907,-0.4961036093209342
the sheet hey what's your hurry Pete hi,386.68,6.44,64,389.90000000000003,0.0,0.0,0.1,-1.1907778355785998,-2.0933398621204513,-0.5367070814689766
Alan honey I'm sorry to keep you waiting,391.199,3.961,65,393.1795,-0.0772,-0.5,-0.15,-1.2279846889643158,-2.308575934646639,-0.6247325951280103
you know my brother Town don't you no I,393.12,3.68,66,394.96,0.2235,0.0,-0.1,-1.1430974520729933,-2.3339699059350987,-0.6635561767074294
don't believe I've had the pleasure all,395.16,3.56,67,396.94,0.5719,0.0,0.1,-0.9811000767512486,-2.276236816329922,-0.6752489774360826
right I'm fine sir and thank you for,396.8,3.72,68,398.66,0.5106,0.35119047619047616,0.5,-0.8426606865538225,-2.1996234419408847,-0.6395521771104756
asking I'll be out in five oh my pach,398.72,3.68,69,400.56,0.0,0.0,0.1,-0.7872354928733843,-2.119449572944777,-0.5440702580373714
you look so nice and cool make yourself,400.52,5.16,70,403.09999999999997,0.7335,0.475,0.85,-0.6443030964743421,-2.0018803670518497,-0.41356605375344213
at home won't you sit down,402.4,7.239,71,406.0195,0.0,-0.15555555555555559,0.1,-0.60235873244544,-1.9639869875935478,-0.37781030000614313
anywhere oh how was it sir hot oh um,405.68,5.84,72,408.6,0.0,0.25,0.2,-0.6762421855810825,-1.9621833916131388,-0.3725454656922226
your agent stopped by to see you sir,409.639,4.12,73,411.699,-0.2263,0.0,0.5,-0.7934886878053761,-1.9219275474382793,-0.3231175886016517
Irving what brought him out this clamy,411.52,4.28,74,413.65999999999997,0.0,0.0,-0.1,-0.8384326144497032,-1.9208439208979573,-0.3460953873168467
night he didn't say he just told me to,413.759,3.44,75,415.47900000000004,0.0,0.0,-0.1,-0.8680799103872773,-1.9350177531171349,-0.39762554611481793
tell you it was imperative that you and,415.8,2.92,76,417.26,0.0,0.0,-0.1,-0.9042334064370767,-1.9469430223832993,-0.44524450000192783
Miss Ellen meet him at mcguffy's bar,417.199,4.761,77,419.5795,-0.1531,0.0,0.2,-0.9733195618067879,-1.9390004748584895,-0.46744208001227683
next door right after performance Oh,418.72,5.919,78,421.6795,0.0,0.14285714285714285,0.35,-1.016119515386426,-1.902507862263767,-0.4525288657726022
Ellen yeah Irving wants us to meet him,421.96,5.28,79,424.59999999999997,0.296,0.2,0.2,-0.9484748763261073,-1.7987279978880846,-0.39803785917707196
at McGuffy okay how'd you like Pete,424.639,6.24,80,427.759,0.5267,0.5,0.5,-0.8110061268348505,-1.6261388051144408,-0.32635773441252464
isn't he cute he's from the south no why,427.24,5.519,81,429.9995,-0.569,0.5,0.2,-1.0118617849202156,-1.5097484960076017,-0.2876575828165826
Ellen honey I never would have guessed,430.879,3.521,82,432.6395,0.0,0.0,0.2,-1.023036080339625,-1.434823901876248,-0.27573565327932054
it he owns miles and miles at to back L,432.759,2.84,83,434.17900000000003,0.5766,0.0,-0.1,-0.936302188980842,-1.4412380478989144,-0.29331086699477826
of Virginia and you ought to hear him,434.4,3.04,84,435.91999999999996,0.0,0.0,0.2,-0.8979397095878656,-1.489738399087219,-0.33796110081293906
chant I met him two days ago at Hill the,435.599,3.16,85,437.179,0.0,0.0,0.1,-0.9649500074055836,-1.546186806301781,-0.3874068311238007
swan's house and I'm simply mad about,437.44,4.0,86,439.44,-0.4939,-0.625,-0.5,-1.1118645844217805,-1.668550691909304,-0.4908842470140963
him is that all that's all,438.759,5.84,87,441.67900000000003,0.0,0.0,0.1,-1.1852884836804132,-1.751716397870142,-0.5064490778186689
Roger seems quite taken doesn't you this,441.44,4.479,88,443.6795,0.0,0.0,0.45,-1.1708395337015225,-1.75141474873728,-0.4147096949076992
will probably be one of those long,444.599,2.961,89,446.0795,0.0,-0.05,0.2,-1.2276180638416299,-1.72078477575764,-0.44411394554917066
Affairs that drags on a whole weekend,445.919,3.241,90,447.5395,-0.1779,0.2,-0.2,-1.2853141401689798,-1.7078353859343913,-0.5024457556900465
news overseas concerns the royal wedding,447.56,2.88,91,449.0,0.0,0.0,0.1,-1.327304998111479,-1.7102224638663943,-0.5322060354421243
in London,449.16,2.879,92,450.59950000000003,0.0,0.0,0.0,-1.3148800016090698,-1.7229111716301138,-0.4961245356992317
the British capital is already festive,450.44,3.159,93,452.0195,0.4588,0.0,0.5,-1.2239046344439448,-1.6798485277709645,-0.4404152669571561
and happy in anticipation of the wedding,452.039,4.0,94,454.039,0.6249,0.8,0.65,-1.1064190489425971,-1.4999078152433487,-0.3917111763948441
which is still several weeks off as for,453.599,3.88,95,455.539,0.0,0.0,0.1,-1.0715264622823248,-1.4266249432303686,-0.375501782514006
the princess the most closely guarded,456.039,3.081,96,457.5795,0.0,0.45,0.1,-1.1038091243517307,-1.3858592728604084,-0.3603544672965961
Secret in England since radar is her,457.479,3.28,97,459.11899999999997,0.0,-0.4,0.1,-1.141936486785555,-1.4237206837658412,-0.34304809057550634
wedding gown the princess herself will,459.12,3.479,98,460.8595,0.0,0.0,0.5,-1.1786131002641866,-1.4749635194339834,-0.3220444413288038
see it for the first time this,460.759,4.84,99,463.17900000000003,0.0,0.25,0.15,-1.2058874626289717,-1.4538661955849521,-0.30951427870258047
weekend other news at Miami Florida a,462.599,4.401,100,464.79949999999997,0.0,-0.125,0.1,-1.2050378599380498,-1.4325547972421089,-0.3202738490261089
new tropical hurricane seems to be,465.599,4.28,101,467.739,0.0,0.13636363636363635,-0.2,-1.1825439127530024,-1.4182689994617141,-0.35578073188816683
approaching can I talk now yes sir you,467.0,5.199,102,469.5995,0.4019,0.0,0.45,-1.1734717966392572,-1.4182763535478138,-0.36472866643963897
know Mr bone I danc in trala square the,469.879,4.241,103,471.9995,0.0,0.0,0.1,-1.1839214748160887,-1.4194173146222102,-0.33979194974680627
day her grandfather was married oh I,472.199,3.241,104,473.8195,0.0,0.25,0.15,-1.199718104883865,-1.4152776117712795,-0.3032093788942701
give anything to be there again this,474.12,3.359,105,475.7995,0.0,0.0,0.45,-1.212107984501051,-1.400022658467391,-0.2603482939046367
fall wouldn't you yes I like weddings,475.44,3.8,106,477.34,0.0624,0.0,0.45,-1.2117287506641496,-1.3777943306613445,-0.2325456877738651
provided of course they're not mine oh,477.479,3.921,107,479.4395,0.0,0.0,0.1,-1.1969136183932145,-1.3371374230156585,-0.20526807371968542
man are very healthy sir you say married,479.24,4.16,108,481.32,0.4576,0.45,0.45,-1.1721620115903615,-1.2969341014870832,-0.19147146642364024
men live much longer than Bachelors if,481.4,3.079,109,482.93949999999995,0.0,0.16818181818181818,0.15,-1.1452134939714718,-1.263798712780241,-0.18782978799384073
that's true they're only trying to,483.4,2.44,110,484.62,0.4215,0.175,0.2,-1.1196268558365028,-1.2324070603914128,-0.19228042176952725
outlive their wives so they can be,484.479,3.28,111,486.11899999999997,0.0,0.0,-0.1,-1.1063091160441605,-1.2076430041254742,-0.20345646225495384
Bachelors again haven't you ever thought,485.84,3.52,112,487.59999999999997,0.0,0.0,-0.1,-1.106859291701059,-1.1867583055031599,-0.22093441775756048
of getting married sir once as a matter,487.759,3.761,113,489.6395,0.0258,0.25,0.1,-1.1246589879592541,-1.1647377803264651,-0.2523211157557987
of fact I did the young lady changed her,489.36,4.2,114,491.46000000000004,0.0,0.1,0.1,-1.1486165676911966,-1.1526033454715932,-0.2835964239673878
mind at the last moment I've been deeply,491.52,5.079,115,494.05949999999996,0.0,0.0,-0.1,-1.178993583199647,-1.1494040693736993,-0.3258652258136402
indebted to her ever since do not,493.56,5.4,116,496.26,0.0,0.0,-0.1,-1.1851435413174354,-1.1614067095135376,-0.3521779169251146
just see I wonder what Irving was I hope,496.599,4.44,117,498.819,0.4404,0.0,0.2,-1.1561781148181243,-1.1875324437629247,-0.36509411456776375
it's something that my gosh what a,498.96,4.4,118,501.15999999999997,0.0,0.0,0.2,-1.1061431999178541,-1.1957319665988384,-0.3624248364523923
muscle is like some men oh it's nothing,501.039,4.641,119,503.35949999999997,0.3612,0.0,0.2,-1.0520083470219996,-1.1618771099980498,-0.3507430319230046
all us tobacco men get kind of strong,503.36,5.08,120,505.90000000000003,0.4601,0.5166666666666666,0.2,-1.002011935106136,-1.088540721448814,-0.3303221912427779
what from lifting,505.68,6.76,121,509.06,0.0,0.0,0.15,-1.0235291663537416,-1.0682632864031176,-0.30145714661703377
money oh now it wasn't that good good,508.44,5.719,122,511.2995,-0.5875,0.7,0.2,-1.0999855032726742,-0.9273099837432466,-0.2833292682820576
night Eddie good night good night Eddie,512.44,4.519,123,514.6995000000001,0.7003,0.7,0.5,-1.0582212351875167,-0.7487501886841404,-0.2651332902364529
good night he's the only Stage Door man,514.159,5.921,124,517.1195,0.4404,0.35,0.45,-0.9675187672450404,-0.6879021749809758,-0.25799170158802354
I know who isn't called,516.959,3.121,125,518.5195,0.0,0.0,-0.1,-0.9287076156715024,-0.6745699207844925,-0.25543619483191915
P hello,521.0,4.8,126,523.4,0.0,0.0,0.15,-0.9624291827695262,-0.7104660917813226,-0.25120900743261765
will hi I couldn't wait for you,523.08,4.319,127,525.2395,0.0,0.0,0.2,-1.0032153091546125,-0.7318372836951403,-0.24986599764239348
backstage tonight what is with that heat,525.8,3.2,128,527.4,0.0,0.0,0.2,-1.0359476100424792,-0.7425015606632347,-0.24721140406604125
over there who needs it so how was the,527.399,3.641,129,529.2195,0.0,0.0,-0.1,-1.035488582848225,-0.7313174332595361,-0.2433534993323435
show well the First Act was a little do,529.0,4.6,130,531.3,0.2732,0.03125,0.25,-1.0062629830881529,-0.7020635044897247,-0.23611124030346395
Bo how are you baby fine are you who you,531.04,4.96,131,533.52,0.2023,0.4166666666666667,0.45,-0.9516431683621225,-0.6641426076499525,-0.22378836564923613
look so sweet tonight yeah I do don't I,533.6,5.359,132,536.2795,0.6962,0.35,0.45,-0.8718077842102806,-0.6203484022809511,-0.1997585916782796
okay come on order I got news big news,536.0,4.839,133,538.4195,0.2263,0.25,0.3,-0.8281377568621056,-0.5805283917461298,-0.1728607164624772
cumberly how do you do Mr cble it's a,538.959,3.761,134,540.8394999999999,0.0,0.0,-0.1,-0.7967991924239138,-0.5159392403345682,-0.1319997158472517
great pleasure thank you sir that's very,540.839,3.881,135,542.7795000000001,0.8834,0.5,0.85,-0.7193212837309827,-0.44559495650162606,-0.09252568500731703
nice who is the square friend Tom,542.72,5.08,136,545.26,0.7184,0.6,0.5,-0.5793813069032149,-0.3649049499160656,-0.05217050318582732
Collins please hit me with a rod shall I,544.72,4.6,137,547.02,0.3182,0.0,-0.1,-0.4948721655304768,-0.34131783846248415,-0.045072377926552415
give it to you well come on what is it,547.8,2.92,138,549.26,0.2732,0.0,0.1,-0.44282728802665156,-0.3669455127695619,-0.06837959019252626
this don't kill you my brother Edgar,549.32,2.759,139,550.6995000000001,0.5773,0.0,0.2,-0.43392430598097315,-0.39115098081334515,-0.08534600085930265
called tonight from England he's ahe of,550.72,2.84,140,552.14,0.0,0.0,0.1,-0.434929614831587,-0.402024289092995,-0.09074545332340272
our London office been there for years,552.079,2.921,141,553.5395,0.0,0.0,0.2,-0.44211740656245674,-0.40121424107557135,-0.08503380586534716
anyhow the Mayfair Theater people watch,553.56,3.64,142,555.38,0.0,0.0,0.15,-0.4571578101816461,-0.3921747949314515,-0.06555785231341038
a whole show for London no but quick,555.0,3.399,143,556.6995,-0.1531,0.26666666666666666,0.2,-0.46930622963029206,-0.3863104777852182,-0.04627758423221749
they want you there during the wedding,557.2,3.52,144,558.96,0.0772,0.0,0.5,-0.4869047006717847,-0.39174721873121165,-0.009960874074043672
season England during the wedding I like,558.399,4.68,145,560.739,0.3612,0.0,0.65,-0.4927527557367998,-0.4223181372421665,0.015363736579628931
that oh Tom hunted does this mean you'll,560.72,4.6,146,563.02,0.0,-0.3125,-0.1,-0.4847095544595632,-0.4353237508160904,0.036809136690470916
be leaving me yes see isn't a wonderful,563.079,3.801,147,564.9794999999999,-0.0767,1.0,-0.25,-0.46668991026715334,-0.28665737515005735,0.046699157210113
when do we open well as soon as possible,565.32,2.36,148,566.5,0.2732,0.0,0.45,-0.44822302982477225,-0.2495945482824094,0.050618903739539804
of course you got to rehearse the,566.88,2.88,149,568.32,0.0,0.0,0.2,-0.4237046312431191,-0.24298874365210574,0.05277167752487391
English cast first hit me son what about,567.68,3.44,150,569.4,0.0,0.125,-0.1,-0.40908827283563903,-0.24128168397412317,0.05350374578667141
Transportation well there some French,569.76,2.759,151,571.1395,0.2732,0.0,0.1,-0.38737536261069583,-0.2368172973109605,0.05508215154389745
boat leaving a week from next Monday,571.12,3.279,152,572.7595,0.0,0.0,0.1,-0.37079504983639966,-0.2282319243897399,0.058431680898178684
which one who knows what the name it's,572.519,4.201,153,574.6195,0.0,0.0,0.1,-0.35605454227219846,-0.22498364405211718,0.06706812398890159
in French don't worry I'll get you on it,574.399,3.841,154,576.3195,0.3412,0.0,0.5,-0.34600495443024376,-0.2429994555113757,0.0819463276361735
Ellen this means we'll be saying goodbye,576.72,5.799,155,579.6195,0.0,0.0,-0.2,-0.2804733923899741,-0.21509236996532582,0.1334679751568994
in 10 days oh yes eat I'm so happy Ellen,578.24,6.0,156,581.24,0.8147,0.8,0.65,-0.18830843944412387,-0.04539883473800789,0.16662334037645182
oh hello dear I was waiting for you,582.519,3.481,157,584.2595,0.3818,0.0,0.45,-0.13762460741145546,-0.01764116619457514,0.23422891347258892
backstage that's where I'm L sorry Helen,584.24,3.52,158,586.0,0.5319,-0.5,-0.1,-0.09320023996531347,-0.08292806881369959,0.2725717895737324
who is this father finish your drink,586.0,3.36,159,587.68,0.0,0.0,0.1,-0.01580011445480823,-0.07282793404242395,0.3051035544637355
Pete did you hear the good news we're,587.76,2.72,160,589.12,0.4404,0.7,0.5,0.05120169267044542,0.018298032354575094,0.32675297263751635
going to England and we're going to be,589.36,2.32,161,590.52,0.0,0.0,0.5,0.046112851322712985,0.038362621622132526,0.34003355457691203
there during the wedding what are you,590.48,2.72,162,591.84,0.0,0.0,0.1,0.0217052108094953,0.007455245220955464,0.3436713611780912
doing here sir what do you mean what am,591.68,3.36,163,593.3599999999999,0.0,-0.3125,-0.1,0.035572257645526933,-0.02898212014556954,0.3351511360247895
I doing here who's he a friend what are,593.2,3.96,164,595.1800000000001,0.4939,0.0,-0.1,0.06179467375614942,-0.06035799327140946,0.3053504648903703
you doing here sir I demand an answer go,595.04,3.72,165,596.9,-0.128,0.0,-0.2,0.029467644787382098,-0.07961428483772884,0.25600901940041454
P your papers will you when do you leave,597.16,2.679,166,598.4995,-0.0516,0.0,-0.1,-0.04236133741969367,-0.09011936914442385,0.19028630175174605
that's an insult,598.76,2.48,167,600.0,-0.5106,0.0,-0.7,-0.12252846562240086,-0.09485578252327136,0.11012599803344458
what's an insult what's the matter with,599.839,3.081,168,601.3795,-0.4939,0.0,-0.2,-0.18782412420366595,-0.09592308142271334,0.019730334494148544
you you're not sending me,601.24,3.88,169,603.1800000000001,0.0,0.0,-0.2,-0.2652248190920358,-0.09421200852458395,-0.10965385464915092
away all about Dick what are you talking,602.92,4.039,170,604.9395,-0.5106,0.0,-0.15,-0.38800024552544693,-0.09102958190035368,-0.18484827360207526
about with I think we ought to start,605.12,3.52,171,606.88,0.0,0.0,0.35,-0.4369900531896132,-0.08819538406058539,-0.1498971835556828
packing I have to buy all my new clothes,606.959,3.761,172,608.8394999999999,0.0,0.13636363636363635,0.2,-0.44651091652791414,-0.08868831373243441,-0.0584494812930534
before I go I'll see I'll send the rest,608.64,3.24,173,610.26,0.0,0.0,0.3,-0.47078797794515437,-0.09271022683171282,-0.017683723338904996
of the company over the week after you,610.72,2.72,174,612.08,0.0,0.0,0.1,-0.5366043920869044,-0.1021562080825918,-0.0465804018151081
