text,start,duration,time_midpoint
oh man okay,17.06,3.66,18.89
good afternoon everyone,36.66,3.079,38.19949999999999
of the Little Pigs,75.38,4.72,77.74
John we can't go on like this seeing,114.479,4.741,116.8495
each other at these deadly dull recitals,117.18,3.899,119.12950000000001
these teasers the only way we can go on,119.22,3.48,120.96
as long as fillers in the field when he,121.079,3.18,122.669
comes back we will go right out again,122.7,4.08,124.74000000000001
three weeks out of every four is in the,124.259,6.0,127.259
field three months out of every four,126.78,5.7,129.63
do you know what my life was is Mrs,130.259,3.721,132.1195
Captain darling until you were,132.48,4.08,134.51999999999998
transferred here,133.98,5.54,136.75
hello miss Ann,136.56,2.96,138.04
good evening sir I thought the concert,145.56,3.48,147.3
tonight was a little bit of diamonds,147.42,3.06,148.95
doing from the field now any minute,149.04,5.279,151.6795
isn't he Sealy yes he is Mrs Owen my,150.48,5.64,153.29999999999998
that'll be interesting,154.319,3.78,156.20899999999997
very interesting oh come on Margaret,156.12,4.14,158.19
come on Anne,158.099,4.741,160.46949999999998
giving Lieutenant Mrs dunlan good,160.26,5.059,162.7895
evening sir,162.84,2.479,164.0795
please come inside,166.56,3.48,168.3
you think we better not,168.3,4.219,170.4095
you're eligible for resignation,183.18,3.919,185.1395
apply for it take me with you when you,188.58,3.78,190.47
do you realize what you'd be leaving of,192.36,3.659,194.1895
course I do,194.64,4.56,196.92
I believe in loneliness dull drab,196.019,5.161,198.5995
endless days and nights,199.2,3.72,201.06
I wouldn't have to live my life out with,201.18,3.54,202.95000000000002
a man I never see,202.92,5.66,205.75
go on being married to a uniform,204.72,3.86,206.65
do you know what Garrison life is for me,208.8,4.74,211.17000000000002
while the man I married to is out,211.739,4.621,214.0495
serving and living his precious Army,213.54,4.8,215.94
I'm left at home with a collection of,216.36,4.92,218.82000000000002
females chattering over their teacups,218.34,5.34,221.01
and about what,221.28,4.98,223.77
the latest fashions and gowns cut from,223.68,5.46,226.41
Butterick patterns two years old,226.26,5.22,228.87
and sewing circles just ripe with the,229.14,4.019,231.1495
latest gossip on how the Colonel's horse,231.48,5.3,234.13
is getting along with the Mages horse,233.159,3.621,234.96949999999998
but all that'll be changed if you resign,237.659,5.341,240.3295
and take me with you,240.659,4.981,243.1495
you think I could change your life I,243.0,3.78,244.89
know you can,245.64,3.12,247.2
it's all his fault,246.78,5.22,249.39000000000001
I'll never have to see him again,248.76,4.559,251.0395
I hate him,252.0,4.76,254.38
and everything he stands for,253.319,3.441,255.03949999999998
still don't think you know what you want,258.78,3.56,260.55999999999995
I'll make it very plain,265.8,5.35,268.475
that's pretty play,273.54,4.34,275.71000000000004
no I should say Let Me Explain Phil,279.66,5.46,282.39000000000004
you've heard about everything there is,283.62,3.859,285.5495
I don't want to ruin any anyone's life,292.62,4.62,294.93
let alone yours Phil,294.72,5.9,297.67
I loved you once,297.24,3.38,298.93
but now I can't stand what little I do,300.84,4.639,303.1595
see are you,302.88,2.599,304.1795
will you take me with you,306.54,3.62,308.35
I'll see you tomorrow after you've,312.6,3.36,314.28000000000003
talked this over with Phil I'll be back,313.919,4.381,316.10949999999997
in Patrol by tomorrow,315.96,5.36,318.64
for three weeks,318.3,3.02,319.81
I came over to kiss my wife goodbye but,326.039,4.44,328.259
it seems that's been taken care of for,328.919,3.741,330.7895
what do you think,448.319,4.201,450.4195
it's water all right Captain Donna,449.88,5.64,452.7
and why didn't arika report it,452.52,6.06,455.54999999999995
he may be a Corporal taking army pay,455.52,6.2,458.62
but he's still an Indian,458.58,3.14,460.15
Sergeant Grissom first set of twos lead,463.199,3.481,464.9395
gotta Pat your trees over,466.68,3.26,468.31
well and pass the word back to Captain,522.539,3.481,524.2795
Donald to come on in before after I get,524.159,3.541,525.9295
a drink you know the captain's rules,526.02,3.42,527.73
We're Not Gonna touch it either get,527.7,3.86,529.63
and all these horses get into water yet,596.58,5.24,599.2
let's run a picket line,598.56,3.26,600.1899999999999
stop that man Grayson,641.54,5.32,644.1999999999999
on your feet recruit do you hear anybody,644.7,4.74,647.07
give you orders to break ranks no sir,646.86,4.56,649.14
see that he's last at the water Sergeant,649.44,5.82,652.35
got back in ranks and stay there,651.42,6.56,654.6999999999999
there's a bell not come the mud,658.019,8.901,662.4695
all right sergeant laid out except you,660.899,6.021,663.9095
yeah I know we're all dead tired,674.579,7.341,678.2494999999999
we've been three weeks on patrol,678.24,3.68,680.08
but if we don't ride all night tonight,683.16,4.98,685.65
we'll never reach Camp Yellowstone in,686.279,3.541,688.0495
time to make our report to General,688.14,3.72,690.0
Custer before he moves out for the,689.82,4.82,692.23
Little Bighorn River,691.86,2.78,693.25
so we're gonna ride all night,694.74,3.32,696.4
I'll be dark in less than an hour,698.1,4.799,700.4995
that means you've got about an hour to,701.04,5.12,703.5999999999999
sleep relax fast,702.899,3.261,704.5295
good to get back to Camp Yellowstone sir,722.54,5.2,725.14
that's not known where that Indian Scott,726.24,3.36,727.92
I love Sue on the move,729.6,5.6,732.4
get to sleep Williams,732.06,3.14,733.63
sir it's dark now,762.3,4.5,764.55
get them off and on Sergeant yes sir I,766.8,4.32,768.9599999999999
want them out in five minutes all right,768.899,5.361,771.5795
off and on,771.12,3.14,772.69
you got company,777.899,2.661,779.2295
they come along the spike,781.2,5.859,784.1295
yes sir let him come in,796.68,6.92,800.14
who is it saying Eureka,799.38,4.22,801.49
I heard them coming captain and rolled,815.399,4.321,817.5595
out to see who it was,817.2,5.12,819.76
the Senate Haywood reporting his ordered,825.0,4.68,827.34
whose orders,827.82,4.86,830.25
commanding officer Fort Lincoln,829.68,4.92,832.14
you mind if my man water the horses for,832.68,3.779,834.5695
pick a line somewhere there Sergeant yes,836.459,4.141,838.5295
mind if I have some water,840.6,4.919,843.0595000000001
I don't mind anything you do as long as,843.54,4.44,845.76
you make your report and get going,845.519,5.721,848.3795
so I don't have to have you around,847.98,3.26,849.61
as you were,858.48,2.72,859.84
the next professional like you ought to,878.7,3.48,880.44
be able to turn up some beside aces all,880.38,5.48,883.12
the time how about a queen,882.18,3.68,884.02
the way it goes,891.3,3.02,892.81
you know what I'd like even better than,897.24,4.2,899.34
some sleep what makes you think there is,898.92,4.14,900.99
anything better,901.44,3.78,903.33
to see that Captain knock Haywood's head,903.06,4.38,905.25
off oh you're just going on a room as,905.22,3.359,906.8995
we've heard about the lieutenant,907.44,3.06,908.97
happened to me once,908.579,4.44,910.799
I never got my hands on the man who did,910.5,3.6,912.3
but I know how the captain feels you,914.1,3.9,916.0500000000001
don't know how it feels to keep your,916.62,3.86,918.55
mouth shut,918.0,2.48,919.24
are you talking as major grishen or,920.82,6.019,923.8295
Sergeant Grisham listen Moylan,922.98,3.859,924.9095
the horse is in better condition than we,926.88,3.86,928.81
at least their tempers are,931.62,3.2,933.22
well get to the point a wood,945.24,3.98,947.23
the orders were to contact the Patrols,950.399,3.24,952.019
in this area and order them back to the,952.199,3.061,953.7294999999999
Fort the fort,953.639,3.481,955.3795
we're on our way to rejoin custard Camp,955.26,4.86,957.6899999999999
Yellowstone not now what do you mean,957.12,4.38,959.3100000000001
Custer in the seventh left Camp,960.12,2.76,961.5
Yellowstone yesterday for the Little,961.5,3.3,963.15
Bighorn River,962.88,3.66,964.71
we've seen signs in nearly a thousand,964.8,3.96,966.78
soon moving toward the Little Bighorn,966.54,3.9,968.49
nearly a thousand,968.76,3.24,970.38
I've called in three patrols that,970.44,2.88,971.8800000000001
episode they've spotted and you've got,972.0,3.66,973.83
nearly four thousand on the move,973.32,4.44,975.5400000000001
Custer can't have over 300 men they'll,975.66,4.38,977.85
never find the pieces,977.76,4.319,979.9195
there's no way they can be warned,980.04,4.919,982.4995
there is if I'm there if you're there,982.079,4.981,984.5695
you've been ordered back no follow those,984.959,4.861,987.3895
orders but I'll go back by my own way my,987.06,4.5,989.31
way of the Little Bighorn,989.82,3.6,991.62
this Patrol is a part of the seventh,991.56,3.48,993.3
we're going to rejoin the seventh before,993.42,3.359,995.0994999999999
it reaches the Little Big Horn we'll,995.04,3.06,996.5699999999999
have to make it in less than three days,996.779,3.24,998.399
the only point we can intercept Custer,998.1,4.2,1000.2
is over 250 miles from here I don't care,1000.019,4.32,1002.179
if it's over 250 000 miles from here,1002.3,3.959,1004.2795
that's the seventh riding into those Sue,1004.339,3.961,1006.3195000000001
there's plenty of Sue between and over,1006.259,3.661,1008.0895
that kind of terrain,1008.3,3.839,1010.2194999999999
I'd never order my men on a suicide,1009.92,4.08,1011.9599999999999
you won't have to,1014.0,4.259,1016.1295
your men are not going,1015.56,4.92,1018.02
but you are,1018.259,4.14,1020.3290000000001
so that's it,1020.48,3.599,1022.2795
well it won't work Phil I've already put,1022.399,5.581,1025.1895
in my application a resignation huh,1024.079,5.821,1026.9895
was that application signed and approved,1027.98,5.04,1030.5
it will be by the time I get back then,1029.9,4.62,1032.21
you're still in the seventh mister and I,1033.02,3.48,1034.76
put you into my orders I need a second,1034.52,3.48,1036.26
in command case something happens to me,1036.5,4.14,1038.57
anything to say,1038.0,4.5,1040.25
I hope you meant it when you said my men,1040.64,4.08,1042.68
didn't have to go hi a minute,1042.5,6.14,1045.57
oh I have your attention man,1044.72,3.92,1046.68
Custer in the seventh have already left,1049.4,4.76,1051.7800000000002
for the Little Bighorn,1051.32,2.84,1052.74
you know what that means they'll never,1055.88,3.48,1057.6200000000001
know what hit him unless they know,1057.679,5.061,1060.2095000000002
beforehand what they're going up against,1059.36,3.38,1061.05
none of us is in any condition to ride,1063.679,4.38,1065.8690000000001
50 miles let alone 250 through what's,1065.539,4.741,1067.9095
between us and the seventh or we're,1068.059,4.201,1070.1595
gonna do it,1070.28,3.24,1071.8999999999999
and we won't have time to go around,1072.26,3.9,1074.21
obstacles we're going to go through them,1073.52,6.62,1076.83
no matter what or who they are,1076.16,3.98,1078.15
we'll eat fresh horses Sergeant Mills,1082.1,4.86,1084.53
exchange your horses with ours,1084.62,4.26,1086.75
and get your detail ready to go back to,1086.96,4.32,1089.1200000000001
Fort Lincoln yes sir,1088.88,4.14,1090.95
back to Fort Lincoln,1091.28,3.54,1093.05
is that where they came from we sure are,1093.02,5.42,1095.73
hey maybe you can find out something ask,1094.82,3.62,1096.6299999999999
any of you men here have a baby being,1098.72,3.12,1100.28
born in the fort before you left they,1100.16,3.48,1101.9
might have said it come on come on get,1101.84,4.26,1103.97
the Lord out it's my wife she's not,1103.64,4.86,1106.0700000000002
young old is me having her first baby at,1106.1,3.72,1107.9599999999998
it's my wife I want to hear about it,1109.82,3.42,1111.53
could you tell me if you were called to,1111.919,4.341,1114.0895
stand at burial formation,1113.24,3.02,1114.75
come on orange I'm stutter,1118.039,4.101,1120.0895
thank you all Hospital reports have to,1122.9,4.38,1125.0900000000001
pass through my desk,1125.96,3.66,1127.79
when I left Mrs hofstetter was in fine,1127.28,5.1,1129.83
condition and no trouble was expected,1129.62,5.84,1132.54
thank you lieutenant,1132.38,3.08,1133.92
he didn't handle anything but,1137.539,3.181,1139.1295
quartermaster stories across his desk,1138.919,4.201,1141.0195
what'd he go on live for,1140.72,4.98,1143.21
about another man's wife too,1143.12,6.439,1146.3394999999998
I'd say kind of a decent lie,1145.7,3.859,1147.6295
my details ready sir I captain would you,1165.74,4.86,1168.17
Trooper Mason sir requesting permission,1168.5,4.14,1170.57
to accompany the patrol not this Patrol,1170.6,3.84,1172.52
Mason you're going back to the Fort but,1172.64,4.38,1174.8300000000002
so right they're back then Mount up yes,1174.44,4.859,1176.8695
sir why do you want to go Mason,1177.02,3.96,1179.0
well sir you're going to try and warn,1179.299,3.841,1181.2195
the seventh I'd kind of like to be along,1180.98,3.42,1182.69
when you do,1183.14,3.48,1184.88
it's my father sir he's up there with,1184.4,4.86,1186.8300000000002
him Sergeant Mason D Troop,1186.62,4.14,1188.6899999999998
a lot of Sue between us and your father,1189.26,4.32,1191.42
Mason I know,1190.76,4.799,1193.1595
all right you can come along thank you,1193.58,4.16,1195.6599999999999
I thought you said none of my men would,1199.16,3.54,1200.93
have to go I didn't order him he,1200.96,4.219,1203.0695
volunteered,1202.7,2.479,1203.9395
have him climb aboard sergeant,1209.419,5.12,1211.979
afford to make support Megan sir report,1220.46,3.839,1222.3795
that this Patrol is rejoining the,1222.62,2.7,1223.9699999999998
that's all lead them out laid out,1225.32,3.979,1227.3094999999998
I was kind of counting on getting back,1241.46,4.28,1243.6000000000001
to Fort Lincoln,1243.14,2.6,1244.44
the way it goes so we're not going back,1246.98,4.8,1249.38
to the fort,1250.039,4.921,1252.4995
so what's at the foot the God house,1251.78,5.34,1254.45
by this time your own personal property,1254.96,4.86,1257.39
I make you a present of it I will to you,1257.12,4.439,1259.3394999999998
as of now you heard the lieutenant say,1259.82,4.08,1261.86
that she was all right aren't up till,1261.559,3.24,1263.1789999999999
I gotta be there when it happened,1264.799,4.561,1267.0795
I got no right to leave her alone,1267.02,4.26,1269.15
she's not young anymore,1269.36,4.74,1271.7299999999998
he could send me on this Mission alone,1271.28,4.32,1273.44
that would accomplish what you want and,1274.1,4.88,1276.54
you'd be saving the lives of these men,1275.6,3.38,1277.29
you'd never make it,1279.14,5.539,1281.9095000000002
a point isn't it,1281.84,2.839,1283.2595
who's right,1287.059,2.661,1288.3895
don't you think we'd better I don't,1385.58,3.3,1387.23
think General cust is making any long,1387.32,4.739,1389.6895
stops we won't waste any time boy your,1388.88,4.86,1391.3100000000002
father never was one for Force marches,1392.059,3.961,1394.0394999999999
you slow the general up,1393.74,5.299,1396.3895
common horses,1396.02,3.019,1397.5294999999999
I mean there is a girl like this she's,1420.559,4.021,1422.5695
coming down from Canada to marry you,1422.78,4.56,1425.06
sight unseen,1424.58,4.62,1426.8899999999999
miss lady and me join the friendly,1427.34,4.14,1429.4099999999999
correspondent Society about the same,1429.2,3.3,1430.8500000000001
now at the first transportation from,1432.5,3.96,1434.48
should be on it,1436.46,4.32,1438.6200000000001
one thing sure,1438.86,5.059,1441.3895
you didn't send her your picture,1440.78,3.139,1442.3495
get them in on their feet Grayson,1445.039,4.801,1447.4395
well they can hardly on their feet,1448.159,3.541,1449.9295000000002
Grayson until they move out,1449.84,4.74,1452.2099999999998
all right off and on,1454.58,4.44,1456.8
my horses know enough not to lie down,1457.28,3.6,1459.08
when the muscles are this worn out,1459.02,3.24,1460.6399999999999
the lieutenant would have made a good,1460.88,2.96,1462.3600000000001
where it goes you heard me off and on,1463.84,6.64,1467.1599999999999
off your butts and on your feet,1467.96,5.88,1470.9
Lieutenant hayward's orders,1470.48,5.76,1473.3600000000001
now the wife still has given orders wipe,1473.84,4.199,1475.9395
it off your nose zeka,1476.24,4.02,1478.25
you had a change of Hardcore bro,1478.039,3.841,1479.9595
didn't the guy from Kansas City or,1480.26,3.48,1482.0
didn't a guy from Kansas City run off,1481.88,4.46,1484.1100000000001
with your wife,1483.74,2.6,1485.04
come off Robert hofstetter,1488.0,4.02,1490.01
you forget what Lieutenant Haywood said,1490.4,3.779,1492.2895
about your wife,1492.02,5.24,1494.6399999999999
she's all right,1494.179,3.081,1495.7195000000002
the lieutenant ain't from Kansas City,1501.559,4.1,1503.609
more to the right,1506.78,2.96,1508.26
make him out,1509.78,2.779,1511.1695
Prince and Enrique coming back,1514.58,4.14,1516.6499999999999
uh the Ravine must be empty,1516.74,4.14,1518.81
as far in as they went that's good,1518.72,3.42,1520.43
enough for us,1520.88,2.76,1522.2600000000002
yes let's end it,1523.64,3.779,1525.5295
what you're doing on economy means,1526.039,2.76,1527.419
risking the life of every man in this,1527.419,2.64,1528.739
this Patrol isn't being made in the,1530.059,2.881,1531.4995
H I'm sure they're going to be very,1532.94,3.54,1534.71
touched by your concern for their lives,1533.96,4.38,1536.15
I used to like them they used to like me,1536.48,5.22,1539.09
before you turn into a wife stealer,1538.34,5.219,1540.9495
your Silly's husband that's the way she,1541.7,3.359,1543.3795
wants it to be if you listen to me in,1543.559,3.061,1545.0895
real life I hear about Sealy and you,1545.059,3.301,1546.7095
I'm gonna let every member of this,1548.36,3.0,1549.86
Patrol be killed just so I'm included,1549.62,3.96,1551.6
murder according to regulations I'll be,1551.36,4.14,1553.4299999999998
the judge in Murder like tennis,1553.58,6.02,1556.59
and you go up against me just once,1555.5,4.1,1557.55
a ravine clear yes sir but they've left,1567.62,4.38,1569.81
many small parties behind we saw the,1569.9,4.08,1571.94
signs but the rear guards wandering,1572.0,2.94,1573.47
around between here and where we're,1573.98,2.04,1575.0
if any of those party sponsors they'll,1576.02,2.759,1577.3995
send up a signal and the whole bunch,1577.76,2.82,1579.17
will be down on us,1578.779,3.481,1580.5195
in the Ravine there might only be one,1580.58,2.699,1581.9295
excuse me Erica,1583.279,4.14,1585.349
but it only takes one,1585.26,4.68,1587.6
how long would it take might lose six or,1587.419,3.721,1589.2795
seven hours,1589.94,4.26,1592.0700000000002
and save six or seven lives,1591.14,4.8,1593.5400000000002
you're interested in Saving a few lives,1594.2,3.66,1596.03
Lieutenant I'm interested in Saving a,1595.94,3.0,1597.44
great money,1597.86,4.22,1599.9699999999998
Heather Kalamata,1598.94,3.14,1600.51
he says the word Lieutenant is in charge,1603.38,3.919,1605.3395
take the point arika listen,1639.559,3.62,1641.369
big spot for a trap they'll expect us to,1647.9,3.12,1649.46
I hope you're right captain,1651.02,4.259,1653.1495
make the first set of twos and cover the,1653.539,3.481,1655.2795
real lieutenant we don't want any,1655.279,3.241,1656.8995
press the word no noise of any kind no,1658.52,5.3,1661.17
matter what,1661.4,2.42,1662.6100000000001
who fired it I got over anxious an,1758.24,5.1,1760.79
Indian watching us sir I saw him up,1761.48,3.98,1763.47
Wings on him fly away he was up there,1767.899,3.66,1769.7289999999998
you and Mr Haywood must have better eyes,1771.559,3.12,1773.119
than the rest of us,1773.419,2.76,1774.7990000000002
we still have a couple of minutes before,1774.679,3.541,1776.4495000000002
he can send up a signal,1776.179,5.041,1778.6995000000002
I'm going up to find out,1778.22,6.319,1781.3795
am I shooting lieutenant,1781.22,3.319,1782.8795
we having time to wait for you I'll,1787.76,4.56,1790.04
thanks Lieutenant he was up there sir,1792.32,5.339,1794.9895
I'd like to go with you sir,1795.799,3.24,1797.4189999999999
keep going,1797.659,3.801,1799.5595
future in that,1924.98,2.96,1926.46
good thing they didn't get a blanket,1931.52,3.18,1933.11
over that fire,1933.02,3.18,1934.61
from this height the smoke signal to,1934.7,4.02,1936.71
care for 25 miles,1936.2,5.18,1938.79
that's the word Mr Haywood's coming Mr,1989.419,4.921,1991.8795
hayward's coming Mr hayward's coming Mr,1991.88,4.279,1994.0195
Hayward coming Mr hayward's coming,1994.34,5.6,1997.1399999999999
Lieutenant hayward's coming sir,1996.159,3.781,1998.0495
you take the early Lieutenant take care,2010.059,3.96,2012.039
of both of them kind of good to have,2012.34,3.0,2013.84
somebody around to look after our,2014.019,3.5,2015.769
take the point with Eureka Clinton yeah,2018.94,4.88,2021.38
about a mile ahead,2021.039,2.781,2022.4295
get a moving Grayson,2024.88,3.08,2026.42
I don't see any smoke,2034.96,3.78,2036.8500000000001
if you're counting on me not coming back,2038.74,3.779,2040.6295
weren't you,2040.24,4.14,2042.31
the only thing I'm counting on Mister is,2042.519,3.061,2044.0495
getting this column through to the,2044.38,2.22,2045.49
fill the men are tired they need some,2046.6,3.059,2048.1295
rest the men will get some rest when I,2048.099,4.26,2050.2290000000003
say so Lieutenant Phil,2049.659,5.281,2052.2995
I meant to do this before,2052.359,4.02,2054.369
I'm giving you back the only part of,2054.94,4.34,2057.11
Celia I ever had,2056.379,2.901,2057.8295
we're in St Louis it cost me a month's,2063.22,4.139,2065.2895
and she gave it to you,2067.359,5.54,2070.129
she doesn't even know I have it,2069.52,3.379,2071.2095
seems sending for you is the only way I,2087.54,4.0,2089.54
can see you,2089.919,4.081,2091.9595
nearly three weeks you haven't even,2091.54,5.44,2094.2599999999998
looked at me let alone spoken to me,2094.0,7.859,2097.9295
we have to get this settled before Phil,2101.859,4.521,2104.1195
comes back,2103.839,2.541,2105.1095
at least this time we're alone,2108.78,4.079,2110.8195
didn't you want to see me,2113.02,3.2,2114.62
I'd rather spend one minute with you I'm,2116.8,3.84,2118.7200000000003
leaving when you leave,2119.2,3.18,2120.79
you think you've made up your mind,2122.38,4.199,2124.4795
aren't you yes I have,2123.64,4.68,2125.98
