text,start,duration,time_midpoint,vader,textblob,llama3
this story consists of my Recollections,0.199,4.12,2.259,0.0,0.0,0.3
of a very unusual young man with whom I,2.32,3.88,4.26,0.0,0.18,0.4
was thrown into contact at long,4.319,4.2,6.4190000000000005,0.0,-0.05,0.5
intervals in the summer of,6.2,4.96,8.68,0.0,0.0,0.2
1919 while passing through Chicago on my,8.519,5.761,11.3995,0.0,0.0,0.4
way to the Far East a friend of mine,11.16,4.959,13.6395,0.4939,0.1,0.3
Elliot Templeton whom I had known in,14.28,4.36,16.46,0.0,0.0,0.7
London and Paris invited me to dine with,16.119,5.441,18.8395,0.0,0.0,0.4
him and his sister Mrs Bradley they were,18.64,4.32,20.8,0.0,0.0,0.5
giving a dinner party at one of those,21.56,3.559,23.3395,0.6249,0.0,0.6
sprawling country clubs which was so,22.96,4.04,24.98,0.0,0.0,0.7
much a part of the American scene in the,25.119,3.841,27.0395,0.0,0.1,0.5
early days of the postwar,27.0,4.96,29.48,0.0,0.1,0.6
good evening sir good evening Mr tempton,51.199,5.16,53.779,0.7003,0.7,0.3
stable yes sir are they here they're,53.399,5.521,56.1595,0.5994,0.0,0.3
having refreshment,56.359,5.391,59.0545,0.0,0.0,0.7
uh here you are the Dr Martini sir,76.28,5.0,78.78,0.0,0.0,0.4
prohibition of all the bloody nonsense,78.799,5.0,81.299,-0.6808,-0.8,-0.8
Elliot Yes dear who is this man that you,81.28,4.24,83.4,0.6486,0.0,0.5
ask dinner tonight I had to get Sophie,83.799,2.921,85.2595,0.0,0.0,0.4
at the last minute or we would have been,85.52,4.16,87.6,0.0,0.0,0.4
13 he's an English author he's quite all,86.72,5.28,89.36,0.0,0.0,-0.7
right in fact he's really quite famous,89.68,3.759,91.5595,0.0,0.32857142857142857,0.7
so pretend that you've heard of him even,92.0,3.399,93.6995,-0.1761,0.0,0.2
if you haven't that's too much get the,93.439,3.841,95.3595,0.0,0.2,0.4
other glasses Elliot you must be,95.399,3.561,97.1795,0.0,-0.125,0.4
slipping if you frequent,97.28,4.68,99.62,0.0,0.0,0.2
authors not at all my dear authors go,98.96,5.4,101.66,0.3818,0.0,-0.7
everywhere nowadays why in London I even,101.96,4.56,104.24,0.0,0.0,-0.7
met actors and actresses in,104.36,5.68,107.2,0.0,0.0,0.4
society ah here he is,106.52,6.559,109.7995,0.0,0.0,0.4
now my dear fell how very nice to see,110.04,5.64,112.86,0.6901,0.78,0.7
you hello Elliot let me present you to,113.079,3.96,115.059,0.0,0.0,0.4
my sister Mrs,115.68,3.16,117.26,0.0,0.0,0.4
Louisa dear this is Mr Somerset Ma how,120.56,6.879,123.9995,0.3818,0.0,0.4
do you do Mr M it's an honor to have you,125.0,4.399,127.1995,0.4939,0.0,0.7
with us thank you it's very nice to be,127.439,3.761,129.3195,0.6801,0.78,0.7
here what on Earth are you doing in this,129.399,4.441,131.6195,0.0,0.0,0.2
bited city I'm I'm just passing through,131.2,4.039,133.21949999999998,0.0,0.0,-0.7
but you Ed I thought you never left,133.84,4.52,136.1,0.0,0.0,-0.7
Paris why should I in point of fact I,135.239,5.201,137.83950000000002,0.0,0.0,0.2
came to see my sister my niece Isabelle,138.36,4.8,140.76000000000002,0.0,0.0,-0.7
I haven't been back since before the,140.44,5.36,143.12,0.0,0.0,0.7
War I hope you don't mind a few young,143.16,4.84,145.57999999999998,-0.25,-0.05,-0.7
things are joining us for dinner but uh,145.8,4.159,147.8795,0.0,0.0,-0.7
we can leave early why should I mind I,148.0,3.16,149.58,-0.0516,0.1,0.4
like young things if they're good to,149.959,4.121,152.0195,0.6597,0.39999999999999997,0.6
look at incidentally you'll meet the,151.16,5.2,153.76,0.0,0.0,0.2
young man my niece has got herself,154.08,4.56,156.36,0.0,0.1,0.4
engaged to his name is Larry darl and I,156.36,3.76,158.24,0.4019,0.0,0.4
might as well tell you at once that,158.64,2.84,160.05999999999997,0.2732,0.0,-0.7
Elliot doesn't approve of him I have,160.12,2.6,161.42000000000002,0.0,0.0,-0.7
