text,start,duration,time_midpoint,vader,textblob,llama3
what do you think these look like they,80.68,4.079,82.71950000000001,0.3612,0.0,0.3
were mined with a toothpick you said you,82.759,4.72,85.119,0.0,0.0,0.3
wanted something for around $150 Johnny,84.759,4.841,87.1795,0.0,0.0,0.2
but these look like samples would you,87.479,4.441,89.6995,0.5023,0.0,-0.7
like something for around 250 I'll tell,89.6,4.559,91.8795,0.3612,0.0,0.7
you I'd like something for around 500,91.92,5.96,94.9,0.3612,0.0,0.6
but I only want to pay 150 for,94.159,3.721,96.0195,-0.0387,0.0,-0.7
it jeez they look more like,102.32,4.04,104.34,0.4201,0.5,0.3
685 how much you off for the police,110.92,3.92,112.88,0.0,0.2,-0.7
force why should I knock off anything,112.96,3.6,114.76,0.0,0.0,-0.7
just because you're a policeman thought,114.84,2.959,116.3195,0.0,0.0,-0.7
you might want to try and bribe me I'm,116.56,3.76,118.44,-0.128,0.0,0.2
always reading about cops being bribed,117.799,4.041,119.8195,0.0,0.0,-0.7
I've got more influential friends than,120.32,2.68,121.66,0.763,0.5,-0.7
you and the boy,121.84,3.84,123.76,0.0,0.0,0.5
Scotts oh come on Fred make me a deal,123.0,4.439,125.2195,0.0,0.0,0.7
you know Mary ought to cut the price in,125.68,3.76,127.56,-0.2732,0.0,-0.7
half I've known Mary since she was 8,127.439,4.52,129.69899999999998,0.0,-0.16666666666666666,0.3
years old and the price is still 685,129.44,5.079,131.9795,0.0,0.1,0.4
bucks how do you sleep at night friend,131.959,4.28,134.099,0.4939,0.0,-0.7
thanks how much,136.239,6.64,139.559,0.4404,0.2,0.4
cash how much you got about 300 it's,138.2,9.0,142.7,0.0,0.2,0.3
yours wrap it up,142.879,4.321,145.0395,0.0,0.0,0.4
back all right drop,160.879,5.881,163.8195,-0.2732,0.14285714285714285,0.3
it don't turn just drop it I'm,163.2,6.679,166.53949999999998,0.2057,0.0,-0.7
Lieutenant Henderson 21st Precinct my,166.76,7.479,170.49949999999998,0.0,0.0,0.5
badge is in my right pocket get it,169.879,4.36,172.059,0.0,0.2857142857142857,0.7
out toss it back here,174.84,4.759,177.2195,0.0,0.0,0.4
okay Lieutenant I'm Johnny Deo take the,187.879,5.08,190.419,0.2263,0.5,0.4
third from the sixth Precinct who's the,190.799,5.0,193.299,0.0,0.0,0.2
pigeon Tony Rogers he shot up one of my,192.959,4.601,195.2595,0.0,0.0,-0.7
men about 2 hours,195.799,5.0,198.299,0.0,0.0,0.6
ago hey what's happening you got a phone,197.56,6.399,200.7595,0.0,0.0,0.2
yeah I'll call in,200.799,3.16,202.379,0.296,0.0,0.4
too all right get out of here go on get,205.159,5.36,207.839,0.0,0.2857142857142857,0.4
all right get back get back what is it,210.56,5.319,213.2195,0.0,0.09523809523809523,0.2
you too nosy or did you shoot this guy,213.28,4.599,215.5795,-0.34,0.0,-0.7
no Lieutenant Henderson shot him he's,215.879,4.64,218.199,-0.296,0.0,-0.7
calling in I'm Johnny Domo 6 Precinct G,217.879,7.08,221.419,0.0,0.0,0.7
build G is he hey sure is you made good,220.519,7.121,224.0795,0.6369,0.6,0.5
time what's up just a small killing,224.959,4.241,227.0795,-0.6597,-0.25,-0.7
funny nothing came over the radio on,227.64,2.92,229.1,0.4404,0.25,-0.7
this what do you mean nothing came over,229.2,4.319,231.3595,0.0,-0.3125,0.4
how'd you get here we were just,230.56,7.84,234.48,0.0,0.0,-0.7
cruising calling in I'll be right back9,233.519,4.881,235.9595,0.0,0.2857142857142857,0.7
file hey what's going on out there,240.799,4.041,242.8195,0.0,0.0,-0.7
where's the man just came in here to,243.879,3.08,245.419,0.0,0.0,0.4
make the phone call phone call yeah big,244.84,4.479,247.0795,0.296,0.0,0.6
for of trench code black hair oh him he,246.959,3.681,248.7995,0.0,-0.16666666666666666,0.4
just walked in the front door and went,249.319,3.681,251.1595,0.0,0.0,0.2
back Lieutenant back,268.08,3.64,269.9,0.0,0.0,0.5
Lieutenant,274.16,4.52,276.42,0.0,0.0,0.4
Banks yeah I'm going a shooting on West,275.84,5.48,278.58,0.296,0.0,-0.7
63rd he just came in over the radio what,278.68,4.6,280.98,0.0,0.0,0.4
are you doing there I saw the whole,281.32,3.84,283.24,0.0,0.2,-0.7
thing big fell shot a little fell and I,283.28,4.639,285.5995,0.0,-0.09375,0.2
pull a gun on him in the best tradition,285.16,4.52,287.42,0.4215,1.0,0.4
he Flash the bad he was Lieutenant hon,287.919,3.481,289.6595,-0.5423,-0.6999999999999998,0.3
21th Precinct little fellow was Tony,289.68,4.0,291.68,0.0,-0.1875,0.6
Rogers and he just killed the cop I,291.4,3.48,293.14,-0.6705,-0.2,-0.8
searched the dead guy he was carrying,293.68,3.44,295.40000000000003,-0.6486,-0.2,-0.7
