text,start,duration,time_midpoint
anybody at home,107.06,3.05,108.58500000000001
mr. Penton yes could I speak to you from,325.78,4.96,328.26
loving please is the business matter,328.76,4.89,331.205
well it's rather urgent oh all right,330.74,10.23,335.855
come in Thanks oh yeah that's it sure,333.65,9.09,338.195
dad Thanks,340.97,5.58,343.76000000000005
I don't think I know you I know we,342.74,4.98,345.23
haven't met officially but you must have,346.55,3.21,348.15500000000003
noticed me quite a lot recently but,347.72,5.52,350.48
hello we're on the mantelpiece I've been,349.76,5.7,352.61
there for some time now I was there,353.24,3.54,355.01
watching you every time you came to make,355.46,3.18,357.04999999999995
up to my wife in fact I should have,356.78,2.73,358.145
thought that any man with a touch of,358.64,2.4,359.84
finer feeling would have turned me to,359.51,2.76,360.89
the wall or at least covered me with,361.04,1.77,361.925
you're lee Wallen that's right I thought,362.81,7.65,366.635
that you were in America Vivian had a,368.12,3.48,369.86
cable from yesterday,370.46,3.18,372.04999999999995
what will these husband's do next I,371.6,4.38,373.79
suppose we didn't tell Joe that we'd,373.64,4.83,376.055
been mean what well that's we'd be not,375.98,5.1,378.53000000000003
together very nicely put I didn't mind,378.47,4.02,380.48
the going out is the staying in the die,381.08,3.51,382.835
objected to I don't know what you mean,382.49,5.16,385.07
no Joe no I better tell you I've been,384.59,5.13,387.155
away for eight months during my absence,387.65,3.45,389.375
my wife is be spending a lot of time,389.72,3.33,391.38500000000005
with you now I want to know where I,391.1,2.46,392.33000000000004
and what sounds Vivian that I will of,393.56,5.79,396.455
course depends I want to know what,395.99,5.61,398.795
you're offering offering yes you want to,399.35,4.02,401.36
marry huh how can i when should matter,401.6,3.42,403.31
to you how that is such a thing is,403.37,5.37,406.055
divorce I see you don't like the sound,405.02,6.149,408.0945
of that very much well frankly no how do,408.74,3.51,410.495
you mean to say the divine took a sock,411.169,2.25,412.294
at you now and saw my solicitor in the,412.25,2.58,413.54
morning it wouldn't exactly enhance your,413.419,5.041,415.9395
career with it it isn't that so much,414.83,5.43,417.54499999999996
it's just that I'm not sure that live in,418.46,3.36,420.14
move on to marry me that's all it's,420.26,3.63,422.075
anywhere it doesn't get it anywhere does,421.82,5.54,424.59
it well what you suggest we do about it,423.89,7.23,427.505
how tell you tomorrow well you can go,427.36,5.89,430.305
away take a long holiday I can't do that,431.12,4.83,433.535
not right away why not visit me I'm not,433.25,4.04,435.27
busy enough apparently,435.95,3.51,437.705
what you do for a living I have a,437.29,4.24,439.41
barrister no then your own master you,439.46,3.209,441.06449999999995
can spin a yarn about your health or,441.53,3.09,443.075
something all right I should be able to,442.669,4.681,445.0095
fix it somehow I think you can you can,444.62,3.66,446.45
write a letter to Vivian,447.35,2.4,448.55
finishing the affair once and for all,448.28,5.33,450.945
but I'd like you to do it now please,449.75,3.86,451.68
wait will compels it together how do you,461.31,5.27,463.945
usually address our big India,464.61,6.35,467.785
Vivian darling I love you,466.58,9.91,471.53499999999997
you got that yes I realize look whatever,470.96,8.89,475.405
your feelings are for me now you love,476.49,12.5,482.74
your husband and always will better go I,479.85,13.89,486.795
cannot bear to be near you and to know,488.99,9.61,493.795
that you can never be nice and if what,493.74,8.43,497.955
I'm about to do may seem cowardly to,498.6,6.93,502.065
your Karva your tip you're running away,502.17,6.23,505.285
without seeing Oh,505.53,2.87,506.965
cowardly to go it is the only way out so,509.9,11.89,515.845
tomorrow I'm going away on an extended,517.8,9.96,522.78
trip abroad when I return I hope that,521.79,7.02,525.3
you will again be happy with your,527.76,6.87,531.1949999999999
husband and our friendship that are,528.81,11.31,534.4649999999999
happy a memory of the past love again,534.63,8.27,538.765
what have you usually put now always,540.12,4.73,542.485
that's right,542.9,7.35,546.5749999999999
love always how does that strike you I,544.85,7.45,548.575
think I see what you're getting at one,550.25,4.12,552.31
you want all traces of our position out,552.3,3.48,554.04
of the way so that you two can try to,554.37,4.41,556.575
get together again exactly do you have,555.78,5.07,558.3149999999999
any understanding Clinton now the,558.78,3.69,560.625
circumstances I could almost like you,560.85,2.48,562.09
what about a drink that I should like,563.33,7.29,566.975
one whiskey please,565.83,7.74,569.7
what's your American trip successful did,570.62,8.29,574.765
it Sara please you wouldn't care to,573.57,7.65,577.3950000000001
settle the I suppose no naira tell ya,578.91,3.3,580.56
may I now of course hmm I don't think we,585.36,10.77,590.745
could improve on they're still sorry,594.029,3.93,595.994
Fenton that's all right I'll fix wala,596.13,2.97,597.615
that's not the drink I'm worried about,597.959,3.961,599.9395
fidelity statue it they'll be able to,599.1,5.07,601.635
send their fed you have to write another,601.92,4.05,603.9449999999999
well I don't care what a newcomers tell,604.17,2.609,605.4744999999999
us about this letter,605.97,4.82,608.38
hey there sorry to be such a nuisance,606.779,7.221,610.3895
could a girl who is she my sister why I,616.49,6.55,619.765
just wondered your shirt is not somebody,620.279,4.831,622.6945
else's wife I don't think it's very,623.04,2.7,624.39
yeah that's not hello,625.74,15.95,633.715
oh honey now heard I'm alright,636.089,10.25,641.214
yes yes of course but not tonight,641.69,11.17,647.2750000000001
metric I'm just getting out yes yes good,646.339,13.541,653.1095
night your sister no your wife I don't,652.86,8.789,657.2545
mean that's very funny either she wanted,659.88,3.079,661.4195
bring some friends they let her drink,661.649,4.981,664.1395
but a sharpshooter haired you'd better,662.959,6.211,666.0645
finish the letter,666.63,2.54,667.9
stop that's enough what's your hands,679.69,3.9,681.6400000000001
behind your back okay I told you I'd,681.91,4.19,684.005
blow your guts out,683.59,2.51,684.845
well the basis will paint it's just joke,686.43,10.18,691.52
joke no if you can run yeah well I got,690.27,7.06,693.8
on that server,696.61,2.49,697.855
what do pee fifteen seconds to get under,697.33,14.82,704.74
that server put your feet up I suppose,699.1,14.13,706.1650000000001
you realize you're laying yourself open,712.15,3.3,713.8
to a charge of criminal assault no and,713.23,3.11,714.785
I'm not interested,715.45,5.46,718.1800000000001
hey now perhaps we'll be good enough to,716.34,5.98,719.33
explain or quite extraordinary behavior,720.91,5.58,723.6999999999999
certainly that's why I came here did you,722.32,6.36,725.5
and Vivian often talk about me not often,726.49,4.35,728.665
no I don't suppose you would I'm at a,728.68,3.36,730.3599999999999
job if I didn't be very much to you but,730.84,3.03,732.355
it meant a great deal to me you probably,732.04,3.54,733.81
wouldn't believe this but I can remember,733.87,3.63,735.6850000000001
exactly I mean detail of every minute of,735.58,4.23,737.695
every day since I knew I was going to,737.5,4.8,739.9
America and have to leave her I can,739.81,3.81,741.7149999999999
remember exactly how she looked when I,742.3,3.45,744.025
told her she was wearing on your,743.62,4.86,746.05
breakfast didn't stay but a match until,745.75,4.83,748.165
it started the dinner the way can be,748.48,6.0,751.48
done then I said Vivian Thurlow to get,750.58,5.58,753.37
if they want to put open a couple of,756.16,2.61,757.4649999999999
deals and make arrangements with New,757.42,5.07,759.9549999999999
York office well you'll go No why not I,758.77,6.18,761.86
say I can take you with me but Lee,762.49,4.74,764.86
shorty okay do you want me to go without,764.95,2.85,766.375
side down but if it's your job oh I get,767.8,7.14,771.37
it you're not so ridiculously jealous,772.69,4.04,774.71
that you're still thinking about Paul,774.94,4.83,777.355
nothing ridiculous worth it I promised I,776.73,4.99,779.225
wouldn't see him again,779.77,5.11,782.3249999999999
there's only stupid collabs sure you can,781.72,5.08,784.26
forget that now,784.88,4.139,786.9495
describe means promotion nothing then,786.8,5.64,789.62
there may be a fool not to take it karna,789.019,5.521,791.7795
will you be away about five or six,792.44,5.519,795.1995000000001
months that's not very long I write you,794.54,4.0,796.54
get all the guessing you,802.7,4.25,804.825
I knew everything was alright that it,816.92,5.08,819.4599999999999
really custard round,819.5,5.37,822.185
stage lasted exactly,822.0,2.87,823.435
near the mail mr. Warren oh thanks,827.86,6.69,831.205
and in this funny video,853.62,7.48,857.36
you still take a cable in you mrs.,884.85,6.27,887.985
thanks for long letter stop and mailing,891.12,5.62,893.93
your bottle of ink and fountain pen stop,895.06,2.76,896.4399999999999
please use them,896.74,3.78,898.63
stop looking forward to seeing you,897.82,8.31,901.975
fondest love D right away sir in the end,900.52,6.96,904.0
I couldn't stand it any longer,906.13,2.94,907.6
so I put in a transatlantic telephone,907.48,4.14,909.5500000000001
call all one weekend I tramped down down,909.07,4.89,911.5150000000001
the office waiting for it come true but,911.62,4.67,913.955
Vivian is that you do not happen to have,925.15,7.29,928.795
