text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
three three discharge over,132.4,5.16,134.98000000000002,0.0,0.0,0.2,0.17325069983879757,-0.038794355786200774,0.12664995761038933
there Jarvis yes Miss Willam yes Miss,142.879,8.881,147.3195,0.4939,0.0,0.2,0.1770776644592105,-0.03590629429449647,0.14640722198069828
three porn tickets at 167 remember this,154.76,4.96,157.23999999999998,0.0,0.0,0.4,0.17947711933767985,-0.033941567679515956,0.1587984212023796
from when I arrived here this is where,157.44,4.519,159.6995,0.0,0.0,0.7,0.17998094715045446,-0.03350252160318606,0.1614176028319185
they took all my own things away this is,159.72,4.599,162.0195,0.0,0.6,-0.5,0.18042354811287362,-0.033105617280850645,0.16372953817878022
where we get them back again we hope,161.959,4.401,164.1595,0.4404,0.0,0.4,0.18080391065108714,-0.032754241291618975,0.16572803001042974
plenty of time yet you'll be discharged,164.319,5.2,166.91899999999998,0.0,0.0,-0.7,0.18125516596262262,-0.032321863315618045,0.16811886963482187
at 8:00 not one moment before not one,166.36,6.519,169.61950000000002,0.0,0.0,0.4,0.18165435237884353,-0.031921144556126685,0.17025982131536055
second after yes Miss one dress one,169.519,5.881,172.4595,0.2732,0.0,0.2,0.18202929545821125,-0.03152343835754319,0.17230423758689253
under do wish you'd eaten something,172.879,6.36,176.059,0.4019,0.0,0.3,0.1824390788885415,-0.03105396755424468,0.17459836395388129
Monica so cold not even a cup of tea,175.4,6.6,178.70000000000002,0.0,-0.6,-0.7,0.18269368353682006,-0.030733870397715364,0.17607611358022843
rather weat I can get a real,179.239,5.28,181.879,0.0,0.2,-0.7,0.18294898954542602,-0.0303756352544858,0.177630881396525
breakfast I feel like the dogs dinner,182.0,5.72,184.86,0.3612,0.0,0.4,0.18313811569813956,-0.030066321607565404,0.17887265199154362
really are do don't look too bad you f a,184.519,6.28,187.659,0.431,-0.2499999999999999,0.7,0.1832718487370151,-0.02979910565407002,0.17985370272087067
dogs dear it's me we're talking about,187.72,4.239,189.8395,0.3818,0.0,-0.7,0.18334687214062237,-0.02960637865303099,0.18049717391002926
dogs it's important how I look,191.959,7.401,195.6595,0.2023,0.4,0.3,0.18342363624694694,-0.029157390310873554,0.18171586030826414
today I'm going to get married married,194.959,9.241,199.5795,0.0,0.25,0.8,0.1833755006535733,-0.028907900257900625,0.18214506463759003
you yes me and why not he wrote and said,199.36,7.159,202.9395,0.4019,0.0,0.3,0.18327127419193007,-0.028727446785185608,0.18227429551529467
he'd wait if it was six years instead of,204.2,3.48,205.94,0.0,0.0,0.4,0.1831296806913986,-0.02859204431733403,0.18221098980847067
months and he yes now you've got to,207.68,5.04,210.2,0.4019,0.0,0.4,0.18285103966844163,-0.028441004256821716,0.18184403260797816
check these lists you get back,210.72,3.879,212.6595,0.0,0.0,0.2,0.182649195862114,-0.028375560337491536,0.18149025710790032
everything you had when you came in you,212.72,4.159,214.7995,0.0,0.0,0.2,0.18244944172225652,-0.028331438321155117,0.18110124893109877
quam on hat on coat one dress One,222.879,5.64,225.699,0.0,0.0,0.2,0.1810904627733403,-0.028288330985563714,0.178031780273151
Tone one pair of shoes one pair of,228.519,6.521,231.7795,0.0,0.0,0.2,0.18009031409213425,-0.028393081272996775,0.17560432879625992
stockings are you really getting yes I,231.319,5.081,233.8595,0.4549,0.2,0.6,0.17970940353996745,-0.028449574308603003,0.17466875158590553
hope you'll be very,235.04,4.64,237.36,0.4404,0.2,0.7,0.17902443093140807,-0.02856806345467406,0.1729818678639217
happy I'll tell you something else too,236.4,4.8,238.8,0.5719,0.8,0.8,0.17872681161345758,-0.028625254543057484,0.17224891856791275
he's meeting me,239.68,3.639,241.4995,0.0,0.0,0.5,0.17814426020535748,-0.028745602063898302,0.170816871112323
outside I bet he's waiting for me,241.2,3.72,243.06,0.0,0.0,0.7,0.17779297690552906,-0.028822924569348013,0.16995597782999383
outside right,243.319,5.961,246.2995,0.0,0.1428571428571428,0.5,0.17703011531752874,-0.029001391310288376,0.16809591981955277
now you got a boy waiting for you no,244.92,6.92,248.38,-0.296,0.0,0.6,0.17651648974430634,-0.029128663669771116,0.16685235763147133
please and let this be the last time,252.799,4.44,255.019,0.3182,0.0,0.2,0.17475570714473443,-0.029599889404622545,0.1626543529760232
granny we like you here but not as a,254.959,7.881,258.8995,0.1901,0.0,-0.7,0.1736422568010889,-0.029920404072684974,0.16005827353509136
permanent border I'll try I always do,257.239,5.601,260.0395,0.0,0.0,0.3,0.17330354298773581,-0.030020778643546027,0.15927819807547405
try next to,263.72,3.479,265.45950000000005,0.0,0.0,0.2,0.1716222065153884,-0.0305360166381259,0.1554754552408935
one skirt one blouse one jacket one pair,273.32,5.879,276.2595,0.0,0.0,0.4,0.1679317757748817,-0.03174516940745499,0.147551265550447
of shoes one pair of stockings one,276.24,5.239,278.8595,0.0,0.0,0.2,0.1669777212648352,-0.03207151213681085,0.14559967179913477
handbag here's a,279.199,5.961,282.1795,0.0,0.0,0.2,0.16572347081414304,-0.032507590321305534,0.14309541495619843
