text,start,duration,time_midpoint,vader,textblob,llama3
so am I so is the whole Council where's,114.92,5.199,117.5195,0.0,0.2,-0.7
the council room I won't talk cousin,117.72,5.64,120.54,0.0,0.0,0.2
beetro cousin Bureau they're in a,120.119,5.901,123.0695,0.0,0.0,0.2
meeting keep quiet,123.36,2.66,124.69,0.0,0.0,-0.7
this is my cousin the mayor of claiming,129.3,3.439,131.01950000000002,0.0,0.0,0.4
I'm sorry Uncle Miss Manny trying,131.22,5.12,133.78,-0.2263,-0.5,-0.8
terrible things have happened,132.739,3.601,134.5395,-0.4767,-1.0,0.4
the postmaster was hanged the chief of,147.5,5.379,150.1895,0.0,0.0,-0.7
police was left over 200 lashes I I was,150.12,4.74,152.49,0.0,0.0,-0.7
sentenced to the firing squad luckily my,152.879,3.301,154.52949999999998,0.2023,0.3333333333333333,-0.7
own phone made the rifles and they blew,154.86,3.3,156.51000000000002,0.0,0.6,-0.7
up High escape I need a fresh horse I,156.18,3.419,157.8895,0.4588,0.22999999999999998,0.6
must be off at once a fresh horse for,158.16,3.06,159.69,0.3182,0.3,0.2
our cousins sit down sit down but I must,159.599,4.081,161.6395,0.0,-0.15555555555555559,0.4
go even now he may be here in your midst,161.22,3.659,163.0495,0.0,0.0,0.7
speak up man who,164.879,5.22,167.489,0.0,0.0,0.5
the Inspector General yes he has full,166.98,4.74,169.35,0.4019,0.2,0.3
power from the emperor himself,170.099,3.121,171.65949999999998,0.0,0.0,0.8
and wherever he finds bribery and,171.72,2.7,173.07,0.0,0.0,-0.7
Corruption they're The Gallows in the,173.22,4.26,175.35,0.0,0.0,-0.7
firing squad go to work more,174.42,4.86,176.85,-0.34,0.5,0.6
what does he look like this Inspector,177.48,3.78,179.36999999999998,0.3612,0.0,0.2
General who knows I'm out of mystery,179.28,3.78,181.17,0.0,0.05000000000000002,0.2
five days he was in our midst and no one,181.26,3.72,183.12,-0.296,0.0,-0.7
even suspected he went everywhere saw,183.06,3.539,184.8295,-0.2263,0.0,0.2
everything and uncovered such corruption,184.98,3.899,186.9295,0.0,0.0,-0.7
