text,start,duration,time_midpoint
"This movie has German, Italian & Spanish dubbed audio options 
👉 go to settings ⚙️, and select from the drop down menu",0.001,9.999,5.000500000000001
"'Five years after the end
of the Civil War,",81.208,2.992,82.704
"'a thousand-mile cattle trail stretched
from the plains of Texas",84.333,3.948,86.307
'to the railroad depots in Kansas.,88.417,2.491,89.66250000000001
'For 90 gruelling days,91.042,2.582,92.333
"'through dust, heat,
flies, loneliness,",93.75,3.197,95.3485
"'cowboys pushed Texas cattle
northward along the Abilene Trail",97.083,4.118,99.142
"'at an average speed
of three-quarters of a mile an hour",101.333,3.743,103.2045
"'toward Abilene, Kansas,",105.208,2.207,106.3115
"'where raw-bred southern beef
could be turned into hard eastern cash.",107.542,5.495,110.2895
"'Abilene was the end of the trail,",113.167,2.833,114.5835
"'the end of the trail hand's
thousand-mile, 90-day-long boredom.'",116.125,5.745,118.9975
"What kind of a town is this?
Not a saloon on that side of the street.",139.0,3.492,140.746
"Just wasted. Nothing but stores.
Come on!",142.625,2.992,144.121
... Thy love possessing,150.417,2.707,151.7705
Triumph in redeeming grace,153.25,5.54,156.02
O refresh us,158.917,5.12,161.477
Travelling through this wilderness,164.167,5.495,166.9145
Thanks we give and adoration,169.792,5.165,172.3745
For Thy Gospel's joyful sound...,175.083,4.619,177.39249999999998
May the fruits of Thy salvation...,181.542,3.322,183.203
In our hearts and lives...,186.125,1.865,187.0575
Excuse me.,188.125,1.831,189.0405
Ever faithful,191.0,5.95,193.975
To the truth may we be found...,197.083,7.202,200.684
"Oh, I hate the wind
that howls across the prairie...",208.125,4.619,210.4345
"I hate to hear
the coyote's nightly song...",214.0,2.787,215.3935
"I hate the sound of six-guns
that they carry",218.042,2.992,219.538
"It's much too hot in summertime,
it's much too cold in winter",221.167,3.822,223.078
"But listen, mister,
please don't get me wrong",225.125,3.447,226.8485
I love it out here in the West,228.708,3.788,230.602
"Because the West is best
for lovin'...",232.625,2.958,234.104
"When the stars are shinin'
and the moon is gold",236.833,3.072,238.369
"You'll find me out
with my Romeo...",240.042,3.037,241.5605
Back East I was always repressed,244.333,3.037,245.8515
That's why I love it out in the West,247.5,3.367,249.1835
I love it out here in the West,251.0,3.413,252.7065
Because the life is free and easy,254.542,3.697,256.3905
"You can do most anything
you doggone please",258.375,3.948,260.349
There's room to stretch...,262.458,2.082,263.499
"Sorry, Rita.",264.667,1.49,265.412
"Why aren't you in church
with the storekeepers?",266.292,2.616,267.59999999999997
"I was.
Do you see that sign there, mister?",269.042,3.572,270.828
We've only got two little laws here.,273.667,2.286,274.80999999999995
"Don't break 'em, friend.",276.083,1.991,277.0785
"Her singing sounds better
if you don't shoot at it.",278.208,2.992,279.704
"I hate the ever-lasting smell
of cattle",285.333,3.913,287.28950000000003
"I hate the flies
that buzz around my head",289.375,3.868,291.309
"I hate the sound of rattlers
when they rattle",293.375,4.118,295.434
"But listen, mister,
please don't be misled",301.25,3.242,302.871
I love it out here in the West,304.625,3.242,306.246
Because the life is free and easy,308.0,3.367,309.6835
"You can do most anything
you doggone please",311.5,3.993,313.4965
"There's room to stretch
and there's room to breathe",315.625,3.788,317.519
I'm just brimmin' over with zest,319.542,2.912,320.998
Because I love it out in the West...,322.583,3.913,324.53950000000003
It's a wonder Rita didn't slug you.,345.292,2.082,346.33299999999997
"She works too hard
at being mean, Charlie.",347.5,2.366,348.683
Real meanness comes natural.,351.125,1.865,352.0575
"I guess he got past my boys
without being seen.",360.917,3.072,362.453
It's gettin' to be a habit. Watch it.,364.125,1.991,365.1205
"- You aren't thinking of closing me up?
- I wouldn't want to.",366.25,3.072,367.786
"The merchants across the street
wouldn't let you.",369.458,2.742,370.829
"No saloons, no trail herds. No trail herds
and the merchants starve to death.",372.333,4.994,374.83000000000004
"Right as rain, Charlie.",378.458,1.831,379.37350000000004
Then what do you want?,380.417,1.865,381.3495
"Because if it's Rita,
maybe I can fix it up for you.",382.417,3.288,384.061
This is private.,391.958,1.991,392.9535
I'll just put that on the bill.,394.083,2.787,395.47650000000004
Anything else?,397.0,1.49,397.745
"There's nothing I want from you, Charlie,
except what's on those signs.",398.625,4.824,401.037
"Only ornery women can get away
with that, mister.",410.75,2.833,412.1665
"Shooting off guns
during church services.",423.292,3.072,424.828
"The other side of the street
is getting out of hand again.",426.5,3.788,428.394
What was that shootin' we heard?,435.792,1.991,436.78749999999997
"Customer at The Pride got
a little too enthusiastic. That's all.",437.917,3.492,439.66299999999995
... of the coming of the Lord,441.542,1.991,442.53749999999997
He is trampling out the vintage,443.667,2.958,445.14599999999996
Where the grapes of wrath are stored,446.75,3.163,448.3315
He hath loosed the fateful lightning,450.042,2.992,451.53799999999995
Of His terrible swift sword,453.167,3.913,455.1235
His truth is marching...,457.208,1.956,458.18600000000004
They carry their church with them.,459.292,2.207,460.39549999999997
"- Been lookin' for you, Balder.
- Hello, Mr Ryker.",463.375,2.616,464.683
Welcome back to Abilene. Nice trip north?,466.125,2.286,467.268
"Not bad. Here's a list of the stuff
we'll need in the morning.",468.542,3.993,470.5385
"I feel bad to make you work on Sunday,",472.667,2.082,473.70799999999997
"but as you're doing it for me and you've
said your prayers, you may be forgiven.",474.875,4.573,477.1615
The Lord is very understanding.,479.583,3.322,481.244
"My boys are in for a fling
at the honeypots.",483.042,2.332,484.20799999999997
"It may be a little rough,
but it's all in fun.",485.5,2.457,486.7285
"The town's open, Cap.",488.083,1.536,488.851
"The Marshal's got nothing to do.
Maybe he'll give you a hand with my stuff.",490.667,4.289,492.81149999999997
"They have builded Him an altar
in the...",496.708,3.663,498.53950000000003
"You homesteaders got no place
in town here.",500.5,3.037,502.0185
"And stay off that trail,
a long way off of it!",503.667,3.322,505.328
"This is cattle country
and it's gonna stay cattle country!",507.125,3.413,508.8315
"- Come on, Sherry. I need help on this.
- All right, Father.",512.583,3.288,514.227
"Go after it, Jip!",517.667,1.831,518.5825
This is one of my men.,531.125,1.831,532.0405
"- He went for his gun first.
- The deal was crooked.",533.083,2.491,534.3285
"I wouldn't wrestle with these dogs.
I got one more bullet left.",535.708,3.663,537.5395
We'll take care of you right now. Boys!,539.5,2.036,540.518
"You wouldn't be happy buried 1, 000 miles
from home. Walk out ahead of me.",543.75,3.948,545.724
"- That man's a murderer!
- Why has your boy got a gun in his hand?",547.833,3.413,549.5395
"Get going, George.",560.083,1.865,561.0155
"Where's the music? Hit the bar, boys.
Everything's on the house!",563.0,4.323,565.1615
"You bought chips, Marshal.
In a couple of weeks, we'll be back.",571.958,3.663,573.7895
"You be here
because there'll be no guns checkin'.",575.75,2.833,577.1665
"We'll tear
this crooked, cheatin' town apart",578.708,2.491,579.9535
"and spread the pieces
from here to the Texas border!",581.333,2.867,582.7665
"I'll be here, Ryker.",585.25,1.991,586.2455
"Break it up, boys. The show's over.",588.25,2.207,589.3535
"Go on over to the jail
and lock yourself up.",595.792,2.366,596.975
"I'll be over to let you out
when Ryker leaves town.",598.292,2.992,599.788
"What are you after, Dan? Why don't you
let this town shoot it out and die?",602.792,5.324,605.4540000000001
There are people in it.,608.25,1.831,609.1655
"What kind? You think anybody
in this town has any solution for it?",610.208,4.039,612.2275
Maybe not.,614.375,1.49,615.12
"That's the weakness of an honest marshal.
You got too doggone much pride.",616.0,4.994,618.497
"The odds are wrong, Dan, unless
you've got a whole card up your sleeve.",622.667,4.619,624.9765
"The only friends you've got
are on the wrong side of the street.",629.292,3.948,631.2660000000001
You stay here in town.,644.792,1.991,645.7875
"''We'll tear this town apart,'' he says.",662.625,2.161,663.7055
"Our only chance is
to keep Ryker satisfied.",664.917,2.412,666.123
"Ryker's no cowhand
to be slugged with a gun.",667.458,2.412,668.664
"We want a marshal to keep us in good
with Ryker, not a killer.",670.0,3.072,671.536
Mitchell's got to get off his high horse.,673.208,2.366,674.391
"Need any help, Ed? Remember,
Ryker suggested I give you a hand.",676.583,3.948,678.557
"- I guess I'd better be gettin' along.
- Me, too.",682.167,2.992,683.663
"You had to knock out the brains of the
most influential cattleman on the trail!",687.208,4.699,689.5575
He's the only one that bothered me.,692.042,1.956,693.02
"Should Dan have let him kill a man
in cold blood?",694.125,2.537,695.3935
Cap Ryker was just shootin' off his mouth.,696.792,2.286,697.9350000000001
"You've overlooked
that pretty little star.",699.208,2.537,700.4765
"- Who put it there?
- You did.",701.875,1.786,702.768
"With instructions
to keep this town peaceful",703.792,2.491,705.0375
and not let trail hands get out of hand.,706.417,2.116,707.475
I didn't tell him to drive business away.,708.667,2.207,709.7705000000001
"What chance would we have if Fair and
Ryker got along without any merchants?",711.0,3.993,712.9965
"All this trouble
over one no-count gambler.",715.125,2.491,716.3705
"If there's any killing, Dan just sees
to it it's done pleasantly? Is that it?",717.75,4.243,719.8715
