text,start,duration,time_midpoint,vader,textblob,llama3
he gave his love and he fought for his,49.98,8.94,54.45,0.4404,0.5,0.6
land wouldn't you wanna do like Jim,54.539,6.141,57.6095,0.3612,0.0,0.8
as a friend they liked him straight from,60.68,6.36,63.86,0.7845,0.4,0.4
all the way down to the Alamo,67.08,5.78,69.97,0.0,-0.15555555555555559,0.7
the end my friend you know the real,72.92,10.36,78.1,0.4939,0.2,0.6
in the 1830s that part of the young,96.9,4.74,99.27,0.0,0.1,0.2
Mexican Republic north of the Rio Grande,99.42,5.339,102.0895,0.0,0.0,0.4
an area of more than 300 000 square,101.64,6.54,104.91,0.0,0.5,0.4
miles was a province known as Texas an,104.759,6.121,107.8195,0.0,0.0,0.2
almost Limitless land populated by,108.18,4.68,110.52,0.0,0.0,0.8
tribes of Native Indians and a,110.88,4.199,112.9795,0.0,0.0,0.4
scattering of Mexican citizens,112.86,4.56,115.14,0.0,0.0,-0.7
from the north and east had come others,115.079,4.981,117.5695,0.0,0.0,0.4
settlers who took up lands granted them,117.42,4.8,119.82,0.25,0.0,0.2
by The Mexican government in an effort,120.06,3.96,122.04,0.0,0.0,0.6
to speed the development of the new,122.22,2.999,123.7195,0.0,0.13636363636363635,0.6
but like to all new people in a new raw,125.219,6.861,128.6495,0.5023,0.013986013986013976,0.4
land problems arose,128.22,3.86,130.15,-0.4019,0.0,-0.7
guys again are you done in any,225.56,5.56,228.34,0.0,0.0,0.2
satisfactions it's foolishness I can,228.36,4.439,230.5795,0.0772,0.0,-0.8
and your fools if you think you can take,231.12,3.539,232.8895,-0.4939,0.0,0.2
the law into your own hands if you're,232.799,4.621,235.1095,0.0,0.6,-0.7
scared say so but don't call us fools,234.659,4.44,236.879,0.3595,0.0,-0.7
wait till we know what we're doing,239.099,3.72,240.959,0.0,0.0,-0.7
let's have reason we,241.2,4.08,243.24,0.0,0.0,0.4
it's guaranteed to us by who by that,242.819,3.84,244.739,0.0,0.0,-0.7
double cross and Mexican president,245.28,2.519,246.5395,0.0,0.0,0.3
I'm getting Mighty sick of losing,247.799,2.761,249.1795,-0.7096,-0.15714285714285714,-0.7
neighbors in the dead of night and the,249.42,2.399,250.6195,-0.6486,-0.2,-0.7
next thing you know they're stuck in,250.56,3.42,252.27,-0.25,0.0,-0.7
some stick in Mexican jail,251.819,4.621,254.1295,0.0,-0.05,-0.7
better lower our voices Mexicans got,253.98,5.42,256.69,0.1779,0.5,-0.7
listeners all around us,256.44,2.96,257.92,0.0,0.0,-0.7
they've arrested Mr Travis take him over,267.86,3.52,269.62,-0.4767,0.0,0.6
to the military Commander's Place seven,270.0,3.96,271.98,0.0,-0.1,0.4
cavalrymen or see I've been telling you,271.38,5.34,274.05,0.0,0.0,0.4
you're full I told you not to call us,273.96,5.299,276.6095,0.0,0.35,-0.7
fools anymore,276.72,2.539,277.9895,-0.4939,0.0,-0.7
I'd like you to let him be for a moment,279.78,5.04,282.29999999999995,0.3612,0.0,0.5
seems to me man has a right to say what,282.0,4.62,284.31,0.0,0.2857142857142857,0.45
like to hear more who are you,286.62,6.38,289.81,0.3612,0.5,0.5
I'm Jim Bowie,289.8,3.2,291.40000000000003,0.0,0.0,0.7
thank you sir,297.479,4.081,299.5195,0.3612,0.0,0.4
if a man makes a living selling,299.82,3.9,301.77,0.0,0.0,0.3
perfectly legitimate merchandise they,301.56,3.84,303.48,0.6369,1.0,0.7
think he's a traitor,303.72,3.9,305.67,0.0,0.0,-0.7
I won't listen to cents,305.4,5.7,308.25,0.0,0.0,-0.8
I'm a businessman therefore suspect of,307.62,5.639,310.4395,-0.296,0.0,-0.7
I'll say good day,313.259,4.88,315.699,0.4404,0.7,0.7
thank you again,315.419,2.72,316.779,0.3612,0.0,0.8
I'm Jeb Lacy how are you,329.46,5.4,332.16,0.0,0.0,0.3
I I'd like to say it's a pleasure to,332.82,3.18,334.41,0.7351,0.0,0.4
meet you sir,334.86,3.96,336.84000000000003,0.0,0.0,0.4
um perhaps I can tell you anything you'd,338.82,3.719,340.6795,0.0,0.0,0.6
like to know,340.68,4.019,342.6895,0.3612,0.0,0.2
all right tell me,342.539,4.681,344.8795,0.0,0.2857142857142857,0.5
well what's going on why there's nobody,347.22,4.259,349.34950000000003,0.2732,0.0,-0.7
on the street the place is locked up,349.8,4.56,352.08,0.0,0.0,-0.7
tight everybody in here one mind well I,351.479,4.141,353.5495,0.2732,-0.17857142857142858,0.5
don't understand everything it's about,354.36,3.42,356.07,0.0,0.0,-0.7
sir but our people need a better deal,355.62,3.78,357.51,0.5927,0.5,-0.7
from the Mexicans they've been treating,357.78,3.84,359.7,0.0,0.0,-0.7
us like we had no rights at all Mr,359.4,4.079,361.4395,0.0772,0.0,-0.7
William Travis he's a lawyer from South,361.62,3.72,363.48,0.0,0.0,0.2
Carolina will bright knows the law good,363.479,3.78,365.369,0.7003,0.7,0.6
well Mr Chavez been kind of our,365.34,3.06,366.87,0.2732,0.6,0.2
