text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
so am I so is the whole Council where's,114.92,5.199,117.5195,0.0,0.2,-0.7,-0.19650574483420327,-0.13060572130934575,-0.190673398325571
the council room I won't talk cousin,117.72,5.64,120.54,0.0,0.0,0.2,-0.2004855988398589,-0.13032880353364185,-0.19583266750760714
beetro cousin Bureau they're in a,120.119,5.901,123.0695,0.0,0.0,0.2,-0.20370355972794826,-0.1300745822503272,-0.19998846825648953
meeting keep quiet,123.36,2.66,124.69,0.0,0.0,-0.7,-0.20571058587368599,-0.12990113012771531,-0.2025726251752842
this is my cousin the mayor of claiming,129.3,3.439,131.01950000000002,0.0,0.0,0.4,-0.21314763205469697,-0.1291455557169489,-0.21208877477524116
I'm sorry Uncle Miss Manny trying,131.22,5.12,133.78,-0.2263,-0.5,-0.8,-0.21619358147422396,-0.12877766145061245,-0.21595525276757307
terrible things have happened,132.739,3.601,134.5395,-0.4767,-0.7268015660757521,0.4,-0.21701085733089345,-0.12867241141264002,-0.21698920040313735
the postmaster was hanged the chief of,147.5,5.379,150.1895,0.0,0.0,-0.7,-0.23191156749787684,-0.12612703777596684,-0.23550211561516537
police was left over 200 lashes I I was,150.12,4.74,152.49,0.0,0.0,-0.7,-0.2337985418241558,-0.12569397268213273,-0.23778611681672146
sentenced to the firing squad luckily my,152.879,3.301,154.52949999999998,0.2023,0.3333333333333333,-0.7,-0.23540835904620386,-0.125297794582744,-0.23971991866732242
own phone made the rifles and they blew,154.86,3.3,156.51000000000002,0.0,0.6,-0.7,-0.2369154301467031,-0.12490217067012115,-0.24151662170255606
up High escape I need a fresh horse I,156.18,3.419,157.8895,0.4588,0.2299999999999999,0.6,-0.2379327390798754,-0.12462030630316662,-0.24272122922782766
must be off at once a fresh horse for,158.16,3.06,159.69,0.3182,0.3,0.2,-0.2392207825510002,-0.12424470795607827,-0.24423601132341533
our cousins sit down sit down but I must,159.599,4.081,161.6395,0.0,-0.1555555555555555,0.4,-0.24056510252290197,-0.12382825837131113,-0.2458033591996053
go even now he may be here in your midst,161.22,3.659,163.0495,0.0,0.0,0.7,-0.24150506711899988,-0.12352077894980508,-0.24689016798634586
speak up man who,164.879,5.22,167.489,0.0,0.0,0.5,-0.2442896115561955,-0.12251867704139664,-0.2500585888415877
the Inspector General yes he has full,166.98,4.74,169.35,0.4019,0.2,0.3,-0.24537884839842658,-0.12208345729062624,-0.2512736764193386
power from the emperor himself,170.099,3.121,171.65949999999998,0.0,0.0,0.8,-0.24666741717376944,-0.12153108500214824,-0.25268995488993234
and wherever he finds bribery and,171.72,2.7,173.07,0.0,0.0,-0.7,-0.24742030427499867,-0.12118711153167978,-0.2535054474417495
Corruption they're The Gallows in the,173.22,4.26,175.35,0.0,0.0,-0.7,-0.2485831956085616,-0.12062059091241169,-0.2547450585038329
firing squad go to work more,174.42,4.86,176.85,-0.34,0.5,0.6,-0.2493121179127989,-0.12024086412328101,-0.2555080782052553
what does he look like this Inspector,177.48,3.78,179.36999999999998,0.3612,0.0,0.2,-0.2504728465971082,-0.11959052513913743,-0.2566970896611408
General who knows I'm out of mystery,179.28,3.78,181.17,0.0,0.05,0.2,-0.25125341976859383,-0.11911657788089931,-0.2574757868293542
five days he was in our midst and no one,181.26,3.72,183.12,-0.296,0.0,-0.7,-0.2520539207399089,-0.11859437549611937,-0.2582536786689898
even suspected he went everywhere saw,183.06,3.539,184.8295,-0.2263,0.0,0.2,-0.25271747017588914,-0.1181291575402766,-0.2588799417410922
