text,start,duration,time_midpoint
leave the cell door open that's all the,84.439,4.521,86.69949999999999
Restort let him Escape in my view it's,86.36,4.079,88.3995
all very irregular,88.96,3.56,90.74
it might entail the most embarrassing,90.439,4.761,92.81949999999999
repercussions exact certainly it's a,92.52,4.52,94.78
responsibility of the first magnitude,95.2,4.12,97.26
I'm sorry Mr Wilson but you must blast,97.04,4.48,99.28
all this discussion what good of words,99.32,4.479,101.5595
I'm sick of words hang the repercussions,101.52,4.76,103.89999999999999
and the responsibility if I fail I am,103.799,4.841,106.21950000000001
responsible leave the cell door open let,106.28,5.0,108.78
him Escape let him it's our only chance,108.64,3.839,110.5595
but you can threaten me with a bottom,111.28,3.6,113.08
pits of hell and still I insist this,112.479,4.521,114.73949999999999
obscenity must be destroyed do you hear,114.88,3.96,116.86
all passengers ready to disembark I'm,136.12,5.56,138.9
traveling for my health I am traveling,139.319,3.521,141.0795
passaportes get your passports,144.879,7.521,148.6395
ready and ready in for my,148.36,4.04,150.38000000000002
health I don't understand you business,162.8,6.76,166.18
in this country I'm joining my,166.08,5.83,168.995
husband next,169.56,7.36,173.24
pleas Stan pki you take care of himo,176.92,6.92,180.38
your business in this country seor I'm,181.84,5.759,184.7195
traveling for my health,183.84,7.56,187.62
how I am traveling for my health oh you,187.599,6.881,191.03949999999998
are a native of what country,191.4,6.08,194.44
fore Hotel naal see,236.84,4.84,239.26
yes you haven't lost him you sure you,252.64,4.36,254.82
know where he's going my wife is,255.28,3.72,257.14
following him he's gone to the,257.0,3.919,258.9595
photographers probably to get a new,259.0,5.16,261.58
passport and new,260.919,5.321,263.5795
instructions,264.16,4.36,266.34000000000003
it I wish to know the whereabouts of,266.24,5.36,268.92
France Kindler,268.52,3.08,270.06
Kindler there is no France Kindler,274.28,8.759,278.6595
France kler is dead and cremated it's a,277.199,5.84,280.119
command I have a message for friend,285.52,6.679,288.85949999999997
KRA from the all,288.52,3.679,290.35949999999997
highest it is forbidden I command you in,292.919,8.641,297.23949999999996
the name of that Authority,297.12,4.44,299.34000000000003
you you know the the name he is,310.56,16.12,318.62
Con in the United,335.36,6.88,338.8
States the town of,337.88,4.36,340.06
me Lake Arrowhead and is that place the,388.4,5.6,391.2
hotel gave me a room that was so small,391.8,3.72,393.66
every time I closed the door the knock,394.0,3.44,395.72
got in and bed with me and you know how,395.52,3.64,397.34
cold those brass door knobs are on a,397.44,6.4,400.64
winter night I had so many blankets I to,399.16,6.64,402.48
find a place to get have a nice trip you,403.84,3.88,405.78
in quite a story you have here,407.72,7.199,411.3195
Mr that's me we about everything here,411.319,4.88,413.759
the two of them,414.919,3.84,416.839
started called the manager I said hey,416.199,4.4,418.399
there's two rats fighting in this room,418.759,3.041,420.27950000000004
he said what do you want for a bucking a,420.599,3.88,422.539
quarter a bull fight about 7:00 in the,421.8,4.44,424.02000000000004
morning the house Detective knocked the,424.479,4.16,426.55899999999997
door he said is there a m in your room I,426.24,5.28,428.88
said no so he pushed one in she was a,428.639,6.761,432.0195
cute little chamber me did you ever hear,431.52,6.32,434.68
I said no she said I,435.4,4.84,437.82
just there was another in the room with,437.84,5.56,440.61999999999995
me he was when I cheed,440.24,7.12,443.8
in I could live it here B I don't assume,443.4,4.919,445.85949999999997
responsibility put it up front the Shelf,448.319,4.88,450.759
it'll be there when you want,450.4,5.639,453.2195
it I'll buy this magazine that'll be in,453.199,5.84,456.119
time mister what's the best hotel in,456.039,5.761,458.91949999999997
town best place stay down Miss P buddies,459.039,5.961,462.0195
it's just down the road here,461.8,3.2,463.40000000000003
PE said is he he,467.199,7.161,470.7795
said this way Mis yes thank,469.919,4.441,472.1395
h I may come,598.12,6.24,601.24
course does Mr Charles Rankin live,609.12,5.56,611.9
here yes he does but he isn't here right,612.24,4.68,614.58
now you expect,614.68,5.56,617.4599999999999
him yes in a few minutes how,616.92,4.88,619.36
minutes few,623.6,3.239,625.2195
may I may wait,632.399,3.961,634.3795
here well yes if you,637.44,4.44,639.6600000000001
like would you like sit down thank,641.88,4.959,644.3595
you you a friend of Mr,648.44,6.44,651.6600000000001
Rankin yes a friend I'm Mar Long Street,651.0,7.04,654.52
how do you do how do you,654.88,4.88,657.32
Mr Ranken ought to be here,665.76,4.68,668.1
now sometimes he stays after his last,667.959,4.281,670.0994999999999
class but he'll be coming straight here,670.44,4.399,672.6395
today I'm sure cuz this is our wedding,672.24,6.52,675.5
day you're getting married yes at,674.839,6.8,678.239
6:00 I know it's most unconventional my,678.76,5.4,681.46
being here today but I want to get these,681.639,4.921,684.0995
when he comes which way does he,692.36,6.479,695.5995
come my um got from uh we Webster Hall,694.76,5.44,697.48
it's it's the big dome building right,698.839,4.601,701.1395000000001
over there you see I shall meet,700.2,6.1,703.25
him well who shall I say,703.44,8.72,707.8000000000001
France it's hi France my Niki we mustn't,716.399,6.761,719.7795
be seen talking together go back to the,720.68,4.52,722.9399999999999
church into the woods into the woods you,723.16,4.52,725.42
understand me follow the,725.2,6.04,728.22
path I'll meet you,727.68,3.56,729.4599999999999
there hello Professor Rankin hello man,733.399,5.641,736.2195
what are you up to Paper Chase oh paper,736.88,3.68,738.72
chase I go ahead and lay the trail you,739.04,3.239,740.6595
ought to have Jerry's job Mr Rankin and,740.56,3.36,742.2399999999999
take a little off that wasteline no you,742.279,4.601,744.5795
ought to go with us Mr Rankin too,743.92,6.2,747.02
award well I'd like to I'm afraid I have,750.12,5.24,752.74
a couple of things to attend to well,753.72,4.04,755.74
join us later we'll be out till dark all,755.36,5.68,758.2
right oh we'll catch up with,757.76,3.28,759.4
my I thought I had been hanged the,786.48,7.08,790.02
others but not I a dead man could not,790.519,5.76,793.399
stand face to face with you friends hey,793.56,6.16,796.64
no wait for me you're not much changed,796.279,5.12,798.8389999999999
put you back in your old,799.72,4.6,802.02
uniform look very much the same France I,801.399,7.521,805.1595
am a different man than before I too I I,804.32,7.92,808.2800000000001
two I'm Different Conrad I you know how,808.92,4.84,811.3399999999999
I gathered and destroyed every single,812.24,3.08,813.78
item in Germany and Poland that might,813.76,3.199,815.3595
have served as a clue to my identity,815.32,4.079,817.3595
well guess what I'll be doing at 6:00,816.959,4.641,819.2795
tonight standing before a minister of,819.399,3.8,821.299
the Gospel with a woman's hand in mind,821.6,3.08,823.14
the daughter of a Justice of the United,823.199,3.721,825.0595
States Supreme Court a famous liberal,824.68,5.279,827.3195
the girls even good to look at yes the,826.92,4.44,829.14
camouflage is,829.959,3.32,831.6189999999999
perfect would think to look for the,831.36,4.279,833.4995
notorious France Kindler in the sacred,833.279,3.721,835.1395
precincts of the Harper School,835.639,3.88,837.5790000000001
surrounded by the sons of America's his,837.0,5.399,839.6995
families and I'll stay,839.519,8.081,843.5595
hidden till the day when we strike again,842.399,8.36,846.579
France there will be another,847.6,6.4,850.8000000000001
course war is an Abomination sa the it,854.72,6.08,857.76
is to tell you this that I here he set,858.48,4.64,860.8000000000001
me free that I might come here and tell,860.8,6.839,864.2194999999999
who set you free to you they're all,863.12,4.519,865.3795
you don't mean I mean,869.199,3.361,870.8795
God France I'm a new man since I found,878.0,7.56,881.78
you you Conrad religious France friends,881.68,7.0,885.18
all doors were open to me all,885.56,7.519,889.3195
doors it was one of God's,888.68,4.399,890.8794999999999
they freed you so youd lead them to,904.839,5.24,907.4590000000001
me have you been,907.759,4.681,910.0995
followed we followed here yes who,910.079,3.241,911.6995
you the evil one he looked like any,913.32,6.16,916.4000000000001
other man he was he was dressed like any,917.12,5.279,919.7595
other man he even smoked a pipe but I,919.48,5.359,922.1595
recognized him through his disguise and,922.399,8.201,926.4995
I killed him striking from un High down,924.839,5.761,927.7195
that's will be done you killed him the,932.04,4.0,934.04
man with a,934.759,4.721,937.1195
pipe the man who followed,936.04,7.279,939.6795
you no one else followed,939.48,3.839,941.3995
you you must be brought to Salvation,949.48,6.2,952.58
France confess your sins as I,952.639,7.041,956.1595
have Proclaim your guilt only thus you,955.68,6.56,958.9599999999999
can attain,959.68,2.56,960.9599999999999
salvation you really think so Conrad it,962.72,4.119,964.7795
strength such strength as can come only,966.839,4.521,969.0995
God kneel by me friends and together we,971.36,8.36,975.54
will pray to him to give you,975.319,4.401,977.5195
strength I have sinned against heaven,982.72,4.799,985.1195
and before,986.12,2.959,987.5995
I am not worthy to be called thy,989.079,6.721,992.4395
son say these words after,992.48,6.599,995.7795
me I despair of my,995.8,7.279,999.4395
sins I despair of my,999.079,4.0,1001.079
sins oh God of all,1003.519,6.281,1006.6595
goodness how could I ever have offended,1006.639,5.831,1009.5545
thee of all,1009.8,6.809,1013.2044999999999
hey this way fell don't let him get,1022.92,4.919,1025.3795
hey fell there's the TR Hurry,1086.64,4.8,1089.0400000000002
Up This Way,1096.64,3.399,1098.3395
fellas dearly beloved we are gathered,1105.799,5.36,1108.479
together here in the sight of God and in,1109.159,4.52,1111.419
the face of this company to join,1111.159,6.681,1114.4995000000001
together this man and this woman in holy,1113.679,4.161,1115.7595000000001
and forsaking all others keep the only,1139.44,5.0,1141.94
unto her so long as you both shall,1141.32,7.2,1144.9199999999998
live I will Mary wil thou have this man,1144.44,6.119,1147.4995000000001
for thy wedded husband to live together,1148.52,4.039,1150.5395
after God's ordinance in the holiest,1150.559,4.0,1152.559
matrimony will thou love him comfort him,1154.559,6.081,1157.5995
honor and keep him in sickness and in,1157.84,5.36,1160.52
health and forsaking all others keep the,1160.64,5.48,1163.38
only unto him so long as you both shall,1163.2,7.04,1166.72
good afternoon,1176.64,3.6,1178.44
afternoon wedding yeah judge long,1181.44,6.28,1184.5800000000002
Street's daughter he's Supreme Court,1184.919,5.361,1187.5995
Justice you,1187.72,2.56,1189.0
know bottle of aspirin please right back,1190.679,4.841,1193.0995
there third shelf down from the top you,1193.52,4.039,1195.5395
see the big ones on the left economy,1195.52,5.92,1198.48
size you have to get it yourself mister,1197.559,5.801,1200.4595
right back,1201.44,5.08,1203.98
there all your needs are on our shelves,1203.36,5.76,1206.24
just look around help,1206.52,5.36,1209.2
yourselves right in there right this one,1209.12,5.24,1211.7399999999998
that's that's it that's it living down,1211.88,6.48,1215.1200000000001
to Mrs PE buddies just a few days,1214.36,6.72,1217.7199999999998
only uh some coffee too,1218.36,5.08,1220.8999999999999
please what should I get it myself,1221.08,4.28,1223.22
cafeteria style around here Mr that's,1223.44,3.719,1225.2995
self-service usual thing yes that's $3,1227.159,4.801,1229.5595
Tod thank you good even no limit on the,1231.96,5.599,1234.7595000000001
cream but all the people around here,1235.48,4.48,1237.72
back one on the right Mr oh thank,1245.48,4.559,1247.7595000000001
you who is M Long Street Mary one of the,1250.24,4.96,1252.72
teachers down at school a stranger in,1253.0,6.24,1256.12
town I issued the license oh yep I'm,1255.2,6.359,1258.3795
Checkers all,1267.52,3.2,1269.12
right to clerk H yeah well that must be,1271.76,6.88,1275.2
quite a responsibility oh town clerk,1276.2,4.959,1278.6795
runs the town you might,1278.64,8.399,1282.8395
see we usually make it for 15,1281.159,10.201,1286.2595000000001
20 we often play as high as 25 cents the,1287.039,8.041,1291.0595
game well it's kind of stiff for me but,1291.36,6.24,1294.4799999999998
I'll take a flyer make a million ler,1295.08,5.16,1297.6599999999999
that's the way it,1297.6,2.64,1298.9199999999998
goes I move,1302.6,5.04,1305.12
right well you must uh know just about,1307.64,5.8,1310.5400000000002
everybody in town here not just about,1310.48,5.679,1313.3195
know everybody you're on,1313.44,6.599,1316.7395000000001
business mhm,1316.159,3.88,1318.0990000000002
uh-huh School business oh no,1323.36,7.64,1327.1799999999998
bu oh antique dealer they all come to,1339.12,6.48,1342.36
Harper judge long Street's got the best,1343.279,3.76,1345.159
collection in these parts won't do you,1345.6,2.88,1347.04
no good though no I I'm supposed to,1347.039,3.601,1348.8395
sell happened to know there any other,1352.279,7.121,1355.8395
out of town bu us here uh let me come to,1355.2,5.52,1357.96
think of it there's fell come in this,1359.4,6.04,1362.42
morning yeah came on the same bus with,1360.72,7.12,1364.28
