text,start,duration,time_midpoint,vader,textblob,llama3
this is the story of a land,92.34,4.44,94.56,0.0,0.0,0.6
of the people who lived on it in the,94.92,5.22,97.53,0.0,0.0,0.4
year 1870 and of a man whose name was,96.78,6.54,100.05,0.0,0.0,0.2
Cochise he was an Indian leader of the,100.14,5.58,102.93,0.0,0.0,0.2
chirokawa Apache tribe,103.32,5.58,106.11,0.0,0.0,0.2
I was involved in the story and what I,105.72,4.92,108.18,0.0,0.0,0.6
have to tell happened exactly as you'll,108.9,4.679,111.2395,0.0,0.25,-0.7
see it the only change will be that when,110.64,5.64,113.46,0.0,0.0,0.3
the Apaches speak they will speak in our,113.579,3.781,115.4695,0.0,0.0,0.3
what took place is part of the history,117.36,3.24,118.98,0.0,0.0,0.7
of Arizona,119.159,3.721,121.0195,0.0,0.0,0.2
and it began for me here where you see,120.6,3.479,122.3395,0.0,0.0,0.4
since getting out of the Union Army I'd,124.079,4.02,126.089,0.0,0.0,0.5
been prospecting for gold off and on and,126.0,4.02,128.01,0.0,0.0,0.5
one day I got a message that a new,128.099,3.901,130.0495,0.0,0.13636363636363635,0.2
Colonel had come to Tucson wanted to see,130.02,4.32,132.18,0.0,0.0,0.3
me the story started when I saw some,132.0,5.06,134.53,0.0,0.0,0.2
buzzards circling in the sky,134.34,5.58,137.13,0.0,0.0,-0.7
buzzer to Smart bird,137.06,5.92,140.02,0.4019,0.21428571428571427,0.6
something or somebody was getting ready,139.92,4.26,142.04999999999998,0.3612,0.2,0.2
I figured was a hurt deer or rabbit or,144.18,5.059,146.70950000000002,-0.5267,0.0,0.2
not a rabbit not a dare,152.239,8.08,156.279,0.0,0.0,0.2
His Kind was more dangerous than a snake,156.02,6.7,159.37,0.0018,0.1666666666666667,-0.8
he was an Apache,160.319,5.101,162.8695,0.0,0.0,0.4
for 10 years we'd been on a Savage war,162.72,5.519,165.4795,-0.7845,0.0,-0.8
with his people a bloody no give no take,165.42,3.3,167.07,-0.4959,-0.8,-0.7
I knew it was dangerous to keep a fire,245.78,4.959,248.2595,-0.6705,-0.6,-0.7
going in Apache country but the boy's,248.28,4.379,250.4695,0.0,0.0,0.4
wounds were badly infected and he was,250.739,3.78,252.629,-0.743,-0.6999999999999998,0.2
running a high fever,252.659,4.14,254.729,0.0,0.16,-0.7
he had eight pieces of Buckshot in his,254.519,4.201,256.6195,0.0,0.0,0.3
back and I had to dig every one of them,256.799,3.84,258.719,0.0,0.0,-0.7
out with my knife,258.72,3.6,260.52000000000004,0.0,0.0,-0.7
I could hear him grinding his teeth,260.639,4.5,262.889,0.0,0.0,-0.7
together but he never let out a sound,262.32,4.68,264.66,0.0,0.4,0.2
for the next few days I panned the,265.139,4.62,267.449,0.0,-0.1,0.3
stream for gold kept an eye on the boy I,267.0,4.44,269.22,0.0,0.0,-0.7
wanted to be on the move and I was glad,269.759,3.661,271.5895,0.4588,0.5,0.7
he was getting his strength back quickly,271.44,7.489,275.1845,0.4939,0.16666666666666666,0.7
now you've still got a lamp,287.3,6.94,290.77000000000004,0.0,0.0,0.3
today I must leave now I must go too,290.759,6.66,294.089,-0.0516,0.0,0.3
soon for you for my legs yes but for my,294.24,6.42,297.45,0.2144,0.0,0.4
family no this is my novice time I am 14,297.419,6.181,300.5095,-0.296,0.0,0.4
so I learned to be a man I go on trips,300.66,4.08,302.70000000000005,0.0,0.0,0.6
but I have been away too long,304.74,5.459,307.4695,0.0,-0.05,-0.7
and I wake you up my mother is crying my,307.32,5.04,309.84,-0.4767,-0.2,-0.7
father looks for me I think,310.199,4.681,312.53950000000003,0.0,0.0,0.5
I am their only one now,312.36,4.44,314.58000000000004,0.0,0.0,0.7
my brother and my sister were killed at,314.88,3.45,316.605,-0.6705,-0.2,-0.9
my mother is crying he said,328.62,6.0,331.62,-0.4767,-0.2,-0.7
honey it never struck me that an Apache,332.28,4.08,334.32,0.1877,0.0,0.3
woman would cry over her son like any,334.62,3.06,336.15,-0.1531,0.0,0.7
other woman,336.36,4.27,338.495,0.0,-0.125,-0.5
Apaches are wild animals we all said,337.68,5.519,340.4395,0.0,0.1,0.6
do you pray to killer of enemies,343.199,6.601,346.4995,-0.7351,0.0,0.3
not even to life Giver,347.16,4.379,349.34950000000003,0.34,0.0,-0.7
the ones up there,349.8,3.06,351.33,0.0,0.0,0.4
we have another name Apaches pray for,352.86,4.679,355.1995,0.3182,0.0,0.4
all white men to die,355.5,5.1,358.05,-0.5994,0.0,-0.9
but now I pray to keep you safe,357.539,5.88,360.479,0.7783,0.5,0.7
at Sunset last night I threw pollen to,360.6,4.64,362.92,0.0,0.0,0.6
the Four Winds for you,363.419,3.72,365.279,0.0,0.0,0.7
attacked boy,365.24,4.84,367.66,-0.4588,0.0,-0.7
this is very big against headache and,367.139,4.861,369.5695,0.0,0.0,0.7
now it is yours,372.0,3.259,373.6295,0.0,0.0,0.8
they could have killed put away your gun,381.259,4.38,383.449,-0.7845,-0.2,-0.7
I know my people they have been watching,387.36,5.72,390.22,0.0,0.0,0.7
us they say I am not harmed,389.34,3.74,391.21,0.3724,0.0,0.4
this is Clear Talk it says they can,398.759,4.581,401.0495,0.3818,0.10000000000000002,0.4
still kill,400.86,2.48,402.1,-0.6908,0.0,-0.7
this white man is my friend,414.18,6.98,417.67,0.4939,0.0,0.7
this white man is my friend,417.24,3.92,419.2,0.4939,0.0,0.7
he must not be heard when did my son,447.78,6.0,450.78,0.0,0.0,-0.7
become a tame Apache father look he gave,450.3,5.459,453.0295,0.0,-0.21666666666666667,0.3
me life again when the soldiers wounded,453.78,4.38,455.97,0.0,0.0,0.2
me where did you meet soldiers,455.759,4.921,458.2195,0.0,0.0,-0.7
it will shame us to say when a party,458.16,4.02,460.17,-0.1027,0.0,-0.7
should not do what others cannot know,460.68,4.799,463.0795,0.0,0.0,0.3
this one he was with them no he found me,462.18,6.419,465.3895,-0.296,0.0,0.4
later he healed me it will be wrong to,465.479,6.66,468.809,-0.4767,-0.25,0.4
harm him you do not give orders,468.599,6.241,471.7195,-0.5423,0.0,-0.8
you speak oh it's home a little,472.139,5.101,474.6895,0.0,-0.1875,0.5
wait 90 many dollars for the scalp of an,474.84,5.04,477.36,0.0,0.5,-0.7
Apache you know that I know then why did,477.24,4.38,479.43,0.0,0.0,-0.7
you not take his skill,479.88,4.08,481.92,0.0,0.0,-0.7
if I kill an Apache it will not be for,481.62,5.16,484.2,-0.6908,0.0,0.5
scalp or money why not my people in your,483.96,4.92,486.42,0.0,0.0,0.4
people are at War it is not my way to,486.78,3.72,488.64,-0.5994,0.0,-0.7
fight there's a way of all white eyes,488.88,6.08,491.92,-0.3818,0.0,-0.7
it's not my way you are a woman Maybe,490.5,4.46,492.73,0.0,0.0,0.4
it is well known that Apaches do not,495.78,3.479,497.5195,0.2732,0.0,-0.7
take scallops either and they are not,497.819,2.401,499.0195,0.0,0.0,-0.7
he hides something why are you here in,500.22,4.14,502.29,-0.1779,0.0,-0.7
our mountains,502.919,5.101,505.4695,0.0,0.0,0.7
I look for gold and silver for what,504.36,6.619,507.6695,0.0,0.0,0.6
for yellow iron,508.02,2.959,509.4995,0.0,0.0,-0.7
did not kill,512.279,4.56,514.559,0.5773,0.0,0.4
we will not kill this time,514.38,4.56,516.66,0.5773,0.0,-0.7
but not again,516.839,3.47,518.5740000000001,0.0,0.0,-0.7
give him his gun,518.94,10.369,524.1245,-0.34,0.0,0.4
they wanted to kill me all right but,530.94,3.42,532.6500000000001,-0.431,0.2857142857142857,-0.8
they let me go,532.56,3.839,534.4794999999999,0.0,0.0,0.4
I learned things that day,534.36,5.039,536.8795,0.0,0.0,0.7
Apache mothers cried about their sons,536.399,7.341,540.0695,-0.3818,0.0,-0.7
actually man had a sense of fair play,539.399,4.341,541.5695,0.5719,0.35,0.7
how do you say,549.12,7.189,552.7145,0.0,0.0,0.2
two men were killed and for three others,654.44,4.42,656.6500000000001,-0.6705,-0.2,-0.8
it was much worse because they were only,657.24,3.18,658.83,-0.4767,-0.2,-0.7
but this was war and it was terrible,660.42,5.599,663.2194999999999,-0.8885,-1.0,-0.9
cruelty from both sides,662.7,3.319,664.3595,-0.5994,0.0,0.2
pouching one of the Wounded men and in,667.5,3.72,669.36,0.0,0.0,-0.7
the pouch there were three Apache,669.54,3.0,671.04,0.0,0.0,0.4
so they dug a pit on the ground and they,672.54,4.02,674.55,0.0,0.0,-0.5
rubbed his face with the juice of a,674.82,4.519,677.0795,0.0,0.0,0.2
Mezcal plant,676.56,2.779,677.9495,0.0,0.0,0.4
learn it learn it well this is Apache,685.5,5.1,688.05,0.2732,0.0,0.7
land you have no right here where,688.26,5.46,690.99,-0.296,-0.14285714285714285,-0.7
Cochise lives no white man can live,690.6,5.76,693.48,-0.296,0.06818181818181818,0.8
take your weapons go let your base not,693.72,5.179,696.3095000000001,-0.4404,-0.8,-0.7
be seen again,696.36,2.539,697.6295,0.0,0.0,0.4
you find yourself a gold man well,730.2,4.62,732.51,0.2732,0.0,0.7
Holly Terry,732.66,4.08,734.6999999999999,0.0,0.0,0.5
just coffee for me we haven't smoked,734.82,5.54,737.59,0.0,0.0,0.3
turkey today no just call it,736.74,3.62,738.55,-0.296,0.0,0.2
wipe them all out virtually,742.26,5.639,745.0794999999999,0.0,0.0,-0.7
I'm Colonel Bunnell,747.899,4.44,750.119,0.0,0.0,0.5
you received my message that's why I'm,749.82,4.019,751.8295,0.0,0.0,0.7
here Colonel what's on your mind I've,752.339,2.761,753.7195,0.0,0.0,0.2
just been given the command at Fort,753.839,3.421,755.5495000000001,0.0,0.0,0.3
Grant congratulations my own desire to,755.1,3.78,756.99,0.8442,0.6,0.6
clean out Cochise and his Apaches from,757.26,3.48,759.0,0.4019,0.3666666666666667,0.6
the Graham Mountain area,758.88,5.1,761.43,0.0,0.0,0.6
a pretty big orders we'll have all that,760.74,8.099,764.7895,0.4939,0.125,0.45
much room like that like hard,763.98,6.78,767.37,0.5574,-0.04583333333333334,0.4
this man was in a party of miners,768.839,3.901,770.7895000000001,0.4019,0.0,-0.7
ambushed yesterday afternoon by Apaches,770.76,4.56,773.04,0.0,0.0,0.2
half of them were killed,772.74,4.08,774.78,-0.6705,-0.18333333333333335,-0.7
where abouts was the Ambush that's,775.32,3.72,777.1800000000001,0.0,0.0,0.4
something he said they wounded Cochise,776.82,4.5,779.07,0.0,0.0,-0.7
said they got 10 or 12 Apaches out of a,779.04,4.739,781.4095,0.0,0.0,0.6
war party of 50. there weren't 50 there,781.32,4.079,783.3595,-0.296,0.0,0.4
were only five another one of them got,783.779,4.5,786.029,0.0,0.0,0.2
scratched how do you know Jeffords I,785.399,4.62,787.709,0.0,0.0,-0.7
watched it,788.279,3.12,789.8389999999999,0.0,0.0,0.4
watched it,790.019,3.241,791.6395,0.0,0.0,0.3
seems to me most men would have led a,791.399,4.44,793.619,0.0,0.5,-0.7
hand I was hogtied the Apaches jumped me,793.26,5.4,795.96,0.4939,0.0,0.4
earlier oh you fought your way out eh,795.839,4.641,798.1595000000001,-0.3182,0.0,0.4
they let me go,798.66,3.84,800.5799999999999,0.0,0.0,-0.7
never heard of a thing like that,800.48,4.06,802.51,0.3612,0.0,0.4
happening to a white man,802.5,4.74,804.87,0.0,0.0,0.2
did you John no,804.54,7.22,808.15,-0.296,0.0,-0.7
did you melt no,807.24,4.52,809.5,-0.296,0.0,-0.7
I ran across a water chair car while boy,813.24,3.899,815.1895,0.0,0.0,0.4
I healed them up,815.82,3.259,817.4495000000001,0.0,0.0,0.8
I guess they thought they owed me some,817.139,5.161,819.7195,0.0,0.0,-0.7
patches play unfair yes I don't,819.079,5.44,821.799,0.25,-0.5,-0.7
understand you mean you found a wounded,822.3,6.599,825.5994999999999,0.0,-0.3125,0.4
Apache and didn't kill him that's right,824.519,8.0,828.519,0.5773,0.2857142857142857,0.4
I'd like to ask you why,828.899,3.62,830.709,0.3612,0.0,0.5
it's what you want to see me about,846.54,3.72,848.4,0.0772,0.0,0.3
Colonel Jeffries,847.86,5.099,850.4095,0.0,0.0,0.6
I think I know how we can stop go cheese,850.26,4.68,852.6,-0.296,0.0,0.3
I have 250 freshmen from Pennsylvania,852.959,4.38,855.149,0.0,0.0,0.3
and New Jersey they're smart disciplined,854.94,3.899,856.8895,0.4019,0.17532467532467533,0.4
Troopers yeah I've seen those followers,857.339,3.24,858.9590000000001,0.296,0.0,0.7
around I have a good plan I want,858.839,3.0,860.339,0.4939,0.7,0.6
information from you and I want you to,860.579,3.241,862.1995,0.0772,0.0,0.5
do a little reconnoitering for me in six,861.839,3.18,863.4290000000001,0.0,-0.1875,0.4
months the war will be over and we'll,863.82,3.24,865.44,-0.5994,0.0,0.4
have Cochise up by his neck,865.019,4.021,867.0295,0.0,0.0,-0.7
no you won't Colonel listen Jefferson,867.06,3.959,869.0395,-0.296,0.0,-0.7
I'm an expert on open field Warfare I,869.04,3.599,870.8394999999999,-0.296,0.0,0.7
have three years you can't even read a,871.019,4.081,873.0595,0.0,0.0,-0.7
map but he and his men know every Gully,872.639,4.561,874.9195,0.0,0.0,0.5
every foot of mountain every water hole,875.1,3.9,877.0500000000001,0.0,0.0,0.4
in Arizona,877.2,3.6,879.0,0.0,0.0,0.4
these horses can go twice as far as,879.0,3.839,880.9195,0.0,0.1,0.8
yours in a day and his man can run on,880.8,4.56,883.0799999999999,0.0,0.0,0.5
foot as far as a horse can run,882.839,4.56,885.119,0.0,0.1,0.3
he can't write his name,885.36,4.02,887.37,0.0,0.0,-0.7
