text,start,duration,time_midpoint,vader,textblob,llama3
the hemlines rise and fall the bustle,80.299,6.221,83.40950000000001,0.0,0.0,0.5
was blossomed and disappear the hips,84.119,4.441,86.3395,-0.2263,0.0,0.2
grow Broad and narrow with the changing,86.52,3.12,88.08,0.0,-0.06875,0.4
but the big windows in the department,89.64,3.54,91.41,0.0,0.0,0.4
stores don't tell the story of the dress,91.08,4.499,93.3295,0.0,0.0,0.2
business that story is in the New York,93.18,4.86,95.61,0.0,0.13636363636363635,-0.7
garment Center half a mile square and,95.579,4.801,97.9795,0.0,-0.13333333333333333,0.2
two blocks high the billion dollar dress,98.04,4.619,100.3495,-0.2263,0.16,0.5
capital of America built on a vault of,100.38,4.8,102.78,0.0,0.0,-0.5
cloth and a foolish question how do I,102.659,4.28,104.799,-0.2732,0.0,0.7
the lives and fortunes of hundreds of,106.939,4.54,109.209,0.0,0.0,0.2
thousands of people hang on the answer,109.799,4.32,111.959,0.0,0.0,0.8
to that question and this is the story,111.479,4.441,113.6995,0.0,0.0,0.4
of a few of them,114.119,4.441,116.3395,0.0,-0.2,0.3
there was a man named Sam Cooper a,115.92,6.62,119.23,0.0,0.0,0.2
fellow named Teddy Sherman and oh yes,118.56,7.519,122.3195,0.4019,0.0,0.4
there was a girl,122.54,3.539,124.3095,0.0,0.0,0.2
you wait another year it'll be two years,126.299,3.841,128.2195,0.0,0.0,-0.7
then ten years and you'll never do it,128.16,3.42,129.87,0.0,0.0,-0.7
but I forget Harriet she still says no,130.14,3.0,131.64,-0.631,0.0,-0.7
and I tell you Sam she's got to say yes,131.58,2.82,132.99,0.4019,0.0,0.7
how can I make her say yes if you keep,133.14,2.7,134.48999999999998,0.4019,0.0,0.4
saying no she said yes when you married,134.4,3.479,136.1395,0.128,0.25,-0.7
her 20 years ago she lost to have it,135.84,3.96,137.82,-0.3182,0.0,-0.7
I'll talk to her myself it won't do any,137.879,2.701,139.2295,0.0,0.0,-0.7
to come into town today I'll convince,142.14,3.42,143.85,0.25,0.0,0.6
her we'll meet for lunch but we live all,144.18,2.639,145.4995,0.0,0.13636363636363635,0.2
the way up Long Island it's still,145.56,3.899,147.5095,0.0,-0.05,0.2
America she doesn't need a passport Sam,146.819,5.461,149.5495,0.0,0.0,0.7
this means our whole future,149.459,5.64,152.279,0.0,0.1,0.8
but even if she comes she says yes the,155.099,3.72,156.959,0.5499,0.0,-0.7
two of us alone is no good are you going,156.84,3.96,158.82,-0.5277,-0.35,0.3
to talk to Teddy,158.819,3.721,160.6795,0.0,0.0,0.7
