text,start,duration,time_midpoint
"To begin with, all the incidents and characters in this story...",2.45,3.031,3.9655000000000005
might be fictitious...,5.545,1.81,6.45
and any resemblance to you or me...,7.425,2.089,8.4695
might be purely coincidental.,9.579,2.483,10.820500000000001
The name of the town isn't important.,13.364,1.841,14.284500000000001
It's the one that's just 28 minutes from the big city...,15.275,2.212,16.381
23 if you catch the Morning Express.,17.549,2.39,18.744
"It's on a river, and it's got houses and stores and churches...",20.007,3.548,21.781000000000002
and a Main Street.,23.617,1.903,24.5685
Nothing fancy like Broadway or Market.,25.589,1.964,26.570999999999998
Just plain Main.,27.621,1.842,28.541999999999998
"Drugs, dry goods, shoes...",29.533,1.81,30.438000000000002
those horrible little chain stores that breed like rabbits.,31.414,3.879,33.353500000000004
"Also a street for the upper, the exclusive of the town...",35.357,3.361,37.0375
where the country-club set live when they're not at the country club.,38.785,3.145,40.357499999999995
This is the first Saturday in May...,42.001,2.576,43.288999999999994
and tonight the first dinner dance of the country-club season.,44.64,3.548,46.414
"Well, anyway, this house belongs to Brad and Deborah Bishop...",53.643,3.144,55.215
two of my dearest friends.,56.859,2.151,57.9345
Brad bought this house before he went to war.,59.073,2.452,60.299
It was Brad who gave me my first black eye and...,61.592,2.513,62.8485
and my first kiss.,64.17,2.483,65.4115
"Well, when he came home from the war, he came home with a wife... Deborah.",66.719,4.086,68.762
Thomasino said to tell you he found room for your briefcase in the bag.,77.636,3.144,79.208
Good for Thomasino.,80.852,2.027,81.8655
- Why'd you have him pack a bag? - Because I know these Saturday conferences.,82.945,3.062,84.476
A bit like Saturday poker games... don't plan on doing anything Sunday.,86.07,3.268,87.704
"It's strange, your not letting me know when you plan to be away overnight.",89.407,3.144,90.979
"This is just in case, darling. There's no telling how late it'll be.",92.622,3.144,94.194
And I like my own pajamas between me and the sheets in a Turkish bath.,95.838,3.424,97.55
"You'll phone this afternoon, though, either way, won't you?",99.327,2.027,100.34049999999999
"And leave word, even if I'm not here?",101.42,1.873,102.3565
Just where might you be when I call if not here?,103.362,1.81,104.267
"First Saturday in May, remember? The Settlement House Picnic.",105.242,2.296,106.39
That's right. The Women's Club thing. Like it?,107.609,2.213,108.71549999999999
Anything to do with kids. You know that.,109.884,1.995,110.8815
What are you wearing tonight?,111.947,2.212,113.053
I've got the one you liked so much in Vogue.,117.472,2.028,118.48599999999999
