text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
morning Joel another one huh in or out,72.04,5.88,74.98,0.0,0.0,0.3,-0.11413576756151414,-0.1492957109145193,0.0459088148158895
out rip Smith Institute of public,75.6,5.92,78.55999999999999,0.0,0.0,0.2,-0.1126640780805006,-0.1499999344308061,0.04695946914180748
opinion going out of business rip Smith,77.92,7.239,81.5395,0.0,0.0,-0.7,-0.11149046060428781,-0.15056978969655715,0.047786298368767556
18th floor inside office tall man brown,81.52,6.919,84.9795,0.0,0.0,-0.7,-0.11019223764466243,-0.15120943379107304,0.048688225519422486
shoes dark polish three times a week 25,85.159,5.201,87.7595,0.0,-0.15,0.4,-0.10918677510699387,-0.15171208628711705,0.04937662625798345
too bad nice,90.36,6.16,93.44,-0.1779,-0.0499999999999999,0.2,-0.10725087165509022,-0.15269969582440499,0.05067354904042503
man no wonder he's going out of business,93.72,5.12,96.28,-0.296,0.0,-0.7,-0.10634138015704207,-0.15317366164640858,0.051268048006619465
getting opinions from the public that's,96.52,4.8,98.92,0.0,0.0,0.3,-0.10553004510748475,-0.15360246440901976,0.051789242709996006
a screwy way to make a living why,98.84,4.639,101.1595,-0.34,0.0,-0.7,-0.10486714215943593,-0.1539573400442239,0.052208036004593845
there's nothing screwy about it lots of,101.32,4.799,103.7195,0.2584,0.0,0.7,-0.10413742255771569,-0.15435305124304444,0.052660975064751536
guys clean up on it look at Gallop you,103.479,5.0,105.979,0.4019,0.3666666666666667,0.7,-0.10351784536900703,-0.1546935164795714,0.05303826648836315
know big corporations pay a lot of money,106.119,4.921,108.5795,-0.1027,0.0,-0.5,-0.10283272040667239,-0.15507518422019823,0.05344686634635214
to find out what you and I think they,108.479,5.401,111.1795,0.0,0.0,0.4,-0.10217714290753563,-0.15544591860311288,0.05382845877371853
do sure now you take this cigar for,111.04,5.399,113.7395,0.3182,0.5,0.2,-0.10155988569773673,-0.15580037136449668,0.05417837392678728
instance people stop buying it sales,113.88,7.96,117.86,-0.296,0.0,-0.7,-0.10062394977045241,-0.15634892363779318,0.05468905916735103
Fall Off manufacturer wants to know why,116.439,5.401,119.1395,0.0,0.2,-0.7,-0.10034750584767353,-0.15651376428443697,0.05483472195318899
I can tell them why in one,122.32,3.759,124.1995,0.0,0.0,0.2,-0.09931846413008204,-0.15714024119738762,0.05535244868510367
word he George is it true about rip,127.16,5.04,129.68,0.4215,0.35,0.7,-0.09831617391309888,-0.1577732250427804,0.055811512226274326
Smith yes I just saw the moving the,130.239,5.161,132.8195,0.4019,0.0,0.7,-0.0977927903271621,-0.158114602088498,0.05602865926051213
furniture out isn't that,132.2,3.2,133.79999999999998,0.0,0.0,-0.7,-0.0976367212349529,-0.15821806118844794,0.05608982566789214
swell did you hear the news about rip ma,135.8,4.88,138.24,0.0,0.0,-0.5,-0.09697300522030958,-0.15866781233511007,0.05632818899277902
canceled his contract good morning GE I,138.44,3.519,140.1995,0.4404,0.7,0.2,-0.09670204483307557,-0.15885656326759257,0.05641371758736046
just passed his office there moving the,140.68,3.559,142.45950000000002,0.0,0.0,0.2,-0.09640582309602536,-0.15906688085400736,0.05649780961052025
furniture out we know all about it he,141.959,4.041,143.9795,0.0,0.0,0.3,-0.09621624853515846,-0.1592038974206547,0.056545760121888944
talked to me about jobs for some of his,144.239,3.28,145.879,0.0,0.0,0.4,-0.09599007562437344,-0.15937011961584366,0.0565961328736425
people his people well what about,146.0,4.2,148.1,0.2732,0.0,0.7,-0.09574049064350973,-0.1595574420607293,0.05664182902051691
himself let's grab him before gallop up,147.519,4.561,149.7995,0.0,0.0,0.3,-0.09556014425645841,-0.15969567145704758,0.056667373107732164
we've been discussing it for an hour,150.2,4.6,152.5,0.0,0.0,-0.5,-0.0952921541360961,-0.15990623075913846,0.05669154405126604
what is that to discuss talk to Henry he,152.08,4.84,154.5,0.0,0.0,0.3,-0.0951080843423,-0.16005500099106246,0.056696749390258434
thinks we'd be foolish why Henry that's,154.8,4.68,157.14,-0.2732,0.0,0.2,-0.09488344029642444,-0.16024206186970663,0.05668751760411712
the hottest piece of man power yes yes I,156.92,4.76,159.29999999999998,0.6597,0.0,0.7,-0.09471480738575852,-0.16038724854848865,0.05666667984746914
know brilliant but too much of a dreamer,159.48,4.64,161.79999999999998,0.34,0.55,0.7,-0.09453625512460528,-0.1605464795039284,0.05662805099437485
to suit me saw him the other day and to,161.68,4.919,164.1395,0.0,-0.125,0.2,-0.09438493363152212,-0.16068695109579786,0.056578187237831444
hear him talk we're all idiots our,164.12,4.119,166.17950000000002,0.0,-0.677444850342918,-0.8,-0.09426512474678247,-0.16080272230857998,0.05652418525405753
method of polling public opinion is,166.599,3.881,168.53949999999998,0.0,0.0,0.2,-0.09414028959173558,-0.16092886783539778,0.056449825540963526
apparently ridiculous thinks we're,168.239,3.841,170.1595,-0.3612,-0.3333333333333333,-0.7,-0.09406295549278339,-0.16101063684309463,0.056391591148075945
wasting money questioning people all,170.48,4.2,172.57999999999998,-0.4767,0.0,-0.7,-0.09395977817193012,-0.16112551527744592,0.056293979822010856
over the country he's going to find some,172.08,5.239,174.6995,0.0,0.0,0.4,-0.09388131159539759,-0.1612189482636712,0.05619836634908531
miraculous shortcut do poles at a tenth,174.68,5.16,177.26000000000002,0.0,0.0,0.7,-0.09380089567026126,-0.16132293164276407,0.056070646755598634
of the cost maybe he can told me he's,177.319,4.361,179.49949999999998,0.0,0.0,0.2,-0.09374309316921023,-0.16140592708071258,0.05594834781124243
working on a new scheme called it his,179.84,4.88,182.28,0.0,0.1363636363636363,0.4,-0.09368708039360424,-0.1614986790788398,0.055783270233650865
mathematical Miracle how to question 50,181.68,6.52,184.94,0.5859,0.0,0.4,-0.09364928242406739,-0.16157677416226876,0.05561216873561568
or 100 people perhaps in one town and,184.72,5.76,187.6,0.0,0.0,0.2,-0.09362635951078338,-0.16164450292064536,0.05542874188854978
find out exactly how the whole country's,188.2,4.599,190.4995,0.0,0.225,0.4,-0.09361766668863616,-0.161706562285112,0.05521540794422459
thinking if it ever could be done,190.48,4.759,192.8595,0.0,0.0,0.2,-0.0936226554328924,-0.16174804364612516,0.05503193733586503
there'd be a fortune in it if if if look,192.799,4.201,194.8995,0.0,0.0,0.8,-0.09363537028657497,-0.16177739000321398,0.054866555368738246
at him forced out of business come now,195.239,3.121,196.7995,-0.4588,-0.3,-0.7,-0.09365398881816943,-0.16179930724073505,0.05470709203604802
Henry you know that's because he tried,197.0,4.0,199.0,0.0,0.0,0.7,-0.09368344775741516,-0.16181818086293384,0.05451613304011827
to operate on the Sho string poppy,198.36,3.879,200.2995,0.0,0.0,0.6,-0.09370470407996367,-0.16182605274842973,0.054400319661857974
what makes you think he'd come with us,201.0,3.0,202.5,0.0,0.0,0.3,-0.09374701817122688,-0.16183385227724797,0.05419926974030133
Charlie you know rip burning with,202.239,4.241,204.3595,0.0,0.0,0.7,-0.09378877143627908,-0.1618350346252999,0.054024732898403184
ambition he's determined to go and alone,204.0,5.48,206.74,0.1027,0.0,0.7,-0.0938499209754185,-0.1618293374143273,0.05379540497515928
we'll get him don't worry in his present,206.48,4.6,208.78,0.3412,0.0,0.7,-0.09390892339114193,-0.16181803010026452,0.05359389513804027
sir like I was saying to my wife,214.799,4.241,216.9195,0.3612,0.0,0.3,-0.09419986915344974,-0.1617142020827626,0.052749175258835025
sometimes asking too many questions,217.36,4.64,219.68,0.0,0.5,0.2,-0.09431679754086802,-0.16165778740887968,0.05244981199728093
