text,start,duration,time_midpoint
let's have a miss,84.2,3.68,86.04
this is good bring him up for a night,107.88,6.559,111.1595
cab hello funny face hey eat a good,109.96,7.68,113.8
biscuit Mrs Prenos made it I make,114.439,5.241,117.05949999999999
better I don't know how much better but,117.64,3.56,119.42
I will'll say they're,119.68,4.32,121.84
harder we got 3 hours left in the day,121.2,5.279,123.8395
why don't we keep on well we got water,124.0,5.119,126.5595
here may pay out by Night Margie,126.479,5.281,129.1195
promised to scrub out a shirt for me I,129.119,4.601,131.4195
did not I didn't,131.76,5.199,134.3595
promise I said maybe bring it to the,133.72,5.159,136.2995
wagon I'll scrub it out but I won't like,136.959,4.761,139.33950000000002
it all right why not your mother used to,138.879,6.761,142.2595
scrub 10 shirts 20 and pants too he,141.72,7.519,145.4795
hasn't got T have you no one on one off,145.64,5.48,148.38
one in the w,149.239,3.161,150.8195
make your circle right near to the,151.12,4.16,153.20000000000002
stream there think I'll ride out for a,152.4,5.8,155.3
couple of hours might be an easy Trail,155.28,6.28,158.42
past the Hills,158.2,3.36,159.88
you stole the horse anything to say how,205.04,5.04,207.56
gun all right,211.519,3.321,213.17950000000002
unti come on over there move,220.36,20.309,230.51450000000003
about this,273.639,3.521,275.3995
horse I really didn't steal him if that,274.84,5.4,277.53999999999996
makes any difference it doesn't that's,277.16,4.28,279.3
thought why did you step,281.44,5.64,284.26
in well I just don't like hang it's a,283.88,4.68,286.21999999999997
funny thing I don't,287.08,5.04,289.59999999999997
either you riding South no I'm going,288.56,5.56,291.34
north taking some folks up in the,292.12,5.32,294.78000000000003
Columbia River Country Farmers real nice,294.12,5.16,296.7
folks yeah settlers is that your Trader,297.44,4.199,299.5395
exactly I've been doing a lot of things,303.36,4.76,305.74
I ran into these folks in mouri I,305.72,3.84,307.64000000000004
thought maybe I might try my hand at,308.12,3.799,310.0195
farming or ranching if I can find me,309.56,4.6,311.86
cattle they make good biscuits these,314.72,3.759,316.59950000000003
folks you're going to like them I didn't,317.0,4.88,319.44
catch your name or did you say it the,318.479,8.16,322.55899999999997
clinic l m Clinic when M,321.88,7.879,325.8195
Clinic from the Missouri country that's,326.639,6.12,329.699
right you're going to go farming or,329.759,6.761,333.1395
ranching I can get me some,332.759,3.761,334.6395
cattle oh let's get those biscuits done,337.039,5.241,339.6595
I thought we're out of shyenne country,359.919,2.921,361.3795
what do you make of,361.56,3.16,363.14
shy real mean when they want to be,364.72,4.44,366.94000000000005
lately they want to be they cut up some,367.319,4.081,369.3595
Trappers last week for their rifles M,369.16,4.08,371.20000000000005
here people got any rifles uhhuh they,371.4,4.4,373.59999999999997
know how to use them no how'd you get,373.24,3.64,375.06
out of the Black Hills country in the,375.8,5.0,378.3
Big Horn lucky I Glenn you're,376.88,6.039,379.8995
late you better get some supper before,380.8,4.679,383.1395
Margie eats it,382.919,2.56,384.19899999999996
all got beans tea and biscuits,386.599,5.88,389.539
soft ones this time oh those biscuits I,390.479,3.481,392.2195
was telling you,392.479,4.16,394.55899999999997
about well so you found yourself a,393.96,5.4,396.65999999999997
friend I found him hanging,396.639,5.761,399.5195
around I uh guess I missed your name or,399.36,5.8,402.26
did you say it Cole Emerson,402.4,5.76,405.28
Cole You're a Jeremy Bale glnn told me,405.16,4.56,407.44
you are you you Emerson Cole or Kansas,409.72,7.759,413.59950000000003
yeah you're going to like these,421.12,5.84,424.04
biscuits oh Laura Laura this Emerson,423.44,5.479,426.1795
Cole here he's hungry give him something,426.96,4.359,429.1395
to eat with,428.919,2.4,430.11899999999997
you so I was thinking about,432.759,5.321,435.4195
tomorrow we can save a lot of miles if,435.919,4.361,438.0995
we go straight,438.08,5.48,440.82
North now this place we're headed for,440.28,6.16,443.35999999999996
150 Mi East from Portland that's right,443.56,4.079,445.5995
that's just over that tall mountain,446.44,3.96,448.42
isn't it that's right just over well now,447.639,5.56,450.419
you say we should go,450.4,5.44,453.12
here I think we should go,453.199,6.28,456.339
so well we could go so but that mountain,455.84,5.52,458.59999999999997
up there that tall fellow with the white,459.479,6.68,462.81899999999996
hair he he's about 2 miles,461.36,7.44,465.08000000000004
high got a lot of hills around him one,466.159,5.121,468.7195
mile high so you climb and climb well,468.8,4.6,471.1
just one mile is that too bad no there,471.28,3.919,473.23949999999996
isn't very good when it's straight,473.4,5.199,475.99949999999995
up you got the food to think about the,475.199,5.28,477.839
time you get your ground is cleared hous,478.599,4.32,480.759
is built it'll be winter so you haven't,480.479,3.84,482.399
arranged to have the supplies sent up,482.919,3.361,484.5995
from Portland what are you going to eat,484.319,4.44,486.53900000000004
I guess you're right it's just an idea,486.28,4.24,488.4
not a lot of people had the same idea,488.759,3.0,490.259
most of them are still up there under,490.52,3.359,492.1995
snow Lyn where you been H hey,501.919,6.761,505.29949999999997
hey you've been eating this food all the,513.76,3.6,515.56
way from Missouri mhm wearing the same,514.959,4.721,517.3195
shirt too I said I'd scrub it but I,517.36,3.919,519.3195000000001
can't do it with you in it well I'm not,519.68,3.919,521.6395
one night birds I haven't heard them,524.48,6.2,527.58
before well uh they're sort of a special,527.839,4.881,530.2795000000001
kind they live up in the hills,530.68,5.32,533.3399999999999
and Redwing Oreo yeah Redwing Oreo is,532.72,8.2,536.82
from Canada yeah from Canada from uh,536.0,4.92,538.46
they sort of plaintive I hope they nest,542.399,4.721,544.7595
farm don't you like,547.12,6.56,550.4
them no no not for,549.72,6.64,553.0400000000001
Neighbors Laura now Mr PR's got a whole,553.68,4.279,555.8195
lot of boiling water what what about the,556.36,3.44,558.08
shirt you're a nuisance and I'm sorry,557.959,3.921,559.9195
for your wife whoever she's going to be,559.8,3.68,561.64
what because I like a clean,561.88,3.639,563.6995
shirt come on get up a minut I want to,563.48,2.96,564.96
Char always point this toward the North,566.44,3.959,568.4195000000001
where is it there we,570.399,4.481,572.6395
are then come morning we'll know where,572.76,2.84,574.18
going is that the way you travel always,575.6,5.12,578.16
but I never pick the same,578.92,4.599,581.2194999999999
star tomorrow it might be that big fat,580.72,4.2,582.82
there next day I might take a fancy a,584.92,4.52,587.18
little skinny one over,587.2,6.319,590.3595
there I'll tell her she's my,589.44,4.079,591.4795
sister nice girl at yeah real,594.2,7.12,597.76
