text,start,duration,time_midpoint,vader,textblob,llama3
happy to see you just once more I have,295.74,3.54,297.51,0.5719,0.65,-0.8
nothing to say to you,297.96,3.0,299.46,0.0,0.0,0.8
I want you to say anything I want you to,299.28,3.06,300.80999999999995,0.1531,0.0,0.8
let me go somewhere and talk I hate you,302.34,5.04,304.86,-0.5719,-0.8,-0.8
those who despise you you didn't always,304.86,3.839,306.77950000000004,-0.34,0.0,0.7
there was a time when you loved me it,307.38,4.64,309.7,0.5994,0.7,0.4
wasn't a countess swine,308.699,3.321,310.3595,0.0,0.0,-0.7
the emperor will have them shot he'll,323.4,3.42,325.11,0.0,0.0,-0.7
have them shot both of them see but the,324.9,3.18,326.48999999999995,0.0,0.0,-0.7
lenders of these opera glasses don't,326.82,2.879,328.2595,0.0,0.0,-0.7
crack for shame,328.08,3.839,329.9995,-0.4767,0.0,-0.7
said the daughter of the baron holenia,329.699,4.56,331.979,0.0,0.0,0.2
yes Johanna Augusta Francisca counters,331.919,4.5,334.169,0.4019,0.0,0.2
Von stossenberg stautzenberg disgracing,334.259,4.081,336.2995,0.0,0.0,-0.7
every syllable of her name but who is he,336.419,3.661,338.24949999999995,0.0,0.0,0.2
that's the man that's the one that's the,338.34,3.84,340.26,0.0,0.0,0.8
who the man haven't you heard where on,340.08,4.5,342.33,0.0,0.0,0.2
earth have you been bad now I'm trying,342.18,4.44,344.40000000000003,-0.5423,-0.6999999999999998,-0.7
to cure my poorha oh I've forgotten your,344.58,3.66,346.41,-0.2263,0.0,0.2
heart it's nothing oh well don't stop,346.62,3.78,348.51,0.6456,0.0,0.3
now and anyway you've asked for it it's,348.24,4.44,350.46000000000004,0.0,0.0,0.8
a love affair that has rocked all Vienna,350.4,4.62,352.71,0.6369,0.5,-0.7
for the past four months who is he the,352.68,4.92,355.14,0.0,-0.25,0.2
most vulgar impossible obnoxious ill man,355.02,5.7,357.87,-0.7239,-0.3416666666666667,-0.9
in one word he's an American no yes and,357.6,5.28,360.24,-0.3089,0.0,0.2
lo even among Americans he's what they,360.72,4.34,362.89,0.0,0.0,0.3
call a traveling salesman,362.88,4.86,365.31,0.0,0.0,0.2
traveling salesman and our Baron's,365.06,4.78,367.45,0.0,0.0,0.4
daughter you heard about the attempt on,367.74,4.62,370.05,0.0,0.0,-0.7
the emperor's life that's the man mercy,369.84,4.139,371.9095,0.3612,0.0,0.5
he swindled an appointment with his,372.36,4.08,374.4,0.0,0.0,-0.7
majesty and by presenting himself as a,373.979,4.861,376.4095,0.0,0.0,0.8
great potentate later it transpired he,376.44,4.44,378.66,0.6249,0.4,0.2
was a very minor potent heat in an,378.84,3.6,380.64,0.0,0.2175,0.6
American organization known as the,380.88,4.08,382.92,0.0,0.0,0.2
Shriner I remember the day he came here,382.44,4.319,384.5995,0.0,0.0,-0.7
to the palace with his nasty little dog,384.96,5.519,387.7195,-0.5574,-0.59375,0.4
and a mysterious Sinister Black Box you,386.759,6.471,389.9945,-0.5994,-0.2222222222222222,-0.7
know what was in that box,390.479,20.121,400.5395,0.0,0.0,0.2
how are you today,410.639,2.961,412.1195,0.0,0.0,0.3
will you follow me please,421.44,3.74,423.31,0.3182,0.0,0.7
do stop fidgeting with your mustache I'm,479.66,4.78,482.05,-0.296,0.0,-0.7
not nervous I know perfectly well why,482.94,3.18,484.53,0.7972,1.0,0.7
the emperor has summoned us so do I,484.44,3.84,486.36,0.0,0.0,0.4
let's find out you belong in jail,486.12,3.72,487.98,0.0,-0.1,0.4
Johanna you're talking to your father,488.28,3.24,489.9,0.0,0.0,-0.7
that's what's so depressing my own,489.84,3.479,491.5795,-0.5214,0.0,-0.7
father a scoundful mortgaging the,491.52,3.36,493.2,0.0,0.0,-0.7
mortgage in our Castle which was already,493.319,3.301,494.9695,0.0,0.0,0.3
Immortal how was I to know about the,494.88,3.36,496.56,0.25,0.0,-0.7
mortgages I'm not a businessman I'm a,496.62,3.06,498.15,0.0,0.0,0.3
general then taking the money and,498.24,3.06,499.77,0.0,0.05000000000000002,-0.5
gambling it away in a single night I,499.68,3.66,501.51,0.0,-0.07142857142857142,-0.7
tell you the cards are marked two Jewels,501.3,3.179,502.8895,0.4588,0.1,-0.7
already this season named as,503.34,2.699,504.6895,0.0,0.0,0.5
correspondent in the divorce of some,504.479,4.201,506.5795,0.0,0.0,-0.7
Suburban pastry Baker sued by a young,506.039,3.961,508.0195,0.0,0.05,0.5
lady in the quarters of the Opera,508.68,3.12,510.24,0.0,0.0,0.2
because you promised her the lead in,510.0,4.08,512.04,0.3612,0.0,0.7
the director of the Opera I'm a general,514.08,6.319,517.2395,0.0,0.05000000000000002,0.3
as I was trying to say is 16 insults ago,517.26,5.399,519.9594999999999,-0.4215,0.0,0.3
I don't believe the emperor summoned us,520.399,4.121,522.4595,0.0,0.0,-0.7
on account of me at all he summoned us,522.659,3.541,524.4295,0.0,0.0,-0.7
on account of you,524.52,4.319,526.6795,0.0,0.0,0.6
what have I done I have an idea someone,526.2,4.92,528.6600000000001,0.0,0.0,0.4
