text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
don't stand around go on home all of you,285.06,5.1,287.61,0.0,0.0,-0.7,-0.2747689487033399,-0.031228219178074845,-0.2393007973332015
what happened Constable well,287.22,4.64,289.54,0.2732,0.0,-0.7,-0.28128433261964336,-0.0314590624176934,-0.2394399912282148
has been another murder,290.16,3.9,292.11,-0.6908,0.0,-0.7,-0.2894937412222208,-0.03173806793968372,-0.23973426411904777
there's nothing you can do I told you to,291.86,4.98,294.35,0.0,0.0,-0.7,-0.29622194129613094,-0.03195513852290923,-0.24008565534881784
go home go on,294.06,2.78,295.45,0.0,0.0,0.4,-0.2993825913364225,-0.03205293330322381,-0.24028861054884698
oh just a minute Miss,300.08,4.72,302.44,-0.1531,0.0,-0.4,-0.317320951276148,-0.03254160098384575,-0.2419933024548061
are you alone,302.759,3.72,304.619,-0.25,0.0,0.5,-0.32217595979113467,-0.032647975632879245,-0.24265276726789498
you work out at the Warren home don't,304.8,2.459,306.0295,0.0,0.0,0.2,-0.32513749635268396,-0.03270543566654475,-0.24310725397189098
that's nearly two miles from here you'd,307.259,3.121,308.8195,0.0,0.1,0.4,-0.33058385531218404,-0.03279305677483854,-0.2440633714831268
better hurry if you're gonna get there,309.3,3.619,311.1095,0.4404,0.5,-0.5,-0.33465340927373494,-0.03283948083857507,-0.24489802220124313
before dark,310.38,2.539,311.6495,0.0,-0.15,0.4,-0.33556128885667397,-0.03284711876609839,-0.24510061482496795
got any ideas who did it Constable yeah,319.979,5.761,322.8595,0.296,0.0,0.6,-0.3501396141166427,-0.03272902862587315,-0.24963674141513068
same fellow did the first one same fella,323.639,4.261,325.7695,0.0,0.0833333333333333,0.4,-0.3526549845054938,-0.03261486790499904,-0.2508628518642404
did the second one but who he is I don't,325.74,4.44,327.96000000000004,0.0,0.0,-0.7,-0.35422229682344275,-0.032507072686534966,-0.2517825252171714
