Timecode List:,00:00:01.210,00:00:01.793,00:00:02.377,00:00:02.961,00:01:19.663,00:04:00.657,00:04:12.377,00:04:30.437,00:06:56.791,00:07:06.343,00:07:08.845,00:07:16.728,00:07:17.729,00:07:22.484,00:07:25.528,00:07:30.909,00:07:39.334,00:07:56.893,00:08:06.820,00:08:08.780,00:08:38.351,00:08:41.062,00:08:43.398,00:09:07.922,00:09:09.924,00:09:20.977,00:09:28.651,00:10:24.082,00:10:27.001,00:10:30.046,00:10:43.893,00:10:47.313,00:10:48.982,00:10:50.859,00:11:03.162,00:11:04.664,00:11:08.084,00:11:22.307,00:11:33.359,00:11:35.361,00:11:39.449,00:11:41.951,00:11:44.537,00:12:45.306,00:13:27.932,00:13:30.518,00:14:01.841,00:15:24.590,00:15:52.160,00:15:54.328,00:16:10.303,00:16:13.764,00:16:56.641,00:17:15.451,00:17:23.376,00:17:25.836,00:22:15.918,00:22:24.009,00:22:26.136,00:22:28.597,00:22:46.824,00:23:02.339,00:23:11.181,00:23:20.232,00:23:28.032,00:23:37.416,00:23:41.795,00:23:47.676,00:23:51.597,00:24:05.235,00:24:08.030,00:24:16.955,00:24:36.350,00:24:42.356,00:25:27.359,00:26:25.000,00:26:26.919,00:26:28.420,00:26:56.031,00:26:57.574,00:27:04.081,00:27:06.291,00:27:09.419,00:27:11.588,00:27:12.798,00:27:15.634,00:27:19.763,00:27:27.604,00:33:50.403,00:34:36.908,00:34:47.335,00:34:58.013,00:35:15.947,00:35:18.366,00:35:20.952,00:35:23.038,00:36:34.067,00:36:40.615,00:36:46.579,00:36:48.706,00:36:51.459,00:36:55.046,00:36:59.676,00:37:04.097,00:37:07.183,00:37:09.352,00:37:12.897,00:37:31.458,00:37:34.836,00:37:58.735,00:38:01.821,00:38:06.284,00:38:08.161,00:38:13.416,00:38:15.877,00:38:33.978,00:38:43.238,00:39:55.560,00:40:13.661,00:40:30.845,00:41:35.410,00:42:02.019,00:42:10.820,00:42:16.451,00:42:27.044,00:42:28.880,00:42:38.014,00:42:40.975,00:42:42.560,00:44:36.966,00:44:55.443,00:45:01.365,00:45:08.915,00:45:14.921,00:45:38.402,00:45:42.406,00:45:47.662,00:45:55.419,00:45:58.673,00:46:08.766,00:46:14.438,00:47:55.456,00:49:58.287,00:51:06.730,00:51:21.620,00:51:28.294,00:51:40.681,00:52:37.237,00:52:39.448,00:53:15.734,00:53:21.448,00:54:16.670,00:54:39.943,00:55:47.094,00:56:17.833,00:56:19.668,00:57:28.779,00:57:35.577,00:57:40.582,00:58:06.566,00:58:09.653,00:59:10.797,00:59:14.384,01:00:27.415,01:00:35.173,01:00:41.221,01:00:48.687,01:00:54.109,01:01:00.740,01:01:06.788,01:01:12.335,01:01:42.824,01:01:48.622,01:01:51.541,01:01:52.792,01:02:07.432,01:02:09.476,01:03:43.820,01:10:35.273,01:10:54.125,01:11:02.633,01:11:11.976,01:11:15.688,01:11:19.442,01:11:29.452,01:11:56.354,01:12:09.367,01:12:11.994,01:13:10.845,01:13:23.733,01:13:38.414,01:13:56.682,01:14:04.190,01:14:18.120,01:14:37.765,01:14:40.226,01:14:56.784,01:15:13.134,01:15:31.235,01:15:47.668,01:15:51.338,01:16:07.396,01:16:11.358,01:16:15.154,01:16:38.761,01:16:41.180,01:16:52.024,01:16:56.654,01:17:05.329,01:17:07.331,01:17:09.583,01:17:37.027,01:18:20.029,01:18:23.616,01:19:08.953,01:19:53.539,01:21:42.147,01:21:58.455,01:22:09.550,01:22:33.949,01:22:47.379,01:23:38.931,01:24:08.377,01:24:12.130,01:24:50.168,01:25:10.147,01:25:18.113
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,29,00:00:01.210,1.210,29,00:00:01.210,1.210
2,30,00:00:01.210,1.210,43,00:00:01.793,1.793,14,00:00:00.584,0.584
3,44,00:00:01.793,1.793,57,00:00:02.377,2.377,14,00:00:00.584,0.584
4,58,00:00:02.377,2.377,71,00:00:02.961,2.961,14,00:00:00.584,0.584
5,72,00:00:02.961,2.961,1910,00:01:19.663,79.663,1839,00:01:16.702,76.702
6,1911,00:01:19.663,79.663,5770,00:04:00.657,240.657,3860,00:02:40.994,160.994
7,5771,00:04:00.657,240.657,6051,00:04:12.377,252.377,281,00:00:11.720,11.720
8,6052,00:04:12.377,252.377,6484,00:04:30.437,270.437,433,00:00:18.060,18.060
9,6485,00:04:30.437,270.437,9993,00:06:56.791,416.791,3509,00:02:26.355,146.355
10,9994,00:06:56.791,416.791,10222,00:07:06.343,426.343,229,00:00:09.551,9.551
11,10223,00:07:06.343,426.343,10282,00:07:08.845,428.845,60,00:00:02.502,2.502
12,10283,00:07:08.845,428.845,10471,00:07:16.728,436.728,189,00:00:07.883,7.883
13,10472,00:07:16.728,436.728,10495,00:07:17.729,437.729,24,00:00:01.001,1.001
14,10496,00:07:17.729,437.729,10609,00:07:22.484,442.484,114,00:00:04.755,4.755
15,10610,00:07:22.484,442.484,10682,00:07:25.528,445.528,73,00:00:03.045,3.045
16,10683,00:07:25.528,445.528,10811,00:07:30.909,450.909,129,00:00:05.380,5.380
17,10812,00:07:30.909,450.909,11013,00:07:39.334,459.334,202,00:00:08.425,8.425
18,11014,00:07:39.334,459.334,11434,00:07:56.893,476.893,421,00:00:17.559,17.559
19,11435,00:07:56.893,476.893,11672,00:08:06.820,486.820,238,00:00:09.927,9.927
20,11673,00:08:06.820,486.820,11719,00:08:08.780,488.780,47,00:00:01.960,1.960
21,11720,00:08:08.780,488.780,12428,00:08:38.351,518.351,709,00:00:29.571,29.571
22,12429,00:08:38.351,518.351,12493,00:08:41.062,521.062,65,00:00:02.711,2.711
23,12494,00:08:41.062,521.062,12549,00:08:43.398,523.398,56,00:00:02.336,2.336
24,12550,00:08:43.398,523.398,13137,00:09:07.922,547.922,588,00:00:24.524,24.524
25,13138,00:09:07.922,547.922,13185,00:09:09.924,549.924,48,00:00:02.002,2.002
26,13186,00:09:09.924,549.924,13450,00:09:20.977,560.977,265,00:00:11.053,11.053
27,13451,00:09:20.977,560.977,13634,00:09:28.651,568.651,184,00:00:07.674,7.674
28,13635,00:09:28.651,568.651,14963,00:10:24.082,624.082,1329,00:00:55.430,55.430
29,14964,00:10:24.082,624.082,15033,00:10:27.001,627.001,70,00:00:02.920,2.920
30,15034,00:10:27.001,627.001,15106,00:10:30.046,630.046,73,00:00:03.045,3.045
31,15107,00:10:30.046,630.046,15438,00:10:43.893,643.893,332,00:00:13.847,13.847
32,15439,00:10:43.893,643.893,15520,00:10:47.313,647.313,82,00:00:03.420,3.420
33,15521,00:10:47.313,647.313,15560,00:10:48.982,648.982,40,00:00:01.668,1.668
34,15561,00:10:48.982,648.982,15605,00:10:50.859,650.859,45,00:00:01.877,1.877
35,15606,00:10:50.859,650.859,15900,00:11:03.162,663.162,295,00:00:12.304,12.304
36,15901,00:11:03.162,663.162,15936,00:11:04.664,664.664,36,00:00:01.501,1.501
37,15937,00:11:04.664,664.664,16018,00:11:08.084,668.084,82,00:00:03.420,3.420
38,16019,00:11:08.084,668.084,16359,00:11:22.307,682.307,341,00:00:14.223,14.223
39,16360,00:11:22.307,682.307,16624,00:11:33.359,693.359,265,00:00:11.053,11.053
40,16625,00:11:33.359,693.359,16672,00:11:35.361,695.361,48,00:00:02.002,2.002
41,16673,00:11:35.361,695.361,16770,00:11:39.449,699.449,98,00:00:04.087,4.087
42,16771,00:11:39.449,699.449,16830,00:11:41.951,701.951,60,00:00:02.502,2.502
43,16831,00:11:41.951,701.951,16892,00:11:44.537,704.537,62,00:00:02.586,2.586
44,16893,00:11:44.537,704.537,18349,00:12:45.306,765.306,1457,00:01:00.769,60.769
45,18350,00:12:45.306,765.306,19371,00:13:27.932,807.932,1022,00:00:42.626,42.626
46,19372,00:13:27.932,807.932,19433,00:13:30.518,810.518,62,00:00:02.586,2.586
47,19434,00:13:30.518,810.518,20184,00:14:01.841,841.841,751,00:00:31.323,31.323
48,20185,00:14:01.841,841.841,22168,00:15:24.590,924.590,1984,00:01:22.749,82.749
49,22169,00:15:24.590,924.590,22829,00:15:52.160,952.160,661,00:00:27.569,27.569
50,22830,00:15:52.160,952.160,22881,00:15:54.328,954.328,52,00:00:02.169,2.169
51,22882,00:15:54.328,954.328,23264,00:16:10.303,970.303,383,00:00:15.974,15.974
52,23265,00:16:10.303,970.303,23347,00:16:13.764,973.764,83,00:00:03.462,3.462
53,23348,00:16:13.764,973.764,24375,00:16:56.641,1016.641,1028,00:00:42.876,42.876
54,24376,00:16:56.641,1016.641,24826,00:17:15.451,1035.451,451,00:00:18.810,18.810
55,24827,00:17:15.451,1035.451,25016,00:17:23.376,1043.376,190,00:00:07.925,7.925
56,25017,00:17:23.376,1043.376,25075,00:17:25.836,1045.836,59,00:00:02.461,2.461
57,25076,00:17:25.836,1045.836,32030,00:22:15.918,1335.918,6955,00:04:50.081,290.081
58,32031,00:22:15.918,1335.918,32224,00:22:24.009,1344.009,194,00:00:08.091,8.091
59,32225,00:22:24.009,1344.009,32275,00:22:26.136,1346.136,51,00:00:02.127,2.127
60,32276,00:22:26.136,1346.136,32334,00:22:28.597,1348.597,59,00:00:02.461,2.461
61,32335,00:22:28.597,1348.597,32771,00:22:46.824,1366.824,437,00:00:18.227,18.227
62,32772,00:22:46.824,1366.824,33143,00:23:02.339,1382.339,372,00:00:15.515,15.515
63,33144,00:23:02.339,1382.339,33355,00:23:11.181,1391.181,212,00:00:08.842,8.842
64,33356,00:23:11.181,1391.181,33572,00:23:20.232,1400.232,217,00:00:09.051,9.051
65,33573,00:23:20.232,1400.232,33759,00:23:28.032,1408.032,187,00:00:07.799,7.799
66,33760,00:23:28.032,1408.032,33984,00:23:37.416,1417.416,225,00:00:09.384,9.384
67,33985,00:23:37.416,1417.416,34089,00:23:41.795,1421.795,105,00:00:04.379,4.379
68,34090,00:23:41.795,1421.795,34230,00:23:47.676,1427.676,141,00:00:05.881,5.881
69,34231,00:23:47.676,1427.676,34324,00:23:51.597,1431.597,94,00:00:03.921,3.921
