text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
I got a story to tell.,57.425,1.25,58.05,0.0,0.0,0.5,0.17225601672556595,-0.04535260503756094,0.2547848918596723
A yarn about cow country and cow punchers.,59.383,2.292,60.529,0.0,-0.1222222222222222,0.5,0.16974433055774352,-0.04192295169400109,0.25364495611390864
Cattle and men.,62.133,1.042,62.654,0.0,0.0,0.7,0.16763693636100221,-0.03913989520948416,0.25268170659140554
"I was working for the Strobie Ranch
learning my trade.",63.966,2.709,65.3205,0.0,0.0,0.4,0.16505163655409752,-0.0358484247358317,0.2514909961728089
"Trade of worn leather,
saddle blisters and branding irons.",67.175,2.958,68.654,-0.296,0.0,-0.7,0.16191134931008824,-0.032040835821190064,0.25003033568109306
"Trade with some song,
some fun and some luck.",71.008,2.5,72.258,0.743,0.3,0.7,0.1586296481579228,-0.028297838820201787,0.24848560626992022
"It was as good a job
as a man could ask for.",74.841,2.167,75.9245,0.4404,0.7,0.8,0.15541050584482288,-0.02487588185766069,0.2469503401117531
"Lonely, sometimes cold.",78.008,1.583,78.7995,-0.3612,-0.35,-0.7,0.1529696032539879,-0.022456599920104795,0.2457717446370046
"So much distance,
you thought you'd never get back,",79.925,2.5,81.175,0.0,0.1,-0.7,0.15100746556234362,-0.02062785012008781,0.24481446997165263
"but for me, a young kid,
it was a fine time.",83.633,2.167,84.7165,0.296,0.2583333333333333,0.7,0.14817315914315352,-0.01817939729209638,0.2434148158097569
Memories are mostly good.,86.55,1.333,87.2165,0.4404,0.7,0.7,0.1462372722541864,-0.01664577193509242,0.24244637559192295
"You're up there on top of the world,
where the air was clear and thin.",89.008,3.583,90.7995,0.5267,0.0666666666666666,0.2,0.14355533368726187,-0.014719698565660083,0.2410863262224489
The only sound was the wind in the pines.,93.341,2.375,94.5285,0.0,0.2,0.7,0.14087855855238662,-0.013043645128622747,0.2397053247583748
We were in the business of growing beef.,96.925,2.0,97.925,0.1779,0.0,0.7,0.13854072140152046,-0.011797312751521124,0.23847760897844075
"Always moving the cattle
and looking for new feed.",99.133,2.5,100.383,0.0,0.1363636363636363,0.4,0.13690777212408284,-0.011055993676715482,0.23760681642421436
They were those new bald-faced heifers.,103.3,2.166,104.383,0.0,0.1363636363636363,-0.7,0.13435486105433495,-0.010126863729449029,0.23622105576238653
"Not like the longhorns,
wild and spooky but friendly critters.",105.55,4.333,107.7165,0.5782,0.2375,0.7,0.13232495517587484,-0.009604481995721892,0.23509542011422688
Gentle as a dog.,110.466,1.209,111.0705,0.4404,0.2,0.7,0.13037091656171695,-0.009299582069858299,0.23398926211478277
Seasons melted away peacefully,112.966,2.125,114.0285,0.5267,0.25,0.7,0.1287202122345061,-0.009206532968906066,0.23303537180282483
"from spring to summer, fall, then winter.",115.175,3.708,117.029,0.0,0.0,0.5,0.1271144837268169,-0.00927327199811978,0.23208823608680842
"Cows had to look out
for themselves in the snow.",119.8,2.375,120.9875,0.0,0.0,0.2,0.1251005257891652,-0.009597663234571086,0.23086975351151715
The winter drift.,122.842,1.0,123.342,0.0,0.0,0.5,0.12395828315554774,-0.009912097129079516,0.23016152336358026
"Soon as a man on horseback
could get around,",125.382,2.125,126.4445,0.0,0.0,0.4,0.12251573656101311,-0.010457845433447455,0.2292468365074821
they'd go out and locate the cattle.,127.592,1.833,128.5085,0.0,0.0,0.6,0.12159505721307842,-0.010900193290284296,0.22864986275132562
Spot them for the spring roundup.,130.092,1.665,130.92450000000002,0.0,0.0,0.6,0.12055653275092454,-0.011494867479966102,0.22796265142832786
"They'd come back
from the winter drift cold and worn out.",133.092,2.833,134.50850000000003,-0.296,-0.3,-0.7,0.11909287623899013,-0.012522223962889175,0.2269659043654387
Our foreman was Owen Daybright.,138.05,1.582,138.841,0.0,0.0,0.4,0.11744444454381874,-0.013980252984362868,0.22579657563239142
He knew what he was doing.,140.132,1.335,140.7995,0.0,0.0,0.7,0.11674208402787899,-0.014711679382450394,0.22528055581722398
We all liked him.,141.925,1.0,142.425,0.4215,0.6,0.8,0.1161791515375562,-0.015350929430815554,0.2248581397215912
There was his foster brother Lee Strobie.,144.507,2.085,145.5495,0.0,0.0,0.2,0.11514755549416254,-0.01665733459998928,0.2240609530613101
Their father owned the ranch.,147.882,1.46,148.612,0.0,0.0,0.2,0.11420009570747806,-0.0180304965356132,0.22329818981723137
"The night they got back,
the trouble began.",149.925,2.125,150.9875,-0.4019,-0.1,-0.7,0.11350801740434416,-0.019153982769809074,0.22271902846293606
"Well, look what's turned up.",152.342,1.5,153.092,0.2732,0.0,0.4,0.11292579683088247,-0.02018879259890005,0.2222149348521986
"Hiya, Cal.",153.967,1.0,154.467,0.0,0.0,0.7,0.11256093565428571,-0.020883716130256094,0.22189009629689616
People still drink whiskey.,155.175,1.375,155.8625,0.0,0.0,0.3,0.11220309612279013,-0.021603385240872477,0.22156403246760478
"-Hiya, Lee.
-Beat down to my shoes.",156.842,2.083,157.88350000000003,0.0,-0.1555555555555555,-0.7,0.11170694952902206,-0.022669875889837928,0.22109822231676013
"That's what comes from working for someone
you've known too long, Lee.",159.3,3.457,161.0285,0.0,-0.05,0.2,0.11098629097010945,-0.024381908989668875,0.22038823271459984
Seen my wife this winter?,167.717,1.125,168.2795,0.0,0.0,0.2,0.1095585854630431,-0.02853140912217455,0.21881876074306084
"Jen comes into town
a couple of times with your old man.",168.925,2.75,170.3,0.0,0.1,0.3,0.10921767293274065,-0.029727798033038808,0.21839778855677058
How'd Arch look?,171.925,1.0,172.425,0.0,0.0,0.4,0.10888538226173074,-0.031000553213286115,0.2179625657562703
"Oh, just fair, I'd say.
Cold weather always seems to bother him.",173.007,3.25,174.632,-0.0258,0.0499999999999999,0.2,0.10856845269401694,-0.032335497452130164,0.2175186077361924
How'd Jen look?,176.592,1.0,177.092,0.0,0.0,0.2,0.10824863760931179,-0.033835773174696646,0.21703330015256647
"The way to find that out
is go home and see for yourself.",178.132,2.835,179.5495,0.0,0.0,0.5,0.10796391326694527,-0.03534371493229456,0.21655838337078778
"-Yes.
-Can I borrow your razor, Cal?",181.05,1.707,181.9035,0.4019,0.0,0.5,0.10772334371118332,-0.03679316910411946,0.2161126028867364
"-I don't want to scare her.
-In the back.",182.842,1.915,183.7995,0.3412,0.0,-0.7,0.10755218649189591,-0.03796182801517787,0.21575996040090734
"-Keeping you busy, Doc?
-A night doesn't go by…",185.092,1.75,185.967,0.0,0.1,0.5,0.10738094134242238,-0.03929669559254644,0.21536372541178161
They've been trying to get him all-day,186.925,1.542,187.696,0.0,0.0,-0.7,0.10726282104275282,-0.04035893676888331,0.21505286569450552
"for that girl who used to work
at the Eaton house.",188.55,2.457,189.7785,0.0,0.0,0.4,0.10714208209823059,-0.04163325422444069,0.21468451130437693
I wouldn't know her name.,193.925,1.292,194.571,0.0,0.0,-0.7,0.10695215350089742,-0.04453231871750215,0.21386148416454046
"What's her trouble, Doc?",198.342,1.208,198.94600000000003,-0.4019,-0.2,0.2,0.10688350447170217,-0.04711830747150137,0.21313941496376448
"Oh, small variety.",199.842,1.665,200.6745,0.0,-0.25,0.4,0.10688334456309505,-0.048119059913409236,0.2128616344224002
About that big.,202.217,1.04,202.737,0.0,0.0,0.4,0.10690281070423288,-0.049294887795524815,0.21253562576346635
"Arrived a couple of hours ago,
they tell me.",203.757,2.168,204.841,0.0,0.0,0.2,0.10694444344594123,-0.05047160174249688,0.21220907631940952
"-You wouldn't go?
-That's right.",208.217,1.958,209.19600000000003,0.0,0.2857142857142857,0.8,0.1070992646072263,-0.05282371276885645,0.21155206326715895
"I don't take calls like this
until I hear from the father,",210.757,2.918,212.216,-0.2755,0.0,-0.7,0.10725990333436673,-0.054379448119834486,0.21111105626737456
and that isn't likely.,214.717,1.125,215.2795,0.0,0.0,-0.7,0.1074664432779483,-0.05588605535796256,0.2106755812013215
"There's a rifle on you, cowboy.",227.967,1.583,228.75850000000003,0.0,0.0,-0.7,0.10887442154540125,-0.06146874478247583,0.20889423021896822
"Get down and walk over here
so I can see who you are.",231.507,2.418,232.716,0.0,-0.1555555555555555,0.4,0.10943508837504594,-0.06272237054797213,0.20841046392350912
Get down now!,235.507,1.0,236.007,0.0,-0.1944444444444444,0.8,0.1099497206303862,-0.06361003764347983,0.20802088785801695
"-Owen, is that you?
-Yes.",242.882,3.125,244.4445,0.4019,0.0,0.5,0.11146195751808989,-0.06517583148514704,0.20707217366510539
