text,start,duration,time_midpoint
the hemlines rise and fall the bustle,80.299,6.221,83.40950000000001
was blossomed and disappear the hips,84.119,4.441,86.3395
grow Broad and narrow with the changing,86.52,3.12,88.08
but the big windows in the department,89.64,3.54,91.41
stores don't tell the story of the dress,91.08,4.499,93.3295
business that story is in the New York,93.18,4.86,95.61000000000001
garment Center half a mile square and,95.579,4.801,97.97949999999999
two blocks high the billion dollar dress,98.04,4.619,100.3495
capital of America built on a vault of,100.38,4.8,102.78
cloth and a foolish question how do I,102.659,4.28,104.799
the lives and fortunes of hundreds of,106.939,4.54,109.20899999999999
thousands of people hang on the answer,109.799,4.32,111.959
to that question and this is the story,111.479,4.441,113.6995
of a few of them,114.119,4.441,116.3395
there was a man named Sam Cooper a,115.92,6.62,119.23
fellow named Teddy Sherman and oh yes,118.56,7.519,122.3195
there was a girl,122.54,3.539,124.3095
you wait another year it'll be two years,126.299,3.841,128.2195
then ten years and you'll never do it,128.16,3.42,129.87
but I forget Harriet she still says no,130.14,3.0,131.64
and I tell you Sam she's got to say yes,131.58,2.82,132.99
how can I make her say yes if you keep,133.14,2.7,134.48999999999998
saying no she said yes when you married,134.4,3.479,136.1395
her 20 years ago she lost to have it,135.84,3.96,137.82
I'll talk to her myself it won't do any,137.879,2.701,139.2295
to come into town today I'll convince,142.14,3.42,143.85
her we'll meet for lunch but we live all,144.18,2.639,145.4995
the way up Long Island it's still,145.56,3.899,147.5095
America she doesn't need a passport Sam,146.819,5.461,149.5495
this means our whole future,149.459,5.64,152.279
but even if she comes she says yes the,155.099,3.72,156.959
two of us alone is no good are you going,156.84,3.96,158.82
to talk to Teddy,158.819,3.721,160.6795
I'm not so sure he's right for us he,160.8,4.2,162.9
leaves me he's the best at least talk to,162.54,5.779,165.4295
him what's to be afraid,165.0,3.319,166.6595
I'll think about it just leave it to me,168.36,5.3,171.01000000000002
I have not left everything to you,169.92,3.74,171.79
that number 807 is going like uranium,175.98,3.96,177.95999999999998
and what I've got is worth more than,178.319,4.221,180.4295
oh they want you out there Sam and you,183.0,5.58,185.79
too Harriet in 807.,185.76,5.399,188.4595
oh I'm so pooped it's like living in a,188.58,4.92,191.04000000000002
malted milk machine out there,191.159,5.641,193.9795
yeah the smorgasbord has a ride made,193.5,5.84,196.42
I don't wish to be blinded by your,199.5,6.98,202.99
radiant Beauty who's indecent I am,201.42,5.06,203.95
okay I'm not equipped with radar so,207.36,5.34,210.03
brief me where do I go above face and,209.819,4.681,212.15949999999998
square wait a minute,212.7,4.86,215.13
Miss Boyd present Miss Boyd is present I,214.5,5.76,217.38
have the communication Teddy Sherman our,217.56,4.62,219.87
Ace salesman is back from his triumphant,220.26,3.96,222.23999999999998
March through Georgia he sends you his,222.18,4.8,224.58
love tell him I refuse delivery,224.22,5.579,227.0095
what's he doing boasting what else he,226.98,4.74,229.35
sold a billion dollars worth of dresses,229.799,3.841,231.7195
for the owners of this sweat chapter on,231.72,4.32,233.88
their knees kissing their shoes but why,233.64,4.56,235.92
bother with him when I got two passes to,236.04,4.08,238.07999999999998
the Roxy wait till they cut your second,238.2,4.86,240.63
teeth that's a date missed boy in the,240.12,4.679,242.4595
meantime Mrs Pulver Market Kelly and,243.06,3.539,244.8295
Bettina request your presence at once,244.799,3.961,246.7795
the buyers are waiting and the main toy,246.599,4.92,249.059
should change oh Harriet look out for,248.76,6.619,252.0695
number one a material,251.519,3.86,253.449
tell me one thing Miss boy if I had,262.639,4.84,265.059
money could you learn to love me for my,265.74,3.92,267.7
number 807 1095,274.56,3.859,276.4895
number 807 109. the lead number of our,286.28,4.3,288.42999999999995
line savings that's the hardest number,289.5,2.82,290.91
we've had in four years I can show any,290.58,2.88,292.02
of the orders even I don't believe them,292.32,2.52,293.58
no and we've got it in a full range of,293.46,2.58,294.75
colors including the new and Sensational,294.84,3.359,296.5195
Riviera Bays that's exclusive now what,296.04,3.96,298.02000000000004
did you say this material was that's,298.199,3.301,299.84950000000003
just washing the meat cotton and you can,300.0,3.419,301.7095
also get it in a benberg rayon Miss Come,301.5,4.74,303.87
a Little Closer here please,303.419,5.821,306.3295
oh yes very good,306.24,5.7,309.09000000000003
yeah that's a nice number say Miss I,309.24,4.44,311.46000000000004
think I've seen you here before yes,311.94,3.539,313.7095
you're the young lady who says she goes,313.68,3.78,315.57
to night school or did you say you have,315.479,6.5,318.729
a sick mother I've said both Mr Savage,317.46,4.519,319.7195
Harriet where's friend what's happened,324.419,3.901,326.36949999999996
to her she's changing Mr povamega Ida,325.919,3.961,327.8995
you Harriet Teddy wants to show 807. and,329.88,4.98,332.37
Ida if you see far eyes tell him it's,333.06,3.479,334.7995
time for my milk,334.86,4.08,336.90000000000003
hello Miss Pearson when did you get to,336.539,4.641,338.85949999999997
what are you afraid of the chose like a,346.139,4.201,348.2395
plunging neckline hey how about that,348.539,4.521,350.79949999999997
well miss Boyd,354.539,4.981,357.0295
well come on honey hurry up I could be,357.66,3.36,359.34000000000003
getting rich,359.52,3.42,361.22999999999996
are you gonna talk to him I haven't,361.02,4.38,363.21
decided yet the side Harriet if my wife,362.94,3.599,364.7395
says yes we're missing you for a chance,365.4,2.579,366.68949999999995
to change her mind,366.539,4.021,368.54949999999997
this 807 is the biggest thing we've got,367.979,4.56,370.25899999999996
and I want you to go all out on it I,370.56,4.56,372.84
still like that last one the last I,372.539,4.081,374.5795
wouldn't sell it to you it's positively,375.12,3.72,376.98
a dog and honey listen you do understand,376.62,4.68,378.96
about tonight oh yes I believe you were,378.84,4.46,381.07
saying something about standing me up,381.3,4.56,383.58
absolutely not you and I are definitely,383.3,4.36,385.48
doing the town tonight if I can break,385.86,5.04,388.38
away number 807 1095. well now here we,387.66,5.64,390.48
are this is Paul but kills 807 there's,390.9,4.44,393.12
nothing in the 1095 feel to compare with,393.3,4.2,395.40000000000003
it not bad any chance for an exclusive,395.34,3.96,397.32
spit on your pencil rightly some big,397.5,3.18,399.09
numbers I'll see what I can do because,399.3,2.94,400.77000000000004
Boyd if you please I'd like Miss Griggs,400.68,3.72,402.54
to see this one the best Advantage what,402.24,4.2,404.34000000000003
do you know for lunch fasting what about,404.4,3.78,406.28999999999996
tonight reading a small print from,406.44,3.24,408.06
women's wear to my blind grandmother,408.18,4.859,410.6095
very funny well I see you're having,409.68,5.28,412.32
trouble getting an exclusive too honey,413.039,3.6,414.839
are you kidding I'm an old friend of the,414.96,2.76,416.34
I can use 50 units 50.,417.72,6.24,420.84000000000003
look I'm going to do something for you I,422.22,3.0,423.72
wouldn't do for anyone else Harriet on,423.96,2.64,425.28
your way out tell Ida to bring me that,425.22,3.84,427.14000000000004
reorder blank 50. I thought you were on,426.6,4.02,428.61
a buying spree,429.06,3.06,430.59
you're taking me out to dinner aren't,430.62,3.54,432.39
you let's see what else you can talk me,432.12,4.799,434.5195
into tonight well sure you know I want,434.16,4.259,436.28950000000003
to take you it's only the,436.919,3.421,438.6295
I'll tell you what I'll do I'll get on,438.419,3.18,440.00899999999996
the phone right now and see if I can't,440.34,3.919,442.29949999999997
break that other date,441.599,5.1,444.149
this boy I am going to give you another,444.259,4.301,446.40950000000004
crack of the giant jackpot the,446.699,4.321,448.8595
Invitational dinner is still open,448.56,4.62,450.87
oh now is this a nice way to greet a,451.02,3.36,452.7
fellow who's been on the road for four,453.18,2.76,454.56
months has it been,454.38,3.96,456.36
has been I never knew the time to pass,455.94,3.72,457.8
so it was so pleasant,458.34,2.639,459.6595
ly I like the way you're finding it but,459.66,3.84,461.58000000000004
you know somewhere now milk for Mr,460.979,4.5,463.229
Pulver Marcus Alta somewhere you've,463.5,3.539,465.2695
gotten a very false impression of my,465.479,4.141,467.54949999999997
character pretty darling Oh it's so good,467.039,4.44,469.259
to see control yourself your wrinkle the,469.62,4.26,471.75
merchandise at what time tonight what,471.479,4.261,473.60949999999997
time tonight well I don't think Fran,473.88,3.599,475.6795
