text,start,duration,time_midpoint,vader,textblob,llama3
once upon a time when Britain was very,77.65,5.98,80.64,0.0,0.2,0.7
rich deep in the vaults of the Bank of,80.9,5.04,83.42,0.5574,0.1875,0.4
England there was more gold than any,83.63,5.13,86.195,0.0,0.5,0.2
balance in the world safe,85.94,5.76,88.82,0.4404,0.5,0.2
people used to say safe as the Bank of,88.76,5.39,91.455,0.4404,0.5,0.8
England here it is mr. Montpelier I,91.7,4.65,94.025,0.0,0.0,0.4
trust you will not be disappointed with,94.15,5.77,97.035,0.7054,-0.75,0.7
its rosy design on the contrary it seems,96.35,6.69,99.695,0.0,0.0,0.4
to me a thing of beauty if not a joy if,99.92,8.28,104.06,0.1847,-0.4,0.7
I ever allow me Oliver it looks good it,103.04,8.609,107.3445,0.5859,0.7,0.6
feels good it is good and there's only,108.2,5.79,111.095,0.7003,0.4666666666666666,0.4
one other like it issued in connection,111.649,4.89,114.094,0.3612,-0.125,0.7
with the foreign loan yes we read about,113.99,5.34,116.66,0.4019,-0.125,0.3
it that's what gave us the idea the idea,116.539,4.921,118.9995,0.0,0.0,0.7
I suppose it does seem a little curious,119.33,4.41,121.535,0.2516,-0.14375,0.3
that we should need such a large sum in,121.46,4.62,123.77,0.0,0.10714285714285714,-0.7
the form of one Nick it certainly is an,123.74,5.01,126.245,0.34,0.21428571428571427,0.4
unusual request I imagine it's for a,126.08,3.81,127.985,0.0,0.2,0.2
business transaction,128.75,3.0,130.25,0.0,0.0,0.4
any important business isn't it roaring,129.89,3.9,131.83999999999995,0.2023,0.4,0.4
should we tell mr. Garrett you leave me,131.75,4.11,133.805,-0.0516,0.0,0.5
no alternative you see mr. Garrett,133.79,4.35,135.965,-0.296,0.0,-0.7
my brother and I require this pretty,135.86,5.09,138.405,0.5789,0.25,0.7
exquisite unique little scrap of paper,138.14,8.49,142.385,0.0,0.3958333333333333,0.8
for a bed a bit can you say a bit very,140.95,7.69,144.795,0.0,0.2,0.3
important bit differently you are,146.63,4.77,149.015,0.2023,0.2,0.5
stumped you I'm astounded as the purpose,148.64,4.8,151.04,0.4215,0.0,0.7
for which you require this noot I must,151.4,4.94,153.87,0.0,0.0,0.4
tell you you call it a a scrap of paper,153.44,5.73,156.305,0.0,0.0,0.2
allow me to draw your attention to the,156.34,6.25,159.465,0.2263,0.0,0.2
text I promise to pay the bearer on,159.17,7.73,163.035,0.2263,0.0,0.8
demand the son of 1 million pound,162.59,12.169,168.6745,-0.128,0.0,0.8
this consulate is not provided with,202.69,5.43,205.405,0.0,0.0,-0.7
funds by the United States government,205.76,5.85,208.685,0.4215,0.0,0.6
for the assistance of needy Americans in,208.12,6.7,211.47,-0.34,0.0,0.7
London well that's too bad I'd have,211.61,4.2,213.71,-0.34,-0.6999999999999998,-0.7
thought this would be just the place,214.82,2.88,216.26,0.0,0.0,-0.7
well that doesn't mean we're not anxious,215.81,4.26,217.94,0.4291,-0.09375,-0.7
to help I'd find your berth in a cargo,217.7,3.93,219.665,0.4019,0.0,0.6
ship and you could work your passage,220.07,3.389,221.7645,0.0,0.0,0.6
home what there been a chance that I,221.63,3.48,223.37,0.25,0.0,0.4
could find work here well if you like to,223.459,3.121,225.0195,0.5574,0.0,0.6
go back in a week or two we'll make,225.11,4.23,227.225,0.0,0.0,0.4
inquiries a week that's a long time I,226.58,5.01,229.085,0.0,-0.05,-0.7
could just get a little money to last me,229.34,3.66,231.17,0.0,-0.09375,-0.7
through the next few days I can find,231.59,3.45,233.315,0.0,-0.1,0.2
work for myself you can give you a small,233.0,4.739,235.3695,0.0,-0.25,0.7
loan if you can guarantee repayment can,235.04,5.76,237.92,0.25,0.0,0.7
you offer us any kind of security well,237.739,4.711,240.0945,0.4951,0.6,0.6
I've got a head on my shoulders and good,240.8,4.2,242.9,0.4404,0.7,0.7
pair of hands unless you don't trust me,242.45,4.2,244.55,-0.4023,0.0,0.4
that security isn't it there's no,245.0,3.78,246.89,0.5086,0.0,-0.7
security at all many people pass through,246.65,4.32,248.81,0.34,0.5,0.2
this office making similar requests if,248.78,3.78,250.67,0.0,0.0,0.2
we made an exception we wouldn't know,250.97,3.359,252.6495,0.0,0.0,-0.5
where to stop well if you like I'll,252.56,3.87,254.495,0.34,0.0,0.2
report back to you every day sorry it,254.329,3.03,255.844,-0.0772,-0.25,-0.7
can't be done,256.43,2.82,257.84000000000003,0.0,0.0,-0.8
now for the price of one shilling you,257.359,3.541,259.1295,0.0,0.0,0.6
can join the Anglo American Society,259.25,3.15,260.825,0.296,0.0,0.5
that'll put you in touch with people in,260.9,2.46,262.13,0.0,0.0,0.4
a position to help you,262.4,3.54,264.17,0.4019,0.0,0.7
and I think on the whole I'd better try,263.36,3.48,265.1,0.4404,0.35,0.4
to help my son,265.94,3.15,267.515,0.4019,0.0,0.8
well that's up to you sir come back if,266.84,8.16,270.92,0.2732,0.0,0.2
you have no luck they'll do that glad,269.09,12.98,275.58,0.1331,0.5,0.4
one of those of course sorry all gone,275.0,7.07,278.535,-0.0772,-0.5,-0.7
lovely muffin muffin,300.15,6.3,303.29999999999995,0.5859,0.5,0.8
fresh puppies,303.13,3.32,304.79,0.3182,0.3,0.8
young man would you step inside a moment,340.919,7.141,344.4895,0.0,0.1,0.5
me sir yes you through the front door on,348.06,6.09,351.105,0.4019,0.0,0.4
Thanks good morning sir,355.169,19.06,364.699,0.7003,0.44999999999999996,0.7
will you please come in permit me to,366.039,10.88,371.479,0.3182,0.0,0.5
read the ways,374.229,2.69,375.574,0.0,0.0,0.4
the young gentleman sir thank you James,394.419,3.97,396.404,0.3612,0.1,0.7
that'll be all,397.46,6.03,400.475,0.0,0.0,0.4
how do you do mr. Adams Henry Adams how,398.389,10.831,403.8045,0.0,0.0,0.4
much sit down mr. Adams thank you you're,403.49,7.35,407.165,0.3612,0.022222222222222213,0.2
an American mr. Adams,409.22,4.08,411.2600000000001,0.0,0.0,0.4
that's right from New England how well,410.84,4.32,413.0,0.2732,0.21103896103896103,0.7
do you know London well not at all sir,413.3,4.56,415.58,0.2732,0.0,-0.7
it's my first trip here I wonder mr.,415.16,4.71,417.515,0.0,0.25,0.2
Adams if you'd mind us to ask you a few,417.86,4.77,420.245,0.0,-0.2,0.5
questions right here maybe ask what,419.87,4.289,422.0145,0.0,0.2857142857142857,0.3
you're doing in this country and what,422.63,3.36,424.31,0.0,0.0,0.2
your plans are one thing at a time all,424.159,3.031,425.6745,0.0,0.0,0.4
of that well then I can't say that I,425.99,3.079,427.5295,0.2732,0.0,-0.7
have any plans and hoping to find work,427.19,4.259,429.3195,0.4215,0.0,0.4
as a matter of fact I had landed in,429.069,4.811,431.4745,0.0258,0.0,0.3
Britain by accident how is that possible,431.449,4.081,433.4895,-0.4767,0.0,0.3
well you see back home I have my own,433.88,3.84,435.8,0.2732,0.3,0.2
little cutter oh she's just a 14-footer,435.53,4.02,437.54,0.0,-0.1875,0.4
but I get a lot of fun out of her well,437.72,4.379,439.9095,0.7964,0.3,0.7
four weeks ago last Saturday I was,439.55,8.57,443.835,0.0,0.0,0.2
sailing out of the bay oh go on,442.099,8.551,446.3745,0.0,0.0,0.7
what was that you were sailing out of,448.12,8.38,452.31,0.0,0.0,0.2
the bay oh yes well towards dusk I found,450.65,7.739,454.5195,0.5859,0.0,0.5
myself in the thick of a westerly gale I,456.5,3.84,458.42,0.0,-0.30000000000000004,0.4
did the only thing I couldn't ran before,458.389,4.5,460.639,0.0,0.0,-0.7
it all night next morning I'd just about,460.34,5.04,462.86,0.0,0.0,0.3
given myself up to lost and I was,462.889,4.291,465.0345,-0.3182,0.0,-0.7
spotted by a brick and it was the rig,465.38,3.42,467.09,-0.128,0.0,0.2
that brought you to England that's right,467.18,3.69,469.025,0.0,0.2857142857142857,0.4
I earned my passage by working as an,468.8,4.83,471.215,0.0,0.0,0.6
unpaid hand which accounts for my,470.87,4.979,473.3595,0.4939,0.2,0.3
somewhat disreputable appearance you,473.63,3.42,475.34,0.0,0.0,-0.7
mustn't worry about that,475.849,5.731,478.7145,0.3412,0.0,0.3
it's a positive advantage Fred I don't,477.05,6.51,480.305,0.6808,0.22727272727272727,0.4
quite follow you sir tell us mr. Adams,481.58,4.35,483.755,0.0,0.0,0.4
what sort of work were you engaged in I,483.56,5.699,486.4095,0.4019,0.0,0.2
had a job with a shipbuilding firm would,485.93,4.799,488.3295,0.0,-0.2,0.4
I be right in thinking that you two,489.259,2.97,490.744,0.0,0.2857142857142857,0.4
might be able to offer me some kind of,490.729,3.421,492.4395,0.0,0.55,0.3
work patience mr. head in his patience,492.229,4.41,494.434,0.0,0.0,0.5
it's not an indelicate question have you,494.15,5.819,497.0595,0.0,0.0,0.4
any money I want to tell you the truth,496.639,7.441,500.3595,0.3818,0.0,0.6
my bankroll is zero what Roderick,499.969,8.51,504.224,0.0,0.0,0.4
luck may seem lucky to you gentlemen,504.08,7.709,507.9345,0.7003,0.3333333333333333,-0.7
it's not very lucky to me this is your,508.479,5.081,511.0195,-0.3713,-0.1282051282051282,-0.7
idea some kind of a joke I don't think,511.789,4.8,514.189,0.296,0.6,0.2
it's very funny now if you'll excuse me,513.56,4.83,515.9749999999999,0.5413,0.1375,0.7
I'll be on my way please don't go mr.,516.589,2.311,517.7445,0.3182,0.0,0.4
you mustn't think very insensitive even,518.9,3.38,520.59,0.2222,0.2,0.4
though my brother is a little tactless,520.67,5.88,523.61,0.0,-0.1875,0.2
Oliver give him the letter I was about,522.28,7.32,525.9399999999999,0.0,0.0,0.3
to say the same thing myself,526.55,3.05,528.0749999999999,0.0,0.0,0.7
the letter for me for you oh no you must,541.11,10.029,546.1245,-0.296,0.0,0.4
nope Nick not yet you may open it Adam,548.889,6.031,551.9045,0.0,0.0,0.2
two o'clock at a moment before this is,551.139,5.461,553.8695,0.0,0.0,0.2
ridiculous it's not ridiculous there's,554.92,6.599,558.2194999999999,-0.1002,-0.08333333333333333,0.3
money in it oh well now listen to me I,556.6,6.599,559.8995,0.2732,0.0,0.2
don't need your charity all I wants an,561.519,3.601,563.3195000000001,-0.3252,0.2,-0.7
honest job of work if you can't he she,563.199,3.57,564.9839999999999,0.5106,0.6,0.2
ate your honesty mr. Adams,565.12,3.769,567.0045,0.4939,0.0,0.3
that's why we've given you the letter,566.769,4.651,569.0945,0.0,0.0,-0.7
Jane so mr. Adams out,568.889,4.93,571.354,0.0,0.0,0.3
good luck mr. Adams why don't you,571.42,4.289,573.5645,0.7096,0.7,0.6
explain what this is all about you'll,573.819,4.5,576.069,0.0,0.0,-0.5
soon know at two o'clock mr. Adams,575.709,7.17,579.294,0.0,0.0,0.3
in exactly one hour and ten minutes one,578.319,10.56,583.5989999999999,0.0,0.125,0.2
hour and 10 minutes this way sir mr.,582.879,10.25,588.004,0.0,0.0,0.2
Adams not until two o'clock,588.879,13.01,595.384,0.0,0.0,0.2
promise promise goodbye,593.129,8.76,597.509,0.5574,0.0,0.2
honest intelligent stranger to London,607.72,5.35,610.395,0.743,0.7,0.7
not a penny with which to bless himself,611.06,4.28,613.1999999999999,0.4215,0.0,-0.8
that one preserved this way please take,648.55,13.38,655.24,0.3182,0.0,0.2
the cinemas or Oh Hollis,658.97,2.96,660.45,0.0,0.0,0.4
have some ham and eggs and a nice big,680.84,5.32,683.5,0.4215,0.3,0.7
juicy steak with all the trimmings and,683.97,4.8,686.37,0.0,0.0,0.8
make it extra thick cost a tiny bit,686.16,4.74,688.53,0.0,-0.10000000000000002,0.4
that's understood and a long cool,688.77,4.25,690.895,0.3182,0.15,0.7
tankard of ale,690.9,47.239,714.5195,0.0,0.0,0.7
waiter same thing again please,740.639,10.75,746.014,0.3182,0.0,0.2
again that's right fill letter anything,744.97,11.699,750.8195000000001,0.0,0.2857142857142857,0.4
wrong no no sir hmm he's asked for,751.389,9.271,756.0245,-0.2987,-0.5,-0.7
another portion Halen or do you think he,756.669,7.17,760.254,0.0,0.0,0.4
can pay we have to chance it,760.66,6.419,763.8695,0.1531,0.0,0.4
serve him Horace but don't spare the,763.839,13.11,770.394,0.0,0.0,0.6
gristle MX steak potatoes beans carrots,767.079,12.391,773.2745,0.0,0.0,0.4
twice trifle cheese coffee two quarts of,776.949,6.38,780.139,0.0,0.0,0.2
a3 in temperature thank you,779.47,5.76,782.35,0.3612,0.0,0.5
would you mind waiting just a few,783.329,4.3,785.4789999999999,0.0,-0.2,0.5
minutes what's it to wait for all right,785.23,9.799,790.1295,0.0,0.2857142857142857,0.3
boys that was a wonderful meal you know,787.629,10.2,792.729,0.5719,1.0,0.7
it's amazing how much pleasure you get,795.029,4.511,797.2845,0.8176,0.4,0.8
out of the simple things if you have to,797.829,3.3,799.4789999999999,0.0,0.0,0.7
get along without them for a while very,799.54,3.599,801.3394999999999,0.0,0.2,0.7
interesting and now perhaps if you pay,801.129,3.15,802.7040000000001,0.3182,0.5,0.3
the bill I could attend to the other,803.139,4.26,805.269,0.0,-0.125,0.2
customers that clock of yours is it,804.279,5.941,807.2495,0.0,0.0,0.4
correct if anything it's fast that's,807.399,8.79,811.794,0.0,0.2,-0.7
fast how fast two minutes oh thank you,810.22,8.369,814.4045,0.3612,0.2,0.7
now I don't wish to be unpleasant but,816.189,5.101,818.7395,-0.3977,-0.6499999999999999,-0.7
would you please settle the bill I want,818.589,7.321,822.2495,0.3818,0.0,0.2
to but you see the bill please yes I,821.29,11.099,826.8394999999999,0.7579,0.0,0.2
don't know exactly well I don't suppose,825.91,8.219,830.0195,-0.2057,0.25,-0.5
a couple of minutes will make any,832.389,3.761,834.2695,0.0,0.0,0.7
difference,834.129,14.571,841.4145,0.0,0.0,0.2
I I'm awfully sorry but I don't have,852.94,25.02,865.45,-0.0763,-0.5,-0.7
anything smaller well hey just one,868.27,10.37,873.4549999999999,0.2732,0.0,0.7
Maggie look do you think it's real,878.64,14.999,886.1395,0.0,0.2,0.4
mr. Janus mr. Clemmons mr. Clements what,893.8,6.4,897.0,0.0,0.0,0.5
it would you like is looking at this,896.99,14.409,904.1945,0.3612,0.0,0.2
do you think it's genuine two notes of,912.22,7.44,915.94,0.0,0.4,0.2
this denomination have been issued but,917.8,3.3,919.45,0.0,0.0,0.2
in any case it's hardly likely to be a,919.66,3.54,921.43,0.0,0.0,-0.7
forgery why not it won't draw too much,921.1,4.02,923.11,0.0,0.2,-0.7
attention to the owner no Roger would,923.2,4.32,925.36,-0.296,0.0,-0.7
want their look at the owner mr. Kevin,925.12,3.33,926.785,0.0772,0.0,0.4
Zeese emags,927.52,8.04,931.54,0.0,0.0,0.3
I can only assume he's an eccentric,928.45,9.68,933.29,0.0,0.0,0.7
millionaire,935.56,2.57,936.845,0.0,0.0,0.3
gonna take him at once I'm sorry sir but,940.38,7.75,944.255,-0.0387,-0.5,-0.7
I cannot change the note that's all I,945.31,5.37,947.995,0.0,0.0,-0.7
have on me oh oh please don't worry sir,948.13,4.38,950.32,0.5727,0.0,0.7
it's a no consequence no consequence at,950.68,3.81,952.585,-0.0803,0.0,0.2
all we're most gratified that you said,952.51,3.51,954.265,0.4391,0.5,0.7
so much a step foot inside our little,954.49,3.12,956.05,0.0,0.0062500000000000056,0.7
establishment indeed sir,956.02,2.67,957.355,0.0,0.0,0.4
I trust you will come here whenever,957.61,3.42,959.32,0.5106,0.0,0.7
you're seeking peace and quiet oh that's,958.69,4.29,960.835,0.5423,0.0,0.4
very good of you good sir it's good of,961.03,3.69,962.875,0.8399,0.7699999999999999,0.8
you sir you must come whenever you want,962.98,3.66,964.81,0.0772,0.0,0.8
and have whatever you like the mere,964.72,3.9,966.67,0.3612,-0.5,0.5
honor of your presence is a reward in,966.64,5.34,969.31,0.7845,0.0,0.8
itself I may not be passing this way for,968.62,4.95,971.095,0.0,0.0,0.2
quite a while it would be a very poor,971.98,3.6,973.78,-0.5256,-0.52,-0.7
things if I couldn't trust the gentleman,973.57,3.96,975.55,-0.4023,0.0,-0.7
as which is yourself sir even if you do,975.58,3.21,977.185,0.0,0.0,0.4
play knocks upon the public in the,977.53,3.57,979.315,0.34,0.0,0.4
method of dress as for the bill sir,978.79,5.07,981.325,0.0,0.0,0.4
please forget it it's of no consequence,981.1,5.73,983.965,-0.2023,0.0,-0.7
no consequence at all thank you very,983.86,5.19,986.455,0.0772,0.2,0.5
much there that's very nice oh it's,986.83,4.86,989.26,0.4754,0.49,0.7
master thank you sir and I do sir from,989.05,6.05,992.075,0.3612,0.0,0.6
the bottom of my heart,991.69,3.41,993.395,0.6369,0.0,0.8
did you want something sir you remember,1051.08,5.11,1053.635,0.0772,0.0,0.3
me yes well I've got to see your,1054.51,4.74,1056.88,0.5859,0.0,0.4
employer's again I mean they've gone I'm,1056.19,6.24,1059.31,0.0,-0.3125,0.3
gone abroad but they were here just an,1059.25,5.01,1061.755,0.0,0.0,-0.7
hour ago they will be back in a month a,1062.43,6.5,1065.68,0.0,0.0,0.2
month from today but I can't believe it,1064.26,4.67,1066.595,0.0,0.0,-0.7
being closed banknote is led to you for,1098.22,6.84,1101.64,0.0,-0.1,-0.7
one month if you return it intact at the,1101.49,6.51,1104.745,0.2023,0.0,0.3
end of that time usually have any job,1105.06,5.06,1107.59,0.0,-0.25,-0.7
that it is within our power to give you,1108.0,5.4,1110.7,0.0,0.0,0.7
may interest you to know we have a bet,1110.12,5.73,1112.985,0.4588,0.0,0.4
the dirty piece of paper ball on baby,1189.41,4.86,1191.84,-0.4404,-0.6,-0.7
on the day of judgment hey all the damn,1210.49,7.75,1214.365,-0.4019,0.0,-0.8
judgment for the Dutchman on the day of,1214.01,6.71,1217.365,0.0,0.0,0.2
behave yourself,1258.09,3.39,1259.785,0.0,0.0,0.4
you know I'd like to have a suit I,1309.279,3.071,1310.8145,0.3612,0.0,0.4
thought you might have something,1311.539,8.61,1315.844,0.0,0.0,0.4
ready-made you'll attend to hmm,1312.35,11.699,1318.1995,0.0,0.0,0.4
I want a suit please something I can,1320.149,7.081,1323.6895,0.3818,0.0,0.2
walk out it ready-made suits down the,1324.049,16.47,1332.284,0.0,-0.15555555555555559,0.3
stairs I hate to interrupt but would you,1327.23,15.98,1335.22,-0.4678,-0.8,-0.7
like to show me some ready-made suits,1340.519,4.561,1342.7995,0.3612,0.0,0.6
yes I daresay we can fit you up soon,1343.21,2.89,1344.655,0.6369,0.4,0.7
this way please,1345.08,3.24,1346.6999999999998,0.3182,0.0,0.5
I thought you might have something that,1346.1,3.6,1347.9,0.0,0.0,0.2
was made up for another customer and,1348.32,2.729,1349.6844999999998,0.0,0.0,0.4
that collected well we doing going for,1349.7,2.79,1351.095,0.2732,0.0,-0.7
that sort of thing isn't oh here we are,1351.049,4.98,1353.539,0.0,0.0,0.3
the very thing tell Todd to serve him,1352.49,5.01,1354.995,0.0,0.2,0.4
quickly and get him out of the side door,1356.029,6.661,1359.3595,0.0,0.3333333333333333,0.4
he is a sort of thing that's born in,1357.5,6.6,1360.8,0.0,0.0,0.2
England now adays oh yes that's all the,1362.69,7.949,1366.6645,0.4019,0.0,0.4
fashion I'll try the trousers mr. weed,1364.1,7.59,1367.895,0.0,0.0,0.4
says you've got to get him out of the,1370.639,3.0,1372.139,0.0,0.0,-0.7
side entrance and quick I know what I'm,1371.69,10.8,1377.09,0.0,0.3333333333333333,0.4
doing a good eyes I'm not sir it's a,1373.639,10.831,1379.0545,0.4404,0.7,0.3
little noisy isn't no we do wonder,1382.49,3.39,1384.185,0.056,-0.1875,0.3
better sir all things considered then,1384.47,3.329,1386.1345,0.4404,0.5,0.7
your little difficult for sighs you know,1385.88,4.289,1388.0245000000002,-0.2975,-0.34375,0.3
yes so I am well it'll do for the time,1387.799,4.23,1389.914,0.6204,0.0,0.4
being I'll take it good shall I wrap it,1390.169,4.89,1392.614,0.4404,0.7,0.4
no I'll wear it oh I'd rather not pay,1392.029,4.591,1394.3245,-0.2273,0.0,-0.5
you now if you don't mind I'd like to,1395.059,3.21,1396.664,-0.2755,0.0,0.4
open an account and settle with you in a,1396.62,2.01,1397.625,0.0,0.0,0.4
you see I don't happen to have any small,1398.63,7.649,1402.4545,0.0,-0.25,0.3
change here we go I suppose a gentleman,1402.35,5.189,1404.9444999999998,0.0,0.0,0.4
like you can only be expected to carry,1406.279,2.28,1407.419,0.3612,-0.05,-0.7
large change,1407.539,3.211,1409.1445,0.0,0.21428571428571427,0.5
now look here Sonny if I were you I,1408.559,3.72,1410.419,0.0,0.0,0.7
wouldn't judge strangers by the clothes,1410.75,2.76,1412.13,0.0,0.0,-0.7
they were I just don't want to embarrass,1412.279,3.78,1414.169,0.1695,0.0,-0.7
you with a large note I meant no offense,1413.51,4.23,1415.625,0.1877,0.21428571428571427,0.4
but while rebukes are in the air what,1416.059,2.941,1417.5295,0.0,0.0,-0.7
makes you think we can't change a large,1417.74,5.7,1420.59,0.0,0.21428571428571427,0.2
note as a matter of fact we can in that,1419.0,8.59,1423.295,0.0258,0.0,0.5
case there's no problem,1423.44,22.75,1434.815,0.3089,0.0,0.7
what's up what's the trouble what's one,1457.02,3.94,1458.99,-0.4019,-0.2,0.2
thing I'm just waiting for my change I,1459.01,3.63,1460.825,0.0,0.0,-0.7
come come give him his change target,1460.96,14.31,1468.115,0.0,0.0,-0.7
going change what could it is easy would,1462.64,13.86,1469.5700000000002,0.4404,0.43333333333333335,0.4
it be the one I saw in the papers on,1475.27,3.12,1476.83,0.0,0.0,0.2
wouldn't see Oh was it Thursday,1476.5,4.38,1478.69,0.0,0.0,0.2
I remember thinking but never would I be,1478.39,4.73,1480.755,0.0,0.0,-0.7
blessed with the feel of such a notices,1480.88,4.77,1483.265,0.5994,0.0,0.7
