text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
the ma Mr L oh wait mran I have a notice,83.799,5.041,86.3195,0.5766,0.0,0.2,0.04064597756340549,-0.22986046910596616,0.12924769369991182
for the staff yes sir has the sign,86.799,3.68,88.63900000000001,0.4019,0.0,-0.7,0.03954237170146776,-0.22990251530779546,0.12791871691221535
painter finished changing the fir name,88.84,3.4,90.54,0.0,0.0,0.4,0.038663192877979466,-0.229942310520703,0.1268504397783686
only on the lobby door said be sure to,90.479,3.201,92.0795,0.34,0.25,0.2,0.03796779445122763,-0.22997792656819224,0.12599902931706872
have him remove Mr card's name from his,92.24,3.28,93.88,0.0,0.0,0.2,0.037173222973547144,-0.2300232897224689,0.1250187599798543
entrance also I've already attended to,93.68,3.92,95.64,0.0,0.0,0.4,0.036415913923311026,-0.23007135720179486,0.12407658414995487
that Mr LS all right this goes to,95.52,4.48,97.76,0.0,0.2857142857142857,0.4,0.035528977814018446,-0.23013394098033302,0.12296261406245433
everybody Market official notice to the,97.6,4.799,99.9995,0.0,0.0,0.2,0.03462182583791307,-0.2302053504078451,0.1218105125976282
staff no no crossout official that's,100.0,4.399,102.1995,0.2235,0.0,-0.7,0.0337602255542978,-0.23028051941497912,0.12070321591294768
childish yes,102.399,5.76,105.279,0.128,-0.2,0.4,0.03260291702461601,-0.23039355784220203,0.11919365380410506
sir uh effective today the firm,104.399,5.481,107.1395,0.4767,0.1999999999999999,0.4,0.03193102750397249,-0.23046598308709088,0.11830429052016123
previously known as L and cardu,108.159,4.121,110.2195,0.5766,-0.1666666666666666,0.6,0.03086348874978836,-0.23059218739964396,0.1168691201488763
Publishers shall be known as Henry L's,109.88,4.36,112.06,0.0,0.0,0.2,0.03025197078578641,-0.2306710867412355,0.11603343961461116
publisher new,112.28,4.28,114.42,0.0,0.1363636363636363,0.4,0.02949648093755851,-0.23077575355425042,0.11498567181609783
paragraph although my late lamented,114.24,5.04,116.76,-0.34,-0.3,-0.7,0.02877889415327897,-0.23088309800799356,0.11397297006580212
friend and partner Bill cardio uh Mr,116.56,4.36,118.74,0.4939,0.0,0.2,0.028195991505077227,-0.23097644977696885,0.11313626894042852
William cardio,119.28,3.28,120.92,0.0,0.0,0.3,0.027579738867272833,-0.23108164629998396,0.11223629825905783
passes thus officially from the business,120.92,4.239,123.0395,0.0,0.0,0.2,0.027006028076414355,-0.23118609947318547,0.11138248625111259
Scene It need hardly be said that his,122.56,4.8,124.96,0.0,-0.2916666666666667,0.3,0.026507662650111438,-0.2312823867033561,0.11062673358208043
memory will linger with us,125.159,5.681,127.9995,0.0,0.0,0.7,0.025760257453999052,-0.23143749766746607,0.1094650941949455
always in our heart of,127.36,7.68,131.2,0.6369,0.0,0.7,0.025027415648138412,-0.23160371460560955,0.1082871001198796
hearts that's awful Isn't it yes sir,130.84,5.72,133.70000000000002,0.0108,-0.720824601899625,-0.7,0.02449315087474516,-0.23173506736045782,0.10739881155994718
cross it out and use us the first,135.04,3.559,136.8195,0.0,0.125,0.2,0.023872880633174564,-0.23190015626169688,0.10632916477509594
paragraph it's been a year since Mr,136.56,4.12,138.62,0.0,0.0,0.3,0.023538070363498444,-0.23199575318033944,0.10573118588626383
cardu drowned that sort of thing might,138.599,3.241,140.21949999999998,-0.5994,-0.1,-0.7,0.02325474406958891,-0.23208071390967863,0.10521176672430692
taste have it mograph for the staff the,141.84,4.96,144.32,0.0,0.0,0.2,0.022588381217134253,-0.23229790575226336,0.10393039841233277
printer and the complete mailing,144.84,5.8,147.74,0.0,0.1,0.2,0.022097729310832922,-0.23247734859023544,0.10291626352932048
