text,start,duration,time_midpoint
what do you people want,107.759,4.72,110.119
do you have any pictures well why don't,110.64,3.92,112.6
one of us go see okay i'll be back in a,112.479,4.561,114.7595
week no he'll be right back then be,114.56,5.44,117.28
right back yeah look joe you all ready,117.04,4.88,119.48
all right i get set,120.0,3.11,121.555
there they go,121.92,2.72,123.28
here we go,124.64,2.479,125.87950000000001
and after every show the crowds get,141.28,3.36,142.96
bigger yeah remember when i used to be a,142.879,3.041,144.3995
scared of crowds,144.64,3.2,146.23999999999998
no more i like them they're only people,145.92,3.44,147.64
that's nice,147.84,3.6,149.64000000000001
heart someone's knocking at the door,149.36,5.04,151.88000000000002
answer it answer it all righty,151.44,5.6,154.24
oh hi eddie well hello eddie what,154.4,4.64,156.72
happened to you it took three cups of,157.04,3.44,158.76
the squad of ushers to get us into the,159.04,3.279,160.6795
theater boys i'd like you to meet miss,160.48,3.759,162.3595
lorelai how do you do hello miss lorelai,162.319,3.761,164.1995
how do you do,164.239,3.521,165.9995
oh that's our boy the biggest agent in,166.08,3.439,167.79950000000002
town and the easiest laugher yeah watch,167.76,4.08,169.79999999999998
miss lorelei i want you to meet there my,172.319,3.521,174.0795
mom and paul how do you do i'd like you,174.0,4.959,176.4795
to meet my mom and pop they ain't here,175.84,4.56,178.12
miss laurel is doing your story for the,178.959,3.2,180.559
american weekly you boys seem to have,180.4,3.68,182.24
more fun than the customers oh we do,182.159,3.201,183.7595
isn't it wonderful when people love,184.08,3.519,185.83950000000002
their work the food is ready oh can i,185.36,3.76,187.24
fix you a sandwich no i'll just take,187.599,3.36,189.279
some notes that's not very nourishing,189.12,2.88,190.56
here why don't you try some of this,190.959,3.681,192.7995
terrific corned beef and salon,192.0,4.08,194.04
oh yes we'll sit right down here and,194.64,3.36,196.32
we'll find out just how everything came,196.08,3.519,197.83950000000002
about now how long have you been in the,198.0,3.44,199.72
business about 12 years 12 years and,199.599,4.081,201.6395
where were you born scranton scranton oh,201.44,4.32,203.6
that is a coincidence were you boys born,203.68,3.21,205.285
in scranton no,205.76,2.559,207.0395
is this your first engagement at the,208.319,3.28,209.95899999999997
paramount oh i don't work here then what,209.84,3.44,211.56
are you doing here i came to get an,211.599,3.2,213.19899999999998
interview from you well you better hurry,213.28,3.039,214.7995
up we're almost done dear now what would,214.799,3.201,216.39950000000002
you like to know hey fellas two minutes,216.319,3.121,217.87949999999998
two minutes what happened to the time,218.0,2.48,219.24
you and pop do you want to go in the,219.44,2.24,220.56
wings and watch your shower did you,220.48,2.96,221.95999999999998
leave the props on the piano,221.68,3.119,223.23950000000002
joe what else do we have we don't use,224.799,3.761,226.67950000000002
the horns this show oh hold these mama,226.56,3.92,228.52
come on mr lie with us but i want to,228.56,3.84,230.48
know how you boys got together well what,230.48,3.839,232.3995
about it what do you expect to do next,232.4,3.039,233.9195
oh well we're going to play some more,234.319,3.12,235.879
theaters and keep working that's all,235.439,5.36,238.119
come on jump jump come on,237.439,3.36,239.119
what are you afraid of oh well we're on,247.2,3.84,249.11999999999998
you enter from that side and you end,249.439,3.681,251.27949999999998
from that side and you ready mr anthony,251.04,5.36,253.72
i sure am mr miller here we go rydel,253.12,6.969,256.60450000000003
so here he is harvey miller,256.4,12.67,262.73499999999996
ah i'd like to see how very happy and,282.16,2.96,283.64000000000004
thrilled we are ladies and gentlemen be,284.0,3.04,285.52
appearing here at the uh,285.12,4.16,287.2
paramount theater and uh how nice to see,287.04,3.599,288.83950000000004
all your nice people i could stay out,289.28,2.72,290.64
here for hours but the italian street,290.639,3.041,292.15950000000004
singer is getting old so i would like to,292.0,3.36,293.68
introduce my buddy pal and partner mr,293.68,4.799,296.0795
joe anthony hear you,295.36,3.119,296.9195
don't you want me to sing a song oh yeah,304.96,3.519,306.7195
but i thought you and i could do a song,307.039,3.6,308.839
to get a boat to get a boat yeah,308.479,3.271,310.11449999999996
wouldn't that be splendid,310.639,2.881,312.0795
that would be peachy oh shall we do one,313.52,4.51,315.775
yes oh thank you great white father,315.28,5.92,318.23999999999995
what would you do without me what would,322.08,3.679,323.91949999999997
you do boys,323.759,4.0,325.759
what would you do without me when i'm,325.759,3.361,327.4395
i sell my car and hook my ring and go,329.12,4.799,331.5195
right out and hire bugs that's what i do,331.6,4.56,333.88
without you that's what i do,333.919,4.321,336.0795
but tell me why would you do without me,336.16,4.4,338.36
what would you do boys,338.24,4.32,340.40000000000003
what would you do without me when i'm,340.56,3.6,342.36
i'd have no trouble replacing you i'd,344.16,4.16,346.24
just go down to the nearest zoo that's,346.24,4.67,348.575
what i do without you that's what i do,348.32,12.709,354.67449999999997
oh what would you do without me what,361.68,4.079,363.7195
would you do,363.68,4.0,365.68
what would you do without me when i'm,365.759,3.361,367.4395
when my bankroll's gone and i need some,369.12,3.68,370.96
dough you're always telling me where to,370.96,3.76,372.84
go see what would you do without me,372.8,5.48,375.54
what'd you do,374.72,3.56,376.5
just like brothers you and i,399.84,7.16,403.41999999999996
i'll go east i'll go west,402.56,4.44,404.78000000000003
oh what would you do without me what,409.039,4.081,411.0795
would you do boy,411.039,4.0,413.039
what would you do without me when i'm,413.12,3.44,414.84000000000003
i've been your students in your clown,416.56,4.7,418.91
who picks you up when you are down,418.479,6.031,421.49449999999996
who's always there loser wins always,425.68,5.079,428.2195
then it must be mr miller's family has,448.4,3.919,450.35949999999997
the theatrical background no no but you,450.0,5.599,452.7995
ask me i tell you when harvey is younger,452.319,5.6,455.119
his papa is number one golf champion in,455.599,3.761,457.4795
the whole country,457.919,4.321,460.0795
one day it was the final march,459.36,5.119,461.9195
father and son tournament,462.24,4.56,464.52
harvey miller senior wanted his son to,464.479,4.481,466.7195
be a great gulf champion too and,466.8,5.04,469.32
following his footprints cavist,468.96,6.679,472.29949999999997
i'll do my best dad,471.84,3.799,473.73949999999996
i'm sorry dad i missed the cup that is a,481.36,7.16,484.94
great drive harvey thank you,483.759,4.761,486.1395
remember if they're only people,500.56,4.56,502.84
what's the matter with you hit it those,502.8,4.239,504.9195
people are staring at me dead don't look,505.12,3.68,506.96
at them look at the ball,507.039,4.321,509.1995
look at the ball,508.8,2.56,510.08
now what's the matter it looked bad,516.64,6.879,520.0794999999999
now harvey hit that ball,519.519,4.0,521.519
hit it get it get it,526.64,4.6,528.9399999999999
now what about your son mr anthony,539.36,4.88,541.8000000000001
well i feel like harvey's papa,541.6,5.28,544.24
i want you to follow my footprints,544.24,5.279,546.8795
jump in joe we got a cast off,546.88,4.48,549.12
pop i don't want to fish anymore i get,549.519,4.641,551.8395
seasick you're crazy your grandpa don't,551.36,5.12,553.92
get seasick your papa don't get seasick,554.16,4.4,556.36
you don't get seasick,556.48,4.24,558.6
i don't feel so good already but sure we,558.56,3.839,560.4794999999999
don't leave the dock yet,560.72,4.32,562.88
here you into something you'll feel that,562.399,5.521,565.1595
ah wow you may be the sickest fisherman,565.04,4.32,567.1999999999999
in the ocean but you're gonna be a,567.92,2.479,569.1595
look pop you can't treat me like a kid,570.399,4.56,572.679
any longer i'm grown up from now on i'm,572.08,4.96,574.5600000000001
going to stand on my own two feet but on,574.959,4.801,577.3594999999999
go back here,580.399,4.961,582.8795
four years later joe is a big boy but,582.88,5.2,585.48
his sea legs no good he want to try his,585.36,4.72,587.72
line the legs,588.08,3.92,590.0400000000001
so he leave a home to take all kind of,590.08,4.4,592.2800000000001
jug he worked very hard but he don't,592.0,5.279,594.6395
like a digging d,594.48,2.799,595.8795
anthony you're through,598.399,3.761,600.2795
you sure i'm sure,600.32,4.16,602.4000000000001
and the boss is always speaking on,602.16,5.04,604.68
joe finally know just what he want to do,604.48,4.64,606.8000000000001
in life i want to go home to san,607.2,5.36,609.88
francisco how about it hop in,609.12,6.159,612.1995000000001
he was a plenty smart,612.56,5.44,615.28
in 40 years harvey grow up into a big,615.279,5.041,617.7995
boy too you hope someday to marry my,618.0,5.04,620.52
daughter lisa but that guy it was still,620.32,5.36,623.0
in his blood what time is mr fishing two,623.04,6.0,626.04
minutes to twelve harvey wow,625.68,5.839,628.5994999999999
miller yes mr baxter take lunch one hour,629.04,5.2,631.64
later today oh but skip but mr baxter i,631.519,4.721,633.8795
got tickets to see no butts miller your,634.24,5.2,636.84
lunch is at one o'clock,636.24,3.2,637.84
please harvey did mr baxter speak to you,640.56,3.44,642.28
yeah come on we're going online but,642.8,2.719,644.1595
harvey we can't mr baxter i don't care,644.0,3.12,645.56
what mr baxter said lee so we got,645.519,3.121,647.0795
tickets to see ben hogan play and we're,647.12,3.44,648.84
going to see him play now come on good,648.64,3.12,650.1999999999999
afternoon ladies and gentlemen this is,650.56,2.16,651.64
wendell niles bringing you a,651.76,2.079,652.7995
play-by-play account of the san,652.72,3.04,654.24
francisco it's a beautiful california,653.839,3.761,655.7195
day and everybody's having a wonderful,655.76,3.44,657.48
time ben hogan is stepping up to the,657.6,4.239,659.7195
ball now there's the back swing the ball,659.2,4.4,661.4000000000001
is in the air and it's beautiful it's,661.839,3.68,663.6790000000001
underneath that oh he's funny lisa,663.6,5.76,666.48
crowds don't seem to bother mr hogan,665.519,3.841,667.4395
i don't want to be a kill joy harvey,669.92,4.159,671.9995
darling but i'm worried about our jobs,671.76,3.519,673.5195
at the store,674.079,2.961,675.5595
you know how mr baxter is about,675.279,5.041,677.7995
employees taking too much time for lunch,677.04,6.479,680.2795
harvey i'm worried about mr baxter why,680.32,6.24,683.44
is he shot yet mr baxter our boss who,683.519,4.56,685.799
could fire you just like all the other,686.56,3.519,688.3195
mr baxters in your life,688.079,3.601,689.8795
and then we'll never be able to get,690.079,3.841,691.9994999999999
married i don't worry about money lisa i,691.68,4.24,693.8
bet a whole two-week salary on mr hogan,693.92,4.159,695.9995
harvey you did right through that pump,695.92,3.84,697.8399999999999
of trees or under a low-hanging bomb,698.079,4.161,700.1595
what a tough break for benny how about,699.76,3.44,701.48
two-week salary,703.2,6.079,706.2395
harvey what are we gonna do,705.839,3.44,707.5590000000001
come with me lisa,711.279,5.56,714.059
give me a nine iron please,713.04,3.799,714.9395
mr hogan this is a very important shot,727.12,3.92,729.08
to me and to me,729.44,4.16,731.5200000000001
well this is a very fair green mr hogan,731.04,4.0,733.04
and you're gonna need a lot of backspin,733.6,3.359,735.2795
so i suggest you use your wedge well if,735.04,4.16,737.12
you don't mind i'll use the nine-night,736.959,4.241,739.0794999999999
i just thought i'd mention it uh my name,739.2,3.84,741.12
is harvey miller jr how are you harvey,741.2,3.52,742.96
i'm fine how are you mr hogan how's the,743.04,2.64,744.36
fine thank you that's well come on son,745.68,4.959,748.1595
that mr organ shoot all right,747.6,7.16,751.1800000000001
that's a wet shot mr hogan,750.639,4.121,752.6995000000001
see what i mean mr hogan you're so right,761.279,3.921,763.2395
you see i played this course many times,763.519,5.88,766.4590000000001
with my dad and i'll tell you,765.2,4.199,767.2995000000001
i'll just push the clock back a little,781.2,4.24,783.32
bit so old skinhead won't know but old,782.72,6.0,785.72
skinhead does know well don't tell mr,785.44,5.68,788.2800000000001
uh yes mr bankster we're having a trippy,796.48,4.32,798.64
run on birds today birds band mitten,798.16,4.96,800.64
birds miller why,800.8,5.68,803.64
why did you take three hours for lunch,803.12,5.44,805.84
you see mr baxter i go to this terrific,806.48,4.2,808.58
little restaurant in dallas texas,808.56,12.93,815.025
yes mr baxter you're fired,823.76,4.36,825.9399999999999
watch where you're going boy oh i'm,842.8,3.92,844.76
sorry mr phillips i guess i was going,845.04,6.12,848.0999999999999
where i wasn't looking miller,846.72,4.44,848.94
all right reach backstage,892.399,6.0,895.399
no no no no no miller,896.079,6.401,899.2795
different story now ain't it backstage,898.399,6.401,901.5995
we were just having a little fun you are,902.48,4.52,904.74
having a little fun skinhead,904.8,4.64,907.12
it's a different story now the shoes on,909.44,3.759,911.3195000000001
the other foot,911.44,4.16,913.5200000000001
oh yeah that's your chance then baxter,913.199,6.561,916.4794999999999
no now miller mr baxter,915.6,4.16,917.6800000000001
oh i'm sorry,922.0,5.48,924.74
you look just like a rhinoceros,923.76,3.72,925.62
wait uh i did it and i'll fix it,927.6,3.91,929.5550000000001
one second yeah mr baxter miller yeah no,934.88,6.16,937.96
it's all right miller no i've,937.36,3.68,939.2
we got it didn't we that wasn't so hard,951.759,5.121,954.3195000000001
now was it,954.24,5.61,957.045
that's not funny,969.759,4.38,971.9490000000001
get off of there miller get up there,974.32,7.959,978.2995000000001
i'd like to give my two weeks notice,1015.759,3.681,1017.5995
yeah where's that winning smile come on,1022.48,4.559,1024.7595000000001
let's see that dim,1025.039,4.64,1027.359
no i'm no good for anything lisa i'll,1027.039,5.121,1029.5995
never smile again harvey miller is there,1029.679,4.721,1032.0395
any way to talk it's the only way i know,1032.16,3.519,1033.9195
look all great men have had to go,1035.679,2.88,1037.1190000000001
through bad times,1037.12,3.6,1038.9199999999998
you've read about them in books,1038.559,3.681,1040.3995
then when you're famous why you you'll,1040.72,4.479,1042.9595
look back and laugh,1042.24,2.959,1043.7195
just say i'm no good for anything,1047.12,3.919,1049.0794999999998
i let you down,1049.52,3.84,1051.44
go ahead okay,1051.039,3.601,1052.8395
harvey miller you're no good for,1053.36,3.84,1055.28
anything you let me down,1054.64,6.0,1057.64
geez sounds awful when you say it,1057.2,5.92,1060.16
i wish my brother joe was here,1060.64,4.32,1062.8000000000002
he's had a lot of experience in business,1063.12,4.16,1065.1999999999998
and he could help you find yourself i,1064.96,4.24,1067.08
ain't even looking for myself,1067.28,3.84,1069.2
all i know is gow,1069.2,4.64,1071.52
and i sure wish i could forget it,1071.12,5.84,1074.04
hey what why forget it,1073.84,5.76,1076.72
huh teach it why with all you know about,1076.96,5.52,1079.72
golf you'd be a cinch to open a school,1079.6,5.04,1082.12
you can stand people one at a time can't,1082.48,3.439,1084.1995
gee that's a good idea lisa,1087.28,3.84,1089.2
if i ever amount to anything,1091.12,4.0,1093.12
you'll be the woman behind the man that,1092.96,4.079,1094.9995000000001
made the man behind the gun,1095.12,4.16,1097.1999999999998
love the woman behind the man,1097.039,5.601,1099.8395
behind the gun,1099.28,3.36,1100.96
i got carried away,1102.799,4.041,1104.8195
good night harley good night,1104.88,5.039,1107.3995000000002
lisa good night,1106.84,4.92,1109.3
you know what the first thing in the,1111.76,3.84,1113.68
morning i'm gonna get organized,1113.36,4.319,1115.5194999999999
good night lisa,1115.6,5.48,1118.34
good night harvey,1117.679,3.401,1119.3795
mama reserved the church for february,1127.52,4.88,1129.96
but she couldn't postpone it again maybe,1129.76,4.56,1132.04
maybe she won't have to once i get my,1134.32,5.68,1137.1599999999999
school started that's right harvey,1136.08,3.92,1138.04
good night,1145.36,6.42,1148.57
i got carried away again,1155.679,26.541,1168.9495000000002
thanks a lot pal don't make too much,1200.16,3.68,1202.0
noise don't want to wake the folks i,1202.08,3.51,1203.835
haven't been home in years,1203.84,14.04,1210.86
this is my room,1261.679,5.12,1264.239
you're in my bed,1264.08,5.28,1266.72
see it tonight,1303.2,2.64,1304.52
you know there's somebody in this house,1323.679,5.201,1326.2795
you wait i got my harpoon guy come on,1325.36,7.96,1329.34
i found him in my bed it looks funny,1328.88,4.44,1331.1000000000001
get away from home so we rented him your,1341.12,4.64,1343.4399999999998
room joe yes he's a nice boy sure he's a,1343.12,4.32,1345.28
nice boy come on we're big show,1345.76,3.76,1347.64
something to eat,1347.44,4.56,1349.72
i've seen this before,1356.0,5.559,1358.7795
good night army,1358.159,3.4,1359.8590000000002
what is that better get used to him joe,1371.44,4.4,1373.64
he's going to be your brother-in-law,1373.679,4.721,1376.0395
oh that's not,1375.84,5.44,1378.56
my brother-in-law,1378.4,2.88,1379.8400000000001
you want some coffee,1382.0,4.32,1384.16
real hot coffee huh warm him up who,1384.0,5.6,1386.8
makes better coffee than mama huh nobody,1386.32,5.839,1389.2395
papa you are all finished it's just like,1389.6,5.12,1392.1599999999999
no yeah you you try it,1392.159,5.601,1394.9595000000002
there we go you look good,1394.72,5.839,1397.6395
good night nice oh mom she's good to,1397.76,5.6,1400.56
have joe back,1400.559,4.561,1402.8395
no you're home joe you got to throw all,1403.36,4.559,1405.6395
these tables out,1405.12,2.799,1406.5194999999999
pop here's five bucks buy yourself a new,1409.12,4.96,1411.6
oh sure well mama you you could buy a,1414.24,6.319,1417.3995
new dress huh,1417.76,2.799,1419.1595
hey by the way pop what does harvey do,1424.72,5.439,1427.4395
for a living oh he's a good boy he's in,1427.279,5.681,1430.1195
a working now,1430.159,2.801,1431.5595
now take the club back,1442.32,6.08,1445.36
slow and easy,1444.64,3.76,1446.5200000000002
you should keep your head down lisa,1448.96,6.48,1452.2
now swing straight out and follow,1452.32,6.12,1455.3799999999999
you please keep your head down,1459.919,5.441,1462.6395
let me show you lisa you're staying over,1463.36,4.16,1465.4399999999998
ten thousand dollars,1471.36,3.36,1473.04
what's going on here hey what are you,1484.159,3.441,1485.8795
doing harvey's gonna be a golf,1485.919,4.161,1487.9995000000001
instructor i'm his first pupil oh harvey,1487.6,5.199,1490.1995
this is my brother joe oh hello joe hi,1490.08,5.199,1492.6795
harvey hey you're pretty good oh thanks,1492.799,5.521,1495.5595
he's wonderful yeah but why teach why,1495.279,4.961,1497.7595
don't you play you ever read the sports,1498.32,3.44,1500.04
sections you can make a lot of money in,1500.24,4.799,1502.6395
those tournaments time time,1501.76,4.72,1504.12
tournaments tournaments tournaments no i,1506.48,3.679,1508.3195
can't play in front of people oh no,1510.159,3.361,1511.8395
people make him very nervous he's high,1511.84,4.56,1514.12
strung yes i'm strung very high,1513.52,4.56,1515.8
well you won all those trophies didn't,1516.4,3.68,1518.24
you oh no those were my fathers harvey,1518.08,5.04,1520.6
miles senior he was a great golfer,1520.08,4.64,1522.3999999999999
are these your fathers,1523.12,4.64,1525.4399999999998
oh no those are my baby shoes,1524.72,5.68,1527.56
oh you won these no i wore them you wore,1527.76,5.12,1530.32
yeah i never won anything i tighten up,1530.4,5.759,1533.2795
oh harvey you shouldn't tighten up,1532.88,5.039,1535.3995000000002
you got to relax,1536.159,5.201,1538.7595000000001
don't be jerky i can't help it,1537.919,5.921,1540.8795
joe you're good you think i spent all my,1546.159,4.161,1548.2395000000001
time in pool rooms you're a natural just,1548.24,3.919,1550.1995
like my dad he won five thousand dollars,1550.32,3.28,1551.96
of pinehurst and seven thousand dollars,1552.159,3.041,1553.6795000000002
a town of shanna and twenty thousand in,1553.6,2.88,1555.04
inverness and besides that they're,1555.2,2.32,1556.3600000000001
sporting goods companies with,1556.48,2.96,1557.96
endorsements and exhibition games go,1557.52,4.24,1559.6399999999999
ahead i'm out of breath you'd make a,1559.44,4.16,1561.52
wonderful combination yeah there's a,1561.76,3.2,1563.36
tournament opening in santa barbara in a,1563.6,2.64,1564.9199999999998
couple of weeks you could beat a player,1564.96,3.199,1566.5595
and i could beat a caddy there's a 500,1566.24,3.2,1567.84
that it buys a lot of furniture it would,1569.44,3.76,1571.3200000000002
mean work work and more work you have to,1571.2,3.359,1572.8795
bear down you know i think you're,1573.2,3.12,1574.76
running a fever,1574.559,3.681,1576.3995
i'm no golfer all you have to do is,1576.32,4.52,1578.58
put your soul button on for me,1596.32,3.52,1598.08
how do i put the cake,1603.6,2.88,1605.04
hey what's going on here it says welcome,1610.4,5.44,1613.1200000000001
home joe amore that means love,1612.72,4.88,1615.16
it's italian how'd you know,1615.84,4.719,1618.1995
i used to work here,1617.6,2.959,1619.0794999999998
he used to work here,1621.039,5.921,1623.9995
home uh from your triumphal tour joe and,1624.159,5.441,1626.8795
this time is for good too,1626.96,5.44,1629.68
joe like old time you sing a song for,1629.6,5.199,1632.1995
mama no mom not in front of all these,1632.4,6.56,1635.68
people joe you singer for,1634.799,5.161,1637.3795
where love is king,1641.44,5.599,1644.2395000000001
when boy meets girl,1644.0,7.72,1647.86
is what they see,1647.039,4.681,1649.3795
when the moon hits your eye like a big,1655.279,7.12,1658.839
pizza pie that's slowly,1658.24,4.159,1660.3195
when the world seems to shine like,1663.12,4.559,1665.3995
you've had too much wine that's a,1665.36,4.799,1667.7595
bells will ring tingling,1670.799,5.041,1673.3195
and you'll sing,1673.84,5.68,1676.6799999999998
the bella bravo,1675.84,7.8,1679.74
hearts will play to pretty,1679.52,4.12,1681.58
when you dance down the street with a,1694.88,6.799,1698.2795
cloud at your feet you're in love,1697.279,4.4,1699.479
when you walk,1703.12,5.439,1705.8394999999998
in a dream,1706.159,7.281,1709.7995
but you know you're not dreaming,1708.559,4.881,1710.9995
school's in me but you see black,1716.399,12.55,1722.674
that's amore,1736.159,6.531,1739.4245
when you dance down the,1762.48,6.439,1765.6995
at street feet,1765.36,3.559,1767.1395
but you know,1776.64,4.29,1778.785
you're not,1778.32,5.72,1781.1799999999998
much why not tomorrow,1806.96,4.959,1809.4395
when you are,1811.919,4.171,1814.0045
in a dream,1815.039,2.64,1816.359
but you know,1817.679,3.991,1819.6745
you're not dreaming,1819.679,13.36,1826.3590000000002
you eat i gotta make important,1847.84,3.04,1849.36
announcements,1849.52,3.759,1851.3995
tonight i tell you,1850.88,5.12,1853.44
is the finest night in the whole life of,1853.279,4.801,1855.6795
me and mama,1856.0,5.36,1858.68
like my papa and me soon they're gonna,1858.08,6.439,1861.2994999999999
be another fisherman in the family i see,1861.36,5.199,1863.9595
congratulations mama do you feel all,1864.519,4.28,1866.659
we've got to have back with us the,1873.279,4.561,1875.5595
second most finest fisherman in all,1875.84,3.28,1877.48
california,1877.84,4.16,1879.9199999999998
my son of joe,1879.12,2.88,1880.56
but last night i got to thinking old,1882.48,4.72,1884.84
boats not big enough for two big,1885.12,4.08,1887.1599999999999
fishermen like us so i talked to mr,1887.2,4.959,1889.6795
speziato this afternoon and i'm proud to,1889.2,6.0,1892.2
say he sold me the santa clara and i,1892.159,5.201,1894.7595000000001
give pop a good trade in a job what's,1895.2,4.0,1897.2
the matter captain,1897.36,5.12,1899.9199999999998
all we always 500 cash,1899.2,6.56,1902.48
500 bucks what pop why don't you ask me,1902.48,5.679,1905.3195
first but you come home you stop running,1905.76,3.68,1907.6
around the country like a hobo you got,1908.159,4.081,1910.1995000000002
home for good no well even if i did,1909.44,4.719,1911.7995
i don't want to be a fisherman now what,1912.24,5.4,1914.94
are you going to do,1914.159,3.481,1915.8995000000002
i'm gonna play golf cause you're gonna,1920.559,3.12,1922.119
a what's a golf what's a golf,1925.12,5.12,1927.6799999999998
i mean what's golf,1927.919,4.561,1930.1995000000002
you hit a little ball with the stick you,1930.24,3.84,1932.16
don't want to be a fisherman huh you,1932.48,3.6,1934.28
want to hit a little ball with a stick,1934.08,4.079,1936.1195
why there's a lot of money in it sure,1936.08,3.68,1937.9199999999998
pop if i win a couple tournaments i,1938.159,3.12,1939.719
could fish for 10 years and never make,1939.76,2.88,1941.2
that kind of money and i bet you never,1941.279,3.441,1942.9995
heard of ben hogan he won 10 000 in two,1942.64,3.68,1944.48
days at pinehurst you want to make a,1944.72,3.28,1946.3600000000001
living hitting a little boiler with a,1946.32,3.68,1948.1599999999999
stick and harvey's father won twenty,1948.0,3.679,1949.8395
thousand dollars at inverness and jimmy,1950.0,3.039,1951.5195
thompson won five thousand and tamara,1951.679,3.041,1953.1995000000002
shannon oh they won all this money half,1953.039,4.161,1955.1195
for what we had a little boiler with a,1954.72,4.24,1956.84
stick harvey well that's what he said,1957.2,3.92,1959.16
well he knows how to say it papa joe,1958.96,4.319,1961.1195
could be a great goal see huh i can see,1961.12,3.279,1962.7595
it all now,1963.279,2.88,1964.719
we're on the course at pinehurst there's,1964.399,3.361,1966.0794999999998
a thousand people following us we're,1966.159,3.52,1967.919
ready to tee off on the last hole now i,1967.76,3.759,1969.6395
hand joe the club he walks up to the,1969.679,3.921,1971.6395
ball very nonchalantly,1971.519,5.121,1974.0795
he takes aim he swings and it's a,1973.6,6.4,1976.8
screamer right down the fairway,1976.64,3.36,1978.3200000000002
then i hand him his nibbling what's this,1980.88,4.0,1982.88
that's a little sticker now he hits the,1983.039,3.841,1984.9595
ball right up on the green it's about 25,1984.88,3.76,1986.7600000000002
feet from the cup now if he sinks this,1986.88,3.76,1988.7600000000002
he beats hogan he'll be the new champ he,1988.64,4.48,1990.88
aims he putts and the ball is going,1990.64,4.24,1992.76
right for the cup it's at the cup and it,1993.12,5.6,1995.9199999999998
rims the edge and goes around and around,1994.88,7.919,1998.8395
and around and around,1998.72,4.079,2000.7595000000001
but it doesn't go in he don't go in but,2003.039,5.52,2005.799
wait hogan putts,2005.279,5.361,2007.9595
he hits his ball and it knocks joe's,2008.559,3.921,2010.5194999999999
ball right into the cup it's in the,2010.64,3.6,2012.44
scene we watch,2012.48,3.919,2014.4395
he's my son,2014.24,3.279,2015.8795
and they take him up to the judge's,2016.399,2.961,2017.8794999999998
stand and they give him his trophy he's,2017.519,3.441,2019.2395
the new champion then they present him,2019.36,3.679,2021.1995
with a ten thousand dollar check,2020.96,4.4,2023.16
i take it and pop i give you some money,2023.039,6.0,2026.039
you pay off the new boat i buy mama mink,2025.36,8.28,2029.5
you two send your kids to harvard,2029.039,4.601,2031.3395
they'll be doctors,2034.88,3.039,2036.3995000000002
trying to kill me joe,2041.84,3.8,2043.74
that's enough for today joe,2047.279,3.36,2048.959
here we are joe let's go on a register,2051.119,4.8,2053.5190000000002
me hey dig this rug they really live it,2058.839,4.681,2061.1794999999997
up here huh well yeah my dad used to,2061.839,3.04,2063.359
take me to all these places when i was a,2063.52,3.04,2065.04
kid and he said it's very important to,2064.879,4.081,2066.9195
socialize so mix mingle,2066.56,4.16,2068.64
names please uh this is joe anthony and,2070.72,3.919,2072.6794999999997
i'm javi miller jr,2072.96,3.919,2074.9195
joe anthony yes entered from san,2074.639,4.96,2077.119
