text,start,duration,time_midpoint,vader,textblob,llama3
from the maresas to the celes from,99.68,5.52,102.44,0.0,0.0,0.2
Sumatra to the hawaiis the idyllic peace,102.079,5.08,104.619,0.5423,0.0,0.8
and beauty of the South Pacific lay,105.2,4.879,107.6395,0.5859,0.0,0.7
undisturbed for centuries but the white,107.159,5.841,110.0795,0.0,0.0,0.5
man came eventually they rolled it up,110.079,5.0,112.579,0.0,0.0,0.2
put it in his pocket and took it home to,113.0,5.2,115.6,0.0,0.0,0.2
sell his great trading Empires like,115.079,5.36,117.759,0.765,0.8,-0.7
bjack limited the bat Jack of the,118.2,4.68,120.54,-0.2263,-0.07142857142857142,0.4
Dutchman marn Sydney reached out,120.439,5.68,123.279,0.1027,0.0,0.4
everywhere hungry greedy,122.88,5.84,125.8,-0.3182,0.0,-0.7
demanding it was in the year,126.119,5.521,128.8795,-0.2263,0.0,0.2
1860 I shipped out on the Red Witch a,128.72,5.68,131.56,-0.3612,0.0,0.5
flagship of the bjack line under the,131.64,6.5,134.89,0.1027,0.0,0.6
command of Captain r,134.4,18.68,143.74,0.0,0.0,0.2
clear let them down Mr luring they can,160.36,5.0,162.86,0.3818,-0.027777777777777783,-0.7
more Mr Rizo water,165.36,5.76,168.24,0.0,0.5,0.4
they've had enough Captain rolls did I,203.0,7.12,206.56,0.0,0.0,-0.7
ask your opinion you're getting it,205.239,4.881,207.6795,0.0,0.0,0.5
anybody else who wants to start a fight,218.439,4.041,220.4595,-0.3818,0.2,0.6
aboard this ship can see what he look,220.08,3.48,221.82,0.0258,0.0,0.3
like when he's,222.48,3.479,224.2195,0.3612,0.0,0.4
through I'll throw him in a,223.56,6.92,227.02,0.0,0.0,-0.7
break follow me Rosen,225.959,4.521,228.2195,0.0,0.0,0.4
it was strange sadistic and cold his,244.599,7.321,248.2595,-0.2023,-0.325,-0.7
eyes seemed to hold some hidden story,248.879,4.92,251.339,0.0,-0.16666666666666666,0.5
yet he commanded loyalty and a strange,251.92,4.96,254.4,0.4019,-0.05,0.4
devotion from those about him I was one,253.799,6.84,257.219,0.4588,0.0,0.7
of them my name is Rosen Sam Rosen and,256.88,5.44,259.6,0.0,0.0,0.3
this is my,260.639,6.681,263.97950000000003,0.0,0.0,0.5
story have me a pair of those glasses,262.32,5.0,264.82,0.0,0.0,0.2
careful eh yes,282.199,5.861,285.1295,0.5106,-0.1,0.4
sir Rosen what would you say if I were,296.24,3.6,298.04,0.0,0.0,0.6
to tell you I was going to throw you in,298.56,2.84,299.98,0.0,0.0,0.4
see you're the captain if I object,301.4,8.04,305.42,0.0,0.0,-0.7
Mutiny it should be making a,305.639,3.801,307.53950000000003,0.0,0.0,-0.7
mistake got your Master's,309.84,5.639,312.6595,-0.34,0.0,0.2
papers yes,312.28,5.359,314.9595,0.4019,0.0,-0.7
sir I don't know what you were doing on,315.479,4.521,317.7395,0.0,0.0,0.6
the beach when we picked you up that's,317.639,5.84,320.559,0.0,0.0,0.2
your business I've had an eye on you,320.0,6.44,323.22,0.0,0.0,0.5
Rosen seem to know what you,323.479,7.921,327.4395,0.0,0.0,0.3
want I think I know what it is,326.44,4.96,328.92,0.0772,0.0,0.3
nice round pieces of,331.479,3.121,333.0395,0.4215,0.19999999999999998,0.6
silver round enough maybe,334.84,6.96,338.32,0.0,-0.1,0.2
to roll right into a court of,337.6,4.2,339.70000000000005,0.0,0.2857142857142857,0.4
inquiry as long as they don't stick on,344.72,4.479,346.95950000000005,0.0,-0.05,0.4
there all right our sailing orders call,349.88,5.48,352.62,0.0,0.2857142857142857,0.6
for a meeting with an American ship at,353.72,2.84,355.14000000000004,0.0,0.0,0.5
Deval in the,355.36,3.44,357.08000000000004,0.0,0.0,0.4
Philippines course is to the Carolines,356.56,4.24,358.68,0.0,0.0,0.4
and Due West,358.8,6.399,361.9995,0.0,-0.125,0.2
somewhere around longitude 149 3° South,360.8,7.28,364.44,0.0,0.0,0.2
we're going to need a new,365.199,2.881,366.6395,0.0,0.13636363636363635,0.4
mate named,369.24,3.32,370.9,0.0,0.0,0.4
Rosen named,374.96,3.4,376.66,0.0,0.0,0.4
Rosen that's for the benefit of the crew,380.12,9.08,384.66,0.4588,0.0,0.7
reer what are we doing on a starboard,405.16,5.72,408.02,0.0,0.0,0.2
Tech Mr loring's ERS sir I told you port,407.52,5.6,410.32,0.0,0.0,0.2
Tech I thought you said starboard what's,410.88,3.96,412.86,0.0,0.0,0.2
the matter with you lately nothing,413.12,3.519,414.8795,0.0258,-0.3,-0.7
Captain only you you look tired are you,414.84,4.96,417.32,-0.4404,-0.2,-0.7
sleeping not very well no you worri too,416.639,6.12,419.699,0.0163,-0.1,-0.7
much yes sir now listen carefully Mr,419.8,5.28,422.44,0.4939,0.05,0.7
luring head due north for an hour and,422.759,4.16,424.839,0.0,-0.125,0.3
then West by South for St George's,425.08,4.519,427.3395,0.0,0.0,0.4
Channel that's off our cors sir is it Mr,426.919,4.761,429.2995,0.0,0.0,0.2
luren don't you know our,429.599,3.6,431.399,0.0,0.0,-0.7
destination,431.68,4.0,433.68,0.0,0.0,0.2
Dev what course would you follow the,433.199,5.0,435.699,0.0,0.0,0.5
southern or the Carolyn skirt we will,435.68,4.359,437.8595,0.0,0.0,0.5
map due north to,438.199,4.461,440.4295,0.0,-0.125,0.6
keeto but as you say,440.039,5.521,442.7995,0.0,0.0,0.5
sir I don't like it Mr Razo that man's,445.56,5.919,448.5195,-0.2755,0.0,-0.7
sick Ro's been acting like he's off his,448.879,5.281,451.5195,-0.2023,-0.35714285714285715,-0.7
rocker ain't he BR to my cabin in a few,451.479,5.12,454.039,0.0,-0.2,0.5
Rosen know who owns this ship badjack,471.319,7.28,474.959,0.0,0.0,0.2
limited know what badjack is mar and,475.319,5.28,477.959,-0.2263,-0.07142857142857142,0.2
down know anything about him only that,482.12,5.68,484.96,0.0,-0.07777777777777779,-0.7
he seems to own most of this part of the,485.759,4.44,487.979,0.0,0.55,0.3
world I've sailed this ship for him a,487.8,4.399,489.9995,0.0,0.0,0.3
long time and he has great confidence in,490.199,6.921,493.6595,0.8126,0.375,0.7
his captains but lauring very noble,492.199,7.041,495.7195,0.664,0.78,0.7
character protector of,497.12,5.84,500.04,0.0,0.0,0.4
caros especially protective now you see,499.24,5.88,502.18,0.0,0.0,0.4
we're carrying a cargo of $5 million in,502.96,5.16,505.54,0.0,0.0,-0.7
