text,start,duration,time_midpoint
this is the story of a land,92.34,4.44,94.56
of the people who lived on it in the,94.92,5.22,97.53
year 1870 and of a man whose name was,96.78,6.54,100.05
Cochise he was an Indian leader of the,100.14,5.58,102.93
chirokawa Apache tribe,103.32,5.58,106.11
I was involved in the story and what I,105.72,4.92,108.17999999999999
have to tell happened exactly as you'll,108.9,4.679,111.2395
see it the only change will be that when,110.64,5.64,113.46
the Apaches speak they will speak in our,113.579,3.781,115.4695
what took place is part of the history,117.36,3.24,118.98
of Arizona,119.159,3.721,121.01950000000001
and it began for me here where you see,120.6,3.479,122.3395
since getting out of the Union Army I'd,124.079,4.02,126.089
been prospecting for gold off and on and,126.0,4.02,128.01
one day I got a message that a new,128.099,3.901,130.0495
Colonel had come to Tucson wanted to see,130.02,4.32,132.18
me the story started when I saw some,132.0,5.06,134.53
buzzards circling in the sky,134.34,5.58,137.13
buzzer to Smart bird,137.06,5.92,140.02
something or somebody was getting ready,139.92,4.26,142.04999999999998
I figured was a hurt deer or rabbit or,144.18,5.059,146.70950000000002
not a rabbit not a dare,152.239,8.08,156.279
His Kind was more dangerous than a snake,156.02,6.7,159.37
he was an Apache,160.319,5.101,162.8695
for 10 years we'd been on a Savage war,162.72,5.519,165.4795
with his people a bloody no give no take,165.42,3.3,167.07
I knew it was dangerous to keep a fire,245.78,4.959,248.2595
going in Apache country but the boy's,248.28,4.379,250.4695
wounds were badly infected and he was,250.739,3.78,252.629
running a high fever,252.659,4.14,254.72899999999998
he had eight pieces of Buckshot in his,254.519,4.201,256.6195
back and I had to dig every one of them,256.799,3.84,258.719
out with my knife,258.72,3.6,260.52000000000004
I could hear him grinding his teeth,260.639,4.5,262.889
together but he never let out a sound,262.32,4.68,264.65999999999997
for the next few days I panned the,265.139,4.62,267.449
stream for gold kept an eye on the boy I,267.0,4.44,269.22
wanted to be on the move and I was glad,269.759,3.661,271.5895
he was getting his strength back quickly,271.44,7.489,275.1845
now you've still got a lamp,287.3,6.94,290.77000000000004
today I must leave now I must go too,290.759,6.66,294.089
soon for you for my legs yes but for my,294.24,6.42,297.45
family no this is my novice time I am 14,297.419,6.181,300.5095
so I learned to be a man I go on trips,300.66,4.08,302.70000000000005
