text,start,duration,time_midpoint,vader,textblob,llama3
Mallo yeah,84.88,3.96,86.86,0.296,0.0,0.7
Franklin James I'm here Mr man I can't,98.92,6.799,102.3195,0.0,0.0,0.2
tell no lie and I'll be right here till,102.68,4.61,104.985,-0.296,0.2857142857142857,-0.7
Spencer Becca y,111.24,6.519,114.4995,0.0,0.0,0.7
stack here,114.92,6.92,118.38,0.0,0.0,0.2
list here Collins,117.759,4.081,119.7995,0.0,0.0,0.4
yeah rain every day now for a week I,134.12,6.119,137.17950000000002,0.296,0.0,-0.7
used to like the rain when I was a kid,137.959,4.841,140.3795,0.3612,0.0,0.3
even want to rain hard like now the last,140.239,5.041,142.7595,0.34,-0.14583333333333334,0.2
fight Outdoors it rain slowed me up a,142.8,4.36,144.98000000000002,-0.3818,0.0,0.5
light one of the most beautiful ladies I,145.28,5.52,148.04,0.6361,0.5833333333333334,0.8
ever knew I met in the rain high heels,147.16,6.28,150.29999999999998,0.0,0.16,0.4
on wet pavement hey here's your last,150.8,4.88,153.24,0.0,-0.05,-0.7
Frank they don't waste much time do,156.64,4.319,158.7995,0.3252,0.0,-0.7
they more a and no more pain the good,164.8,10.0,169.8,0.5712,0.31666666666666665,0.7
Lord he treated Franky very fine he let,170.08,9.519,174.83950000000002,0.2716,0.5416666666666667,0.4
him out before he finished his time well,174.8,6.6,178.10000000000002,0.2732,0.0,-0.7
done gentleman that's one way of getting,179.599,4.681,181.9395,0.0,0.0,0.3
sprung maybe he's better off I didn't,181.4,4.88,183.84,0.4404,0.5,-0.7
think that even Captain MSY would put a,184.28,4.28,186.42,0.0,0.0,0.4
62-year-old man to work in the brain,186.28,4.56,188.56,0.0,0.0,0.5
pipe yeah another Dead Guy compliments,188.56,5.599,191.3595,-0.1027,-0.2,0.7
to Captain MSY always on tap there he is,190.84,8.039,194.8595,0.0,0.0,0.7
now Joe it's Joe with,194.159,4.72,196.519,0.0,0.0,0.3
too bad about mlan you and he were good,240.799,5.28,243.439,-0.1531,5.551115123125783e-17,-0.7
friends weren't you call him Frankie,243.68,3.72,245.54,0.4767,0.0,0.4
only had about 8 months left to do,246.079,2.321,247.2395,0.0,0.0,-0.7
Captain knowing mlan out in 8 months,248.4,4.32,250.56,0.0,0.0,0.4
nine right,252.72,5.519,255.4795,0.0,0.2857142857142857,0.5
Collins still carrying a grudge eh lay,255.12,4.44,257.34000000000003,0.0,0.0,-0.7
msie no not msie,259.56,6.0,262.56,-0.296,0.0,-0.7
sir you won't even meet me halfway will,265.56,5.24,268.18,0.0,0.0,-0.7
you Collins 10 days in solitary haven't,268.16,4.28,270.3,0.0,0.0,-0.7
taught you a thing I better taught him,270.8,4.239,272.9195,0.4404,0.5,0.2
not to carry a ship anymore or do you,272.44,4.479,274.6795,0.0,0.0,-0.7
still claim that knife was landed on you,275.039,5.201,277.6395,0.0,0.0,0.2
never mind that the episode's,276.919,5.241,279.5395,0.0,0.0,0.4
Collins why keep on fighting after all,282.16,7.039,285.6795,-0.3612,0.0,0.7
I've got a job to do,285.6,3.599,287.39950000000005,0.0,0.0,0.6
I'm very well have it your,290.16,4.56,292.44,0.3384,0.2,0.6
Joe doc Joe I meant to come down and,307.479,7.761,311.3595,0.0,-0.15555555555555559,0.2
visit you but I,311.52,3.72,313.38,0.0,0.0,0.2
Walters there's a meeting this,320.919,5.921,323.8795,0.0,0.0,0.2
morning You' better get straightened out,323.4,5.079,325.93949999999995,0.4404,0.5,-0.7
and the same to,326.84,4.639,329.1595,0.0,0.0,0.5
old friend Joe was in the hole and it,340.88,6.2,343.98,0.4939,0.1,0.4
was worse than where they dig in C he,343.759,6.28,346.899,-0.4767,-0.4,-0.7
comes out holding very high his,347.08,9.6,351.88,0.0,0.20800000000000002,0.7
head and a man to blame soon be very,350.039,11.44,355.759,-0.34,0.2,-0.7
D Joe how are you,356.68,4.799,359.0795,0.0,0.0,0.3
Joe good to see you,364.479,4.961,366.9595,0.4404,0.7,0.7
Joe I'm glad you're,366.8,6.16,369.88,0.4588,0.5,0.7
back heard from the,369.44,3.52,371.2,0.0,0.0,0.2
wife Joe you know kid Koy seen him,373.919,5.801,376.8195,0.0,0.0,0.4
around they moved him into Frankie,377.68,4.68,380.02,0.0,0.0,0.2
Place Frankie was tops a hard guy to,382.479,5.921,385.4395,0.4404,-0.2916666666666667,0.4
follow whatever you say,385.88,5.52,388.64,0.0,0.0,0.4
at the Ste pigeon Joe we made,394.44,4.759,396.8195,0.0,0.0,0.7
arrangements everything's okay,396.039,5.521,398.7995,0.2263,0.5,0.2
everything's,399.199,5.481,401.9395,0.0,0.0,0.4
okay what's,401.56,5.32,404.22,0.2263,0.5,0.2
okay nothing's,404.68,6.0,407.68,0.2263,0.5,0.2
okay it never was and it never will be,406.88,6.84,410.3,0.2263,0.5,-0.8
not until we're out get,410.68,6.04,413.7,0.0,0.0,-0.7
sure after solitary even this will taste,429.68,5.519,432.4395,0.3182,0.5,0.4
thanks a long talk with a mouthpiece,435.199,3.84,437.119,0.4404,0.07500000000000001,0.2
yesterday your lawyer came all the way,437.599,3.44,439.319,0.0,0.0,0.4
from New York just to give you advice n,439.039,5.72,441.899,0.0,0.13636363636363635,0.3
ain't you heard he's right here in stur,441.039,3.72,442.899,0.0,0.2857142857142857,0.7
too Robert,448.0,5.24,450.62,0.0,0.0,0.4
I need a little help get away from me,450.639,5.56,453.419,0.3415,-0.1875,-0.7
but you're in with Gallagher,453.24,5.639,456.0595,0.0,0.0,0.4
please Roberts you know Gallagher can,456.199,4.72,458.559,0.3182,0.0,0.2
fix anything there's some things that,458.879,4.6,461.179,0.0,0.0,0.2
just can't be fixed Roberts if you could,460.919,5.28,463.559,0.0,0.1,-0.7
