text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
this part of the desert of South Africa,65.56,4.12,67.62,0.0,0.0,0.4,-0.0728317340444605,-0.15743707136958235,0.0015106821993901866
where only a parched camelthorn tree,67.68,4.36,69.86000000000001,0.0,0.0,0.6,-0.07195096858425679,-0.15568079604287502,0.003162902696694208
relieves the endless parallels of time,69.68,5.56,72.46000000000001,0.3612,-0.125,0.2,-0.07095392195905462,-0.15369968280970966,0.0050312988374867475
space and Sky surrounds like a rope of,72.04,5.96,75.02000000000001,0.3612,0.0,0.7,-0.06999853322634517,-0.15180872082738764,0.006819567506160219
sand the richest Diamond bearing area in,75.24,6.32,78.39999999999999,0.7003,0.0,-0.7,-0.06877675836193355,-0.1494016990597172,0.009103299911599121
the world an uneasy land where men,78.0,6.28,81.14,-0.3818,0.0,0.7,-0.06781912107022962,-0.14752441528588056,0.01089065449757785
inflamed by monotony and the heat,81.56,5.16,84.14,-0.34,0.0,-0.7,-0.06680395692743517,-0.14554398777799155,0.012782628145808184
sometimes forget the rules of,84.28,4.64,86.6,-0.2263,0.0,-0.4,-0.06599729616027593,-0.14397785249266776,0.014283844409097775
civilization,88.92,3.14,90.49,0.0,0.0,0.7,-0.06476863095836558,-0.14160622327583525,0.016566411985339934
West area Patrol Thompson,180.04,6.119,183.0995,0.0,0.0,0.4,-0.05060675610253629,-0.11764485998247239,0.041770742657111594
speaking give me vogle,182.4,3.759,184.2795,0.0,0.0,0.2,-0.05059016711326166,-0.11767538227871033,0.041778697392056176
please commandant vogle we've just taken,187.519,5.761,190.3995,0.3182,0.0,0.4,-0.05056077718300055,-0.11794173415883569,0.04171319408510222
it 40 minutes and all we're searching,190.56,5.399,193.2595,0.0,0.0,0.3,-0.050579052471780184,-0.11812671144550478,0.041622359959735726
him now for diamonds 40 minutes huh,193.28,4.36,195.46,0.0,0.0,0.2,-0.05060672756308583,-0.11829450067044253,0.0415269085766321
quite a record my,195.959,3.601,197.7595,0.0,0.0,0.4,-0.05064813644083879,-0.11849303398303568,0.04140374402823623
congratulations and put yourself on,197.64,3.679,199.4795,0.5994,0.0,0.8,-0.05068736225373833,-0.11865676678091214,0.041296161239822965
report when you return you'll be fine a,199.56,3.36,201.24,0.2023,0.4166666666666667,0.6,-0.05073475041273744,-0.11883763668955032,0.041172501802808084
week's pay for allowing the man in the,201.319,3.401,203.0195,-0.1027,0.0,0.4,-0.05079002141613007,-0.11903390895743227,0.041033730153962826
allall Thompson one of the aims of my,204.72,4.079,206.7595,0.0,0.0,0.4,-0.05093002123944392,-0.11948956674796225,0.040697585426290504
department is this it is impossible for,207.12,3.8,209.02,0.0,-0.6592546702606147,-0.7,-0.051030076457210916,-0.11979267398782653,0.0404656493255757
any man to enter the prohib area even,208.799,4.64,211.119,0.0,0.0,-0.7,-0.051133240099566754,-0.12009235743719754,0.04023120413561715
