text,start,duration,time_midpoint
not yet Carrie,17.94,3.14,19.51
not yet Carrie,33.6,3.139,35.1695
Harvey you have the key huh,94.32,7.82,98.22999999999999
well look for it darling yeah,97.86,4.28,100.0
look in this first pocket that's usually,105.479,4.14,107.54899999999999
where you hide it oh yeah,107.28,4.26,109.41
oh but I didn't hide it I put it there,109.619,3.841,111.5395
so that I could find it here it is,111.54,3.539,113.3095
would you turn on the porch light and,113.46,3.54,115.22999999999999
turn off that hall light close the door,115.079,3.301,116.72949999999999
and be sure this locked and I'll start,117.0,4.22,119.11
the car I understand,118.38,2.84,119.8
oh Jill come on in,144.9,4.919,147.3595
going to a dance,149.819,3.961,151.7995
oh yes and we're going to be late if we,151.5,4.879,153.9395
don't hurry,153.78,2.599,155.0795
now let's start all over again you've,156.42,3.179,158.00949999999997
got your key,157.86,3.84,159.78
no it's in that pocket and that's right,159.599,3.72,161.459
I put it there on purpose and you're,161.7,3.96,163.67999999999998
going to turn the porch light on and the,163.319,3.841,165.2395
hall light off,165.66,3.12,167.22
and then you're going to lock the door,167.16,5.719,170.0195
right now come along darling,168.78,4.099,170.8295
Barnaby are you thinking,188.459,3.5,190.209
that's pretty dark in here isn't it,193.379,3.621,195.18949999999998
well that's better,197.099,4.201,199.1995
what are you thinking about,198.84,5.039,201.3595
that's the test we made in the lab today,201.3,5.159,203.8795
they prove that only 23 percent of the,203.879,4.681,206.21949999999998
formula is being assimilated oh the,206.459,4.321,208.61950000000002
formula well you know what that means,208.56,6.66,211.89000000000001
that means it 73 is absolute waste 73,210.78,6.06,213.81
what happens,215.22,6.9,218.67
not 73 77 what did I say 77 oh,216.84,6.78,220.23
I guess as far as having some little,222.12,3.119,223.67950000000002
effect on those chimpanzees we're,223.62,3.6,225.42000000000002
experimenting with we've been giving it,225.239,4.14,227.309
to them for over two months now,227.22,3.54,228.99
I certainly hasn't done what I should,229.379,3.681,231.21949999999998
well I thought it was doing rather well,233.519,3.44,235.239
one monkey you told me about Oh you mean,240.659,4.14,242.72899999999998
Rudolph yeah well he's pretty old isn't,242.879,2.58,244.16899999999998
yeah rude asks about uh what is about,245.459,3.481,247.1995
the equivalent of 84 years old in a,247.319,2.7,248.66899999999998
the formula cure is rheumatism,250.019,4.8,252.419
coat much glossier didn't you say you,252.72,4.019,254.7295
felt a lot better oh in a way well and,254.819,3.901,256.7695
what do you expect well it isn't what it,256.739,3.96,258.719
should be Edwina it must have been,258.72,4.32,260.88000000000005
before you're satisfied with it they,260.699,4.801,263.09950000000003
should have a much greater effect well I,263.04,3.659,264.8695
just got to find a way to make it more,265.5,3.0,267.0
easily Assemble,266.699,5.341,269.3695
a similar box more easily assimilate,268.5,5.88,271.44
similarly oh yeah,272.04,3.719,273.89950000000005
you know I thought I had a good idea at,274.38,2.819,275.7895
the front door just now,275.759,4.561,278.03950000000003
I guess it's all I have anyway it's gone,277.199,5.761,280.0795
come back to you I doubt it and come,280.32,4.439,282.5395
back to you oh that's a trouble about,282.96,4.08,285.0
being a chemist you know you can't,284.759,4.681,287.09950000000003
actually think every now and then you'll,287.04,3.78,288.93
feel compelled to sit and stare at a,289.44,2.759,290.8195
sheet of white paper hoping it'll speak,290.82,4.28,292.96
to you but it never does,292.199,2.901,293.6495
oh is that a new dress oh I like that,296.699,5.22,299.309
I like the way it sticks out how is that,301.919,4.141,303.98949999999996
well you ought to know doesn't you,306.06,5.88,309.0
know you ought to be going somewhere in,309.84,3.419,311.54949999999997
a dress like that,311.94,2.759,313.3195
I'm glad you like it,314.699,5.341,317.3695
holy smokes we forgot all about the,316.86,6.74,320.23
party why didn't you remind me,320.04,3.56,321.82
we're not going for a number of reasons,325.5,4.8,327.9
when I dance with you I want to dance,330.3,3.48,332.04
with all of you I don't want your brain,332.039,4.321,334.1995
to be somewhere else and I don't know,333.78,4.259,335.9095
you're not very often the absent-minded,336.36,3.059,337.8895
Professor but darling when you are,338.039,4.021,340.04949999999997
you're a real zombie yeah I admit it and,339.419,5.101,341.9695
I don't want people to see you like that,342.06,5.699,344.9095
go on sit down and relax,344.52,5.22,347.13
be brilliant,347.759,4.461,349.9895
you know you're all right how do you,355.02,3.899,356.9695
like your eggs how did eggs get into the,357.18,5.359,359.8595
conversation you're hungry aren't you,358.919,3.62,360.729
and tell them I think,364.68,3.44,366.40000000000003
did the telephone Hank he wasn't in I,377.539,5.521,380.29949999999997
left a message,380.639,2.421,381.84950000000003
don't tell me you solved the formula,383.16,5.28,385.8
already now I've had my mind another,385.08,5.94,388.05
thing tell me you'll be looking forward,388.44,3.9,390.39
to going to this party for a month,391.02,3.299,392.66949999999997
haven't you uh darling we're not even,392.34,3.9,394.28999999999996
going to discuss it I know that I'm just,394.319,3.061,395.84950000000003
queer about fetus,397.38,4.02,399.39
what about people that's who knows all,399.36,3.72,401.22
the way around to get older well now,401.4,3.419,403.10949999999997
that's a profound no I do get older,403.08,3.6,404.88
something happens to them are you,404.819,4.021,406.8295
referring to me Barnaby,406.68,3.84,408.6
I was thinking of the human race as a,408.84,3.6,410.64
whole pretty sad group you get me some,410.52,4.44,412.74
soup plates darling,412.44,4.68,414.78
I do not think the human race had to go,414.96,4.32,417.12
certain morbid changes as it matures I,417.12,3.419,418.8295
ask you to recall the night of the,419.28,3.06,420.80999999999995
Everett Winston party,420.539,3.421,422.2495
well I don't recall any of it Winston,422.34,5.06,424.86999999999995
party do you remember our honeymoon,423.96,5.579,426.74949999999995
over there,427.4,4.6,429.7
well a week after we got back from our,429.539,4.38,431.729
honeymoon to the Everett winstons,432.0,4.319,434.1595
invited us to a party,433.919,3.961,435.8995
I'm sorry dying but I don't remember,436.319,3.901,438.2695
going we did,437.88,5.06,440.40999999999997
we did we didn't,440.22,2.72,441.58000000000004
yeah I remember,444.36,2.6,445.66
just like tonight,447.96,3.54,449.72999999999996
no Edwina that's what I'm talking about,449.639,3.96,451.619
we stayed home from that party for all,451.5,4.139,453.5695
together different reason tonight we're,453.599,3.361,455.2795
staying home for an intellectual I,455.639,2.701,456.9895
remember we didn't want to share each,456.96,4.139,459.0295
other with anyone you were so sweet,458.34,4.5,460.59
remember how the telephone kept ringing,461.099,4.94,463.569
for hours and hours,462.84,3.199,464.43949999999995
I'll get it,468.539,5.28,471.179
uh now you see what I mean tonight we're,471.18,5.6,473.98
answering calls,473.819,2.961,475.2995
what's this message about not going out,480.419,2.641,481.73949999999996
that's right why,483.06,3.72,484.92
sometimes are things more important than,484.8,3.36,486.48
going to a dance,486.78,3.84,488.7
oh the genius at work again man I'm glad,488.16,4.439,490.3795
I'm a lawyer not a chemist where is he,490.62,3.419,492.3295
he's in the kitchen I'm fixing dinner,492.599,4.561,494.8795
I've got a few things to say to him,494.039,5.641,496.85949999999997
this has happened just once too often,497.16,4.68,499.5
now look here double Dome what's the,499.68,3.54,501.45
idea of doing something tonight you can,501.84,3.539,503.60949999999997
do just as well tomorrow I'll get you a,503.22,3.96,505.20000000000005
drink you'll feel better why can't you,505.379,3.6,507.17900000000003
be a genius before Sundown and a human,507.18,3.48,508.92
being afterwards no because I never know,508.979,3.12,510.539
in advance when I'm going to be a genius,510.66,3.54,512.4300000000001
here's a drink you can't call off a date,514.2,3.959,516.1795000000001
at the last minute when your wife's got,516.479,3.48,518.219
a new dress and I've booked the table it,518.159,4.641,520.4795
just doesn't make sense,519.959,2.841,521.3794999999999
no I no I suppose it does,522.959,3.741,524.8294999999999
what are you doing no nothing there I,527.42,5.44,530.14
think you better sit down huh,530.64,5.54,533.41
I'll tell you when you see what I mean,532.86,3.32,534.52
I see what you mean I'm not neither one,537.72,4.619,540.0295
of you making sense no well I I think,539.76,4.199,541.8595
the Mr end whistle is disturbed because,542.339,2.761,543.7195
he can't take it to the party tonight,543.959,2.761,545.3394999999999
and dance all over your feet as he did,545.1,3.0,546.6
the last time well I certainly didn't,546.72,2.88,548.1600000000001
reserve a table and order flowers and,548.1,3.6,549.9
everything just look at your face no,549.6,3.78,551.49
that's what you did come on sit down,551.7,3.12,553.26
have your soup while Hank brings his,553.38,3.54,555.15
drink and be careful it's very hard,554.82,4.68,557.1600000000001
trying to well I can only tell you Mrs,556.92,3.78,558.81
Fulton if you'd have been smart enough,559.5,4.26,561.63
to marry me instead of this you wouldn't,560.7,4.86,563.13
be in a kitchen cooking no where would,563.76,4.28,565.9
you be cooking,565.56,4.8,567.9599999999999
I hope he did oh darling I told you it,568.04,3.82,569.9499999999999
was hot don't worry he has no feelings,570.36,3.36,572.04
here eat some bread quickly,571.86,5.34,574.53
nothing say something heat I know on it,573.72,4.799,576.1195
just don't know heat I never thought,578.519,3.481,580.2595
about heat could make the formula 100,579.899,4.44,582.119
effective darling I think you solved the,582.0,4.2,584.1
problem for me do you really think so,584.339,3.781,586.2295
I'm almost sure hey do you know what,586.2,4.68,588.5400000000001
just happened he burned his mouth no,588.12,4.5,590.37
silly you just solved our whole future,590.88,3.959,592.8595
if your old future depends on figuring,592.62,3.839,594.5395
out that a plate of soup is hot hey now,594.839,3.241,596.4595
wait a minute tell him darling I've been,596.459,3.121,598.0195
promised a pretty good job if I can make,598.08,3.18,599.6700000000001
this formula work yeah no more,599.58,3.36,601.26
commercial assignments no more working,601.26,4.44,603.48
on non-skid girdles or noiseless popcorn,602.94,5.339,605.6095
bags no foolish yes a roving commission,605.7,4.56,607.98
select my own field of research exchange,608.279,3.601,610.0795
ideas with other professors all over the,610.26,3.48,612.0
world including a percentage well that's,611.88,3.959,613.8595
fine what seems to me a celebration is,613.74,3.719,615.5995
an order no reason to stay home from the,615.839,4.201,617.9395000000001
yacht club party now no except we're,617.459,3.721,619.3195
going to stay home from the Everett,620.04,2.46,621.27
Winston party,621.18,2.82,622.5899999999999
