text,start,duration,time_midpoint
morning Joel another one huh in or out,72.04,5.88,74.98
out rip Smith Institute of public,75.6,5.92,78.55999999999999
opinion going out of business rip Smith,77.92,7.239,81.5395
18th floor inside office tall man brown,81.52,6.919,84.9795
shoes dark polish three times a week 25,85.159,5.201,87.7595
too bad nice,90.36,6.16,93.44
man no wonder he's going out of business,93.72,5.12,96.28
getting opinions from the public that's,96.52,4.8,98.92
a screwy way to make a living why,98.84,4.639,101.15950000000001
there's nothing screwy about it lots of,101.32,4.799,103.7195
guys clean up on it look at Gallop you,103.479,5.0,105.979
know big corporations pay a lot of money,106.119,4.921,108.5795
to find out what you and I think they,108.479,5.401,111.1795
do sure now you take this cigar for,111.04,5.399,113.7395
instance people stop buying it sales,113.88,7.96,117.86
Fall Off manufacturer wants to know why,116.439,5.401,119.1395
I can tell them why in one,122.32,3.759,124.19949999999999
word he George is it true about rip,127.16,5.04,129.68
Smith yes I just saw the moving the,130.239,5.161,132.8195
furniture out isn't that,132.2,3.2,133.79999999999998
swell did you hear the news about rip ma,135.8,4.88,138.24
canceled his contract good morning GE I,138.44,3.519,140.1995
just passed his office there moving the,140.68,3.559,142.45950000000002
furniture out we know all about it he,141.959,4.041,143.9795
talked to me about jobs for some of his,144.239,3.28,145.879
people his people well what about,146.0,4.2,148.1
himself let's grab him before gallop up,147.519,4.561,149.7995
we've been discussing it for an hour,150.2,4.6,152.5
what is that to discuss talk to Henry he,152.08,4.84,154.5
thinks we'd be foolish why Henry that's,154.8,4.68,157.14000000000001
the hottest piece of man power yes yes I,156.92,4.76,159.29999999999998
know brilliant but too much of a dreamer,159.48,4.64,161.79999999999998
to suit me saw him the other day and to,161.68,4.919,164.1395
hear him talk we're all idiots our,164.12,4.119,166.17950000000002
method of polling public opinion is,166.599,3.881,168.53949999999998
apparently ridiculous thinks we're,168.239,3.841,170.1595
wasting money questioning people all,170.48,4.2,172.57999999999998
over the country he's going to find some,172.08,5.239,174.6995
miraculous shortcut do poles at a tenth,174.68,5.16,177.26000000000002
of the cost maybe he can told me he's,177.319,4.361,179.49949999999998
working on a new scheme called it his,179.84,4.88,182.28
mathematical Miracle how to question 50,181.68,6.52,184.94
or 100 people perhaps in one town and,184.72,5.76,187.6
find out exactly how the whole country's,188.2,4.599,190.49949999999998
thinking if it ever could be done,190.48,4.759,192.8595
there'd be a fortune in it if if if look,192.799,4.201,194.89950000000002
at him forced out of business come now,195.239,3.121,196.7995
Henry you know that's because he tried,197.0,4.0,199.0
to operate on the Sho string poppy,198.36,3.879,200.29950000000002
what makes you think he'd come with us,201.0,3.0,202.5
Charlie you know rip burning with,202.239,4.241,204.3595
ambition he's determined to go and alone,204.0,5.48,206.74
we'll get him don't worry in his present,206.48,4.6,208.78
sir like I was saying to my wife,214.799,4.241,216.9195
sometimes asking too many questions,217.36,4.64,219.68
don't pay off and so when I got your,219.04,5.44,221.76
letter I tested public opinion in my,222.0,4.76,224.38
hometown on the subject you suggested,224.48,6.119,227.53949999999998
and here's the result in favor 69.1 not,226.76,4.92,229.22
22.6 don't knows 8.3 we just laid one,231.68,6.559,234.95950000000002
egg what are you hatching now what's,235.64,4.56,237.92
that bunch of letters about who's that,238.239,4.64,240.559
one from Mr twiddle oh are you awake,240.2,5.2,242.79999999999998
it's from Frederick hoopen Decker he's,242.879,4.521,245.1395
the school teacher shall I go on,245.4,3.479,247.1395
Hooper what a man they get to handle a,248.879,6.2,251.97899999999998
