text,start,duration,time_midpoint,vader,textblob,llama3
the commonwealth of australia land of,92.64,3.839,94.5595,0.0,0.0,0.7
many frontiers,95.119,3.521,96.8795,0.0,0.5,0.6
lone stepping stone across the vast,96.479,4.64,98.799,-0.2732,0.0,0.5
pacific to the mysterious brooding,98.64,4.96,101.12,0.0258,0.0,0.7
islands of the malayan archipelago,101.119,5.36,103.799,0.0,0.0,0.3
last outpost of the art and culture of,103.6,4.4,105.8,0.0,0.0,0.4
the western world,106.479,4.081,108.5195,0.0,0.0,0.7
our story takes us to melbourne,108.0,3.52,109.76,0.0,0.0,0.7
birthplace of nelly melba the famous,111.52,4.08,113.56,0.0,0.5,0.3
coloratura soprano,113.84,4.72,116.2,0.0,0.0,0.7
australia's gift to american opera,115.6,4.24,117.72,0.4404,0.0,0.7
appearing here,118.56,3.28,120.2,0.0,0.0,0.2
as a token of appreciation for,119.84,4.0,121.84,0.5106,0.0,0.7
melbourne's glorious gift,121.84,4.8,124.24,0.7964,0.0,0.9
our two distinguished concert artists,123.84,4.399,126.0395,0.0,0.0,0.7
steeped in the tradition,126.64,5.16,129.22,0.0,0.0,0.7
of america's classical music,128.239,9.841,133.1595,0.0,0.0,0.6
you ready for this,138.08,6.0,141.08,0.3612,0.2,0.3
who's that coming down the thoroughfare,144.08,8.14,148.15,0.0,-0.15555555555555559,0.7
the sunshine flashing on his ring,148.8,5.36,151.48000000000002,0.4939,0.0,0.7
bowing left and right and here and there,154.16,4.64,156.48,0.0,0.14285714285714285,0.7
you're delightful just floating,156.8,6.48,160.04000000000002,0.5859,1.0,0.5
that's chester the trombone king,158.8,7.68,162.64,0.0,0.0,0.7
he gets his shirt straight from paris,163.28,6.8,166.68,0.2263,0.2,0.3
cigarettes from the night he talks,166.48,6.72,169.84,0.0,0.0,0.7
like an eyebrow but he plays chicago,170.08,5.2,172.68,0.5023,0.0,0.6
style he gets his shoes,173.2,6.08,176.23999999999998,0.0,0.0,0.3
made london and the real crocodile,175.28,7.12,178.84,0.0,0.2,0.4
but he plays trombone,179.28,7.2,182.88,0.3612,0.0,0.3
chicago style and his sometimes,182.4,8.559,186.6795,0.0,0.0,0.3
play sweetie but sweet or high he's,186.48,7.2,190.08,0.7783,0.255,0.4
always got that real got bucket beat,190.959,4.081,192.9995,0.0,0.2,0.7
he's got a,193.68,4.479,195.9195,0.0,0.0,0.4
neat latin mustache and the girls love,195.04,5.04,197.56,0.802,0.5,0.7
he plays trombone chicago style,200.08,7.6,203.88,0.25,0.0,0.7
a trombone baby munich baby,204.48,7.61,208.285,0.0,0.0,0.6
chicago style,207.68,17.109,216.2345,0.0,0.0,0.4
nylon mute huh run out and have that,226.48,4.56,228.76,0.0,0.0,0.3
take it twinkle toes got it helium hips,238.48,3.44,240.2,0.0,0.0,0.7
this boy is diseased,240.64,3.59,242.435,0.0,-0.6,0.4
is this the one daughter shh you cover,246.799,3.761,248.6795,0.0,0.0,-0.7
up my partner's taps,249.28,4.08,251.32,0.0,0.0,0.4
they both propose to me verna we're both,250.56,4.319,252.7195,0.0,0.0,0.5
crazy about you we've been fighting over,253.36,2.239,254.4795,-0.5994,-0.6,0.4
you all week,254.879,3.441,256.5995,0.0,0.0,0.2
really yeah i won harold's gonna marry,255.599,4.801,257.9995,0.7548,0.2,0.7
well you see what i got lined up for you,264.4,3.44,266.12,0.2732,0.0,0.7
boy what is it a dane,266.0,4.08,268.04,0.0,0.0,0.2
what else would i line up for you what's,267.84,4.079,269.87949999999995,0.0,0.0,0.2
wrong with her oh she's a dog,270.08,4.0,272.08,-0.4767,-0.5,-0.7
bailey yeah cut it down to two encores,271.919,11.921,277.8795,0.0258,-0.15555555555555559,0.7
let's move,274.08,9.76,278.96,0.0,0.0,0.7
there he goes one of my best pupils had,289.6,3.92,291.56,0.6369,1.0,0.7
a tough time getting the lad out of his,292.08,2.48,293.32,-0.128,-0.3888888888888889,-0.7
feet but there he is,293.52,2.72,294.88,0.0,0.0,0.7
i'll never forget we were down and,294.56,4.079,296.5995,0.1695,-0.15555555555555559,0.4
don't bend the wardrobe is this the boat,298.639,3.761,300.5195,0.0,0.0,0.2
that popped the question,300.639,4.881,303.0795,0.0,0.0,0.8
both of them did eunice harold darling,302.4,5.12,304.96,0.5859,0.0,0.9
this is the happiest day of my life,305.52,3.84,307.44,0.6369,0.0,0.8
and then why spoil it with a wedding but,307.52,3.92,309.48,0.0,0.0,-0.7
darling i want to marry you,309.36,4.64,311.68,0.6249,0.0,0.7
good job well fine i'll be best man see,311.44,2.81,312.845,0.875,0.7055555555555556,0.9
boy have i got something cooked up for,322.24,5.12,324.8,0.0,0.0,0.6
you yeah put it in the deep freeze,323.759,3.601,325.5595,0.34,0.0,-0.7
did the similar situation occur in,327.84,3.52,329.6,0.0,0.0,0.2
allentown in 47,329.44,3.36,331.12,0.0,0.0,0.3
thanks for the memory let's get out of,331.36,8.37,335.545,0.4404,0.2,0.4
this will drive him crazy when it,352.4,3.84,354.32,-0.34,-0.6,-0.7
doesn't come back,353.6,2.64,354.92,0.0,0.0,-0.7
you come back here,356.4,11.44,362.12,0.0,0.0,0.7
boy may not have his teeth in today,410.4,13.44,417.12,0.0,0.0,0.3
gentlemen i've told you there are no two,426.0,4.88,428.44,-0.296,0.0,0.4
actors traveling together on this train,427.759,5.28,430.399,0.0,0.0,0.4
there's one of them pilot the belly,430.88,5.7,433.73,0.0,0.0,0.2
gunner bailing out,433.039,9.821,437.9495,0.0,0.0,0.4
