text,start,duration,time_midpoint
Ellie hurry up we've only got five,77.0,5.46,79.73
minutes I'll be right down,79.08,3.38,80.77
I'd like to say a few words about what's,100.86,4.14,102.92999999999999
happened to me over the past year,102.78,4.199,104.87950000000001
your women may not symbolize you think,105.0,3.299,106.6495
men have it easy but that's why you're,106.979,2.761,108.3595
man is a very delicate and sensitive,109.74,4.68,112.08
mechanism if you treat him right you're,112.38,3.48,114.11999999999999
flatter him and butter him up a little,114.42,3.659,116.2495
bit he's good for years,115.86,5.28,118.5
but if somebody rocks the boat,118.079,5.281,120.7195
you know how it is man,123.36,4.14,125.42999999999999
you work hard for years trying to build,125.52,3.78,127.41
a home raise a family,127.5,4.739,129.8695
and then comes one wonderful day when,129.3,4.62,131.61
for the first time in your life you feel,132.239,2.941,133.7095
you're a little ahead of the game things,133.92,3.42,135.63
have eased up at the office the kids are,135.18,4.68,137.52
all set married or well along in school,137.34,3.84,139.26
and you're raring to go,141.18,4.32,143.34
you think of all the wonderful things,143.52,3.48,145.26000000000002
you would have done in your life you,145.5,4.28,147.64
just had time,147.0,2.78,148.39
if you go fishing,150.06,4.38,152.25
to go big game hunting you might even,152.16,4.2,154.26
climb Mount Everest,154.44,4.68,156.78
anyway you're on top of the world you,156.36,4.379,158.54950000000002
begin to feel you're a combination of,159.12,4.82,161.53
Don Juan and Columbus,160.739,3.201,162.33950000000002
and that's just the moment they choose,164.4,4.94,166.87
to let you have it,166.5,2.84,167.92
I remember it was just a year ago today,170.58,3.98,172.57000000000002
I caught my usual commuters train,174.66,4.56,176.94
was late as usual,177.48,3.6,179.28
it was such a beautiful day that I let,179.22,3.599,181.0195
the bus go by and walked home from the,181.08,3.0,182.58
it was one of those first warm days in,184.08,4.2,186.18
May when everything seems to come to,186.42,5.459,189.1495
life I felt particularly well,188.28,5.52,191.04
I was thinking what a lucky man I was,191.879,3.961,193.8595
with a nice household paid for three,193.8,4.14,195.87
children all paid for and a beautiful,195.84,4.52,198.1
Ellie I'm home,206.06,3.42,207.77
Ellie was radiant that night she seemed,211.5,4.94,213.97
to be floating on air,213.599,2.841,215.0195
what's the matter can a fellow kisses,227.239,4.381,229.42950000000002
oh you won't have time to change we have,232.76,3.88,234.7
to start right away why where are we,235.2,3.3,236.85
going okay and Buckley asked us to their,236.64,3.48,238.38
apartment for dinner tonight she found,238.5,2.94,239.97
this morning said she had some good news,240.12,3.899,242.0695
oh oh Buckley put over the deal I guess,241.44,4.5,243.69
with the chainsaws huh that plastic bag,244.019,3.901,245.9695
of his well I don't think that's the big,245.94,3.42,247.65
news I think it's something much more,247.92,2.94,249.39
important than that more important than,249.36,3.06,250.89000000000001
that way that means thousands of dollars,250.86,2.7,252.21
I don't know what could be more,252.42,3.779,254.30949999999999
important than that something nothing,253.56,4.919,256.0195
get my coat will you do yeah night Tommy,256.199,4.861,258.6295
night then nine months okay said you,258.479,3.961,260.4595
were sorry she couldn't have you too but,261.06,3.9,263.01
she had to have Buckley's father,262.44,4.92,264.9
is Kay gonna cook you better take your,264.96,5.12,267.52
bicarb with you,267.36,2.72,268.72
jokes get funnier every year,270.86,6.22,273.97
you drop her on your way to the game oh,274.58,4.72,276.94
and uh Delilah sex of the dishes and,277.08,3.42,278.78999999999996
glasses do you miss the first of the,279.3,3.6,281.1
picture tell me don't study too late,280.5,3.9,282.45
remember if the rug man calls tell him,282.9,3.859,284.8295
to call again,284.4,2.359,285.5795
