text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
this is Boston Boston Massachusetts in,85.88,5.8,88.78,0.0,0.0,0.2,-0.06016354420103035,-0.030868776810878105,0.3067555281556382
the year of our Lord,89.2,5.44,91.92,0.0,0.0,0.4,-0.05938075991005019,-0.02926748356392372,0.30618574469110615
1924 down in Washington Calvin kulage,91.68,4.68,94.02,0.0,-0.1555555555555555,0.7,-0.058883577184614115,-0.02823929819122754,0.3058165434975354
has just been informed of his nomination,94.64,4.28,96.78,0.0,0.0,0.6,-0.05826174370657769,-0.026939345398568973,0.30534559579137766
for president and to the amazement of no,96.36,6.52,99.62,0.3182,0.0,-0.7,-0.057658795386941755,-0.0256617991217697,0.3048777397879387
one has chosen to run up in alvany Al,98.92,6.199,102.0195,0.0,0.0,0.6,-0.05717808028239075,-0.02462922518719944,0.30449552272840885
Smith once again has called on Congress,102.88,5.12,105.44,0.0,0.0,0.4,-0.05653748682513637,-0.023230251708429787,0.3039710892490015
to legalize beer and Light wine but King,105.119,6.921,108.5795,0.0,0.4,0.2,-0.05599487890594764,-0.022020444472602527,0.30351056416235433
bad still says uh-uh meanwhile back in,108.0,7.56,111.78,-0.5423,-0.3499999999999999,0.2,-0.05548550383230457,-0.020858932770892236,0.30306128795012244
Boston Miss Hannah Adams is very very,112.04,6.52,115.3,-0.1531,0.26,0.8,-0.054975236808082285,-0.019663599818694925,0.30259032927943974
Hannah Adams please oh yes Miss Adams,120.88,4.159,122.9595,0.5267,0.0,0.7,-0.054040047797399966,-0.017351518288298635,0.30164739157740644
yes I saved you one in the first row,123.6,4.159,125.6795,0.6705,0.25,0.7,-0.053763883530408396,-0.016623077854298854,0.30133889574734507
this time oh thank you you certainly,125.039,7.521,128.7995,0.5994,0.2142857142857142,0.7,-0.05348207082846546,-0.015845620582433086,0.30100164336516566
must like this show yes I,127.759,4.801,130.1595,0.6369,0.0,0.7,-0.05337071830552353,-0.015525862155407038,0.30086011911903626
do just a minute,133.56,3.399,135.2595,0.0,0.0,0.4,-0.0530138135408465,-0.014428091843627519,0.300358541128435
lady first,138.319,13.22,144.929,0.0,0.25,0.8,-0.05258947041355574,-0.012770364767165244,0.2995301307178001
how do you do for you how do you,161.72,7.0,165.22,0.0,0.0,0.2,-0.05267474124480991,-0.010950704532815728,0.2982789529067568
you students dear students my very,168.72,8.879,173.1595,0.3818,0.2,0.7,-0.05302861928215529,-0.010792858522869351,0.2979552424137211
attractive and slightly,174.04,7.0,177.54,0.4404,0.3166666666666667,0.7,-0.053292912273731265,-0.010827286198977742,0.29781372064857986
impudent pup dear,177.599,9.601,182.3995,0.3818,0.0,0.7,-0.0536399900669298,-0.010961360313963643,0.29768632450311533
pupil long on looks and short on,181.04,8.199,185.1395,0.0,-0.025,0.7,-0.05385952421832617,-0.011079732621466087,0.2976278154661613
Scruples how do you,187.2,4.28,189.34,0.0,0.0,0.4,-0.05422786096818497,-0.011318761673501898,0.29755621435523144
you a Vasser Miss displays her Greatness,191.48,10.2,196.58,-0.1531,0.0,0.8,-0.05494760764947717,-0.011886340711167995,0.29748230813131954
sophisticat by being up on up toess a v,196.519,10.64,201.839,0.0,0.0,0.7,-0.055532708542522784,-0.01241466149136389,0.29746613139178074
girl befs and defend the latest friends,201.68,8.4,205.88,0.4767,0.5,0.3,-0.056015041294241036,-0.012882759109208842,0.29747413757550983
in Apparel in literature in art and,207.159,5.841,210.0795,0.0,0.0,0.4,-0.05654428588872996,-0.013423272731135312,0.2975005187188079
music and in,210.08,2.92,211.54,0.0,0.0,0.2,-0.05673466282200927,-0.013623621934146499,0.29751387778229704
dance so lend your mental photography to,214.84,7.479,218.5795,0.0,-0.1,0.7,-0.05769447761381432,-0.01467368283533344,0.2976073226197462
the story of this new,219.08,6.4,222.28,0.0,0.1363636363636363,0.3,-0.058224828249703556,-0.015278447377033834,0.2976749568405672
choreography if you are quizzical as to,222.319,7.401,226.0195,0.0,0.0,0.6,-0.05877696790635803,-0.015923801263721855,0.29775561012193386
the physical aspects of this tacorian,225.48,10.0,230.48,0.0,0.0,0.4,-0.05945485042114777,-0.016735618920790264,0.29786728657672656
exhibition then don't minimize,229.72,10.96,235.2,0.0,0.0,0.7,-0.06019243406177211,-0.017640675895189886,0.2980028829393001
posture and do emphasize position,235.48,7.92,239.44,0.0,0.0,0.6,-0.06087042050195254,-0.01849058025593296,0.2981391383102883
this shall be the epitome the,240.68,4.52,242.94,0.0,0.0,0.8,-0.0614395097611907,-0.01921617068305465,0.29826136881321785
quintessence,243.4,4.8,245.8,0.0,0.0,0.7,-0.06190997879554321,-0.019823903781286623,0.29836748634510407
valet so take your,248.68,6.72,252.04,0.0,0.0,0.4,-0.06295014075181832,-0.021191295109620947,0.2986173283341659
BR and your poty,252.28,6.359,255.4595,0.0,0.0,0.5,-0.06352619636834407,-0.02196192036236839,0.2987642228311312
away oh here is the drag see how it goes,264.52,5.76,267.4,-0.2263,-0.1,-0.7,-0.0655530159216642,-0.02474430496407728,0.29932616363512043
down on the heels up on the toes,268.04,5.64,270.86,0.0,-0.1555555555555555,0.6,-0.06614014161107178,-0.025570338000668862,0.2995016080793638
that's the way to do the varsity,270.28,6.88,273.72,0.0,0.0,0.7,-0.06662386625695972,-0.026257604139564066,0.2996503712113472
drag hotter than hot newer than new Meer,273.68,6.04,276.7,-0.2263,0.0954545454545454,0.6,-0.06712561129008426,-0.02697692048190363,0.2998087171678722
than mean and bler than blue gets as,277.16,5.52,279.92,0.0,-0.15625,0.6,-0.0676643194217513,-0.02775663077336557,0.2999833551795138
much Applause as waving a,279.72,6.319,282.8795,0.4215,0.2,0.8,-0.06815551551104153,-0.028474383871689414,0.30014683553320115
flag you can pass many a class whether,282.68,6.76,286.06,0.0,0.5,0.4,-0.06867835074517047,-0.029245695674200944,0.30032539947127246
you're dumb or wise if you all answer,286.039,5.961,289.0195,-0.0516,0.1624999999999999,0.2,-0.06915940214928373,-0.029962256290827737,0.30049396353252533
the call when your professor cries,289.44,4.759,291.8195,-0.4019,0.0,-0.7,-0.0696090214551103,-0.030638196715398785,0.30065534606784305
everybody's down on the hill up on the,292.0,4.32,294.16,0.0,-0.1555555555555555,0.2,-0.06998029704663729,-0.031201057441177488,0.30079150638740654
toes stay out the school and learn how,294.199,8.681,298.53950000000003,0.0,0.0,0.4,-0.07066257775358341,-0.03224710879923286,0.3010489193191778
it goes everybody do the varsity dve he,296.32,6.56,299.6,0.0,0.0,0.6,-0.07082514615919588,-0.032498703101444266,0.3011116953183567
who be stopping where let's hurry and,416.8,4.72,419.16,-0.1531,0.0,0.6,-0.07421259707941151,-0.044391364077104076,0.30637409697233614
you you should have brought your,444.56,5.359,447.2395,0.0,0.0,-0.7,-0.06786651141470126,-0.03827654597923811,0.306088759023135
umbrella say speaking about umbrellas,447.84,3.479,449.5795,0.0,0.0,0.4,-0.06716573673874873,-0.03754165967271379,0.3060215505113359
you know a place around here fella get a,449.919,2.4,451.119,0.0,0.0,0.4,-0.06668938608408226,-0.037037711985269145,0.30597338015950937
good steak,451.319,4.761,453.6995,0.4404,0.7,0.8,-0.06586336529518817,-0.036155604833698944,0.3058854883753519
dinner no not exactly maybe some nice,452.319,5.681,455.1595,0.1531,0.2375,0.3,-0.06538057095929473,-0.03563531177805294,0.3058317407312082
Seafood some spaghetti even anything,456.08,3.799,457.9795,0.0,0.0,0.4,-0.06441606393196035,-0.034585791874188594,0.30571956748099915
just as long as it doesn't baked,458.0,4.039,460.0195,0.0,-0.05,0.2,-0.06369177126351289,-0.03378906857309485,0.3056314526457933
beans not that I've got anything against,459.879,4.04,461.899,0.0,0.0,0.2,-0.06300449611811117,-0.033026467047921906,0.3055450122702314
your famous baked beans understand in,462.039,3.801,463.9395,0.0,0.5,0.3,-0.06223644763741863,-0.0321668551273651,0.3054453807745967
fact I'm a great admirer of beans I,463.919,4.641,466.2395,0.7845,0.8,0.7,-0.06134310219172857,-0.03115749996846528,0.30532575587930466
regard them as a bull workk of our,465.84,5.0,468.34,0.0,0.0,0.8,-0.06050139629344561,-0.030197428542750822,0.3052096305469317
civilization but after 3 weeks steady,468.56,8.72,472.92,0.0,0.1666666666666666,0.4,-0.05857928118740207,-0.027973508543937643,0.304933218821443
diet oh yes I know oh,470.84,6.44,474.06,0.4019,0.0,0.45,-0.05808210964509215,-0.027391413933206932,0.3048593888095632
you better go home and soak your feet in,480.36,4.799,482.7595,0.4404,0.5,0.4,-0.05403640829566569,-0.022557267066118523,0.3042279666180323
