text,start,duration,time_midpoint
at least one of them was here sir I,111.84,5.22,114.45
found this waistband down on the beach,114.06,4.14,116.13
that's Peter blood's house,118.2,4.739,120.5695
I know what that could mean you remain,120.299,5.901,123.24950000000001
here have Rogers follow me,122.939,3.261,124.56949999999999
yeah that's finished,152.72,3.58,154.51
you know what it means to be caught to,154.62,3.42,156.33
help them run away slaves I guess you're,156.3,3.54,158.07000000000002
fidgeting like an old woman I have a,158.04,5.18,160.63
little fidget works at the end of a rope,159.84,3.38,161.53
Captain Blood eye doctor blood Colonel,180.12,4.5,182.37
Ramsay I've come about some escaped,182.459,4.261,184.58950000000002
slaves and with a surprising lack of,184.62,4.02,186.63
manners too,186.72,4.08,188.76
we found a slave's waistband on the,188.64,3.0,190.14
you're liable to find anything on the,191.64,4.08,193.67999999999998
beach even seashells I just removed one,193.14,4.44,195.35999999999999
from his foot that should hold your,195.72,5.36,198.4
Angus thank you Doctor blood,197.58,3.5,199.33
okay you wanted to see me about some,205.8,3.84,207.72
slaves I'm afraid I have none to sell,207.72,4.2,209.82
you you see this land and everything on,209.64,4.5,211.89
it is free I wasn't speaking of buying,211.92,4.739,214.28949999999998
you were a pilot once blood before your,214.14,4.739,216.50949999999997
reform if you've taken to stealing,216.659,4.021,218.6695
slaves now I perhaps currently also,218.879,4.021,220.8895
heard that I was once a Slave an,220.68,3.839,222.5995
ex-slave can hardly be expected to like,222.9,3.119,224.45950000000002
or slave owners next to Lady Isabella,226.019,6.86,229.449
oh I'm sorry dear this is Colonel Ramsay,244.04,5.08,246.57999999999998
Colonel this is I had the honor of,247.379,2.94,248.849
meeting the lady Isabella of the,249.12,3.179,250.7095
governor's reception oh if you have,250.319,3.48,252.059
business to discuss with my fiance,252.299,3.961,254.2795
Colonel please don't let me detain you,253.799,3.961,255.7795
he is Dr Blood and I had to be married,257.76,4.439,259.9795
you're a lucky devil blood I'm aware of,262.199,4.621,264.5095
that colonel well we have a long search,264.36,3.839,266.27950000000004
ahead of us,266.82,2.879,268.2595
well I certainly won't recover my,268.199,4.521,270.4595
property standing here,269.699,3.021,271.2095
delightful as the company is,273.68,3.84,275.6
I'm glad to see you're feeling better,284.419,5.5,287.169
Angus poor Angus has had the gout I'm,286.38,5.099,288.9295
afraid too much Rich living since we,289.919,3.181,291.5095
gained off the sea,291.479,3.481,293.2195
you're not beginning to regret giving up,293.1,4.28,295.24
the scene my,294.96,2.42,296.16999999999996
regrets whatever,297.6,8.58,301.89000000000004
who is this manuelito,306.18,5.94,309.15000000000003
he's a prison from my cousin Don Ramon,310.139,3.901,312.0895
he sent him to me with a letter saying,312.12,3.84,314.04
he'd be here in time for our wedding oh,314.04,3.78,315.93
that he endless off him to honor the,315.96,4.14,318.03
marriage of a Spanish Noble woman to an,317.82,3.599,319.6195
we will not speak of that again all,321.419,4.56,323.69899999999996
right my dear let's go in the house and,323.4,4.2,325.5
Angus will prepare us one of his,325.979,4.081,328.0195
Highland dinners it's good to see you my,327.6,5.28,330.24
lady let's know that bad cooking I've,330.06,5.34,332.73
kept you healthy enough healthy I grant,332.88,4.44,335.1
you but no punch and how can I be,335.4,5.0,337.9
respectable without a porn,337.32,3.08,338.86
after what you're used to in Spain,346.44,4.259,348.5695
this is a poor threshold to ask you to,348.72,3.0,350.22
it's the one I want to get used to,351.72,8.48,355.96000000000004
DD Peter but I feel at home already,367.16,6.4,370.36
I'm glad Jeff Angus,370.08,5.64,372.9
you better feed our um,373.56,3.979,375.5495
our patients,375.72,6.14,378.79
or they can leave us as it gets dark,377.539,4.321,379.6995
hey young ladies,383.699,4.021,385.7095
you're supposed,385.56,3.419,387.2695
and be sure to get some sleep,388.979,5.241,391.5995
Peter what you're doing is dangerous no,398.6,4.3,400.75
matter how you feel helping Escape,401.58,3.48,403.32
slaves is against the law if they come,402.9,3.72,404.76
to me for help how can I turn them out,405.06,3.54,406.83
you helped a man in England once in your,406.62,3.96,408.6
reward was prison a man can't live like,408.6,4.02,410.61
a man and not make enemies,410.58,3.899,412.5295
but forgive me we should be planning our,412.62,3.18,414.21
wedding and I should be making gallon,414.479,3.301,416.1295
speeches to you it's not for speeches,415.8,5.0,418.3
that I love you Peter,417.78,3.02,419.28999999999996
ah Hillary you didn't forget Clover,431.12,5.7,433.97
beautiful my wife beautiful,434.1,4.439,436.3195
I hope you enjoy them,438.539,3.481,440.2795
your Excellency I have the honor to,440.16,3.9,442.11
present Don Ramon Del Monte allegory of,442.02,4.26,444.15
Cartagena lady Isabella's cousin welcome,444.06,4.5,446.31
to Jamaica sir it's delightful to see,446.28,4.38,448.46999999999997
you Hillary did you dispose of your,448.56,4.139,450.6295
Cargo in Portobello an average of 17,450.66,4.2,452.76000000000005
pounds ahead so I'm glad to report 17,452.699,4.321,454.8595
pounds the price of slaves is improving,454.86,4.5,457.11
your company should be delighted I'll,457.02,4.619,459.3295
take that fine Sleek hen there go,459.36,4.26,461.49
prepare them yes sir,461.639,4.021,463.6495
after leaving Portobello we put in to,463.62,4.44,465.84000000000003
Cartagena Carter henna was sacked by,465.66,4.68,468.0
Pirates sacked the Royal Governor,468.06,4.8,470.46
murdered and almost a hundred others did,470.34,5.1,472.89
I get so if you have need of a stouting,472.86,4.26,474.99
this ship to help hunt down this pirate,475.44,5.099,477.9895
Vernon the pirate Wars English,477.12,5.519,479.8795
no that's no that's impossible,480.539,4.801,482.9395
how can you be sure who identified him I,482.639,4.021,484.6495
at the time when England fights for her,486.66,4.86,489.09000000000003
life against Louis of France it is most,488.88,4.379,491.0695
regrettable that your Pirates attack,491.52,4.079,493.55949999999996
your only friend and Ally I assure you,493.259,4.44,495.47900000000004
Don Ramon we shall do everything within,495.599,3.72,497.459
our power to bring these robes to,497.699,2.641,499.0195
meanwhile we should at least have the,500.34,4.199,502.43949999999995
pleasure of your company Don Ramon at,502.5,3.72,504.36
the wedding of your cousin lady Isabella,504.539,3.72,506.399
there will be no wedding,506.22,4.319,508.3795
the pirate who raided Cartagena was,508.259,4.261,510.3895
Captain Peter blood,510.539,4.261,512.6695
Atop The Blood is no power gentleman,512.52,4.319,514.6795
here's a position and well thought of in,514.8,3.599,516.5994999999999
these parts there must be some mistake I,516.839,2.76,518.219
wish it were a mistake where too many,518.399,2.58,519.689
people recognize his blue and silver,519.599,3.421,521.3095000000001
uniform Captain Evans himself showed me,520.979,3.48,522.719
this black art through his telescope,523.02,3.0,524.52
made no secret of it his Pirates roaming,524.459,2.701,525.8095
drunk through the streets of Cartagena,526.02,3.3,527.67
boasted of a blood's men Your Excellence,527.16,3.359,528.8394999999999
is servant,529.32,2.76,530.7
knowing the way I feel about isabellum,530.519,2.641,531.8395
Israel it's a difficult position in,532.08,4.74,534.45
which this place is made on Ramon,533.16,5.58,535.9499999999999
this whole thing has come as somewhat of,536.82,4.38,539.0100000000001
a shock but Spain is our Ally and I have,538.74,4.92,541.2
a duty to my king if there is one shred,541.2,4.44,543.4200000000001
of evidence against Peter blood he shall,543.66,4.26,545.79
hang like any other pirate,545.64,5.42,548.35
good day gentlemen,547.92,3.14,549.49
to us to our happiness to our life,555.08,5.379,557.7695
you've spilled your luck,561.98,4.419,564.1895000000001
that's a bad woman take it almost out of,564.36,4.57,566.645
here you Highland hag or spill your luck,566.399,4.44,568.619
here is always,570.839,6.681,574.1795000000001
oh Peter it's beautiful,584.3,5.979,587.2895
it's the best of poor surge you can do I,587.519,3.841,589.4395
might have done better for you in the,590.279,3.441,591.9995
my present for you,598.08,5.22,600.69
to Bitter blood,609.66,4.7,612.01
with all my love,611.519,2.841,612.9395
our word here always,615.18,3.44,616.9
what is it I don't know I'll go and see,619.1,34.799,636.4995
speak while you still can I have a,653.899,4.681,656.2395
warrant for your arrest my arrest,656.339,3.721,658.1995000000001
why did you come cleaning up here like,660.06,3.899,662.0094999999999
this news did you take Captain Blood not,661.62,3.47,663.355
even by stealth,663.959,2.761,665.3394999999999
an excellent meal Sir Henry more pose,666.72,4.94,669.19
Hillary thank you,668.94,2.72,670.3000000000001
to later Isabella to see your elections,671.82,4.98,674.3100000000001
vasel lady Isabella my regrets,674.22,4.2,676.32
this time you may convey them yourself,676.8,4.38,678.99
said Henry I've tried for two days to,678.42,4.74,680.79
see you and to see Peter in prison why,681.18,4.02,683.1899999999999
have you refused me necessity has tied,683.16,4.28,685.3
the need to silence,688.14,2.66,689.47
policy is a fact that your fiance seems,694.86,3.84,696.78
to have forgotten,697.56,2.82,698.9699999999999
who could prove such an absurd,698.7,3.78,700.59
accusation the proof will be thoroughly,700.38,3.48,702.12
examined by the English Court where,702.48,3.24,704.1
blood will stand trial,703.86,3.96,705.84
he was tried once before by an English,705.72,4.52,707.98
to Peter blood had The Misfortune of,717.48,4.799,719.8795
putting healing above all else while,719.459,4.56,721.7389999999999
helping the wounded he was accused of,722.279,4.201,724.3795
disloyalty to the crown,724.019,4.44,726.239
an outrageous government sentenced him,726.48,4.5,728.73
to slavery in the West Indies,728.459,4.5,730.709
forced to work as a slave along with,730.98,3.66,732.8100000000001
those unfortunates he helped as a,732.959,4.381,735.1495
surgeon in the Rebellion,734.64,5.909,737.5945
never was fighting so bitter as between,742.339,5.261,744.9695
those that were in prison and the guards,745.079,4.44,747.299
so misguided that only the urge to kill,747.6,5.16,750.1800000000001
their less fortunate fellows remained so,749.519,6.361,752.6995000000001
they fought as only slaves can fight for,752.76,4.8,755.16
their freedom,755.88,3.26,757.51
and at last,757.56,5.279,760.1995
the prison Gates were opened a score of,759.14,5.98,762.13
hunted men on a tiny Island kept her,762.839,5.661,765.6695000000001
meant death there was a ship in the hub,765.12,5.88,768.0600000000001
a slave ship,768.5,4.54,770.77
faint from hunger and thirst but,771.0,4.44,773.22
fighting desperately for their lives,773.04,5.66,775.87
they took their one last chance,775.44,6.3,778.59
cautiously silently,778.7,6.04,781.72
found meant death they climbed aboard,781.74,6.3,784.89
surprising the crew in a short time the,784.74,5.64,787.5600000000001
ship was theirs,788.04,4.799,790.4395
ship a crew Men Without a country,792.839,4.5,795.089
sailing under the only colors left to,795.42,3.92,797.38
SUNY became Captain blunt known as the,805.2,4.68,807.5400000000001
most courageous and daring pirate in all,807.839,3.12,809.399
the Caribbean,809.88,3.3,811.53
forced by sheer necessity ships of every,810.959,4.38,813.149
nation became his prize but only for the,813.18,5.76,816.06
goal They Carried and not for bloodshed,815.339,6.18,818.4290000000001
never once did he attack a ship flying,818.94,5.82,821.85
the English flag until in the harbor at,821.519,6.06,824.549
larger lay an English frigate of 50 guns,824.76,5.639,827.5794999999999
guarding the slave colony,827.579,5.341,830.2494999999999
he entered into combat at the risk of,830.399,4.62,832.709
losing their ship,832.92,4.14,834.99
their only home,835.019,4.981,837.5095
even possible capture and returned to,837.06,3.48,838.8
his crew proved their worth even when,846.54,4.08,848.5799999999999
the frigate made a futile attempt to Ram,848.76,4.579,851.0495
their ship,850.62,2.719,851.9795
victory was theirs,853.5,5.459,856.2295
they could have ransacked the city for,856.62,5.76,859.5
its gold and its jewels,858.959,4.801,861.3594999999999
but a dawn,862.38,3.899,864.3294999999999
the Victor only demanded the release of,863.76,3.2,865.36
the slaves,866.279,5.161,868.8595
a free man he went back to the practice,875.16,4.76,877.54
it was Isabella you know cousin Don,885.48,3.84,887.4
Ramon and I saw Captain Blood at,887.699,3.601,889.4995
Cartagena wearing the same blue and,889.32,3.3,890.97
silver uniform which he has made,891.3,3.96,893.28
Infamous throughout the Caribbean,892.62,4.44,894.84
but surely your personal knowledge of,895.26,3.06,896.79
Peter makes you realize this is,897.06,3.06,898.5899999999999
impossible,898.32,4.56,900.6
the parrot my dear none of us can deny,900.12,4.92,902.58
it's your Excellency will please excuse,905.04,3.919,906.9995
what did they say Lassie,917.88,5.759,920.7595
politicians what is the condition of,920.839,5.081,923.3795
your ship Hillary I can Sail On The,923.639,3.781,925.5295
Morning Tide,925.92,4.32,928.0799999999999
and so you shall,927.42,4.68,929.76
and take your prisoner aboard with you,930.24,3.899,932.1895
you were right in the first place Angus,934.139,4.26,936.269
get all Captain blood's old crew,936.18,4.26,938.31
together they'll know what to do I'll,938.399,6.201,941.4995
see begging your pardon my lady,940.44,4.16,942.5200000000001
I'll pass the word,946.139,37.921,965.0995
ER is to be captain Iron into a well at,1046.1,5.03,1048.615
Sea Captain's orders,1048.919,7.43,1052.634
oh Shakira sir,1057.74,4.92,1060.2
a strange one get your man alive to make,1059.96,3.66,1061.79
let's skip alongside Seth,1063.62,3.62,1065.4299999999998
good evening Hillary this is indeed a,1084.559,4.921,1087.0194999999999
surprise I'm about to set sail yes I,1086.72,5.28,1089.3600000000001
know that's why I had to see you to,1089.48,4.199,1091.5795
apologize oh there's no need of that,1092.0,4.799,1094.3995
Isabella please please let me talk to,1093.679,4.38,1095.8690000000001
you one moment,1096.799,4.321,1098.9595
alone why of course my dear come come,1098.059,5.48,1100.799
here now what's this ain't he elegant he,1111.5,6.059,1114.5295
looks like a blooming Admiral hear you,1115.64,5.58,1118.43
what's your name is,1117.559,3.661,1119.3895
molester here now then you either speak,1125.419,5.521,1128.1795000000002
English you play I dance,1127.88,5.159,1130.4595000000002
give him a tune and let's see the little,1130.94,4.82,1133.3500000000001
monkey dance,1133.039,2.721,1134.3995
knowing the way I feel about you can,1152.799,3.76,1154.679
well understand what a distasteful,1155.0,3.84,1156.92
situation is this for me I can grant you,1156.559,4.201,1158.6595
no favors Isabella,1158.84,3.959,1160.8194999999998
but I ask for nothing Hillary,1160.76,3.9,1162.71
I only came here to say I'm sorry for,1162.799,4.561,1165.0795
the way I acted yesterday I'm glad you,1164.66,3.6,1166.46
it'll give me something to look forward,1168.26,3.24,1169.8799999999999
to on the long voyage to England and,1169.58,2.76,1170.96
you know Isabella from the time you,1172.34,4.98,1174.83
boarded my ship in Spain I've always,1174.799,4.441,1177.0194999999999
dared The Hope even though I knew you,1177.32,3.07,1178.855
were pledged to another,1179.24,3.47,1180.975
what is it Captain Evans are dead,1271.1,5.34,1273.77
quickly sir pirates pirates what's going,1273.44,5.099,1275.9895000000001
on up there speak up boy pirate sir they,1276.44,3.359,1278.1195
came over the side they released the,1278.539,3.301,1280.1895
prisoner out of my way Hillary please,1279.799,4.921,1282.2595
don't leave me alone I'm afraid,1281.84,5.88,1284.78
hi Asha tell them who we are hi hi sir,1412.52,6.42,1415.73
the peaceful citizen reversed to type,1416.84,4.44,1419.06
you see the parrot in his true colors my,1418.94,4.32,1421.1000000000001
dear now do you believe that blood was,1421.28,4.639,1423.5995
in Cartagena,1423.26,2.659,1424.5895
the crew are they with us I'll get a few,1438.64,4.779,1441.0295
of them they're just on us average,1441.559,3.781,1443.4495
citizens who appreciate a wee bit of,1443.419,2.331,1444.5845000000002
any man who doesn't want to join us has,1448.0,3.82,1449.91
my permission to go over the side and,1450.62,3.9,1452.57
swim ashore man this is Mutiny I warn,1451.82,3.96,1453.8
you that every one of you will swing,1454.52,3.24,1456.1399999999999
from the yardarm you won't be able to,1455.78,4.259,1457.9095
see it you'd be down at the cabin with a,1457.76,4.88,1460.2
bit of fluff,1460.039,2.601,1461.3395
what we want is a captain who's on Deck,1462.86,4.38,1465.05
when the fighting's on,1465.38,2.96,1466.8600000000001
take him below,1468.34,4.83,1470.7549999999999
I'm out here they'll take you ashore,1476.0,4.039,1478.0195
I'll wait for you,1485.08,3.719,1486.9395
it's no use to wait,1488.84,4.26,1490.97
I have no life to offer you now they've,1490.58,4.62,1492.8899999999999
driven me back to piracy and another,1493.1,3.6,1494.8999999999999
apart from the king would be a miracle,1495.2,2.82,1496.6100000000001
oh Peter I'll pray for a Luke,1498.02,6.26,1501.15
see they gotta show it safely all right,1504.98,3.38,1506.67
we've exhale at once,1508.36,3.66,1510.1899999999998
I'll wait for you forever,1513.64,8.26,1517.7700000000002
shake out your fossils,1526.779,4.26,1528.909
still North Water East,1534.26,3.11,1535.815
I think string him up now I let him,1580.24,4.84,1582.66
dance on the yard,1583.22,4.339,1585.3895
we have no collar with Captain Evans,1587.559,4.661,1589.8895
only with his Majesty's government,1590.14,5.2,1592.74
what's about about that has given us a,1592.22,6.559,1595.4995000000001
chance to resume our chosen profession,1595.34,6.12,1598.3999999999999
I can promise that every one of you will,1598.779,5.741,1601.6495
be caught and hanged without distinction,1601.46,5.76,1604.3400000000001
throw him overboard probably I should,1604.52,5.759,1607.3995
listen to my man but my retirement has,1607.22,7.1,1610.77
made me a bit soft put him up,1610.279,4.041,1612.2995
you've ordered food enough for three,1623.72,4.02,1625.73
days if your drawings are stubborn as,1625.58,3.839,1627.4995
the set of your jaw you'll make Port,1627.74,4.76,1630.1200000000001
Royal long before that,1629.419,3.081,1630.9595000000002
I'll find every one of you first I,1632.539,4.501,1634.7895
suggest you find Port Royal,1635.659,5.631,1638.4745
ship off the starboard ball,1643.159,3.981,1645.1495000000002
if she is a friend,1660.159,3.841,1662.0795
she's a pilot you'd like us,1669.38,6.0,1672.38
put two shots across our bar I sure are,1675.38,4.64,1677.7
our true colors,1678.32,4.17,1680.405
they take a closer look,1680.02,6.589,1683.3145
raise your hands and take again the oath,1694.46,3.12,1696.02
we the hunted or become Hunters we,1697.58,4.5,1699.83
dedicate ourselves to a life and death,1700.4,4.68,1702.74
Brotherhood of Buccaneers all valuables,1702.08,6.24,1705.1999999999998
seized shall become common fans,1705.08,4.92,1707.54
for the future security of each and,1708.32,4.12,1710.3799999999999
every one of you we pledge these Rewards,1710.0,12.509,1716.2545
what shape are you a Congo clean Captain,1734.0,7.14,1737.57
Peter blood Captain Peter blood Thomas,1738.08,6.12,1741.1399999999999
Wallace great The Last Quest from his,1741.14,5.159,1743.7195000000002
Captain Peter blood my friend but you,1746.299,5.701,1749.1495
should be more careless full I put the,1749.72,4.38,1751.91
new capture you haven't sent the enemies,1752.0,4.76,1754.38
such as you,1754.1,2.66,1755.4299999999998
coming come in my friend ah we have much,1758.299,7.62,1762.109
to say it is so good Malone comrades,1762.5,6.179,1765.5895
meet you don't know how much I miss you,1765.919,6.561,1769.1995000000002
my friend come on we get drunk everybody,1768.679,5.36,1771.3590000000002
oh I put it in here forgot the crew of,1774.039,5.681,1776.8795
my friendship is don't be thirsty so,1777.679,4.701,1780.0295
long I got fine Spanish wine in my old,1779.72,6.78,1783.1100000000001
I give the order oh a passenger I pick,1782.38,7.38,1786.0700000000002
up in Tortuga,1786.5,3.26,1788.13
he doesn't understand about courtesies,1795.399,4.741,1797.7694999999999
I am Celeste,1800.179,5.281,1802.8195
Peter block I'm saying Captain Blood,1802.46,5.04,1804.98
