text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
Mallo yeah,84.88,3.96,86.86,0.296,0.0,0.7,0.19098517998130718,0.17139918634854504,0.15292751633304374
Franklin James I'm here Mr man I can't,98.92,6.799,102.3195,0.0,0.0,0.2,0.1947350644088877,0.16468935807728832,0.1492933401676378
tell no lie and I'll be right here till,102.68,4.61,104.985,-0.296,0.2857142857142857,-0.7,0.19536395069979495,0.16369591615550905,0.14870423359963075
Spencer Becca y,111.24,6.519,114.4995,0.0,0.0,0.7,0.19756527210842853,0.16052272916616744,0.14668702414608858
stack here,114.92,6.92,118.38,0.0,0.0,0.2,0.19844328562697222,0.15939080345397247,0.14590157284264937
list here Collins,117.759,4.081,119.7995,0.0,0.0,0.4,0.19876156140977,0.15899955935377413,0.14561949594348875
yeah rain every day now for a week I,134.12,6.119,137.17950000000002,0.296,0.0,-0.7,0.20252971374640372,0.15515587963176547,0.14238354735438533
used to like the rain when I was a kid,137.959,4.841,140.3795,0.3612,0.0,0.3,0.20319704985451129,0.15463030587315235,0.14182967409139788
even want to rain hard like now the last,140.239,5.041,142.7595,0.34,-0.1458333333333333,0.2,0.20368793950614542,0.15427431148001045,0.14142577430301886
fight Outdoors it rain slowed me up a,142.8,4.36,144.98000000000002,-0.3818,0.0,0.5,0.204141717693168,0.15396854386431327,0.14105502207507825
light one of the most beautiful ladies I,145.28,5.52,148.04,0.6361,0.5833333333333334,0.8,0.20476034664690015,0.1535881439182246,0.14055354942021137
ever knew I met in the rain high heels,147.16,6.28,150.29999999999998,0.0,0.16,0.4,0.2052122192880441,0.15333713635593466,0.1401900892632865
on wet pavement hey here's your last,150.8,4.88,153.24,0.0,-0.05,-0.7,0.2057936221301964,0.1530479201153173,0.13972588336843342
Frank they don't waste much time do,156.64,4.319,158.7995,0.3252,0.0,-0.7,0.20687299026605913,0.1526133096383158,0.13887401420738907
they more a and no more pain the good,164.8,10.0,169.8,0.5712,0.3166666666666666,0.7,0.20893015437384524,0.15216499525728835,0.1372836310323219
Lord he treated Franky very fine he let,170.08,9.519,174.83950000000002,0.2716,0.5416666666666667,0.4,0.20983710012951234,0.1521318206902594,0.1365949359962408
him out before he finished his time well,174.8,6.6,178.10000000000002,0.2732,0.0,-0.7,0.21041182505057726,0.152164882316772,0.13616200543395166
done gentleman that's one way of getting,179.599,4.681,181.9395,0.0,0.0,0.3,0.21107634667898761,0.15225675848013281,0.1356644881783742
sprung maybe he's better off I didn't,181.4,4.88,183.84,0.4404,0.5,-0.7,0.2114003341129874,0.15232283457150955,0.13542301072641716
think that even Captain MSY would put a,184.28,4.28,186.42,0.0,0.0,0.4,0.21183488902967185,0.1524337870833665,0.1351001385135228
62-year-old man to work in the brain,186.28,4.56,188.56,0.0,0.0,0.5,0.21219070534754525,0.15254398675843212,0.13483655818519452
pipe yeah another Dead Guy compliments,188.56,5.599,191.3595,-0.1027,-0.2,0.7,0.21264980345488937,0.15271239897362077,0.13449739663375257
to Captain MSY always on tap there he is,190.84,8.039,194.8595,0.0,0.0,0.7,0.21321355231432756,0.1529605055295152,0.13408212364655345
now Joe it's Joe with,194.159,4.72,196.519,0.0,0.0,0.3,0.21347685469769817,0.15309231903663148,0.1338885326743031
too bad about mlan you and he were good,240.799,5.28,243.439,-0.1531,5.551115123125783e-17,-0.7,0.21981625872470706,0.15988213998267053,0.12913527188101662
friends weren't you call him Frankie,243.68,3.72,245.54,0.4767,0.0,0.4,0.2200483655111373,0.16029332775612562,0.1289479242466237
only had about 8 months left to do,246.079,2.321,247.2395,0.0,0.0,-0.7,0.22023275606335913,0.1606306960819868,0.12879753511734732
Captain knowing mlan out in 8 months,248.4,4.32,250.56,0.0,0.0,0.4,0.22058430536797952,0.1613014190295744,0.1285065275972736
nine right,252.72,5.519,255.4795,0.0,0.2857142857142857,0.5,0.22108381033582813,0.16232085422471154,0.12808170835614924
Collins still carrying a grudge eh lay,255.12,4.44,257.34000000000003,0.0,0.0,-0.7,0.2212660341397528,0.1627136348853263,0.1279228423310236
msie no not msie,259.56,6.0,262.56,-0.296,0.0,-0.7,0.221757561039186,0.1638342215513029,0.12748177536608896
sir you won't even meet me halfway will,265.56,5.24,268.18,0.0,0.0,-0.7,0.22225394831133716,0.16506664160805898,0.12701355125137376
you Collins 10 days in solitary haven't,268.16,4.28,270.3,0.0,0.0,-0.7,0.22243228738132295,0.16553726057419813,0.12683842734848202
taught you a thing I better taught him,270.8,4.239,272.9195,0.4404,0.5,0.2,0.22264585887669286,0.166122321615995,0.1266230043544983
not to carry a ship anymore or do you,272.44,4.479,274.6795,0.0,0.0,-0.7,0.2227851231337789,0.16651732380230344,0.12647879496130482
still claim that knife was landed on you,275.039,5.201,277.6395,0.0,0.0,0.2,0.22301163538103114,0.16718449206408412,0.12623708291143346
never mind that the episode's,276.919,5.241,279.5395,0.0,0.0,0.4,0.22315191794211903,0.16761425725436577,0.1260823905921458
Collins why keep on fighting after all,282.16,7.039,285.6795,-0.3612,0.0,0.7,0.22357772323015385,0.1690079271494964,0.12558421967194563
I've got a job to do,285.6,3.599,287.39950000000005,0.0,0.0,0.6,0.22368941897811603,0.1693988744758982,0.12544496235951458
I'm very well have it your,290.16,4.56,292.44,0.3384,0.2,0.6,0.22399747290847588,0.1705432792909987,0.12503701661352906
Joe doc Joe I meant to come down and,307.479,7.761,311.3595,0.0,-0.1555555555555555,0.2,0.22489329123525623,0.17477854156121783,0.12349208207407923
visit you but I,311.52,3.72,313.38,0.0,0.0,0.2,0.22496426517080437,0.17522275040709043,0.12332432723300997
Walters there's a meeting this,320.919,5.921,323.8795,0.0,0.0,0.2,0.22525490809839108,0.17749729743714573,0.12243842193754953
morning You' better get straightened out,323.4,5.079,325.93949999999995,0.4404,0.5,-0.7,0.2252964143958405,0.17793612734264497,0.12226130920534782
and the same to,326.84,4.639,329.1595,0.0,0.0,0.5,0.2253510020807562,0.17861661889290334,0.12198193340064102
old friend Joe was in the hole and it,340.88,6.2,343.98,0.4939,0.1,0.4,0.22543852935278946,0.1816518029838466,0.12064902723425286
was worse than where they dig in C he,343.759,6.28,346.899,-0.4767,-0.4,-0.7,0.22542368073469415,0.18222857575304074,0.12037592618599689
comes out holding very high his,347.08,9.6,351.88,0.0,0.208,0.7,0.22537364588529293,0.18319493821513205,0.11990066055991017
head and a man to blame soon be very,350.039,11.44,355.759,-0.34,0.2,-0.7,0.22531296881699864,0.183931069895295,0.11952192245387032
D Joe how are you,356.68,4.799,359.0795,0.0,0.0,0.3,0.2252458235389639,0.18454917507442228,0.11919132559574949
Joe good to see you,364.479,4.961,366.9595,0.4404,0.7,0.7,0.22502987816213552,0.1859688003053597,0.11838138647394457
Joe I'm glad you're,366.8,6.16,369.88,0.4588,0.5,0.7,0.22492945996769306,0.1864771375940126,0.118071530653643
back heard from the,369.44,3.52,371.2,0.0,0.0,0.2,0.22488043218585987,0.1867035929793879,0.11792967437276584
wife Joe you know kid Koy seen him,373.919,5.801,376.8195,0.0,0.0,0.4,0.22464621026997622,0.18764385375597875,0.11731264580886848
around they moved him into Frankie,377.68,4.68,380.02,0.0,0.0,0.2,0.22449425317403093,0.18816153588547072,0.1169513440631448
Place Frankie was tops a hard guy to,382.479,5.921,385.4395,0.4404,-0.2916666666666667,0.4,0.22420599207035347,0.18900724740974598,0.11632228790732277
follow whatever you say,385.88,5.52,388.64,0.0,0.0,0.4,0.22401736830579858,0.18948775868753812,0.11594016771439761
at the Ste pigeon Joe we made,394.44,4.759,396.8195,0.0,0.0,0.7,0.22347270714237555,0.19064867772115573,0.11492560989953372
arrangements everything's okay,396.039,5.521,398.7995,0.2263,0.5,0.2,0.22332724018795758,0.1909146332942206,0.1146714476513785
everything's,399.199,5.481,401.9395,0.0,0.0,0.4,0.22308558877925966,0.19132391347513256,0.1142612445325764
okay what's,401.56,5.32,404.22,0.2263,0.5,0.2,0.22290162343735295,0.19161137013701235,0.11395771297315402
okay nothing's,404.68,6.0,407.68,0.2263,0.5,0.2,0.2226088536939468,0.19203139933673694,0.11348793646500957
okay it never was and it never will be,406.88,6.84,410.3,0.2263,0.5,-0.8,0.22237616256809534,0.19233626309898896,0.11312460726342066
not until we're out get,410.68,6.04,413.7,0.0,0.0,-0.7,0.22205999714134322,0.1927145308980806,0.11264308085623137
sure after solitary even this will taste,429.68,5.519,432.4395,0.3182,0.5,0.4,0.22002598981779126,0.19442612702314555,0.10977190236159662
thanks a long talk with a mouthpiece,435.199,3.84,437.119,0.4404,0.075,0.2,0.21944006436671754,0.19474880051872015,0.10899359278651705
yesterday your lawyer came all the way,437.599,3.44,439.319,0.0,0.0,0.4,0.21915369094963275,0.19488522677415446,0.10861868684045481
from New York just to give you advice n,439.039,5.72,441.899,0.0,0.1363636363636363,0.3,0.21880892323985268,0.1950325281728979,0.10817153759376287
ain't you heard he's right here in stur,441.039,3.72,442.899,0.0,0.2857142857142857,0.7,0.2186726928516069,0.19508589489959532,0.1079960226222961
too Robert,448.0,5.24,450.62,0.0,0.0,0.4,0.21757169879457006,0.19542625381836273,0.10659844029363993
I need a little help get away from me,450.639,5.56,453.419,0.3415,-0.1875,-0.7,0.21715095280482435,0.19551758364165078,0.10607277856477673
but you're in with Gallagher,453.24,5.639,456.0595,0.0,0.0,0.4,0.2167434224537923,0.19558771046987306,0.10556735406863227
please Roberts you know Gallagher can,456.199,4.72,458.559,0.3182,0.0,0.2,0.21634812757214952,0.1956395399967617,0.10508025692935623
fix anything there's some things that,458.879,4.6,461.179,0.0,0.0,0.2,0.21592379356555533,0.19567845753318408,0.10456049328187801
just can't be fixed Roberts if you could,460.919,5.28,463.559,0.0,0.1,-0.7,0.2155294425603982,0.19569995151625805,0.10408007330914401
put in a word for,463.479,2.72,464.839,0.0,0.0,0.2,0.21531384557232935,0.19570599401557384,0.10381840139422524
me gager I got to talk to you what's he,469.84,4.88,472.28,0.0,0.0,-0.7,0.21401166074970854,0.19566319212711897,0.10225061734832383
want wa gager you got to listen to me I,472.599,3.841,474.5195,0.0772,0.0,-0.7,0.21360333930738137,0.19562377954055302,0.10176287219709336
said blow they'll kill me they'll who is,474.72,4.84,477.14,-0.6908,0.0,-0.7,0.21311585870688776,0.19556180321620098,0.10118260041650654
he Wilson he's here on a 529 also a,476.44,5.24,479.06,0.0,0.0,0.2,0.21275203376842913,0.19550556548886097,0.10075082870450366
stool pigeon he planted a shave on,479.56,4.68,481.9,0.0,0.0,-0.7,0.21220352075583876,0.19540567970416314,0.10010177313889139
Collins M he made me do it honest you,481.68,4.639,483.9995,0.5106,0.6,0.3,0.21179005787742805,0.19531909103057923,0.09961388283616485
can fix anything Jack if you can call,484.24,6.799,487.6395,0.0,0.0,0.3,0.2110571018981508,0.19514345198771102,0.09875150726227769
