text,start,duration,time_midpoint,vader,textblob,llama3
when you see Harden getting both barrels,126.18,3.48,127.92,0.0,0.0,0.6
for me yeah take care of Fletcher too,127.979,3.541,129.7495,0.6597,0.0,0.8
sure we'll bring you back to Pieces,129.66,5.19,132.255,0.3182,0.25,-0.7
won't we Ben yeah see you at the cabin,131.52,12.38,137.71,-0.2235,0.0,0.4
Johnny as long as we're here pick us up,153.78,5.24,156.4,0.0,-0.05,0.7
some fresh horses at the Corral,155.76,3.26,157.39,0.3182,0.3,0.7
Bentley cover me until I get inside,159.72,4.099,161.7695,0.0,0.0,0.7
boy you're going to feel often when you,230.519,5.901,233.4695,0.0,0.0,-0.7
hear the bugling in the morning,232.86,3.56,234.64,0.0,0.0,0.7
what do you want,251.06,3.36,252.74,0.0772,0.0,0.5
don't try it,255.799,3.421,257.5095,0.0,0.0,-0.7
that's better,262.68,2.72,264.04,0.4404,0.5,0.7
anybody else around,266.04,3.92,268.0,0.0,0.0,-0.7
you pray it stays that way,270.9,4.32,273.06,0.3182,0.0,0.7
there won't be anybody,273.6,5.24,276.22,0.0,0.0,0.4
we were just getting ready to close up,275.22,3.62,277.03000000000003,0.3612,0.2,-0.4
your Ben Thompson aren't you,278.94,5.28,281.58,0.0,0.0,0.2
I'll do the asking,281.639,5.34,284.309,0.0,0.0,0.4
what's your name friend Holly,284.22,5.46,286.95000000000005,0.4939,0.0,0.7
that's my wife,286.979,4.381,289.1695,0.0,0.0,0.8
what do you want here anyway,289.68,3.9,291.63,0.0772,0.0,-0.7
this may take a while,291.36,6.08,294.40000000000003,0.0,0.0,0.2
sit on over there by your wife and relax,293.58,3.86,295.51,0.4404,0.0,0.7
would it hurt so much to tell us what,311.88,3.9,313.83,-0.5267,0.2,-0.7
you want there's a couple of Marshals in,313.56,3.72,315.42,0.0772,0.0,0.3
clay Hardin and Mark Fletcher,317.28,3.8,319.17999999999995,0.0,0.0,0.4
six years in a stinking prison hole on,325.38,4.86,327.81,-0.7717,0.0,0.2
account of them,327.66,6.379,330.84950000000003,0.0,0.0,-0.8
I figured even things,330.24,3.799,332.1395,0.0,0.0,0.4
tremendous trying to set up an ambush,334.139,3.12,335.699,0.0,0.3333333333333333,0.8
Thompson you're sure not being very,335.88,4.02,337.89,0.3182,0.35,-0.7
careful about it somebody's bound to see,337.259,4.5,339.509,0.1531,-0.1,-0.4
you in here that means Harden and,339.9,3.96,341.88,0.0,0.0,0.4
Fletcher will soon be showing up,341.759,4.201,343.8595,0.0,0.0,0.4
that's the point I'm counting on them,343.86,3.72,345.72,0.0,0.0,0.7
