text,start,duration,line_no,midpoint,sentiment-vader,sentiment-textblob,sentiment-vader_norm,sentiment-textblob_norm
[Applause],16.14,30.44,1,31.36,0.4215,0.0,11.192274061430423,-1.949665142142542
[Music],19.36,27.96,2,33.34,0.0,0.0,4.243714704785972,-1.9207325486388798
[Applause],46.58,63.819,3,78.48949999999999,0.4215,0.0,6.559837829667395,-1.933375579890697
[Music],47.32,65.159,4,79.8995,0.0,0.0,4.243735330347711,-1.9418962279457093
should not be pronounced know your honor,110.399,4.481,5,112.6395,0.4939,0.0,6.112423150922903,-1.9270384202312747
yes i have something to say,112.479,4.481,6,114.7195,0.4019,0.0,6.8454823004093655,-1.9164991775439943
you can put me away but you can't put,114.88,3.599,7,116.67949999999999,0.0,0.0,5.488908079329418,-1.9812555026433527
away what's going to happen to you and,116.96,2.88,8,118.39999999999999,0.0,0.0,4.462716451576328,-1.9081035268074273
to this whole country,118.479,4.161,9,120.5595,0.0,0.2,3.659206215689499,-0.944290340350386
next time next time we are going to say,119.84,5.12,10,122.4,0.0,0.0,3.0345070942598396,-0.9556974736111338
anymore,122.64,2.32,11,123.8,0.0,0.0,2.5028758465661727,-1.1483190362894875
it is the judgment of this court that,126.56,3.36,12,128.24,0.0,0.0,2.0811427503383886,-1.1511383060764735
the defendant john hubermann,128.08,3.76,13,129.96,0.0,0.0,1.6871061985357827,-1.2421068190954998
having been found guilty of the crime of,129.92,3.76,14,131.79999999999998,-0.743,-0.5,-0.341785854540533,-2.915765593153045
treason against the united states,131.84,3.44,15,133.56,-0.0258,0.0,-0.5809420324886913,-2.858279844667327
by the jury of this court for the,133.68,4.24,16,135.8,0.0,0.0,-0.7081528737068807,-2.7884752713282124
southern district of florida at miami,135.28,4.08,17,137.32,0.0,0.0,-0.8202086920838051,-2.765798804297113
be committed to the custody of the,137.92,3.28,18,139.55999999999997,0.2732,0.0,-0.4273402088849385,-2.6660161609200235
united states attorney general,139.36,4.08,19,141.4,0.4215,0.05000000000000002,0.18202512151327552,-2.5806245111535278
for imprisonment in an institution of,141.2,4.56,20,143.48,0.0,0.0,0.03855312974301313,-2.510735814860006
the penitentiary type for a period of 20,143.44,3.84,21,145.35999999999999,0.0,0.0,-0.0841528212887979,-2.4704413423748544
years,145.76,3.199,22,147.3595,0.0,0.0,-0.22762290077287217,-2.443328177597307
and the defendant may be fought with,147.28,3.44,23,149.0,-0.3182,0.0,-0.7503684416131258,-2.427999470554581
remanded to the custody of the united,148.959,2.64,24,150.279,0.4215,0.0,-0.2887477893655988,-2.4189905526904645
states marshall,150.72,7.12,25,154.28,0.0,0.0,-0.38466989410232943,-2.4006360942413836
what is now again here she comes,151.599,6.241,26,154.71949999999998,0.0,0.0,-0.45044476670620415,-2.3990073351134664
[Applause],160.04,3.559,27,161.8195,0.4215,0.0,-0.03149457802168956,-2.354517901852385
we'd like a statement from you ms,162.319,3.28,28,163.95899999999997,0.3612,0.0,0.2924562249383091,-2.3254778133033094
huberman about your father for instance,163.599,3.121,29,165.15949999999998,0.0,0.0,0.2140339861634819,-2.3151404971388105
do you think your father got what he,165.599,1.761,30,166.4795,0.0,0.0,0.052441471930743944,-2.378084881988226
deserved,166.72,1.76,31,167.6,0.0,0.0,0.09187736969028966,-2.264260109758347
could we say that you're pleased your,167.36,2.239,32,168.4795,0.4404,0.5,0.3078856247090543,-1.5950330920582596
father is going to pay the penalty for,168.48,4.0,33,170.48,-0.5267,0.0,-0.1956016067724411,-1.577719009481278
being a german worker,169.599,2.881,34,171.03949999999998,0.0,0.0,-0.34409852642479144,-1.6050524723934265
let us know if she tries to leave town,172.8,13.04,35,179.32000000000002,-0.0516,-0.1,-0.43310443295403395,-1.737823993940813
would you care to pause for some,188.159,3.44,36,189.879,0.4939,0.0,-0.02558247486154791,-1.7553694657312586
refreshments mister hop kids,189.44,4.079,37,191.4795,0.0,0.0,-0.1432887021467504,-1.732981845224574
alicia were you really followed by a,191.599,4.161,38,193.6795,0.0,0.2,-0.16299925997606482,-1.5165528177137213
policeman it sounds very exciting i'm,193.519,3.281,39,195.1595,0.5413,0.39,0.20137957236494586,-1.0732677980803254
going to shoot it out with him,195.76,3.36,40,197.44,-0.34,0.0,-0.14726284948881113,-1.0613605913334976
no thanks have enough serve you don't be,196.8,3.84,41,198.72,-0.3412,-0.05,-0.46417277087570197,-1.1920818151770238
silly the important drinking hasn't,199.12,2.32,42,200.28,0.2263,-0.04999999999999999,-0.38107402024195114,-1.2103352189843708
started yet,200.64,2.56,43,201.92,0.0,0.0,-0.37774221243230727,-1.2775198444276548
everybody down here's got a stuffed fish,201.44,3.76,44,203.32,0.0,-0.15555555555555559,-0.4865277621302966,-1.4122253779869511
hanging on the wall where'd they get it,203.2,4.01,45,205.20499999999998,0.0,0.0,-0.49923273168047627,-1.4467110257796285
never seen a fish how about you handsome,205.2,3.2,46,206.79999999999998,0.4939,0.5,-0.21354346016330736,-0.9512713295006165
[Music],207.21,3.99,47,209.205,0.0,0.0,-0.2517018919245901,-0.9715741279039354
haven't i seen you somewhere before well,208.4,4.399,48,210.5995,0.2732,0.0,-0.12807359584346717,-0.997462839698894
it doesn't matter,211.2,4.16,49,213.28,-0.0191,0.0,-0.18386835143307406,-1.0054696173331856
i like party crashers he's not a party,212.799,4.481,50,215.0395,0.4482,0.0,0.05471580293161251,-1.032843305787981
crasher i brought him,215.36,3.76,51,217.24,0.0,0.0,0.003945523625617165,-1.0613776132513981
oh mr harper i wouldn't mind being,217.28,3.44,52,219.0,0.0,0.0,-0.0465700580385646,-1.0485906044673459
followed by a cop,219.12,3.28,53,220.76,0.0,0.0,-0.10285185514609556,-1.0924956452027534
i hate low underhanded people like,220.72,3.599,54,222.5195,-0.5106,-0.4,-0.455319717713101,-1.428965959610007
policemen who is he putting after you,222.4,3.199,55,223.9995,0.0,0.0,-0.49922916100409,-1.4627016594670825
because i'm a marked woman,224.319,3.28,56,225.95899999999997,0.0,0.1,-0.5470944756230669,-1.3606502267590934
no i'm liable to blow up the panama,225.599,3.121,57,227.15949999999998,-0.296,0.05,-0.7367483891831922,-1.3357544399357497
canal any minute now,227.599,3.2,58,229.19899999999998,0.0,0.0,-0.7950715761342604,-1.3946916807348197
you want some ivs in it no thank you,228.72,3.519,59,230.4795,-0.2047,0.0,-0.9168682344383754,-1.324684788452752
it's not for coming for a lovely girl,230.799,3.201,60,232.39950000000002,0.5859,0.5,-0.6424856794814013,-1.0055414903364646
like you'd be worried about policeman,232.239,4.481,61,234.4795,0.0772,0.0,-0.6278000661582785,-0.9869782013736459
you won't be tomorrow oh really we sail,234.0,3.519,62,235.7595,0.0,0.2,-0.6550200799173341,-0.9015384551739933
at them,236.72,3.36,63,238.4,0.0,0.0,-0.7122506413725173,-0.8394210169477192
really we just sail away show me your,237.519,4.161,64,239.5995,0.0,0.2,-0.7305744709605586,-0.807273768692079
fish and i'll show your life what this,240.08,3.92,65,242.04000000000002,0.0,0.0,-0.7050846150217223,-0.7662995002171179
party needs is a little gland treatment,241.68,3.839,66,243.5995,0.4019,-0.1875,-0.6168304299770341,-0.9328914883714312
we better start breaking up on this so i,244.0,3.2,67,245.6,0.4404,0.5,-0.43730321575584996,-0.6014175899265397
have to be on board at nine,245.519,3.28,68,247.159,0.0,0.0,-0.3829912352027365,-0.6135128794608526
one week in havana and this whole thing,247.2,3.28,69,248.83999999999997,0.0,0.2,-0.4894535738630886,-0.5198010371960758
about your father will have blown over,248.799,4.08,70,250.839,0.0,0.0,-0.49405618898792536,-0.5055128680640438
do you love me commodore you're a very,250.48,3.679,71,252.31949999999998,0.6369,0.35,-0.2342685501258112,-0.33447239205077645
beautiful woman,252.879,2.801,72,254.27949999999998,0.5994,0.85,0.02258195375236407,0.19438005318955315
i'd have another drink to appreciate,254.159,3.121,73,255.71949999999998,0.4019,0.0,0.10761620033206831,0.193322357920187
