text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
let's have a miss,84.2,3.68,86.04,-0.1531,0.0,-0.7,0.03058582876277696,0.09353896022321623,0.10177286917336503
this is good bring him up for a night,107.88,6.559,111.1595,0.4404,0.7,0.7,0.03616907386954275,0.09864687379742765,0.07211294104455816
cab hello funny face hey eat a good,109.96,7.68,113.8,0.7003,0.475,0.7,0.03670269905149067,0.09908895756093934,0.06953029967829727
biscuit Mrs Prenos made it I make,114.439,5.241,117.0595,0.0,0.0,0.7,0.03734772274578096,0.09961046213355956,0.06647563954045618
better I don't know how much better but,117.64,3.56,119.42,0.4404,0.5,0.4,0.03780544604817593,0.09997155000662135,0.06435423483766475
I will'll say they're,119.68,4.32,121.84,0.0,0.0,0.2,0.038266555834304335,0.10032738436626622,0.062257410115827555
harder we got 3 hours left in the day,121.2,5.279,123.8395,0.0,-0.05,0.7,0.038641344909846304,0.1006104908317416,0.060583849875610704
why don't we keep on well we got water,124.0,5.119,126.5595,0.2732,0.0,0.4,0.039142224581787656,0.10097988342747415,0.058391757577279886
here may pay out by Night Margie,126.479,5.281,129.1195,-0.1027,0.0,0.4,0.03960425143115969,0.10131109610888013,0.05641645474180245
promised to scrub out a shirt for me I,129.119,4.601,131.4195,0.3612,0.0,-0.5,0.040011628710850594,0.10159516063038977,0.0547134205633111
did not I didn't,131.76,5.199,134.3595,0.0,0.0,0.7,0.040521772871955304,0.1019397853149716,0.05263384367933349
promise I said maybe bring it to the,133.72,5.159,136.2995,0.3182,0.0,-0.7,0.040851922437481515,0.10215590810006887,0.05132063185958003
wagon I'll scrub it out but I won't like,136.959,4.761,139.33950000000002,-0.395,0.0,0.3,0.041358970233229826,0.1024766670001676,0.049355801979476414
it all right why not your mother used to,138.879,6.761,142.2595,0.0,0.2857142857142857,0.2,0.04183422714332534,0.10276433288332358,0.04757381459647969
scrub 10 shirts 20 and pants too he,141.72,7.519,145.4795,0.0,0.0,0.4,0.04234501902862096,0.10305854607666366,0.04572622900360326
hasn't got T have you no one on one off,145.64,5.48,148.38,-0.296,0.0,-0.7,0.042793267736306664,0.10330308775753093,0.04416557893705452
one in the w,149.239,3.161,150.8195,0.0,0.0,0.2,0.04316162153874637,0.10349386020079585,0.04292770159682409
make your circle right near to the,151.12,4.16,153.20000000000002,0.0,0.1928571428571428,0.4,0.04351348831095338,0.10366699238909682,0.041784544011487505
stream there think I'll ride out for a,152.4,5.8,155.3,0.0,0.0,0.4,0.043817709868368804,0.10380911502538519,0.04082844821564569
couple of hours might be an easy Trail,155.28,6.28,158.42,0.4404,0.4333333333333333,0.4,0.044259050295796916,0.10400204417408282,0.03949714731679419
past the Hills,158.2,3.36,159.88,0.0,-0.25,0.6,0.04446122498058117,0.10408489271420505,0.03891026095346741
you stole the horse anything to say how,205.04,5.04,207.56,0.0,0.0,-0.9,0.04959695047442865,0.10432366793738217,0.03095820050802427
gun all right,211.519,3.321,213.1795,-0.34,0.2857142857142857,0.4,0.050022420524154725,0.10405486368151258,0.03126261478293254
unti come on over there move,220.36,20.309,230.51450000000003,0.0,0.0,0.6,0.05110918865094498,0.10286269521084224,0.03352230491373779
about this,273.639,3.521,275.3995,0.0,0.0,0.2,0.05242774735251527,0.0974410145528811,0.04642493909313364
