text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
this story consists of my Recollections,0.199,4.12,2.259,0.0,0.0,0.3,0.1520839413815706,0.07780745742714337,0.06601230789918781
of a very unusual young man with whom I,2.32,3.88,4.26,0.0,0.18,0.4,0.1530835228170739,0.07776234782528066,0.06548998451783818
was thrown into contact at long,4.319,4.2,6.4190000000000005,0.0,-0.05,0.5,0.1541392788842716,0.07771802519843529,0.06494158034725117
intervals in the summer of,6.2,4.96,8.68,0.0,0.0,0.2,0.15521977289036598,0.0776763481880683,0.06438397178990687
1919 while passing through Chicago on my,8.519,5.761,11.3995,0.0,0.0,0.4,0.15648556971706362,0.07763249355527634,0.06373567683417802
way to the Far East a friend of mine,11.16,4.959,13.6395,0.4939,0.1,0.3,0.1575006747125921,0.07760139304347372,0.06321984436561238
Elliot Templeton whom I had known in,14.28,4.36,16.46,0.0,0.0,0.7,0.1587438101995357,0.07756851270496848,0.06259337133539723
London and Paris invited me to dine with,16.119,5.441,18.8395,0.0,0.0,0.4,0.15976245587682836,0.07754607491729705,0.06208458391436683
him and his sister Mrs Bradley they were,18.64,4.32,20.8,0.0,0.0,0.5,0.16058118728758358,0.07753113941039051,0.061678799151928226
giving a dinner party at one of those,21.56,3.559,23.3395,0.6249,0.0,0.6,0.16161434163447225,0.07751644089456915,0.06117098191912049
sprawling country clubs which was so,22.96,4.04,24.98,0.0,0.0,0.7,0.16226544165559176,0.0775096695775164,0.06085351265346955
much a part of the American scene in the,25.119,3.841,27.0395,0.0,0.1,0.5,0.16306484471295454,0.07750412202735853,0.06046658926426377
early days of the postwar,27.0,4.96,29.48,0.0,0.1,0.6,0.16398638642312952,0.07750170001347707,0.06002467386975288
good evening sir good evening Mr tempton,51.199,5.16,53.779,0.7003,0.7,0.3,0.1716899774686088,0.07769424632394654,0.056557555503847175
stable yes sir are they here they're,53.399,5.521,56.1595,0.5994,0.0,0.3,0.17230590384939648,0.07773142398093312,0.05630427940975545
having refreshment,56.359,5.391,59.0545,0.0,0.0,0.7,0.17302282415500378,0.07778034166673488,0.05601586504320773
uh here you are the Dr Martini sir,76.28,5.0,78.78,0.0,0.0,0.4,0.17699977070152878,0.07820461511065492,0.054594490920812214
prohibition of all the bloody nonsense,78.799,5.0,81.299,-0.6808,-0.7885598435286317,-0.8,0.177397503537674,0.07826803836639408,0.05447761268026336
Elliot Yes dear who is this man that you,81.28,4.24,83.4,0.6486,0.0,0.5,0.1777108095398574,0.07832217238218141,0.054390712912505364
ask dinner tonight I had to get Sophie,83.799,2.921,85.2595,0.0,0.0,0.4,0.17797425270615,0.07837094718491253,0.054321708229154705
at the last minute or we would have been,85.52,4.16,87.6,0.0,0.0,0.4,0.17828752521517927,0.07843339497963292,0.05424524669063657
13 he's an English author he's quite all,86.72,5.28,89.36,0.0,0.0,-0.7,0.17850977023584333,0.07848106314661643,0.05419526783293864
right in fact he's really quite famous,89.68,3.759,91.5595,0.0,0.3285714285714285,0.7,0.17877158049837025,0.07854140534521775,0.05414173895691583
so pretend that you've heard of him even,92.0,3.399,93.6995,-0.1761,0.0,0.2,0.17900947475315143,0.07860084912413631,0.054099034050661556
if you haven't that's too much get the,93.439,3.841,95.3595,0.0,0.2,0.4,0.17918267930477494,0.07864739965630602,0.05407217840832173
other glasses Elliot you must be,95.399,3.561,97.1795,0.0,-0.125,0.4,0.17936130006704412,0.07869882359641721,0.05404893801478649
slipping if you frequent,97.28,4.68,99.62,0.0,0.0,0.2,0.17958247304531832,0.07876831908331616,0.05402779912402577
authors not at all my dear authors go,98.96,5.4,101.66,0.3818,0.0,-0.7,0.17975138194818677,0.07882679493814712,0.0540187924234381
everywhere nowadays why in London I even,101.96,4.56,104.24,0.0,0.0,-0.7,0.17994440977693285,0.07890112142819307,0.05401848087148802
met actors and actresses in,104.36,5.68,107.2,0.0,0.0,0.4,0.18013788055023777,0.07898671418296498,0.05403304344606431
society ah here he is,106.52,6.559,109.7995,0.0,0.0,0.4,0.18028344693952233,0.07906198150873772,0.05405867643735101
now my dear fell how very nice to see,110.04,5.64,112.86,0.6901,0.78,0.7,0.1804260632396646,0.07915048429404953,0.054103863183146465
you hello Elliot let me present you to,113.079,3.96,115.059,0.0,0.0,0.4,0.1805095792452771,0.07921385853044705,0.054146114963379614
my sister Mrs,115.68,3.16,117.26,0.0,0.0,0.4,0.18057749815124857,0.07927699775176472,0.05419641092774855
Louisa dear this is Mr Somerset Ma how,120.56,6.879,123.9995,0.3818,0.0,0.4,0.18068980060622492,0.07946747104191276,0.05439848790518193
do you do Mr M it's an honor to have you,125.0,4.399,127.1995,0.4939,0.0,0.7,0.1806936874145462,0.07955580253536135,0.05451880986884524
with us thank you it's very nice to be,127.439,3.761,129.3195,0.6801,0.78,0.7,0.18067910726907932,0.07961336419790778,0.054606813133585425
here what on Earth are you doing in this,129.399,4.441,131.6195,0.0,0.0,0.2,0.18064803938641305,0.07967482976094094,0.05470955982406205
bited city I'm I'm just passing through,131.2,4.039,133.21949999999998,0.0,0.0,-0.7,0.18061716990215088,0.07971692662231583,0.054785401671832934
but you Ed I thought you never left,133.84,4.52,136.1,0.0,0.0,-0.7,0.18054268999197143,0.07979120986210829,0.054930743676961144
Paris why should I in point of fact I,135.239,5.201,137.83950000000002,0.0,0.0,0.2,0.1804860780295806,0.0798350545463573,0.05502386591375182
came to see my sister my niece Isabelle,138.36,4.8,140.76000000000002,0.0,0.0,-0.7,0.18037161056220244,0.07990679051298293,0.055189008886316844
I haven't been back since before the,140.44,5.36,143.12,0.0,0.0,0.7,0.18026157008648985,0.07996290549808713,0.05533028632266604
War I hope you don't mind a few young,143.16,4.84,145.57999999999998,-0.25,-0.05,-0.7,0.18013042940471002,0.08001949260499845,0.05548476075369007
things are joining us for dinner but uh,145.8,4.159,147.8795,0.0,0.0,-0.7,0.17999288725965237,0.08007050816024026,0.055635610234933894
we can leave early why should I mind I,148.0,3.16,149.58,-0.0516,0.1,0.4,0.17988199850773856,0.08010699839987372,0.055751061681031513
like young things if they're good to,149.959,4.121,152.0195,0.6597,0.3999999999999999,0.6,0.17970947587271793,0.08015741030151882,0.055922303314884535
look at incidentally you'll meet the,151.16,5.2,153.76,0.0,0.0,0.2,0.17957682011950382,0.08019191647465768,0.056048414076409654
young man my niece has got herself,154.08,4.56,156.36,0.0,0.1,0.4,0.17936402677306737,0.08024107786582682,0.056242707895813204
engaged to his name is Larry darl and I,156.36,3.76,158.24,0.4019,0.0,0.4,0.17919938719833964,0.08027476443970949,0.05638746960167528
might as well tell you at once that,158.64,2.84,160.05999999999997,0.2732,0.0,-0.7,0.17903150502827583,0.08030582237413882,0.05653091712206358
Elliot doesn't approve of him I have,160.12,2.6,161.42000000000002,0.0,0.0,-0.7,0.17890065778932834,0.08032799888499387,0.05664017507167219
nothing against him but he hasn't any,161.48,3.08,163.01999999999998,0.0,0.0,0.2,0.17874087224868668,0.08035292414467342,0.0567709180034588
money and my sister's not a rich woman,162.72,4.0,164.72,-0.4449,-0.1875,-0.7,0.17856424535025928,0.08037798705414113,0.05691237551420312
by any means she needs all she's got I,164.56,3.679,166.3995,0.0,0.0,0.4,0.17838289094872664,0.08040126711946946,0.05705462693434781
said only this morning is it necessary,166.72,3.4,168.42,0.0,0.0,-0.7,0.17815579403676118,0.08042726122448862,0.05722894837673622
for you to tell Mr Mom all our Private,168.239,3.64,170.059,0.0,0.0,-0.7,0.17796450722040724,0.08044668290483252,0.05737282991342905
Affairs we can't all be millionaires,170.12,4.36,172.3,0.0,0.0,-0.7,0.17769285459996986,0.08047074588548883,0.057573012983671394
Elliot he hasn't even got a job he can,171.879,4.761,174.2595,0.0,0.0,-0.7,0.17744589045151246,0.08048935263358359,0.0577511955614639
get one can't he he doesn't want a job,174.48,5.32,177.14,-0.0572,0.0,-0.7,0.17706713978913124,0.08051242996151643,0.058018198579433335
why not because he's bone idle that a,176.64,4.599,178.93949999999998,0.0,0.0,-0.7,0.17682119219520276,0.08052417786871323,0.05818791865225037
shock a man like you who never earned a,179.8,3.359,181.4795,-0.0258,0.0,-0.7,0.1764620374723962,0.08053714376485031,0.05843109247784273
penny in his,181.239,4.321,183.3995,0.0,0.0,0.4,0.17618137614762533,0.08054405226654554,0.0586175771601514
life it may have escaped your notice my,183.159,5.401,185.8595,0.0,0.0,-0.7,0.17581044044011218,0.08054914880901846,0.058859674691652326
dear fell but I am not an ordinary,185.56,6.28,188.7,0.2023,-0.25,0.4,0.1753665861119404,0.08054961835285719,0.059143357951611075
man cocktail oh yeah for the Run of,188.56,5.44,191.28,0.296,0.0,0.7,0.174949302500181,0.08054484416776148,0.05940458392086748
