text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
you got a wrong number,301.84,3.72,303.7,-0.4215,-0.5,0.4,0.01722426708910947,-0.06374417653850119,-0.2931164004021579
don't hang up on me again pete,320.16,4.0,322.16,0.0,0.0,-0.7,-0.013322956214947071,-0.06493813464869493,-0.27244938601271257
i didn't crack to the clerk your name's,331.44,3.28,333.08,0.0,0.0,-0.7,-0.025978596480345065,-0.06571429153465203,-0.2623731933820108
not johnson,332.88,3.92,334.84,0.0,0.0,0.2,-0.02767636915216292,-0.06584410477534805,-0.26089218671797587
listen whoever you are i'm your one,334.72,4.319,336.8795,0.0,0.0,0.2,-0.02953070963085274,-0.06599614831239566,-0.25922456923099046
who is this,344.72,4.4,346.92,0.0,0.0,0.7,-0.036973941983925715,-0.06676959816202091,-0.2517595468876327
if you're interested come to room 302,346.639,5.84,349.559,0.4019,0.25,0.4,-0.038489802407329556,-0.06697966713015395,-0.24999830260939446
baker hotel 10 o'clock tonight,349.12,6.76,352.5,0.0,0.0,0.4,-0.039975889933059595,-0.06721704812448905,-0.24813159832833506
hey wait a minute,352.479,3.401,354.1795,0.0,0.0,0.3,-0.040731244400831104,-0.06735414379122735,-0.24711050099210105
no change aunt pete still jumpy,427.52,4.079,429.5595,-0.4939,0.0,0.4,-0.027980521778798114,-0.07456209015814787,-0.2305426999663605
that was a sucker move burning down your,431.68,3.519,433.4395,-0.5267,-0.2277777777777778,-0.7,-0.026096089019543404,-0.07498386056167951,-0.23100576973903295
you had him all wrong,435.199,4.081,437.2395,-0.4767,-0.5,-0.7,-0.024254895297313405,-0.07540125666340614,-0.23156144289833952
he never crossed you,437.199,4.0,439.199,0.0,0.0,0.4,-0.023312592187810236,-0.07561813940287677,-0.23188646330233925
but you're a guy who shoots first and,439.28,4.479,441.5195,0.0,0.25,0.4,-0.022206959834276046,-0.07587641349819488,-0.23230447638532656
thinks afterward,441.199,6.4,444.399,0.0,0.0,-0.7,-0.020855819070457443,-0.07619904629756354,-0.2328721060660372
in your spot i'd almost choose the cops,443.759,6.641,447.0795,0.0,0.0,0.2,-0.019624651156487906,-0.07650148964364603,-0.23344809707326086
even if it is a first degree murder rap,447.599,5.44,450.319,-0.6908,0.25,0.2,-0.018179374868983706,-0.07686968288096165,-0.2342038634952244
it's lucky i spotted you,450.4,4.88,452.84,0.4215,0.3333333333333333,0.7,-0.017093058111901975,-0.0771582156546362,-0.2348360310316317
what's so lucky about being dead,453.039,3.761,454.9195,-0.2975,0.0666666666666666,0.7,-0.016226029639798453,-0.07739752179224745,-0.23538578698975732
i'm gonna take care of a guy just a,455.28,2.88,456.72,0.4939,0.0,-0.7,-0.015498766525779115,-0.07760566391802912,-0.23588202977043127
little too smart,456.8,3.44,458.52,0.3446,0.0133928571428571,0.7,-0.014795286233760925,-0.07781461550003693,-0.23639657190019803
take off the mask,458.16,6.599,461.4595000000001,0.0,0.0,-0.7,-0.013701700321145961,-0.07815769074971962,-0.23727562743092048
come on take it off i don't like games,460.24,4.519,462.4995,-0.2755,0.0,-0.7,-0.013332390108256754,-0.07827961476151506,-0.237597934726133
that makes a two-bit heel like you think,472.4,3.68,474.24,0.3612,0.0,0.7,-0.009919123359926008,-0.07967522803526096,-0.24162387354100479
a heater would give an edge over me,473.919,5.441,476.6395,0.0,0.0,-0.7,-0.00941813410057421,-0.07996470155415793,-0.24252946426922367
i ought to ram it down your throat,476.08,6.32,479.24,0.0,-0.1555555555555555,-0.7,-0.008961382817007917,-0.08028000429978181,-0.2435405962859348
what's waiting for you harris the chair,479.36,5.36,482.04,0.0,0.0,0.2,-0.008575728168349402,-0.08062131010342548,-0.24466271206210813
the gas chamber or just a rope how do i,482.4,3.44,484.12,0.0,0.0,-0.7,-0.0083642753481699,-0.08087605391302614,-0.24551800138010216
know that line you handed me on the,484.72,3.44,486.44000000000005,0.0,0.0,0.3,-0.008207550108283716,-0.08116138540998094,-0.24649312983805768
phones on the level,485.84,4.4,488.04,0.0,0.0,0.4,-0.008149957740561202,-0.08135889179112557,-0.24717827563895226
your voice don't even sound the same hit,488.16,5.12,490.72,0.0,0.2,-0.7,-0.00814961210969617,-0.08169102731965058,-0.24834830785519862
it with yours when you put on a mask,490.24,5.28,492.88,0.0,0.0,0.2,-0.008240299905798117,-0.08195990099222784,-0.24931111556396127
who else figures in besides me you ask,493.28,4.0,495.28,0.0,0.0,-0.7,-0.00844024353380353,-0.0822598710612168,-0.2504008829899121
