text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
still stands,103.7,6.64,107.02,0.0,0.0,0.4,-0.046148686752283376,0.1542143703155413,0.03874420012783145
the Comanches called it squash head Rock,106.02,7.02,109.53,0.0,0.0,0.2,-0.048177774348507216,0.15362296177208035,0.037405148186180646
time cannot change its impassive face,110.34,5.819,113.2495,0.0,-0.4,-0.7,-0.051119875900805516,0.15276748678117688,0.03546646951723662
nor dim the legend of the wild young,113.04,6.24,116.16,0.0,0.1,0.7,-0.053368529187729705,0.15211535070834695,0.03398714611610795
lovers who found heaven and hell,116.159,5.82,119.069,0.2732,0.0,0.5,-0.05556941307679488,0.15147856647229768,0.0325413658602483
in the shadows of The Rock,119.28,5.1,121.83,0.0,0.0,0.7,-0.057615516261452684,0.15088795202818517,0.031199220225871772
for when the sun is low and the cold,121.979,4.801,124.3795,-0.2732,-0.3,0.4,-0.059468105329506846,0.150354397426193,0.029985704679610585
wind blows across the desert,124.38,4.5,126.63,0.0,0.0,0.2,-0.06107426304995652,0.14989277663430164,0.02893496393415286
there are those of Indian blood who,126.78,4.56,129.06,0.0,0.0,0.2,-0.06277800310523356,0.14940412216316992,0.027821809867170966
still speak of pearl Chavez the,128.88,4.2,130.98,0.0,0.0,0.2,-0.06410187393869217,0.14902516390138312,0.02695789425087691
half-breed girl from down along the,131.34,4.2,133.44,0.0,-0.1555555555555555,0.2,-0.06576948343194915,0.14854877179576934,0.025871016549597746
border and of the Laughing Outlaw with,133.08,5.82,135.99,0.4939,0.0,0.4,-0.06746438716778166,0.14806572287088612,0.024767950334541454
whom she here kept a final Rondon,135.54,6.36,138.72,0.0,0.0,-0.7,-0.06924113542749648,0.1475606363428054,0.023613424728131324
never to be seen again,138.9,5.699,141.7495,0.0,0.0,0.5,-0.07116737302709723,0.14701461442888974,0.02236394726091889
and this is what the legend says,141.9,6.419,145.1095,0.0,0.0,0.4,-0.07324828152412438,0.14642667131546447,0.02101682969551424
a flower no nowhere else grows from out,144.599,5.581,147.3895,-0.296,0.0,0.7,-0.07462734672562688,0.14603818566397986,0.020125681291479503
of the desperate Crags where Pearl,148.319,6.121,151.37949999999998,-0.3182,-0.6,0.4,-0.07697707902918274,0.14537851293061035,0.01861043130253259
vanished Pearl was herself a wildflower,150.18,6.779,153.5695,0.0,0.0,0.5,-0.07823260911843492,0.1450272560650901,0.017802496277000524
sprung from the hard clay,154.44,4.98,156.93,-0.1027,-0.2916666666666667,0.4,-0.08011248412031939,0.14450302178647184,0.016595151048308127
quick to Blossom,156.959,5.601,159.7595,0.0,0.3333333333333333,0.7,-0.08165178340779725,0.14407535925975692,0.015608757476652427
and early to die,159.42,3.14,160.98999999999998,-0.5994,0.1,-0.7,-0.08230886210640108,0.1438932631758257,0.015188334658648283
where's you more,190.44,4.86,192.87,0.0,0.5,0.4,-0.09680961897073541,0.13996474161401315,0.006034385388329825
she's in there dance like mother like,192.3,5.159,194.8795,0.6124,0.0,0.7,-0.09756613722697115,0.1397660167255708,0.005565347555761424
I'm convincing to think I like the,197.459,5.101,200.0095,0.6369,0.5,0.3,-0.0994158637446808,0.13928379234997232,0.00442351354990341
daughter better let go,199.26,5.839,202.1795,0.4404,0.5,-0.7,-0.10016334639218416,0.13909054007810262,0.0039642875662839125
you go away from here I'll call my paw,202.56,6.3,205.71,0.0,0.0,-0.7,-0.10133553914588715,0.13878957448928472,0.003246965691612667
that Renegade Creole score man that's a,205.099,5.441,207.8195,0.0,0.0,0.7,-0.10201016714512431,0.13861761685217608,0.002835826100422909
broke again yes gentlemen,362.759,4.921,365.2195,-0.0258,0.0,-0.7,-0.10697690636442603,0.13894556303983027,0.0018406828326791367
