text,start,duration,time_midpoint,vader,textblob,llama3
this is Los Angeles looks peaceful and,104.799,4.32,106.959,0.4939,0.25,0.4
quiet doesn't it but don't let it fool,107.32,4.2,109.42,0.4782,0.0,0.6
you a jewel robbery and a murder are,109.119,3.371,110.8045,-0.4939,0.0,-0.8
happen I'm Nancy Collins I'd like to,116.399,4.32,118.559,0.3612,0.0,0.3
confirm a return reservation to Twin,119.079,3.021,120.5895,0.0,0.0,0.2
zald Mr bald,136.36,4.28,138.5,0.0,0.0,0.7
what is it a man's been killed upstairs,150.64,4.44,152.86,-0.6705,-0.2,-0.7
whoever did it got away with a majuba,152.48,5.24,155.1,0.0,0.0,-0.7
diamond there's a killer loose in the,155.08,6.72,158.44000000000003,-0.6369,-0.07692307692307693,0.2
hotel oh I'm sorry that's all right I'm,157.72,6.76,161.1,-0.0772,-0.10714285714285715,0.2
terribly sorry that's all right I just,161.8,6.56,165.08,-0.5994,-0.10714285714285715,0.2
didn't uh see you no harm,164.48,6.16,167.56,0.431,0.0,0.3
done your train leaves from the Union,168.36,3.92,170.32000000000002,0.0,0.0,0.2
Station at,170.64,5.319,173.2995,0.0,0.0,0.2
7:30 hi oh Bob I was afraid I'd miss you,172.28,5.239,174.8995,-0.1531,-0.6,0.4
oh not a chance how did the business,175.959,3.521,177.7195,-0.1877,0.0,-0.7
discussions go fine so far but it's,177.519,3.681,179.3595,0.1027,0.25833333333333336,0.4
taking a little longer than I figured I,179.48,3.479,181.2195,0.0,-0.1875,0.2
won't be able to go back with it tonight,181.2,4.36,183.38,0.0,0.25,-0.7
oh I'll take a late,182.959,5.521,185.7195,0.0,-0.3,0.4
plan that's all the blue coats doing,185.56,5.759,188.4395,0.0,0.0,0.2
around maybe there's been a murder or a,188.48,4.44,190.7,-0.6908,0.0,-0.7
suicide they probably just gave someone,191.319,4.361,193.4995,-0.6705,0.0,-0.7
his bill my train leaves at 7:30 and I,192.92,4.0,194.92,0.0,0.0,0.4
promis to pick up some things for Mrs,195.68,3.119,197.2395,0.0,0.0,0.6
Brennan so I better get started I'll see,196.92,5.8,199.82,0.4902,0.5,0.4
you at school tomorrow Bri and early,198.799,3.921,200.7595,0.0,0.1,0.4
bye your uniform is ready I'll get it,204.799,5.44,207.519,0.3612,0.2,0.4
here we are Mr miles thank you may I,210.239,4.041,212.2595,0.3612,0.0,0.4
help you sir I'm just looking around,212.599,4.36,214.779,0.4019,0.0,0.5
thank you help,214.28,2.679,215.6195,0.6369,0.0,0.7
yourself hello Nan hi hello I'll bet the,219.56,6.48,222.8,0.0,0.0,0.4
lieutenant will be glad to see you let's,223.599,4.28,225.739,0.4588,0.5,0.6
go get off my back Sergeant I'm not,226.04,4.52,228.3,0.0,0.0,-0.7
going anywhere hey hold it uh this is my,227.879,5.841,230.7995,0.0,0.0,0.2
coat it is it's mine I must have picked,230.56,4.8,232.96,0.0,0.0,0.7
it up by mistake I'm sorry this is yours,233.72,3.519,235.4795,-0.4019,-0.5,-0.7
sir I thank,235.36,5.799,238.2595,0.3612,0.0,0.7
you uh all right sir,237.239,6.761,240.6195,0.0,0.2857142857142857,0.2
Sergeant let's go see the lieutenant,241.159,6.16,244.239,0.0,0.0,0.4
thank you okay that fits pretty good you,244.0,5.239,246.6195,0.8591,0.48333333333333334,0.7
sent it to me my pleasure Mr miles just,247.319,3.92,249.279,0.5719,0.0,0.6
give me the address Twin Lakes Oregon,249.239,4.961,251.7195,0.0,0.0,0.4
Twin Lakes Oregon Mrs Brendan School for,251.239,6.56,254.519,0.0,0.0,0.4
Girls I beg your pardon I teach there,254.2,6.64,257.52,0.3182,0.0,0.5
music Athletics naturally look,257.799,4.241,259.9195,0.0,0.1,-0.7
Lieutenant I don't know what you're,260.84,3.04,262.36,0.0,0.0,0.4
talking about you kill a man for nothing,262.04,3.2,263.64000000000004,-0.6908,0.0,-0.7
and the Juber diamond is hot enough to,263.88,3.08,265.42,0.34,0.125,0.4
burn you to a crisp why don't you take,265.24,4.12,267.3,0.0,0.25,-0.8
me in my attorney would like that he's,266.96,4.519,269.2195,0.3612,0.0,0.2
clean I told you all right n that's all,269.36,3.839,271.27950000000004,0.4019,0.3261904761904762,0.3
for now don't leave the hotel until I,271.479,4.761,273.8595,0.0382,0.0,-0.7
tell you to all for Mr all right,273.199,5.801,276.09950000000003,0.0,0.2857142857142857,0.5
Ali thinkk you did it probably but if we,276.24,3.799,278.1395,0.0,0.0,-0.7
pull him in now we'll never make him,279.0,2.88,280.44,0.0,0.0,-0.7
talk he must have slipped the diamond to,280.039,3.961,282.0195,0.34,0.0,0.3
an accomplice we'll find Mr Newton's,281.88,3.36,283.56,0.0,0.0,0.4
accomplice we,284.0,5.23,286.615,0.0,0.0,0.3
