text,start,duration,time_midpoint,vader,textblob,llama3
not have any trouble you'll have to wait,56.879,4.741,59.2495,0.3089,-0.2,0.3
till we get to Boston,59.34,4.039,61.3595,0.0,0.0,-0.7
no I didn't tell you I couldn't,61.62,4.62,63.93,-0.296,0.0,-0.4
hear you I knew you weren't feeling,63.379,4.901,65.8295,-0.0951,0.0,-0.7
right the minute I saw you in the,66.24,4.86,68.67,0.0,0.2857142857142857,0.7
station and I said to my donation my,68.28,4.56,70.56,0.0,0.0,0.4
grandson fell of course that's right,71.1,3.36,72.78,0.0,0.2857142857142857,0.2
they got on together I saw them but,72.84,4.5,75.09,0.0,0.0,0.4
that's not true I I was homeless two,74.46,5.58,77.25,-0.3252,-0.175,-0.7
cars get them all right folks all right,77.34,5.24,79.96000000000001,0.0,0.2857142857142857,0.7
I went to sleep last night in my own,88.32,3.18,89.91,0.0,0.3,0.5
how many sleeping pills did you take,91.5,4.02,93.51,0.0,0.5,-0.7
your day sleeping I never take sleeping,93.36,5.579,96.1495,0.0,0.0,0.8
pills never no I I usually have some hot,95.52,5.16,98.1,0.2235,0.1875,0.2
chocolate at bedtime,98.939,4.201,101.0395,0.0,0.0,0.7
is she going to be all right doctor oh I,100.68,4.68,103.02,0.0,0.2857142857142857,-0.7
do hate to see anybody ailing every two,103.14,4.979,105.6295,-0.5719,-0.8,0.4
of these they'll quiet her nerves I'll,105.36,4.619,107.6695,-0.1027,0.0,0.4
get some water you feel more relaxed,108.119,4.081,110.1595,0.5413,0.5,0.7
after you take those Heather conduct a,109.979,4.081,112.0195,0.0,0.0,0.7
call me if you need me again thanks good,112.2,5.04,114.72,0.7003,0.44999999999999996,0.4
night thank you Doctor good night good,114.06,7.16,117.64,0.8074,0.7,0.6
night I'm trying to get some rest,117.24,3.98,119.23,0.0,0.0,-0.7
what was it just a nightmare,121.74,4.32,123.9,0.0,0.0,-0.7
maybe it's out of my line,124.02,4.379,126.2095,0.0,0.0,-0.4
I'm a skin man myself and you know I,126.06,4.74,128.43,0.0,0.0,0.5
always say the nicest thing about going,128.399,5.161,130.9795,0.4939,0.0,0.7
places is meeting people my only trouble,130.8,5.1,133.35000000000002,-0.4019,-0.1,0.2
is I just never go any place I stay at,133.56,4.52,135.82,0.0,0.0,-0.7
what's that,138.239,4.321,140.39950000000002,0.0,0.0,0.2
he wakes up when he finds I'm gone,139.92,5.64,142.73999999999998,0.0,0.0,-0.7
of my husband,145.86,3.54,147.63000000000002,0.0,0.0,0.5
what you want your bag Jerry,147.599,6.241,150.71949999999998,0.0772,0.0,0.6
that's a pretty bag isn't it AC,149.4,4.44,151.62,0.4939,0.25,0.7
my husband doesn't know I'm gone he,155.42,4.6,157.72,0.0,0.0,-0.7
doesn't I said good night to him last,158.099,5.041,160.6195,-0.3412,0.35,-0.5
night I I I was in my own room when I,160.02,5.88,162.96,0.0,0.6,-0.7
fell asleep oh I'm sure that I feel,163.14,6.36,166.32,0.3182,0.5,0.2
absolutely sure oh look bye Jerry you're,165.9,6.0,168.9,0.3804,0.5,0.3
carrying a gun aren't you,169.5,4.92,171.96,-0.34,0.0,-0.7
oh that's real smart,171.9,4.32,174.06,0.4019,0.3214285714285714,0.7
I always say a woman has to protect,174.42,3.78,176.30999999999997,0.3818,0.0,0.4
herself these days,176.22,4.2,178.32,0.0,0.0,0.2
you live in New York don't you,178.2,4.5,180.45,0.0,0.13636363636363635,0.3
that's where I live in New York New York,180.42,3.42,182.13,0.0,0.13636363636363635,0.4
telling my inspection oh,202.2,4.1,204.25,0.0,0.0,0.2
Sergeant you've never asked that,208.319,3.0,209.819,0.0,0.0,0.7
question if you're new Mrs Cortland,209.76,3.42,211.47,0.0,0.13636363636363635,0.7
she'd never leave like this but I ask a,211.319,3.361,212.9995,-0.1232,0.0,0.2
lot of questions in my line of work Mr,213.18,4.26,215.31,0.0,0.0,0.4
Cortland I get a lot of answers,214.68,4.44,216.9,0.0,0.0,0.6
you can go now Mac I'll be long in a few,217.44,3.42,219.15,0.0,-0.125,0.4
minutes good missing persons the routine,219.12,4.5,221.37,0.1779,0.24999999999999997,0.2
dope and tell them I'll call him later,220.86,6.56,224.14,0.0,0.0,0.2
shall we go upstairs sergeant,223.62,3.8,225.52,0.0,0.0,0.7
may I help,228.659,3.961,230.6395,0.4019,0.0,0.5
thanks sort of inconvenient this yeah,229.98,4.259,232.1095,0.4588,-0.19999999999999998,0.2
just happened,232.62,4.86,235.05,0.0,0.0,0.2
nothing much just a superficial wound,234.239,5.78,237.129,0.0,0.2,0.5
I was cleaning one of my guns,240.06,3.38,241.75,0.0,0.0,0.4
oh quite a house,249.72,7.5,253.47,0.0,0.0,0.4
yes many servants made cook and Haskins,252.06,7.799,255.9595,0.4019,0.5,0.4
oh the butler,257.22,4.139,259.28950000000003,0.0,0.0,0.3
been with the alarm,259.859,3.241,261.4795,-0.34,0.0,-0.4
he was with Mrs Cotton's family for,261.359,4.381,263.5495,0.0,0.0,0.4
years we inherited him with the house,263.1,5.84,266.02000000000004,0.0,0.0,0.3
will you come this way sergeant,265.74,3.2,267.34000000000003,0.0,0.0,0.4
this is Mrs Cotton's bedroom,271.32,5.03,273.835,0.0,0.0,0.2
just the way you found it yes I haven't,280.44,4.08,282.48,0.4019,0.0,0.3
touched a thing Sergeant I told the,282.78,4.46,285.01,0.0,0.0,0.2
service not to,284.52,2.72,285.88,0.0,0.0,-0.7
she was here when you saw her last name,287.34,3.6,289.14,0.0,0.0,0.2
about 10 30.,290.94,4.979,293.4295,0.0,0.0,0.2
I kissed a good night,294.12,4.62,296.43,0.6705,0.7,0.7
and I went into my room,295.919,5.481,298.6595,0.0,0.0,0.2
Sergeant I'm worried this time,312.919,5.801,315.8195,-0.296,0.0,-0.7
it happened once or twice before,319.86,5.1,322.41,0.0,0.0,0.2
I hardly think it's necessary look Mr,322.979,4.321,325.1395,0.0,-0.14583333333333334,-0.7
Copeland I know it's embarrassing,324.96,5.04,327.48,-0.3818,0.0,-0.7
your wife has disappeared you've got to,327.3,3.899,329.2495,-0.2263,0.0,-0.7
lay it on the line,330.0,3.0,331.5,0.0,0.0,0.7
about six months ago,334.38,3.2,335.98,0.0,0.0,0.7
Allison darling where are you hello,348.479,5.581,351.2695,0.5859,0.0,0.2
I'm in Boston,354.06,3.02,355.57,0.0,0.0,0.4
what happened are you all right,357.24,6.08,360.28000000000003,0.0,0.2857142857142857,0.7
yes yes I'm all right now,359.22,4.1,361.27,0.6597,0.2857142857142857,-0.7
listen darling never mind as long as,364.039,3.821,365.9495,0.5859,-0.05,0.5
you're safe,366.18,4.98,368.67,0.4404,0.5,0.4
yes uh Alison wow you know,367.86,5.399,370.5595,0.7579,0.1,0.7
but uh just a minute Sergeant you can,371.16,3.539,372.9295,0.0,0.0,0.2
help me on this she's at South Station,373.259,3.061,374.7895,0.4019,0.0,0.4
could the Boston police sure I'll have,374.699,2.821,376.1095,0.3182,0.5,0.4
one of the boys up there and meet her,376.32,3.42,378.03,0.0,0.0,0.5
thank you Allison stay right where you,377.52,3.42,379.23,0.3612,0.2857142857142857,0.7
are understand,379.74,2.82,381.15,0.0,0.0,0.5
yeah someone will pick you up and take,380.94,2.64,382.26,0.296,0.0,0.7
you to the plane,382.56,2.639,383.8795,0.0,0.0,0.6
I'll wait at the information desk,383.58,5.16,386.16,0.0,0.0,0.2
splendid and Alison uh will you hold on,385.199,5.521,387.9595,0.5859,0.8333333333333334,0.7
for just a minute dear,388.74,4.5,390.99,0.3818,0.0,0.7
thank you excuse me Sergeant I I want to,390.72,6.8,394.12,0.4767,-0.05,0.3
you understand I'll take it in my room,393.24,4.28,395.38,0.0,0.0,0.6
Allison my gun is missing,412.5,6.539,415.7695,-0.5574,-0.2,-0.7
darling did you hear me,416.52,3.78,418.41,0.5859,0.0,0.7
it's missing,420.3,5.519,423.0595,-0.296,-0.2,-0.7
yes dick I know,422.639,6.201,425.7395,-0.1531,0.0,-0.7
I have it with me,432.06,3.62,433.87,0.0,0.0,0.4
I'm terribly sorry Sergeant getting up,446.639,3.721,448.4995,-0.5994,-0.5,-0.7
with this unearthly are that's all right,448.56,4.02,450.57,0.0,0.2857142857142857,0.3
Mr Cortland happens all the time in the,450.36,4.559,452.6395,0.0,0.0,0.6
best of cities well I'll be running,452.58,5.16,455.16,0.743,1.0,0.5
along and take care of that arm of yours,454.919,7.461,458.6495,0.4939,0.0,0.6
bye oh yes thank you very much,457.74,4.64,460.06,0.6369,0.26,0.7
you've been very kind I'm really quite,463.46,5.62,466.27,0.5709,0.49,0.7
all right now thank you you mustn't let,466.259,5.461,468.9895,0.3612,0.2857142857142857,0.4
me keep you are you sure honey because I,469.08,4.559,471.3595,0.3182,0.5,0.4
wouldn't mind in the least I really,471.72,4.8,474.12,0.0,-0.04999999999999999,0.7
wouldn't oh yes I'm quite sure thank you,473.639,6.021,476.6495,0.479,0.5,0.5
again goodbye,476.52,3.14,478.09,0.0,0.0,-0.5
oh Charles you're frightened me dear,490.16,4.599,492.4595000000001,-0.0772,0.0,0.7
what name did you give her the name you,492.96,4.739,495.3295,0.0,0.0,0.2
told me to Charles Tomlinson Mrs,494.759,5.16,497.339,0.0,0.0,0.2
Clarabelle Tomlinson that was right,497.699,5.22,500.309,0.0,0.2857142857142857,0.7
wasn't it just like you said I did,499.919,5.041,502.4395,-0.2755,0.0,0.6
everything just like just said Charles,502.919,4.441,505.1395,0.3612,0.0,0.5
are you proud of me huh yes I'm very,504.96,4.2,507.06,0.7003,0.5,0.7
proud of Grace something I don't,507.36,4.859,509.7895,0.7096,0.8,0.4
understand why did you know she had a,509.16,5.64,511.98,0.0,0.0,0.7
gun Charles what,512.219,4.56,514.499,-0.34,0.0,0.4
just got time to get to the train coming,514.8,4.32,516.9599999999999,0.0,0.0,0.7
back to New York and yes of course New,516.779,4.921,519.2395,0.4019,0.0909090909090909,0.7
York what else like 38 living to New,519.12,4.979,521.6095,0.3612,0.13636363636363635,0.4
York and Washington now loading in Gate,521.7,4.56,523.98,0.0,0.0,0.5
flight 38 leaving for New York and,526.26,6.12,529.3199999999999,0.0,0.13636363636363635,0.4
Washington now loading in Gate five,529.019,5.401,531.7195,0.0,0.0,0.2
here's your ticket Mrs Gordon oh thank,532.38,4.019,534.3895,0.3612,0.0,0.7
you lieutenant,534.42,5.84,537.3399999999999,0.0,0.0,0.6
there's really no reason for you to wait,536.399,3.861,538.3295,-0.3597,-0.1,0.7
are you afraid I'll become a missing,540.48,3.96,542.46,-0.296,-0.4,-0.7
person again well you know orders gate,541.98,4.64,544.3000000000001,0.2732,0.0,0.4
tell me Lieutenant do you often get,547.16,4.9,549.61,0.0,0.0,0.4
cases like mine we get all types some,549.48,5.22,552.09,0.3612,0.0,0.4
get lost some are dappy some hit the,552.06,4.02,554.0699999999999,-0.3182,0.0,0.2
road to get out of a jam no one else,554.7,4.1,556.75,-0.296,0.0,0.4
knows anything about,556.08,2.72,557.44,0.0,0.0,0.2
it which type would you say I was,558.899,3.5,560.649,0.0,0.0,0.5
come on you must have some sort of,562.74,4.38,564.9300000000001,0.0,0.0,0.5
theory about me I don't know,564.54,4.2,566.64,0.0,0.0,0.2
some of the nicest people you ever took,567.12,3.719,568.9795,0.4939,0.0,0.8
a gander at suddenly go dancing and make,568.74,4.02,570.75,0.0,0.0,0.6
Chop Suey out of their best friends with,570.839,7.981,574.8295,0.8074,1.0,0.4
a me Ax 538 New York and Washington 85,572.76,6.06,575.79,0.0,0.13636363636363635,0.3
just thank God you,581.1,6.78,584.49,0.5574,0.0,0.8
might say no off the Record mind you I'd,584.459,6.981,587.9495,-0.296,0.0,0.2
say you were an all-air lady,587.88,3.56,589.66,0.0,0.0,0.4
stop there this is Allison Courtland I'm,600.56,7.32,604.2199999999999,-0.296,0.0,0.2
very pleased of course you are and uh,603.959,3.921,605.9195,0.4927,0.65,0.8
yes I was planning to now you'd be a,620.66,3.94,622.63,0.4019,0.0,0.3
good boy he's desperately adventurous,622.92,3.479,624.6595,0.4019,0.6,0.7
Ali make him tell you he's been in India,624.6,4.26,626.73,0.0,0.0,0.5
for years and now he's going back to it,626.399,5.701,629.2495,0.0,0.0,-0.7
is India isn't it oh well they're both,628.86,5.58,631.65,-0.2057,0.0,0.4
over there Ally I may come down for the,632.1,3.9,634.0500000000001,0.0,-0.15555555555555559,0.2
Vance items everybody's going you be,634.44,3.72,636.3000000000001,0.0,0.0,0.6
there won't you I think so are you,636.0,4.86,638.43,0.0,0.0,-0.5
coming down for Mr Mitchell uh no I I,638.16,4.739,640.5295,-0.296,-0.15555555555555559,0.3
don't believe so I know just how you,640.86,4.26,642.99,0.0,0.0,-0.7
feel I lose New York too but the Vance,642.899,4.081,644.9395,-0.2144,0.13636363636363635,0.4
items are such special people and the,645.12,4.08,647.16,0.4019,0.17857142857142858,0.7
party's a party isn't it why don't you,646.98,4.02,648.99,0.4019,0.0,0.7
stay with me if you come down oh I'd,649.2,4.139,651.2695,0.0,-0.15555555555555559,0.7
love to thank you darling Goodbye Mr,651.0,5.959,653.9795,0.8885,0.5,0.8
Mitchell thank you not at all good luck,653.339,3.62,655.149,0.4756,0.7,-0.7
yes yes I will and don't forget what I,660.5,3.71,662.355,0.7241,0.0,0.7
so when uh Barbie and I were down let's,672.36,4.52,674.62,0.0,-0.15555555555555559,0.2
magazine magazine perhaps coffee,676.88,7.959,680.8595,0.0,0.0,0.4
no coffee thanks and so as I was saying,681.48,5.4,684.1800000000001,-0.5583,0.2,0.3
when Bobby was six and I was nine I had,684.839,3.481,686.5795,0.0,0.0,0.7
a tree house in my backyard on Beacon,686.88,3.42,688.59,0.0,0.0,0.4
Street I wouldn't let Barbie play in my,688.32,3.36,690.0,-0.2584,0.0,-0.7
tree house and I think she has misjudged,690.3,2.64,691.62,0.0,0.0,0.4
me ever since,691.68,2.7,693.03,0.0,0.0,-0.5
she thinks I'm sort of a permanent,692.94,3.48,694.6800000000001,0.0,0.0,-0.7
and have you known her long,696.42,6.2,699.52,0.0,-0.05,0.2
oh yes we went to school together oh,698.839,6.221,701.9495000000001,0.4019,0.0,0.7
Stonehaven Stone oh yes I know that's,702.62,5.26,705.25,0.4019,0.0,0.4
good very well you do sure don't you,705.06,3.899,707.0094999999999,0.7645,0.4666666666666666,0.7
remember the boys used to come to call,707.88,2.639,709.1995,0.0,0.0,0.4
on the Catholic crease blue flat and see,708.959,2.581,710.2494999999999,0.0,-0.008333333333333333,0.3
what's the clean white shirts and button,710.519,4.581,712.8095,0.4019,0.18333333333333335,0.4
down collar polka.com,711.54,3.56,713.3199999999999,0.0,-0.15555555555555559,0.2
Tyler and try to hold hands with you,716.519,3.661,718.3495,0.0,0.0,0.7
girls without letting those hatchets say,718.079,5.281,720.7194999999999,0.0,0.0,0.5
chaperones he was doing it,720.18,5.7,723.03,0.0,0.0,-0.7
it's a wonderful place,723.36,5.159,725.9395000000001,0.5719,1.0,0.8
very happy there so was I well that's,725.88,4.68,728.22,0.7474,1.0,0.9
not brood over the past shall we um have,728.519,3.841,730.4395,0.0,-0.25,0.2
dinner before the theater or just a,730.56,3.719,732.4195,0.0,0.0,0.7
snack first and a hot supper everyone,732.36,4.02,734.37,0.0,0.25,0.4
tonight I'm going to be in New York five,734.279,3.901,736.2295,0.0,0.13636363636363635,0.6
days let's see days Wednesday that gives,736.38,3.36,738.06,0.0,0.0,0.5
us tonight Thursday Friday Saturday and,738.18,4.08,740.2199999999999,0.0,0.0,0.2
Sunday Friday to yourself I could go to,739.74,5.719,742.5995,0.0,0.0,0.4
a ball game if I like baseball,742.26,7.259,745.8895,0.3612,-0.4,0.8
no baseball no about tonight um 21 star,745.459,7.12,749.0189999999999,-0.0803,0.0,0.4
El Morocco no good we'll get off the,749.519,4.921,751.9795,-0.3412,-0.35,-0.7
Beaten Track some new place half past,752.579,3.661,754.4095,-0.4215,-0.09343434343434343,0.2
seven long dress,754.44,3.06,755.97,0.0,-0.05,0.6
oh you really ought to wear something,757.5,3.38,759.19,0.0,0.2,0.4
I tell you I'll wear a New Dress if,762.06,2.76,763.4399999999999,0.0,0.13636363636363635,0.7
you'll come and have dinner with us with,763.56,2.88,765.0,0.0,0.0,0.7
us you can call us anytime we're in the,764.82,5.459,767.5495000000001,0.0,0.0,0.7
book oh fine Richard Corton who's that,766.44,5.76,769.32,0.2023,0.4166666666666667,0.2
father uncle,770.279,5.281,772.9195,0.0,0.0,0.4
no don't tell me your husband what,772.2,5.579,774.9895,-0.296,0.0,-0.7
didn't Barbie when she introduced no no,775.56,4.38,777.75,0.2235,0.0,-0.7
just Alison Cortland that's awesome well,777.779,3.901,779.7295,0.7351,1.0,0.7
I might have known you Stonehaven girls,779.94,3.78,781.83,0.0,0.0,0.4
there's always somebody he's meeting you,781.68,4.08,783.7199999999999,0.0,0.0,0.3
at LaGuardia oh yeah well I can see my,783.72,4.559,785.9995,0.5106,0.0,0.4
future closing in on me a bachelor in,785.76,3.38,787.45,0.0,0.0,0.3
the bleachers,788.279,4.791,790.6745,0.0,0.0,0.2
Mrs Scotland your home oh it's nice to,796.92,7.02,800.43,0.4215,0.6,0.7
see you Madden thank you Helen,800.639,6.181,803.7295,0.3612,0.0,0.5
Mr cut Dr Reinhardt returned your call,803.94,4.98,806.4300000000001,-0.2732,0.0,0.5
Dr Reinhardt yes darling,808.92,5.159,811.4995,0.7579,0.0,0.8
I saw him this morning he's supposed to,812.279,5.841,815.1995,0.0,0.0,0.8
be a very fine psychiatrist the best,814.079,4.041,816.0994999999999,0.7425,0.7708333333333334,0.2
look Alison we can't pretend anymore we,818.639,5.101,821.1895000000001,0.0762,0.0,-0.7
have to do something,822.18,4.98,824.67,0.0,0.0,-0.4
a psychiatrist I had to see him I want,823.74,4.62,826.05,0.0772,0.0,-0.7
you to let him help you and I think he,827.16,3.06,828.6899999999999,0.4019,0.0,0.5
can he even said he'd come here to the,828.36,3.96,830.34,0.0,0.0,-0.7
house you don't understand it's not,830.22,3.359,831.8995,0.0,0.0,-0.7
you know very well that Psychiatry can,833.579,4.801,835.9794999999999,0.3384,0.2,0.3
happen oh yes I know I know I know great,835.5,5.519,838.2595,0.7783,0.8,0.7
many of our friends but I'm not neurotic,838.38,7.5,842.13,0.558,0.5,0.6
or maladjusted or unbalanced,841.019,6.721,844.3795,0.0,0.0,-0.7
