text,start,duration,time_midpoint,vader,textblob,llama3
hello where's my white scarf right here,134.599,4.881,137.03949999999998,0.0,0.14285714285714285,-0.7
why don't you keep my things where I can,138.08,3.68,139.92000000000002,0.0,0.0,0.4
them see who that is yes Miss,143.12,4.36,145.3,0.2732,0.0,0.4
it was a messenger,171.8,4.12,173.86,0.0,0.0,0.4
boy if that's all I'll be right back,173.28,4.52,175.54,0.0,0.14285714285714285,0.7
after the last show put on some soft,175.92,5.039,178.43949999999998,0.0,0.05,0.4
music before you go have a good time,177.8,5.4,180.5,0.4404,0.7,0.7
you must you play that song but you sing,203.159,4.241,205.2795,0.1779,0.0,0.7
it so beautifully on the record Miss,206.04,3.24,207.66,0.5256,0.85,0.2
Marlo when I want your opinion I'll ask,207.4,4.36,209.58,0.0772,0.0,0.8
you for it,209.28,2.48,210.52,0.0,0.0,0.7
Norman this is Miss Marlo oh yes Miss,230.04,5.16,232.62,0.128,0.0,0.3
Marlo if Mr blam's here tonight I don't,232.959,5.041,235.4795,0.0,0.0,-0.8
wish to see him now or ever I'll take,235.2,3.52,236.96,0.4019,0.0,-0.7
of who did you wish to see please miss,238.72,6.64,242.04,0.5267,0.0,-0.7
Marlo tell her Martin Blair I'm Sorry,241.799,4.881,244.2395,-0.0772,-0.5,0.4
Miss Marlo left instructions she doesn't,245.36,3.64,247.18,-0.1531,0.0,-0.7
want to see,246.68,8.32,250.84,0.0772,0.0,0.8
you she'll see me she's my wife it's our,249.0,7.799,252.8995,0.0,0.0,0.4
anniversary that isn't what she just,255.0,5.12,257.56,0.0,0.0,-0.7
told me she doesn't want to see you now,256.799,5.56,259.57899999999995,-0.0572,0.0,-0.7
ever I don't blame me I just work here,265.24,6.48,268.48,0.2584,0.0,-0.7
on good evening sir Maro she's expecting,279.4,6.359,282.5795,0.4404,0.7,0.4
looks like your friend's headed for a be,335.56,5.56,338.34,0.3612,0.0,0.4
this time yeah thanks for calling,337.759,4.681,340.09950000000003,0.6249,0.2,0.5
thought for a minute that ambulance,341.12,3.799,343.0195,0.0,0.0,0.4
might have been for him he ain't that,342.44,7.72,346.3,0.0,0.0,-0.7
bad yet I better get him over at the,344.919,8.4,349.119,-0.1531,-0.09999999999999992,-0.7
hotel why do you bother with a stew like,350.16,6.8,353.56,0.0258,0.0,-0.7
that I kind of like the guy that's,353.319,8.32,357.47900000000004,0.2975,0.6,0.4
all he sure can play a piano,356.96,4.679,359.2995,0.5719,0.5,0.4
Marty hello Joe come on,387.28,4.919,389.7395,0.0,0.0,0.7
Marty I'm all right I'm all right yeah,397.639,5.721,400.4995,0.296,0.2857142857142857,0.7
yeah all right all,409.44,3.68,411.28,0.296,0.2857142857142857,0.2
right what is it anyhow that Marlo woman,416.08,5.44,418.8,0.0,0.2857142857142857,0.4
why don't you get wise yourself Marty,421.599,3.6,423.399,-0.3724,0.7,-0.7
and forget about her were you ever in,423.36,4.84,425.78,-0.2263,0.0,-0.7
love yeah yeah yeah,425.199,19.711,435.0545,0.8689,0.5,0.9
when as he going to learn you can't,462.84,3.68,464.68,0.0,0.0,-0.7
