text,start,duration,time_midpoint
Magazine's doing a story on the theater,93.92,4.32,96.08
why didn't you tell me look at my hair,95.939,4.921,98.39949999999999
what's so special about this place it's,98.24,4.3,100.39
new Soldier this theater went through,100.86,2.88,102.3
the blitz never missed a single,102.54,4.079,104.57950000000001
performance no kidding hi and one of,103.74,6.559,107.0195
your glasses is in only two hmm,106.619,3.68,108.459
she's an American,110.36,6.69,113.705
wonderful thing land lease,113.82,11.32,119.47999999999999
I come into the park each day to watch,125.78,5.74,128.65
the children as they play and see They,128.7,5.94,131.67
Don't Go Near The Water Banks although,131.52,4.98,134.01000000000002
it never was too hard to flirt with,134.64,4.92,137.1
soldiers of the god I find it simpler,136.5,4.879,138.9395
still to meet the Young,139.56,7.46,143.29
this little heart park bench is,141.379,8.801,145.77949999999998
sometimes like a trench,147.02,6.24,150.14000000000001
the pose that checks the Greeks,150.18,8.279,154.3195
auditioning their techniques,153.26,5.199,155.8595
first I embrace them then I place them,159.599,6.061,162.62949999999998
all and on a roll,162.18,6.38,165.37
and the Yanks always rate a spot,165.66,5.84,168.57999999999998
on my Gallop home,168.56,6.88,172.0
what does an English girl think of a,171.5,8.26,175.63
yeah oh he's a doll and just as solid as,175.44,5.84,178.35999999999999
but does an English girl think of his,181.28,7.42,184.99
looks and when he says what's cooking,185.58,6.72,188.94000000000003
does she know what cookies she just,188.7,6.84,192.11999999999998
adores his Southern Roar can't resist,192.3,6.0,195.3
his higher or he says evening ma'am she,195.54,6.72,198.9
says evening Sam that she is,198.3,7.92,202.26000000000002
what does an English girl think of his,202.26,7.38,205.95
job and when a band is on the stand,206.22,7.739,210.0895
where men alive he knows from nothing he,209.64,6.48,212.88
starts Rock cutting and throws the hip,213.959,4.821,216.36950000000002
of course we do,218.78,3.84,220.7
there isn't one of them girls that,309.06,2.52,310.32
couldn't be on the cover of your,310.62,3.56,312.4
girls we've made history now we're,318.0,4.5,320.25
making life why do you say it a six-page,319.8,4.5,322.05
spread glorifying the music box girls,322.5,5.12,325.06
come on girls we're on,324.3,3.32,325.96000000000004
now miss Bruce just want to use,328.4,3.49,330.145
something informal surely,330.419,4.5,332.669
calculation this will do more for the,334.919,4.461,337.1495
blood pressure,337.02,2.36,338.2
just one more,339.9,4.57,342.185
I'm sorry I'm on again,341.46,4.26,343.59
getting all the pictures you want,345.72,2.759,347.09950000000003
there's one I'd like to get right now,346.979,3.361,348.6595
the boss how about him is Tolliver oh,348.479,3.421,350.1895
the only features I have taken now are,350.34,4.26,352.46999999999997
X-rays fine we'll use them too,351.9,4.32,354.06
anything about the woman who kept this,354.6,3.0,356.1
theater going through the blitz is human,356.22,3.0,357.72
interest stuff,357.6,3.12,359.16
I'd like to get some from up high with,360.72,3.3,362.37
my view camera say I'm sure I'm around,362.4,5.359,365.0795
I'll take over come along young man,364.02,3.739,365.8895
you were here during the blitz weren't,377.039,3.66,378.86899999999997
you Sam that I was,378.78,3.96,380.76
how was it well you've got to take,380.699,3.78,382.589
things that you find them how did you,382.74,3.84,384.66
find them we didn't have them avoid they,384.479,6.601,387.7795
found us no bombs eh yeah incendiaries,386.58,6.78,389.96999999999997
even that didn't stop the show that it,391.08,4.44,393.3
didn't act as he used to having things,393.36,4.44,395.58000000000004
thrown at them I'd like to have had my,395.52,3.66,397.34999999999997
camera here when things were popping,397.8,3.959,399.7795
well you've got some rare pictures and a,399.18,4.739,401.5495
story to go with it all there yes and a,401.759,5.101,404.3095
story to go with it any special story,403.919,6.06,406.94899999999996
saying a very special story a story,406.86,4.8,409.26
that'll make you laugh if it didn't make,409.979,2.701,411.3295
would you like to hear it that's what,412.68,4.079,414.7195
I'm here for well I'll have to go back,414.419,4.981,416.9095
before the blitz back before the war,416.759,4.801,419.15950000000004
there was peace on Earth and bad will,419.4,4.68,421.73999999999995
among men as you might say but we knew,421.56,4.56,423.84
the war wasn't far off it was in,424.08,4.53,426.34499999999997
rehearsal so to speak like our new show,426.12,11.879,432.0595
come on Roz Judy Angela Tony that's your,438.38,5.14,440.95
all right we'll take it from the second,443.52,4.04,445.53999999999996
Judy darling how nice of you to drop in,458.099,5.761,460.9795
and what a lovely hat,461.34,4.32,463.5
and now that we've all seen it you can,463.86,4.86,466.29
take it off well you see it was this way,465.66,6.24,468.78000000000003
totally I when I call rehearsal at 10 I,468.72,6.18,471.81
don't mean 10 30.,471.9,5.96,474.88
what's that,474.9,2.96,476.38
it's me Mrs Tolliver I just got it back,479.88,4.74,482.25
from the pawn brokers I was practicing,482.099,5.1,484.649
I hired you as an electrician didn't I,484.62,4.799,487.0195
but Mrs Tolliver you can get all the,487.199,3.661,489.0295
electricians you want but there's only,489.419,3.72,491.279
one zylophone player like me well that's,490.86,4.38,493.05
encouraging that's right now put that,493.139,5.101,495.6895
thing away and get back on your job,495.24,4.56,497.52
very well ma'am,498.24,4.38,500.43
all right girls we'll try it now and I,499.8,6.239,502.9195
want no further interruptions there I'll,502.62,5.699,505.4695
give a right,506.039,3.491,507.7845
yes I have a letter from Mr holiday oh,522.02,5.1,524.5699999999999
is Jim Halliday a friend of yours,532.86,5.34,535.53
well I I know Mr holiday obviously,535.44,4.2,537.5400000000001
what's more important is he seen you,538.2,3.36,539.88
dance oh yes yes several times where did,539.64,3.66,541.47
you work it's a globe what sort of thing,541.56,3.959,543.5395
did you do there I worked it alone but,543.3,3.719,545.1595
you just said you danced at the Globe,545.519,3.541,547.2895
Theater no I said I worked at the globe,547.019,4.081,549.0595
that's Mr halliday's firm the globe,549.06,4.56,551.3399999999999
cotton Mills put your dancing where did,551.1,4.76,553.48
you dance the globe,553.62,4.5,555.87
how can you dance at the globe the,555.86,4.12,557.92
globe's not a theater It's a cotton meal,558.12,3.6,559.92
well you see when you dance you must,559.98,3.72,561.84
have a rhythm naturally and I worked at,561.72,3.6,563.52
the loom and there's a rhythm to the way,563.7,3.96,565.6800000000001
it works and what may I ask is your,565.32,3.24,566.94
by what I mean what sort of dancing do,568.56,5.279,571.1995
you do oh I see well uh none really what,570.899,5.94,573.869
I dance pretty much as I feel if I feel,573.839,5.401,576.5395000000001
good I I dance,576.839,4.741,579.2095
I don't feel so good,579.24,5.76,582.12
and how do you feel now hungry I came up,581.58,4.56,583.86
in the milk train and I've had no,585.0,3.18,586.59
breakfast I think we should see this,586.14,4.319,588.2995
nizinski from Manchester the name is,588.18,4.38,590.37
lust uh Tommy Lawson give your music the,590.459,4.141,592.5295
piano Mr Lawson well I have no music I'm,592.56,4.56,594.8399999999999
telling what you wanted to play well I I,594.6,4.859,597.0295
don't right Leno I'm sorry we haven't,597.12,5.1,599.67
alone Mr Lawson yeah,599.459,4.38,601.649
when you're not at the Mill what do you,602.22,2.7,603.57
oh Beethoven Mozart Gilbert and Sullivan,604.92,5.7,607.77
whatever's coming in over the radio now,608.279,5.941,611.2495
I've heard everything Sam,610.62,5.82,613.53
bring me your wireless move back girls,614.22,3.66,616.0500000000001
and give him room,616.44,6.44,619.6600000000001
young man the stage is yours thank you,617.88,5.0,620.38
I don't know,686.42,3.18,688.01
oh no no leave it alone I often dance to,735.5,4.07,737.535
very interesting young man that trick,800.04,4.799,802.4395
thing you did on the stairs will you do,803.16,4.38,805.35
it again please I don't think I can what,804.839,4.74,807.2090000000001
do you mean well I don't remember the,807.54,5.64,810.36
steps I just make them up as I go along,809.579,5.82,812.4889999999999
you have talent young man but it's a,813.18,4.44,815.4
Sunday driver sort of talent I would,815.399,3.961,817.3795
know how to use it half an hour,817.62,4.98,820.11
everybody and be back on time,819.36,6.24,822.48
tally you're crazy if you let that boy,822.6,5.039,825.1195
go he's wonderful give him a chance,825.6,4.08,827.64
Charlie think of what he can do for the,827.639,3.0,829.139
that's what I'm afraid of,830.639,3.26,832.269
hey Manchester wait a minute,835.74,4.56,838.02
don't let Tali get you down I've been a,837.959,3.961,839.9395
dancer all my life and I know dancing,840.3,3.96,842.28
when I see it well I'm glad you liked it,841.92,4.62,844.2299999999999
hold on a minute I liked it too I meant,844.26,4.019,846.2695
you too but you've got a set a routine,846.54,3.599,848.3394999999999
and do it exactly the same way every,848.279,3.541,850.0495
time and you must remember it well it's,850.139,3.781,852.0295
not good I'm going back to my loom look,851.82,3.959,853.7995000000001
if you go back home now you're licked,853.92,3.599,855.7194999999999
you've got something to sell sell it,855.779,4.021,857.7895
you're very kind most of you but but,857.519,3.721,859.3795
this business of dancing the same way,859.8,3.599,861.5994999999999
all the time but you can do it we are,861.24,3.42,862.95
going to teach you everything you know,863.399,5.18,865.989
go ahead Judy now watch me,864.66,3.919,866.6195
got it got it go ahead try it right,876.8,5.399,879.4994999999999
well I've seen better and I've seen,886.339,5.68,889.1790000000001
worse that's a bit of all right how do,889.74,3.18,891.33
how do I know I've worked in the theater,892.92,4.2,895.02
for 15 years,895.019,4.5,897.269
what do you know what do I know haven't,897.12,3.959,899.0995
I worked some of the biggest managers in,899.519,3.661,901.3495
this business go one you clean their,901.079,3.661,902.9095
theaters that's what well they never did,903.18,5.099,905.7294999999999
nothing without asking me what about it,904.74,8.159,908.8195000000001
Mrs Peabody they say in or out,908.279,6.601,911.5795
and it was usually out what do you think,912.899,4.321,915.0595
now Mrs Peabody oh no Mark you did give,914.88,4.8,917.28
me a nasty turn well what do you think,917.22,11.62,923.03
everything,937.98,5.34,940.65
don't you know there's a war on,959.88,5.459,962.6095
sorry Mr Warden it was my fault I just,962.04,4.739,964.4095
wanted to see our names and lights,965.339,3.24,966.9590000000001
pilot to navigator pilot to navigator,993.12,4.139,995.1895
where the devil are we I can't get my,995.04,4.68,997.38
bearings in this bottle of ink,997.259,4.08,999.299
and my power to explain,1040.4,4.22,1042.51
the yard to start my heart a bubbling,1045.74,7.439,1049.4595
like champagne,1049.88,3.299,1051.5295
nothing I can do,1057.799,8.401,1061.9995
when you appear I hear a cheer like,1061.6,7.18,1065.1899999999998
