text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
get around here,86.36,3.54,88.13,0.0,0.0,0.4,-0.07662912085992057,0.06132820967799306,0.0484965985709994
number one gun,179.28,5.0,181.78,-0.2732,0.0,0.4,-0.09350955222194399,0.12716957070483254,-0.0168552047108228
again number two gun,186.66,6.32,189.82,-0.2732,0.0,0.4,-0.09482725480414228,0.12854768915101442,-0.018244618198766795
we show them our true colors Mr,201.12,2.64,202.44,0.4215,0.35,0.7,-0.09685552929207256,0.12962883189255445,-0.019308385252799
break out the Jolly Roger,203.76,24.139,215.8295,0.5106,0.0,0.6,-0.0989547171195648,0.12944248771930209,-0.019035983770541297
we never hear the end of this Captain,241.68,4.02,243.69,0.0,0.0,0.8,-0.10315244235294496,0.1252383966358564,-0.014321427558267057
Blood this pirate who captures our,243.299,4.5,245.549,0.0,0.0,-0.7,-0.10342450445575782,0.12479687504679239,-0.013825749164696914
treasure and our ships,245.7,3.36,247.38,0.296,0.0,0.7,-0.10369149995234589,0.12434432504799245,-0.013317027815000916
Mighty America,249.06,3.78,250.95,0.0,0.4,0.5,-0.10420931946051716,0.12341283256492887,-0.012267693209360515
why why haven't you hanged the scoundrel,252.84,5.459,255.5695,0.0,0.0,-0.7,-0.10487398260783448,0.12211467982153643,-0.010800064817715695
or your majesty the hanging of one,255.9,3.899,257.8495,0.0,0.0,-0.7,-0.10519980545181193,0.12143692012505942,-0.010031305841026683
pirate is hardly the answer to our,258.299,2.22,259.409,0.0,-0.2916666666666667,-0.7,-0.10542182046826902,0.1209597161276253,-0.009488971814500907
as long as these Outlaws are protected,260.519,4.441,262.7395,0.4404,-0.05,0.6,-0.10589366941551155,0.11990463913886713,-0.008286744323672362
in the West Indies by the English oh the,262.5,5.28,265.14,0.0,0.0,0.2,-0.10623183170374059,0.11911475694871211,-0.00738381985089624
English the English the ouch,264.96,6.179,268.0495,0.0,0.0,-0.5,-0.10663953999637803,0.11812560676976323,-0.006249584135276221
ever you fool you see Maki,267.78,5.22,270.39,-0.4404,0.0,0.3,-0.10696580416496487,0.11730550998290196,-0.0053061897823060405
it isn't enough that the ruler of Spain,271.139,4.56,273.419,0.0,0.0,-0.7,-0.10738578968179208,0.11621315249928926,-0.004045311898389337
be bled by his physician this Buccaneers,273.0,5.88,275.94,0.0,0.0,0.2,-0.10773340551101913,0.11527835713273168,-0.002962364360697631
must bleed our kingdom too,275.699,5.22,278.309,0.0,0.0,-0.7,-0.10805846767079495,0.11437956074019218,-0.0019176515560362607
th Marquis,278.88,4.68,281.22,0.0,0.0,0.3,-0.10845579206941613,0.11324924333622183,-0.0005989387740009955
you're the governor of larger our most,280.919,4.381,283.1095,0.0,0.25,0.6,-0.10871245115778777,0.11250090249866206,0.00027716858850116745
important Island possession in the West,283.56,5.16,286.14,0.2023,0.4,0.4,-0.10912206623624708,0.11127766355242723,0.0017145414037342231
Indies you have a galleon of 40 guns,285.3,4.86,287.73,0.0,0.0,0.6,-0.1093359795574099,0.11062498896039637,0.002484188251138813
we charge you with a personal,290.16,5.22,292.77000000000004,0.0,0.0,-0.7,-0.11000952665289938,0.10850967892307736,0.004991872245687682
responsibility of capturing this Captain,292.08,4.98,294.57,0.0,0.0,0.4,-0.11024842113340005,0.1077380735067998,0.005911749098719974
Blood I shall do everything in my power,295.38,2.759,296.7595,0.0,0.0,0.8,-0.11053783835533959,0.1067887960435134,0.00704729378622938
but of course your majesty realizes this,298.139,4.321,300.2995,0.0,0.0,0.6,-0.1110030600286597,0.10523058036086567,0.008920661041664644
is no common criminal you send me after,300.6,5.22,303.21000000000004,0.1471,-0.125,0.6,-0.11138305523061003,0.10392930865033294,0.010494278904243282
blood is a learned intelligent man a,302.46,4.08,304.5,0.4588,0.7148987514318348,0.4,-0.1115507592965997,0.10334713650002902,0.011201054724987822
a doctor are the English so hated that,306.54,4.02,308.55,-0.7481,-0.45,-0.7,-0.11207441571119317,0.1014994419032643,0.013455799251364232
the Physicians must turn to piracy for a,308.94,3.78,310.83,0.0,0.0,-0.7,-0.11236731567436634,0.1004469857175575,0.014748180549736863
living blood is not English your majesty,310.56,3.54,312.33,0.0,0.0,-0.7,-0.11255926968440055,0.09975017759738053,0.015607143353226476
uh prepare The Dorsey on the man wish I,314.1,5.96,317.08000000000004,0.4019,0.0,0.3,-0.11316324799540492,0.09752295478244397,0.018370861336975845
should be pleased to read read,316.38,3.68,318.22,0.4404,0.5,0.4,-0.1133073292474155,0.09698421567572799,0.01904364929828034
Peter blood,321.0,4.74,323.37,0.0,0.0,0.2,-0.11395403090014712,0.09453352180692892,0.022126060844030092
born in Ireland 1658 Bachelor of,322.56,6.66,325.89,0.0,0.0,0.2,-0.11426798484041256,0.0933258598654339,0.02365873358204982
medicine Dublin University 1680.,325.74,5.64,328.56,0.0,0.0,0.4,-0.11459885010607407,0.09204157972092555,0.025299019164335395
arrested by the English was saving the,329.22,4.08,331.26000000000005,-0.4767,0.0,0.4,-0.11493158149924473,0.09073899567546877,0.02697399691211106
life of a wounded Rebel during the,331.38,5.659,334.2095,-0.1531,0.0,0.4,-0.11529294065735446,0.08931289873940804,0.028821379205684432
Monmouth Rebellion Rebellion yes yes,333.3,6.48,336.54,0.5267,0.0,-0.7,-0.11557690412771597,0.0881846952723011,0.030293318844850835
sentenced to death sentence later,337.039,5.16,339.619,-0.5719,0.0,0.5,-0.1159499687764056,0.0866935639478543,0.03225353520129885
changed to a life of slavery at Barbados,339.78,6.12,342.84,-0.7003,0.0,-0.7,-0.11633769008571723,0.08513461303101312,0.0343217240064123
there he and a group of fellow slaves,342.199,6.301,345.34950000000003,0.0,0.0,0.6,-0.11663796784168753,0.08392189314490382,0.035944539745655715
manager is somewhat incredible Escape,345.9,6.06,348.92999999999995,0.1815,0.7148987514318348,-0.7,-0.1170636838353933,0.08219635803696047,0.038275781467998475
that's enough kantaraka,348.5,5.199,351.0995,0.0,0.0,0.2,-0.11732008804246223,0.08115450781220562,0.039696602009201
we offer a reward of 50 000 Pieces Of,353.699,3.541,355.46950000000004,0.5719,0.0,0.8,-0.11783303669425915,0.07906709602703199,0.042575273833992046
for the head of this Buccaneer even an,357.24,5.04,359.76,0.0,0.0,0.7,-0.1183320975964711,0.07703598555953611,0.045420235565512654
Englishman may find that tempting if not,358.919,7.021,362.4295,0.0,0.0,0.3,-0.11864034271427391,0.07578340107187158,0.04719805083417941
I'm sure you my lord Naki will,362.28,4.979,364.7695,0.3182,0.5,0.7,-0.11890911865385871,0.07469348721606668,0.04876045635525518
