text,start,duration,time_midpoint
don't stand around go on home all of you,285.06,5.1,287.61
what happened Constable well,287.22,4.64,289.54
has been another murder,290.16,3.9,292.11
there's nothing you can do I told you to,291.86,4.98,294.35
go home go on,294.06,2.78,295.45
oh just a minute Miss,300.08,4.72,302.44
are you alone,302.759,3.72,304.619
you work out at the Warren home don't,304.8,2.459,306.0295
that's nearly two miles from here you'd,307.259,3.121,308.8195
better hurry if you're gonna get there,309.3,3.619,311.1095
before dark,310.38,2.539,311.6495
got any ideas who did it Constable yeah,319.979,5.761,322.85949999999997
same fellow did the first one same fella,323.639,4.261,325.7695
did the second one but who he is I don't,325.74,4.44,327.96000000000004
know somebody in this town somebody we,327.9,4.44,330.12
all know somebody we see every day,330.18,5.28,332.82
might be me might be you,332.34,5.639,335.1595
well how could it I mean I was here at,335.46,5.84,338.38
my desk anybody be quiet,337.979,3.321,339.6395
didn't know you was called Dr Perry I,356.28,4.5,358.53
wasn't as I was leaving the office I,358.86,3.48,360.6
heard about the murder and thought I'd,360.78,2.759,362.1595
drop in and see if there's anything I,362.34,3.359,364.0195
could do well there ain't unless of,363.539,3.361,365.2195
you're a good enough doctor to uncork or,366.9,4.079,368.93949999999995
Miracle and bring the dead back to life,368.82,4.26,370.95
I don't think I'm that good,370.979,4.5,373.229
there's no sense new going up she's dead,373.08,4.619,375.3895
all right Dr Harvey's up there and,375.479,4.741,377.8495
that's what he says she's dead well in,377.699,3.901,379.6495
that event Constable I certainly can't,380.22,4.039,382.2395
do her any harm,381.6,2.659,382.9295
hello Perry,388.52,3.64,390.34
there's nothing for you to do unless you,392.16,3.42,393.87
just want to do some sightseeing how is,393.6,4.2,395.70000000000005
she killed strangled she was dead when,395.58,4.98,398.07
we got here who was she that lame girl,397.8,6.32,400.96000000000004
left to work toward Nelsons,400.56,3.56,402.34
she was just in my office last week did,408.3,4.56,410.58
you pay our bill or was this her way of,410.759,4.201,412.8595
getting a hold of it,412.86,4.08,414.90000000000003
I haven't enough experience to make that,414.96,4.44,417.18
sort of joke perhaps not Dr Perry,416.94,4.68,419.28
I'll run alone oh just a minute,419.4,3.96,421.38
I hear you we're over to see Mr Stover,421.62,4.56,423.9
last night yes I was don't you know he's,423.36,4.679,425.6995
my patient I only went because they,426.18,3.359,427.8595
called me because they told me that,428.039,3.361,429.7195
you'd refused to go into a morning I,429.539,3.6,431.339
thought it might be serious you've got a,431.4,3.9,433.34999999999997
lot to learn young fellow you've only,433.139,3.481,434.8795
been here a short time I've been here,435.3,2.82,436.71000000000004
for a good many years,436.62,3.18,438.21
if I answered all the courses that came,438.12,3.78,440.01
along I wouldn't get any sleep at all,439.8,3.54,441.57
well that's why I think there's room for,441.9,3.12,443.46
two doctors in this town,443.34,3.479,445.0795
I can tell but let the competition be on,445.02,4.019,447.0295
an open plane ethics you get what I mean,446.819,3.961,448.7995
Parry if ever I'm called on an emergency,449.039,4.021,451.04949999999997
and you have to be sleeping I intend to,450.78,3.18,452.36999999999995
that's very Noble and ambitious,453.96,3.78,455.84999999999997
don't let anything discourage you,456.24,3.72,458.1
nothing will,457.74,4.38,459.93
oh by the way,459.96,3.78,461.84999999999997
you might like to see what this story,462.12,3.299,463.7695
did to that prescription you wrote last,463.74,3.92,465.7
I'm gonna make some calls Helen I'll,492.8,5.44,495.52000000000004
take you through the crossroads,495.36,5.519,498.1195
were you at the hotel,498.24,4.26,500.37
was a very nice thing to have happen in,500.879,3.861,502.8095
your afternoon,502.5,2.24,503.62
I've been pretty busy lately,505.379,3.061,506.90950000000004
I haven't had much of a chance to drop,507.06,2.699,508.4095
in and see you,508.44,2.699,509.7895
but I've been thinking about you a great,509.759,1.581,510.5495
you have many family Helen no one else,513.0,3.719,514.8595
to worry about you,514.68,3.719,516.5395
and I got to wondering just how long you,516.719,3.781,518.6095
were going on like this,518.399,4.02,520.409
I mean doing the work you you're doing,520.5,4.08,522.54
at the Waterhouse,522.419,6.501,525.6695
you wanted to be a nurse teaching,524.58,4.34,526.75
you mean you're going to give up that,529.26,3.54,531.03
without making an effort to get your,530.519,3.211,532.1245
voice back again,532.8,3.599,534.5994999999999
yes I know Helen you did see a doctor,536.399,2.94,537.869
that was a long time ago it might have,539.339,4.261,541.4695
discovered a lot since then,541.68,5.659,544.5095
there are specialists in Boston now,543.6,3.739,545.4695
I don't want to build your hoax up Helen,548.279,5.041,550.7995
seems such a shame to give up so ease of,551.339,4.101,553.3895000000001
you'd rather I wouldn't talk about it,555.899,3.921,557.8595
wouldn't you,557.459,2.361,558.6395
all right I won't,560.1,3.739,561.9695
you know the words of that too,571.26,3.259,572.8895
Dr Perry Dr Perry,585.86,8.2,589.96
oh Freddy's classic Dr Perry bad they,594.06,5.399,596.7594999999999
didn't send you for me did they sent me,597.48,4.32,599.64
for Dr Harvey but Paul wants you to come,599.459,4.201,601.5595
I'm afraid I can't help you out this,601.8,4.14,603.87
time Freddy you don't understand your,603.66,4.14,605.73
father's Dr Harvey's patient we'll have,605.94,3.66,607.7700000000001
to try and find him for you I'll call,607.8,4.32,609.9599999999999
him as soon as I get home oh please Dr,609.6,5.38,612.2900000000001
Perry you come I want you,612.12,4.44,614.34
to go up and have a look I'll run you,616.56,3.899,618.5094999999999
home afterwards,619.019,3.621,620.8295
afraid you'll be late,620.459,5.541,623.2294999999999
you sure you'll be all right,626.339,4.001,628.3395
you go straight home won't you help,628.2,28.589,642.4945
they phoned us about the murder,831.3,4.74,833.67
for a while I thought it might have been,834.36,3.979,836.3495
terrible that's what it is,841.079,3.56,842.8589999999999
n't bad enough murdering people but all,845.639,5.041,848.1595
these defenseless women,848.639,4.26,850.769
first it was the girl with a scar on her,850.68,5.159,853.2595
face then that poor simple-minded,852.899,4.081,854.9395
and now this it seems like,856.98,6.539,860.2495
you've had enough of one afternoon now,861.24,4.2,863.34
now get your wet shoes off before you,863.519,3.841,865.4395
catch a death and you better get up to,865.44,4.38,867.6300000000001
Mrs Warren straight away she's raising a,867.36,4.02,869.37
rhombus with that nurse of hers again,869.82,4.519,872.0795
won't even allow her in the room now,871.38,5.519,874.1395
she sent down word for you to go up the,874.339,4.421,876.5495000000001
moment you came in,876.899,5.601,879.6995000000001
is that someone at the front door,878.76,3.74,880.63
who's there,899.66,4.97,902.145
I don't understand I closed that window,912.199,6.301,915.3494999999999
when the storm started,915.6,7.07,919.135
I'll get a hammer and fix that shutter,918.5,13.96,925.48
it was him,938.16,6.38,941.35
Carlton bad dog,940.62,3.92,942.58
out all day and only home in time to get,948.0,5.56,950.78
under my feet and break my,950.76,6.68,954.1
and you're out caught in the neighbor's,957.44,4.44,959.6600000000001
Carlton you deserve a good beating,964.8,6.02,967.81
guess I better dry you first,968.579,4.681,970.9195
definitely cold that's what you will,973.26,5.16,975.84
if you think this is all I've got to do,976.139,5.241,978.7595
you're mistaken,978.42,2.96,979.9
I think I better fix that window first,981.66,6.979,985.1495
I hope that Carlton is all that came in,984.24,4.399,986.4395
I won't need you you better get up to,989.639,4.711,991.9945
Mrs Warren,991.92,37.919,1010.8795
haven't you gone into Mrs Warren yet,1094.46,6.2,1097.56
hurry along will you,1097.52,3.14,1099.09
it's about time you got here Mrs,1114.26,2.94,1115.73
Warren's been asking for you all,1116.179,2.701,1117.5295
afternoon she won't let me do anything,1117.2,4.5,1119.45
for her oh no I'm ordered to sit down in,1118.88,4.86,1121.3100000000002
the hallway why in the world am I kept,1121.7,3.839,1123.6195
on here to nurse someone who can't stand,1123.74,4.38,1125.93
the sight of me but then I can't stand,1125.539,4.561,1127.8195
the sight of her either,1128.12,4.02,1130.1299999999999
I know some queer ones in my time but,1130.1,4.8,1132.5
she's got them all beat she's Sly too,1132.14,4.919,1134.5995
Eden with her eyes shut she seems to be,1134.9,4.08,1136.94
watching you like an evil spirit,1137.059,3.541,1138.8295
but get in there before she gets herself,1138.98,4.699,1141.3295
into another tantrum,1140.6,3.079,1142.1395
tiger on me,1214.4,6.18,1217.49
I was as good as any man,1216.86,5.64,1219.6799999999998
you're not only late but you're playing,1220.58,4.48,1222.82
games why are you so late,1222.5,5.46,1225.23
never mind never mind,1227.96,4.94,1230.43
I hoped you are never coming back,1233.299,6.141,1236.3695
you should run away,1236.6,2.84,1238.02
leave this house tonight if you know,1240.799,5.12,1243.359
what's good for you,1243.08,2.839,1244.4995
you understand,1246.559,5.36,1249.239
who's there,1248.679,3.24,1250.299
I told you to sit in the hall why must,1257.24,4.2,1259.34
you spy on me I'm not spying on you it's,1259.22,4.199,1261.3195
time for your medicine Helen could give,1261.44,3.96,1263.42
me my medicine I don't know what I'm,1263.419,4.081,1265.4595000000002
being paid for you're being paid to sit,1265.4,3.54,1267.17
