text,start,duration,time_midpoint
hey Boro b b see see BOS he up,151.68,8.68,156.02
why do we stop C Cusco we go to Cusco CE,196.84,7.479,200.5795
Cusco gas gasina,205.76,5.28,208.39999999999998
do all the railways in Peru have to go,219.92,3.84,221.83999999999997
this fast oh we're trying to get you,222.08,3.96,224.06
back to Cusco in time to catch your,223.76,4.92,226.22
plane don't worry we've never lost a,226.04,7.479,229.77949999999998
tourist yet howy,228.68,4.839,231.0995
Poss all passenger boarding Lima flight,248.28,5.039,250.7995
please have tickets checked as soon as,251.319,5.001,253.81949999999998
possible well this is where I leave you,253.319,4.64,255.63899999999998
I trust you've enjoyed your tour of,256.32,4.28,258.46
Cusco the city of light if you're ever,257.959,4.96,260.439
in Detroit I know Mr poter I'll come by,260.6,3.24,262.22
dinner thank,263.84,3.24,265.46
it's been very,270.44,4.479,272.6795
enjoyable I've enjoyed the,272.08,4.92,274.53999999999996
trip if you're wondering how you're,274.919,3.72,276.779
going to pay me without hurting my,277.0,4.8,279.4
feelings Miss Morris forget it just um,278.639,5.4,281.339
take out your role and start counting,281.8,4.839,284.21950000000004
you're not exactly timid are you not,284.039,5.961,287.0195
about money money sings and I love,286.639,6.441,289.8595
music most men don't enjoy taking money,290.0,6.4,293.2
from women it's the best kind it's the,293.08,5.0,295.58
hardest to,296.4,6.12,299.46
get and know it was smells so,298.08,4.44,300.3
good all flight please have ticket check,310.6,6.8,314.0
as soon as,314.84,2.56,316.11999999999995
possible I'll check it,319.68,6.88,323.12
charie any tourists in that plane coming,323.4,7.919,327.35949999999997
in I haven't looked yet,326.56,4.759,328.9395
Ed Morgan was looking for you that makes,339.6,4.159,341.6795
complete Mr and Mrs Winston from,343.759,12.88,350.199
Austin and Mr and Mrs Richmond from St,349.759,6.88,353.199
Louis I Mee,357.759,3.88,359.699
any private planes do in,363.08,5.399,365.7795
no you always ask if any private planes,365.68,5.2,368.28000000000003
is due in and the answer is always no,368.479,4.56,370.75899999999996
well someday the answer will be yes then,370.88,3.92,372.84
what supposing a private plane does come,373.039,5.841,375.9595
in just between you and me I'll steal,374.8,7.959,378.7795
it you and your s are you hilarious,378.88,6.24,382.0
where did Morgan say it' be but El pra,382.759,4.521,385.0195
you want to stay away from that crud I,385.12,4.16,387.2
like being around Morgan makes me feel,387.28,4.12,389.34
better go pick up my pigeons while they,391.4,4.079,393.43949999999995
feathers welcome to Cusco city of life,403.12,5.24,405.74
I'm Harry steel the airlines asked me to,406.56,3.84,408.48
guide you around the city 100 soles a,408.36,4.2,410.46000000000004
day each we weren't told about it you're,410.4,5.68,413.23999999999995
being told now my friend is that your,412.56,3.52,414.32
luggage all right dear yes,416.599,4.72,418.959
you're a big one is guiding people fun,423.12,6.04,426.14
that depends where they want to go I,427.0,4.12,429.06
wouldn't want to miss anything I'll see,429.16,4.8,431.56
what I can do hope I'm not getting sick,431.12,5.199,433.7195
I I can hardly breathe that's the,433.96,4.4,436.15999999999997
altitude we're more than 2 miles above,436.319,3.641,438.1395
sea level here you know you have to take,438.36,2.839,439.77950000000004
it slow and,439.96,4.56,442.23999999999995
easy that's the way I like it you'll,441.199,6.041,444.21950000000004
enjoy CCO we'll go to the hotel first,444.52,4.519,446.7795
and get cleaned up we'll see you there,447.24,6.28,450.38
Mr uh call me Harry,449.039,4.481,451.2795
fine where will you be if we suddenly,455.68,5.44,458.40000000000003
want something right outside your,458.36,6.92,461.82
door wonderful Service never had any,461.12,6.24,464.24
