text,start,duration,time_midpoint
this part of the desert of South Africa,65.56,4.12,67.62
where only a parched camelthorn tree,67.68,4.36,69.86000000000001
relieves the endless parallels of time,69.68,5.56,72.46000000000001
space and Sky surrounds like a rope of,72.04,5.96,75.02000000000001
sand the richest Diamond bearing area in,75.24,6.32,78.39999999999999
the world an uneasy land where men,78.0,6.28,81.14
inflamed by monotony and the heat,81.56,5.16,84.14
sometimes forget the rules of,84.28,4.64,86.6
civilization,88.92,3.14,90.49
West area Patrol Thompson,180.04,6.119,183.09949999999998
speaking give me vogle,182.4,3.759,184.2795
please commandant vogle we've just taken,187.519,5.761,190.39950000000002
it 40 minutes and all we're searching,190.56,5.399,193.2595
him now for diamonds 40 minutes huh,193.28,4.36,195.46
quite a record my,195.959,3.601,197.7595
congratulations and put yourself on,197.64,3.679,199.47949999999997
report when you return you'll be fine a,199.56,3.36,201.24
week's pay for allowing the man in the,201.319,3.401,203.0195
allall Thompson one of the aims of my,204.72,4.079,206.7595
department is this it is impossible for,207.12,3.8,209.02
any man to enter the prohib area even,208.799,4.64,211.119
for 40 minutes my job is to see that no,210.92,4.0,212.92
diamonds are removed from the area I'm,213.439,4.0,215.439
not playing,214.92,2.519,216.1795
games what is it from Herrero Chief Sir,217.519,4.601,219.8195
report a number of their men want to,220.68,5.4,223.38
sign a labor contract that's M's job Mr,222.12,7.36,225.8
M is not back from Cape Town,226.08,7.6,229.88000000000002
sir how many about 100 I understand the,229.48,9.24,234.1
regulations you sign up for a year no,233.68,8.03,237.695
month take them to Collins yes sir come,255.079,4.84,257.499
on yes what is it exit permit for your,263.08,6.839,266.4995
signatures p and separator for arm,267.28,4.44,269.5
injury no fluoroscope check you know,269.919,4.56,272.19899999999996
better than that the X-ray is broken,271.72,4.88,274.16
down sir Well Repair it Fly someone in,274.479,5.28,277.11899999999997
if necessary I have an okay from Doc,276.6,6.879,280.03950000000003
Hunter he just did it,279.759,3.72,281.619
up and very neatly,291.6,3.84,293.52000000000004
take him down the hall and explain to,314.52,3.36,316.2
him the physical dangers of hiding a,316.12,4.72,318.48
diamond in an open,317.88,2.96,319.36
wound incidentally Pearson Dr Hunter's,322.039,5.28,324.679
bandages are never neat they have a,325.639,6.0,328.639
certain alcoholic sloppiness about them,327.319,4.32,329.47900000000004
come on get that man squeen get it over,361.039,5.031,363.55449999999996
there get off your,364.16,3.12,365.72
P how soon can you get my gear off look,367.28,5.0,369.78
Mister if you think all I got to do is,370.28,4.359,372.4595
"nuzzle to 1,000 tons of cargo how soon",372.28,5.199,374.87949999999995
can you get my gear off yes sir F your,374.639,6.361,377.8195
Caro first and get that way swinging,377.479,6.44,380.699
come on get it down hey send up that,381.0,6.039,384.0195
passenger cargo next hey,383.919,7.201,387.5195
boy hey you go on dock take care of,387.039,5.871,389.9745
passenger's gear you,391.12,3.6,392.92
understand now go dock take care of,394.72,6.199,397.8195
gentleman's gear,398.319,5.241,400.9395
understand why they stupid aood and,400.919,4.481,403.1595
can't understand I guess his mother,403.56,2.71,404.915
didn't bring him,405.4,5.2,408.0
ight it comes,413.52,8.0,417.52
now hold that winch,417.12,4.4,419.32
Davis I warned you not to come back here,421.72,5.24,424.34000000000003
I thought you'd be gone vogle promote,424.639,3.761,426.5195
her to a little Diamond start all your,426.96,3.88,428.9
own I was waiting for you and your blue,428.4,4.4,430.59999999999997
jacket the one with my blood stains is,430.84,3.88,432.78
that waiting,432.8,4.48,435.04
too don't lose your temper in this heat,434.72,4.919,437.1795
commandant it's bad for the blood,437.28,6.16,440.35999999999996
pressure what do you want here that's my,439.639,5.68,442.479
business come on let's get this stuff,443.44,4.159,445.5195
his leg a regrettable accident sorry,461.8,6.32,464.96000000000004
your equipment is ruined Mr,464.96,3.16,466.53999999999996
Davis don't lose your temper in this,471.08,6.679,474.41949999999997
heat Davis it's bad for the blood,473.24,4.519,475.4995
pressure Bogle I came back here telling,478.44,4.12,480.5
myself I forgotten what this place did,481.039,4.72,483.399
to me but all I wanted was my license,482.56,5.44,485.28000000000003
back I came back here telling myself,485.759,4.801,488.15950000000004
that what happened before was a,488.0,5.919,490.9595
regrettable accident I'm back Bogle now,490.56,5.44,493.28000000000003
I know what I want thanks to you the,493.919,4.521,496.17949999999996
Hunter and the guide is gone I'm back to,496.0,4.28,498.14
get something I've already paid,498.44,5.12,501.0
for price has,500.28,7.0,503.78
doubled Salon,503.56,7.44,507.28000000000003
Pig my blue jacket Dave I saved it and,507.28,7.439,510.99949999999995
all I want is an excuse to use,511.0,3.719,512.8595
you I thought you didn't speak,544.2,3.879,546.1395
English I don't speak English much to,549.36,3.96,551.34
people I see your,553.32,3.519,555.0795
point I may be able to use a boy that,557.36,5.96,560.34
don't speak English much I work for you,559.6,6.0,562.6
good but you better go see D hter first,563.32,4.0,565.32
and have him take care of this tell him,565.6,5.76,568.48
Mike Davis sent you he remember the name,567.32,4.04,569.34
call Mr Mar Cape Town try to Pur CL,573.8,5.64,576.62
first yes sir and insist that I talk to,576.079,5.641,578.8995
D stat to cap,579.44,4.36,581.62
club I'm sorry Mr Martin G cannot be,583.8,5.479,586.5395
disturbed no I'm very sorry but the,587.24,4.039,589.2595
membership committee is,589.279,5.401,591.9795
meeting the next and last application is,591.279,7.041,594.7995
that of Mr Po Vogel of,594.68,7.32,598.3399999999999
diamond sponsor gentlemen there's no,598.32,5.56,601.1
need to reiterate all the splendid,602.0,3.839,603.9195
services that Mr Bogel has rented the,603.88,5.16,606.46
club in the past go help yet three times,605.839,5.44,608.5590000000001
previously his membership,609.04,4.12,611.0999999999999
application was,611.279,4.641,613.5995
rejected by a single black ball most,613.16,4.64,615.48
regret therefore I've asked Mr,615.92,5.0,618.42
Martingale to make a personal plea thank,617.8,5.88,620.74
you gentlemen I'm quite sure you are all,620.92,5.44,623.64
aware that Paul Vogel is the grandson of,623.68,4.68,626.02
an impoverished German colonist that he,626.36,4.719,628.7195
started with the none of the advantages,628.36,5.32,631.02
that all of us have enjoyed and that it,631.079,5.281,633.7194999999999
is by his own a constant effort that he,633.68,6.92,637.14
has become a person of stature and,636.36,6.56,639.64
importance in regard to our personal,640.6,5.0,643.1
relationship I can honestly say that,642.92,5.159,645.4995
every day he has worked under me has,645.6,4.72,647.96
been a distinct,648.079,5.721,650.9395
pleasure gentlemen I have no more to say,650.32,6.079,653.3595
because well I am confident how each of,653.8,5.24,656.42
you will vote Yes I think we may pass,656.399,4.841,658.8195
yes membership application rejected,676.36,7.32,680.02
rejected no further business gentlemen,680.279,5.721,683.1395
sorry Mar girl now this makes my going,690.72,4.0,692.72
back to Diamond start doubly this,692.8,3.96,694.78
tasteful you joining us this evening,694.72,4.0,696.72
Parker no I'm afraid I can't I'm meeting,696.76,4.079,698.7995
Mrs Parker at the station we leave in an,698.72,4.119,700.7795
hour for a business trip up country M,700.839,4.68,703.1790000000001
sorry Mr Martin,702.839,6.161,705.9195000000001
sir put him,711.16,3.28,712.8
on Mr Martin Gill is,715.0,6.24,718.12
hello Paul sorry to interrupt your,721.92,4.08,723.9599999999999
holiday but your instructions were to,724.16,3.679,725.9995
report anything of an unusual or,726.0,3.24,727.62
unexpected,727.839,5.841,730.7595
nature Mike Davis has,729.24,4.44,731.46
returned I had no intention of making,733.839,3.521,735.5995
the same mistake again although I,735.959,4.281,738.0994999999999
scarcely regard it as a mistake I felt I,737.36,4.32,739.52
should inform you as to what my course,740.24,3.68,742.08
of action will be your course of action,741.68,4.279,743.8195
will be no action whatsoever until I,743.92,4.24,746.04
return unless of course you should be so,745.959,4.0,747.959
foolish as to try to into the prohibited,748.16,4.72,750.52
area I'll be up by plane in the morning,749.959,4.12,752.0189999999999
way what happened to my membership,754.079,6.241,757.1995
application I'm very sorry Paul I'm afid,757.04,6.28,760.18
some wetes blackp you again better luck,760.32,5.24,762.94
time I come Zim i z i Zim Z,772.0,10.0,777.0
the the the,804.48,7.11,808.035
Mr Martingale Mr Parker secretary called,860.839,5.36,863.519
from his office he supposed to meet M,863.68,5.719,866.5395
suzan Oro daughter of a rather important,866.199,5.2,868.799
French stockholder here but he's been,869.399,3.56,871.179
detained and ask if he could entertain,871.399,4.721,873.7595
her until he arrives till he arrives,872.959,5.8,875.8589999999999
earlier today he told me was going up,876.12,5.92,879.08
country Tomy jaar is there any other,878.759,8.801,883.1595
unescorted girl but uh this one no,882.04,5.52,884.8
J I'm indebted to,890.72,7.039,894.2395
you or I may never forgive,893.8,3.959,895.7795
I I don't know what you want M but I do,903.72,4.679,906.0595000000001
know that if you are not gone in 5,906.759,3.52,908.519
second I'll call her head waiter he will,908.399,4.401,910.5995
tell you that my name is male that Mr,910.279,4.68,912.619
Parker has appointed me his eager,912.8,5.8,915.6999999999999
alterate oh Mr Marill I'm so sorry my,914.959,5.32,917.6189999999999
fault in now would you like to join our,918.6,3.76,920.48
party or if you don't mind I'd prefer,920.279,4.041,922.2995
taxi perhaps some other place no just my,922.36,4.32,924.52
hotel my car's outside oh thank you but,924.32,4.8,926.72
I'm staying across town at the roal that,926.68,4.8,929.0799999999999
happens to be my hotel too and I'm tired,929.12,5.04,931.64
of all this nonsense anyway in that case,931.48,4.919,933.9395000000001
take her long pleasure thank,934.16,4.0,936.16
yes come on what about it oh it's not so,938.16,5.32,940.8199999999999
late I have a little ha champagne's good,941.12,5.8,944.02
for that oh you will excuse me thank you,943.48,5.12,946.04
much good night good,948.6,4.76,950.98
what's the matter oh I I thought I had,968.199,4.921,970.6595
my key but I don't seem to be able to,971.079,3.56,972.8589999999999
find it I'll go to the door oh don't,973.12,4.199,975.2195
worry I can call from your room I'll do,974.639,4.721,976.9995
it for you thank,977.319,5.161,979.8995
you I'm giving you so much trouble,979.36,5.97,982.345
prerogative of a beautiful,982.48,5.44,985.2
if you take one more step I I'll,990.8,6.039,993.8195
scream in any case I'll scream Mr,993.92,6.68,997.26
Martingale unless you pay me,996.839,3.761,998.7195
a100 I suppose this is what I deserve,1002.24,6.959,1005.7195
for forg getting my age but I am,1004.56,4.639,1006.8794999999999
unmarried why should I pay the directors,1009.8,5.88,1012.74
of your company perhaps I can always,1012.88,4.959,1015.3595
clear myself if it reaches,1015.68,4.0,1017.68
the lawyer F alone should come to that,1019.68,5.999,1022.6795
not to mention the bad publicity and the,1022.92,5.399,1025.6195
waste then don't,1030.88,6.799,1034.2795
forget there's always a,1033.959,3.72,1035.819
jury of course if you're a man of,1038.16,4.279,1040.2995
principle I take it you're quite,1040.36,5.24,1042.9799999999998
experienced the German is brutal the,1042.439,6.561,1045.7195000000002
Frenchman cries lamu the American is,1045.6,5.439,1048.3194999999998
hoping for the Cavalry to come and what,1049.0,4.84,1051.42
do Englishmen,1051.039,2.801,1052.4395
do they pay you know I really should,1054.2,5.52,1056.96
