text,start,duration,time_midpoint
you got a wrong number,301.84,3.72,303.7
don't hang up on me again pete,320.16,4.0,322.16
i didn't crack to the clerk your name's,331.44,3.28,333.08
not johnson,332.88,3.92,334.84
listen whoever you are i'm your one,334.72,4.319,336.8795
who is this,344.72,4.4,346.92
if you're interested come to room 302,346.639,5.84,349.559
baker hotel 10 o'clock tonight,349.12,6.76,352.5
hey wait a minute,352.479,3.401,354.17949999999996
no change aunt pete still jumpy,427.52,4.079,429.55949999999996
that was a sucker move burning down your,431.68,3.519,433.4395
you had him all wrong,435.199,4.081,437.2395
he never crossed you,437.199,4.0,439.199
but you're a guy who shoots first and,439.28,4.479,441.5195
thinks afterward,441.199,6.4,444.399
in your spot i'd almost choose the cops,443.759,6.641,447.0795
even if it is a first degree murder rap,447.599,5.44,450.319
it's lucky i spotted you,450.4,4.88,452.84
what's so lucky about being dead,453.039,3.761,454.91949999999997
i'm gonna take care of a guy just a,455.28,2.88,456.71999999999997
little too smart,456.8,3.44,458.52000000000004
take off the mask,458.16,6.599,461.45950000000005
come on take it off i don't like games,460.24,4.519,462.4995
that makes a two-bit heel like you think,472.4,3.68,474.23999999999995
a heater would give an edge over me,473.919,5.441,476.6395
i ought to ram it down your throat,476.08,6.32,479.24
what's waiting for you harris the chair,479.36,5.36,482.04
the gas chamber or just a rope how do i,482.4,3.44,484.12
know that line you handed me on the,484.72,3.44,486.44000000000005
phones on the level,485.84,4.4,488.03999999999996
your voice don't even sound the same hit,488.16,5.12,490.72
it with yours when you put on a mask,490.24,5.28,492.88
who else figures in besides me you ask,493.28,4.0,495.28
too many questions and i'm not getting,495.52,3.28,497.15999999999997
any answers,497.28,3.359,498.9595
i'd like to know who i work with when we,498.8,3.679,500.6395
make a split and who i take my orders,500.639,2.96,502.119
get out of here,503.599,3.801,505.4995
all right i'll get out,508.56,2.88,510.0
that choice you're giving me,513.039,3.521,514.7995
you know the bind i'm in,514.959,5.121,517.5195
take it or leave it,516.56,6.24,519.68
you said 300 grand for my end at least,520.08,5.199,522.6795000000001
free and clear only you do it my way,522.8,4.159,524.8795
nobody sees the others without a mask,525.279,3.841,527.1995
even when we make a split and i decide,526.959,4.081,528.9994999999999
where and when that takes place,529.12,5.8,532.02
that makes it all foolproof,531.04,3.88,532.98
you got yourself a boy,538.64,4.48,540.88
now what stay in your room keep out of,540.56,6.279,543.6995
sight why call you,543.12,3.719,544.9795
do a little thinking next time before,553.12,4.0,555.12
you use it,554.56,2.56,555.8399999999999
okay don't get any wrong ideas about me,561.12,5.36,563.8
i don't shove around this easy i'll give,564.48,3.6,566.28
you a chance to show me how hot you are,566.48,4.84,568.9
on the job,568.08,3.24,569.7
you're a three-time loser tony,594.56,3.839,596.4794999999999
the police know you drove the getaway,600.64,3.04,602.16
this time it's life and no chance of,603.68,4.64,606.0
this time tony you go up for life under,608.399,4.88,610.839
the habitual criminal act with no chance,610.88,4.24,613.0
you don't have to tell me the score,615.12,5.2,617.72
and it's a deal,617.519,4.401,619.7195
but no dames understand no dames,621.92,7.599,625.7194999999999
and look friend,626.64,2.879,628.0794999999999
if you don't like it,629.76,6.05,632.785
don't knock it,633.279,10.181,638.3695
makes you think i can't go on doing all,646.0,3.04,647.52
if i can spot you back at those trick,649.04,5.039,651.5595
cheaters so can the cops,650.88,3.199,652.4795
this job you're talking about i said i'd,654.56,3.92,656.52
you're a top killer,658.48,5.12,661.04
you killed one on that last deal,660.56,4.8,662.9599999999999
i don't like heroes,663.6,3.28,665.24
you can tell that to the warden when,665.36,5.0,667.86
they burn you,666.88,3.48,668.62
so i'm still listening,674.72,3.96,676.7
why don't you watch where you're going,700.24,6.279,703.3795
i'm sorry lady i didn't see you,702.16,4.359,704.3394999999999
here's the description mike,795.04,3.799,796.9395
all units stand by a,796.88,5.519,799.6395
117 attention all units a 117 here's a,798.839,5.24,801.4590000000001
description of the suspects involved in,802.399,3.921,804.3595
the armed robbery of the southwest bank,804.079,4.0,806.079
three men masked wearing identical,806.32,3.519,808.0795
coveralls they are driving a light,808.079,3.521,809.8394999999999
delivery car belonging to the western,809.839,4.641,812.1595000000001
wholesale florists use extreme caution,811.6,4.88,814.0400000000001
all are armed,814.48,49.19,839.075
80k to control two on that 117 we have,874.24,5.279,876.8795
the suspect flores struck 20th in,877.44,4.24,879.5600000000001
jackson hey what is it put your hands in,879.519,3.521,881.2795
the back of your neck and come on out,881.68,3.599,883.4794999999999
come on come on get out,883.04,4.88,885.48
you guys nuts shout out you in there,885.279,4.24,887.399
come on out one at a time with your,887.92,4.479,890.1595
hands in the air all right you,889.519,4.801,891.9195
your pals have any ideas you better,892.399,3.601,894.1995000000001
start talking,894.32,3.84,896.24
you're gonna open it open what you're,896.0,3.44,897.72
crazy there's nothing in there about,898.16,3.679,899.9995
why'd you drop them wall come on,910.24,3.92,912.2
we must roll 300 miles plenty drop this,924.959,4.8,927.3589999999999
by now they'll never get us why do we,927.68,3.92,929.64
make the split,929.759,4.961,932.2395
splits what i'm gonna talk about,931.6,5.76,934.48
four kings a pet hand,934.72,6.44,937.94
that's just what we're holding,937.36,3.8,939.26
hang on to those cards,941.44,4.24,943.5600000000001
i've got everything covered but in case,943.92,3.2,945.52
something does go wrong and i can't make,945.68,3.599,947.4794999999999
the payoff myself the cards will,947.12,3.92,949.08
identify you to whoever i send with the,949.279,4.48,951.519
money say that again we'll cut up the,951.04,4.0,953.04
money when i think it's had time enough,953.759,2.961,955.2395
to cool off,955.04,3.28,956.68
right now it's good enough for me let's,956.72,3.76,958.6
cut this horsing around how far do you,958.32,3.759,960.1995000000001
think you'd get with hot money every cop,960.48,3.12,962.04
in the state's out looking for us i'll,962.079,4.481,964.3195
take my until the mass stays on sure you,963.6,6.239,966.7195
it's a pet hand only because nobody can,970.88,3.84,972.8
rat on you,973.12,3.6,974.92
you can't even rat on each other because,974.72,3.28,976.36
you've never seen each other without,976.72,2.799,978.1195
those masks,978.0,3.36,979.68
i made you cut proof and stool pigeon,979.519,4.081,981.5595
proof it's gonna stay that way,981.36,3.599,983.1595
i got one of these for each of you,989.36,3.36,991.04
but enough money to keep you comfortable,991.199,2.88,992.639
while you're waiting but not enough to,992.72,2.96,994.2
get you into trouble,994.079,4.0,996.079
300 jesus coming to me i can stand a,995.68,3.839,997.5994999999999
little trouble make up your mind which,998.079,4.161,1000.1595
way is it going to be,999.519,2.721,1000.8795
you'll find tickets for where you're,1006.72,2.32,1007.88
you're each gone to a different foreign,1009.04,3.44,1010.76
country stay there,1010.639,3.521,1012.3995
until i why are you where and when to,1012.48,4.32,1014.64
come and keep those masks,1014.16,4.96,1016.64
you'll be wearing them at the payoff,1016.8,4.08,1018.8399999999999
this is where you get off hit that,1019.12,4.76,1021.5
open the door,1025.679,2.561,1026.9595000000002
what about me i'll tell you when,1041.839,4.36,1044.019
it's odd that you'd stop at that florist,1055.44,3.04,1056.96
next to the bank twice in the same,1057.12,3.439,1058.8394999999998
morning once that's all i was there and,1058.48,3.92,1060.44
the woman who identified you as a liar,1060.559,3.601,1062.3595
now she's telling the truth i did bump,1062.4,3.04,1063.92
in and the other witnesses who swear,1064.16,2.72,1065.52
your truck was the getaway car they're,1065.44,3.119,1066.9995000000001
telling the truth too they're wrong if,1066.88,2.96,1068.3600000000001
they say i had anything to do with a,1068.559,2.721,1069.9195
robbery you want me to believe there was,1069.84,3.68,1071.6799999999998
a duplicate truck i wouldn't know i,1071.28,3.92,1073.24
wasn't there you were framed then is,1073.52,4.0,1075.52
that it yeah and that year you spent in,1075.2,5.12,1077.76
the pen did anyone frame you on that rap,1077.52,4.24,1079.6399999999999
asked the captain here he was the,1080.32,5.359,1082.9995
arresting officer a real model citizen,1081.76,4.799,1084.1595
just because i got in a jam over a,1086.559,3.281,1088.1995
gambling bet doesn't make me a bank,1088.16,3.92,1090.1200000000001
robber well the boy wants pity what,1089.84,4.16,1091.9199999999998
about the truck,1092.08,3.52,1093.84
if i knew the answer to that i wouldn't,1094.0,3.84,1095.92
be here now how's this for an answer,1095.6,4.079,1097.6395
there was no other truck,1097.84,4.32,1100.0
mr andrews here with the insurance,1102.96,3.76,1104.8400000000001
company he's willing to give you a break,1104.88,4.0,1106.88
aren't you scott,1106.72,3.76,1108.6000000000001
he knows we are,1108.88,3.76,1110.7600000000002
same questions same answers you can save,1110.48,4.8,1112.88
your breath it's my job joe,1112.64,4.08,1114.68
after all we've got to make good the,1115.28,2.8,1116.68
in fact we're willing to pay out as much,1118.08,4.959,1120.5594999999998
as 25 of the money is a reward,1120.0,7.28,1123.64
that's 300 000 for a lead joe,1123.039,6.481,1126.2795
you're an industrial engineer aren't you,1127.28,5.04,1129.8
i never graduated that's right,1129.52,5.6,1132.32
left school to enlist with the engineers,1132.32,4.56,1134.6
pretty good soldier too,1135.12,4.0,1137.12
bronze star purple heart,1136.88,4.72,1139.24
try and buy a cup of coffee with them,1139.12,5.679,1141.9595
came back to resume his studies at night,1141.6,4.079,1143.6395
why i ask myself would a man with such,1145.679,3.681,1147.5195
training want to take a job outside his,1147.679,3.12,1149.239
line to set up a touch for over a,1149.36,4.0,1151.36
million dollars that's why,1150.799,4.161,1152.8795
i got the job through the probation,1153.36,4.08,1155.3999999999999
officer you can ask him,1154.96,3.839,1156.8795
mr collins do i ever give you any,1157.44,3.76,1159.3200000000002
trouble when i work for you no joe,1158.799,3.841,1160.7195
not at all,1161.2,3.599,1162.9995000000001
but i'm afraid i've got to let you go,1162.64,3.039,1164.1595000000002
nothing personally you understand it's,1165.679,2.961,1167.1595
well we sell to a lot of very,1168.64,4.0,1170.64
conservative people,1170.88,3.76,1172.7600000000002
you know how it is yeah i know how it is,1172.64,4.32,1174.8000000000002
uh sergeant see that mr collins gets,1174.64,4.56,1176.92
back uh i'll go along with them some,1176.96,5.2,1179.56
questions i want to ask,1179.2,2.96,1180.68
all right ralph you want it the hard way,1190.24,3.84,1192.16
i can fix that too you've got 20 years,1192.16,3.68,1194.0
staring you right in the face what do,1194.08,4.959,1196.5594999999998
you want me to say that i did it,1195.84,5.36,1198.52
why don't you go ahead mr martin,1199.039,4.321,1201.1995
you got a big day tomorrow,1201.2,3.76,1203.0800000000002
the boys will help me keep her off,1203.36,4.48,1205.6
what do you think mcbride,1214.24,4.0,1216.24
i think he left him to me and the boys,1216.72,2.8,1218.1200000000001
that have his confession on your desk,1218.24,3.7,1220.09
the first thing in the morning,1219.52,11.95,1225.495
we'll be back after first thing in the,1232.72,4.52,1234.98
okay we'll take him once more,1305.039,3.601,1306.8395
he got visitors again real,1310.72,6.95,1314.195
we've got to turn him loose,1326.88,3.44,1328.6000000000001
the upstate police found the duplicate,1328.88,3.52,1330.64
flyer struck half an hour ago it was,1330.32,4.4,1332.52
inside an abandoned moving van,1332.4,4.56,1334.68
