Timecode List:,00:01:13.340,00:01:28.188,00:01:30.290,00:01:31.992,00:01:34.861,00:02:52.239,00:03:16.530,00:04:06.246,00:04:48.488,00:04:50.524,00:04:56.363,00:04:57.063,00:05:16.850,00:05:30.931,00:05:46.079,00:06:29.356,00:06:45.705,00:06:52.345,00:07:05.158,00:07:08.595,00:07:12.766,00:07:21.074,00:08:15.628,00:08:34.781,00:09:41.214,00:10:20.954,00:10:29.295,00:11:03.496,00:11:05.031,00:11:07.133,00:11:08.968,00:11:47.907,00:11:49.876,00:11:52.011,00:12:03.990,00:12:12.565,00:12:15.868,00:12:27.780,00:12:31.184,00:12:36.422,00:12:38.591,00:12:48.701,00:14:57.397,00:16:15.141,00:17:16.335,00:18:40.252,00:19:32.071,00:19:41.747,00:20:11.544,00:20:26.325,00:21:05.197,00:21:09.068,00:21:28.420,00:21:55.347,00:23:07.486,00:23:40.519,00:24:04.977,00:24:11.216,00:24:14.320,00:24:20.859,00:24:41.180,00:26:51.743,00:27:01.687,00:27:03.689,00:27:10.262,00:27:39.057,00:27:51.637,00:27:59.478,00:28:03.549,00:28:07.486,00:28:12.958,00:28:19.498,00:28:35.280,00:29:19.992,00:29:31.036,00:29:46.318,00:29:53.525,00:30:02.334,00:30:13.278,00:30:15.681,00:30:24.156,00:30:30.128,00:30:31.463,00:30:33.699,00:30:50.582,00:30:55.120,00:30:59.725,00:31:04.229,00:31:24.649,00:31:33.492,00:32:08.393,00:32:42.327,00:32:48.233,00:32:59.911,00:34:43.548,00:35:03.702,00:36:50.642,00:37:34.652,00:37:44.662,00:38:20.565,00:38:28.339,00:38:32.076,00:39:16.821,00:40:27.425,00:40:59.490,00:43:03.147,00:43:56.801,00:46:53.778,00:47:07.825,00:47:52.069,00:48:38.582,00:50:50.147,00:52:20.638,00:52:49.566,00:53:17.594,00:53:58.635,00:54:15.853,00:54:51.955,00:55:36.733,00:56:14.705,00:56:25.015,00:56:38.996,00:58:19.629,01:01:06.329,01:01:46.369,01:01:49.839,01:01:54.277,01:01:56.513,01:01:59.282,01:02:01.618,01:02:12.095,01:02:13.296,01:02:38.822,01:02:59.743,01:04:21.091,01:04:59.162,01:06:03.259,01:07:44.160,01:09:02.772,01:09:09.212,01:09:15.451,01:11:44.133,01:12:06.322,01:12:16.799,01:12:18.501,01:12:19.769,01:12:22.171,01:12:29.145,01:12:44.694,01:12:45.962,01:13:09.285,01:14:10.613,01:14:45.214,01:15:36.799,01:16:30.052,01:17:24.874,01:17:57.673,01:18:13.789,01:18:27.503,01:18:54.363,01:18:55.831,01:19:38.440,01:19:54.790,01:20:14.543,01:20:27.156,01:21:50.038,01:23:32.374,01:24:06.642,01:25:34.096,01:26:08.830,01:26:56.578,01:27:17.199,01:27:33.582,01:27:43.892,01:27:48.497,01:27:54.236,01:28:10.185,01:28:19.427,01:28:31.373,01:28:38.213,01:28:45.654,01:28:50.892,01:29:48.183,01:29:50.986,01:29:56.157,01:29:58.960,01:30:02.063,01:30:06.034,01:30:09.704,01:30:27.822,01:30:28.757,01:30:31.092,01:30:35.430,01:30:36.998,01:30:38.166,01:30:40.035,01:30:44.673,01:30:47.842,01:31:36.858
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,2198,00:01:13.340,73.340,2198,00:01:13.340,73.340
2,2199,00:01:13.340,73.340,2643,00:01:28.188,88.188,445,00:00:14.848,14.848
3,2644,00:01:28.188,88.188,2706,00:01:30.290,90.290,63,00:00:02.102,2.102
4,2707,00:01:30.290,90.290,2757,00:01:31.992,91.992,51,00:00:01.702,1.702
5,2758,00:01:31.992,91.992,2843,00:01:34.861,94.861,86,00:00:02.870,2.870
6,2844,00:01:34.861,94.861,5162,00:02:52.239,172.239,2319,00:01:17.377,77.377
7,5163,00:02:52.239,172.239,5890,00:03:16.530,196.530,728,00:00:24.291,24.291
8,5891,00:03:16.530,196.530,7380,00:04:06.246,246.246,1490,00:00:49.716,49.716
9,7381,00:04:06.246,246.246,8646,00:04:48.488,288.488,1266,00:00:42.242,42.242
10,8647,00:04:48.488,288.488,8707,00:04:50.524,290.524,61,00:00:02.035,2.035
11,8708,00:04:50.524,290.524,8882,00:04:56.363,296.363,175,00:00:05.839,5.839
12,8883,00:04:56.363,296.363,8903,00:04:57.063,297.063,21,00:00:00.701,0.701
13,8904,00:04:57.063,297.063,9496,00:05:16.850,316.850,593,00:00:19.786,19.786
14,9497,00:05:16.850,316.850,9918,00:05:30.931,330.931,422,00:00:14.081,14.081
15,9919,00:05:30.931,330.931,10372,00:05:46.079,346.079,454,00:00:15.148,15.148
16,10373,00:05:46.079,346.079,11669,00:06:29.356,389.356,1297,00:00:43.277,43.277
17,11670,00:06:29.356,389.356,12159,00:06:45.705,405.705,490,00:00:16.350,16.350
18,12160,00:06:45.705,405.705,12358,00:06:52.345,412.345,199,00:00:06.640,6.640
19,12359,00:06:52.345,412.345,12742,00:07:05.158,425.158,384,00:00:12.813,12.813
20,12743,00:07:05.158,425.158,12845,00:07:08.595,428.595,103,00:00:03.437,3.437
21,12846,00:07:08.595,428.595,12970,00:07:12.766,432.766,125,00:00:04.171,4.171
22,12971,00:07:12.766,432.766,13219,00:07:21.074,441.074,249,00:00:08.308,8.308
23,13220,00:07:21.074,441.074,14854,00:08:15.628,495.628,1635,00:00:54.555,54.555
24,14855,00:08:15.628,495.628,15428,00:08:34.781,514.781,574,00:00:19.152,19.152
25,15429,00:08:34.781,514.781,17419,00:09:41.214,581.214,1991,00:01:06.433,66.433
26,17420,00:09:41.214,581.214,18610,00:10:20.954,620.954,1191,00:00:39.740,39.740
27,18611,00:10:20.954,620.954,18860,00:10:29.295,629.295,250,00:00:08.342,8.342
28,18861,00:10:29.295,629.295,19885,00:11:03.496,663.496,1025,00:00:34.201,34.201
29,19886,00:11:03.496,663.496,19931,00:11:05.031,665.031,46,00:00:01.535,1.535
30,19932,00:11:05.031,665.031,19994,00:11:07.133,667.133,63,00:00:02.102,2.102
31,19995,00:11:07.133,667.133,20049,00:11:08.968,668.968,55,00:00:01.835,1.835
32,20050,00:11:08.968,668.968,21216,00:11:47.907,707.907,1167,00:00:38.939,38.939
33,21217,00:11:47.907,707.907,21275,00:11:49.876,709.876,59,00:00:01.969,1.969
34,21276,00:11:49.876,709.876,21339,00:11:52.011,712.011,64,00:00:02.135,2.135
35,21340,00:11:52.011,712.011,21698,00:12:03.990,723.990,359,00:00:11.979,11.979
36,21699,00:12:03.990,723.990,21955,00:12:12.565,732.565,257,00:00:08.575,8.575
