text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
he said Dave Miller stopped by his place,168.68,3.16,170.26000000000002,-0.2263,0.0,0.2,-0.08236510305506149,0.0019230819147380376,-0.09114150985482258
10 minutes ago to put water in his,170.28,6.039,173.2995,0.0,0.0,0.7,-0.08117340219158863,0.003559351937386914,-0.08779593784025598
radiator thanks daughter,171.84,7.0,175.34,0.4404,0.2,0.3,-0.08039411427310926,0.0046328450066230155,-0.08561255088831625
Margie have you finished your packing,176.319,4.961,178.7995,0.0,0.0,0.2,-0.07911055286159292,0.0064074102992655,-0.0820243420104992
not yet I I I was just going to I don't,178.84,4.08,180.88,0.0,0.0,-0.7,-0.0783612305513464,0.007447292043862874,-0.07993449767271481
know what's got into you lately all you,181.28,3.8,183.18,0.0,-0.3,-0.7,-0.07755240830247206,0.008573198190546232,-0.07768300820142748
do is sit around and mope I don't sit,182.92,4.879,185.3595,-0.4404,0.0,0.2,-0.07680475353554683,0.009617320929893609,-0.07560596674195517
around and mope well stop moping now and,185.08,4.78,187.47,-0.6124,0.0,-0.7,-0.07609804860438264,0.010607394517764428,-0.0736465762396208
finish your,187.799,5.29,190.444,0.0,0.0,0.2,-0.07513078753032769,0.01196775952094261,-0.0709712749346052
packing always saying she doesn't know,193.159,5.121,195.7195,0.0,0.0,-0.7,-0.0734961547951775,0.014281848645225872,-0.06646874139979661
what's got into me I'll be glad to get,195.36,6.4,198.56,0.4588,0.5,0.4,-0.07265837936772926,0.015476001017925243,-0.06417110297941664
to the fair hear something different see,198.28,5.88,201.22,0.3182,0.35,0.4,-0.07190033801983148,0.01656176442219842,-0.06209856143887738
something different for,201.76,6.92,205.22,0.0,0.0,0.4,-0.07080804644675723,0.01813592707205643,-0.05912387758503901
what has got into me,224.04,11.849,229.9645,0.0,0.0,0.4,-0.06526724748091914,0.02636514212962046,-0.04432691767797455
Marie I'm coming,420.52,6.56,423.8,0.0,0.0,0.8,-0.0710201217729718,0.0241215131147845,-0.06531412846687888
mother come,424.0,3.08,425.54,0.0,0.0,0.7,-0.07128140003712063,0.023749763273896662,-0.0659833014202129
on ah he'll win first this year sure,429.639,5.84,432.559,0.7269,0.5166666666666667,0.8,-0.07234248147228242,0.02221723290314542,-0.06866674486401109
he's half again the hog he was last year,433.319,4.121,435.3795,0.0,-0.0833333333333333,-0.7,-0.07277127946755933,0.021587330654167805,-0.06973520696298936
you don't really expect to win do you,435.479,5.481,438.2195,0.6204,0.5,-0.7,-0.07320393765311971,0.020945421956177546,-0.07080366974329061
with that animated L can say listen you,437.44,5.92,440.4,0.5766,0.0,0.4,-0.07353652256735632,0.020447576594738264,-0.0716182775946476
can say anything you please about me but,440.96,4.84,443.38,0.1655,0.0,-0.7,-0.07399130778339923,0.019760470665182397,-0.0727224923430488
don't say anything bad about blue boy,443.36,4.44,445.58,0.431,-0.3499999999999999,0.8,-0.07432703707481922,0.01924843668964779,-0.07353026612488332
that's the finest Hampshire boar that,445.8,4.239,447.9195,0.0,0.0,0.8,-0.07468384046286415,0.018699681765018066,-0.07438168774644413
ever breathed if you think that that,447.8,4.92,450.26,0.0,0.0,0.2,-0.07504038931006038,0.01814649054459788,-0.07522504127043281
he's just as good as beat now be better,450.039,4.121,452.0995,0.7003,0.6,0.8,-0.0753202068844513,0.01770888731048427,-0.07588153641688106
if he was third or fourth best he'd,452.72,3.4,454.42,0.6369,0.3333333333333333,0.4,-0.07567252313274125,0.0171534635755345,-0.07670122620551223
stand a better chance oh what are you,454.16,4.719,456.5195000000001,0.5994,0.5,0.2,-0.07599049869850957,0.016647817139739125,-0.07743423014473785
talking about if a hog or a man ever got,456.12,5.56,458.9,0.0,0.0,0.2,-0.07634994925881775,0.016071086603254237,-0.07825483522265514
what he was entitled to just once the,458.879,4.841,461.2995,0.2732,0.0,0.2,-0.07671090882187763,0.015486281822058664,-0.0790700406957449
Eternal Stars would quit making melody,461.68,4.239,463.7995,0.0,0.0,-0.7,-0.07708531412668337,0.014873495433669268,-0.07990589306454708
in their sphere oh there you go with,463.72,5.039,466.2395,0.0,0.0,0.8,-0.07744886925154608,0.014272201003162148,-0.08070767292767678
that book talk again I say he's the best,465.919,4.521,468.1795,0.6369,0.8656204906064674,0.3,-0.07773646663146225,0.01379199989471102,-0.08133479333983251
hog in the state and the judges will say,468.759,5.0,471.259,0.0,0.0,0.6,-0.07819005195856951,0.01302616419731802,-0.08231046776267273
so too they might but if that turns out,470.44,5.96,473.42,0.0,0.0,0.2,-0.07850599604015848,0.012486326885260728,-0.08297995878142958
good then something else probably happen,473.759,5.88,476.699,0.4404,0.7,-0.7,-0.07898131211923262,0.011663761706377925,-0.0839706546593721
he might catch pneumonia or hog CER or,476.4,5.28,479.04,0.0,0.0,0.7,-0.07931739389182874,0.011074215098837855,-0.08465854857946943
you might catch pneumonia or something,479.639,5.12,482.199,0.0,0.0,-0.7,-0.07976622319658656,0.010276021947566492,-0.08555992905839938
might happen to Wayne a mark my words,481.68,5.4,484.38,0.0,0.0,0.6,-0.08007273575031966,0.00972338933033675,-0.08616349331909227
AEL there's compensation in this world,484.759,6.28,487.899,0.0,0.0,-0.7,-0.08056105688618617,0.00882948879525167,-0.08710356244504736
for every good is bad now Ralph Waldo,487.08,6.559,490.3595,-0.1531,5.551115123125783e-17,0.4,-0.08089762638892702,0.008203122453194779,-0.08773510216027618
Emerson tells us I don't care what Waldo,491.039,5.401,493.7395,-0.3875,0.0,0.4,-0.08135298701960342,0.007341326375286487,-0.08856656129077345
Emerson tells us look I'll just make a,493.639,5.24,496.259,0.0,0.0,0.5,-0.0816868519943869,0.006698217255618855,-0.08915814354449766
little bet with you on what I'll bet you,496.44,4.599,498.7395,0.0,-0.1875,0.3,-0.0820106468578171,0.006064722462002719,-0.08971618106776928
we go to the fair and blue boy will win,498.879,4.28,501.019,0.7269,0.5,0.7,-0.08230372020476827,0.005482457164581731,-0.09020716979994686
the grand award and nothing bad will,501.039,5.321,503.6995,0.8537,-0.0999999999999999,0.8,-0.0826426113856439,0.0047978779305627465,-0.09075805354741429
happen to him me or my family yes and,503.159,4.801,505.5595,0.4019,0.0,0.3,-0.0828739807482122,0.004323063121108284,-0.09112378397846939
we'll all have a good time too and be,506.36,3.88,508.3,0.4404,0.7,0.7,-0.08320899665998999,0.0036240235535809355,-0.09163843616641053
better off for it after the is over it's,507.96,5.12,510.52,0.4404,0.5,0.4,-0.08347506128724068,0.003058413569581612,-0.09203457366549678
a foolish bet able if you'd asked me I'd,510.24,5.0,512.74,-0.2732,0.5,0.3,-0.08373618744151831,0.0024935698118674133,-0.09241248035958798
have given you 10 to one but you didn't,513.08,8.0,517.08,0.0,0.0,-0.7,-0.08423179559920652,0.0013921529299428092,-0.09309987561046347
ask me so it's an even bet $5 $5 is,515.24,8.2,519.34,0.0,0.0,0.2,-0.0844817556050564,0.0008204084382515708,-0.09343156582073316
right I'll be around for the money the,521.08,4.48,523.32,0.0,0.2857142857142857,0.4,-0.08490777906213345,-0.00018281924919571872,-0.09397329339523496
day you get back be around with the,523.44,4.839,525.8595,0.0,0.0,0.4,-0.08516980340581977,-0.000820153875883926,-0.0942914197730304
money you mean you'll see you'll see,525.56,5.959,528.5395,0.0,-0.3125,0.4,-0.08543772122919725,-0.0014900760720265595,-0.09460453584757644
yeah I'll see well well watch this you,528.279,5.0,530.779,0.6597,0.0,0.7,-0.08565462363139105,-0.0020475785171851463,-0.09484879299464562
