text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
hey Boro b b see see BOS he up,151.68,8.68,156.02,0.0,0.0,0.2,0.26956232276266145,0.2519620233535675,0.1766862911510596
why do we stop C Cusco we go to Cusco CE,196.84,7.479,200.5795,-0.296,0.0,0.3,0.22683832583087796,0.2655166070888443,0.1491550292210288
Cusco gas gasina,205.76,5.28,208.4,0.0,0.0,0.3,0.22217443353789565,0.2670560455542886,0.14622219212670867
do all the railways in Peru have to go,219.92,3.84,221.84,0.0,0.0,0.3,0.21588894430405794,0.26914817212356235,0.14232665354153684
this fast oh we're trying to get you,222.08,3.96,224.06,0.0,0.2,0.4,0.21505042068332886,0.26942779784018034,0.1418146563983893
back to Cusco in time to catch your,223.76,4.92,226.22,0.0,0.0,0.7,0.21428668788078103,0.26968220682895394,0.14135065903633817
plane don't worry we've never lost a,226.04,7.479,229.7795,0.5216,0.0,0.7,0.21313816650483114,0.27006372667014145,0.14065799598531442
tourist yet howy,228.68,4.839,231.0995,0.0,0.0,0.3,0.21274646983305182,0.27019335107273484,0.14042346410979084
Poss all passenger boarding Lima flight,248.28,5.039,250.7995,0.0,0.0,0.2,0.2089667597866967,0.27138290818084965,0.1382617444068213
please have tickets checked as soon as,251.319,5.001,253.8195,0.3182,0.0,0.6,0.20870796961441485,0.2714446380077561,0.1381363534005853
possible well this is where I leave you,253.319,4.64,255.639,0.2263,0.0,-0.4,0.20859035777392532,0.2714667172666697,0.13808517601269302
I trust you've enjoyed your tour of,256.32,4.28,258.46,0.765,0.5,0.4,0.20846363668019044,0.2714786541112081,0.13804109773537074
Cusco the city of light if you're ever,257.959,4.96,260.439,0.0,0.4,0.7,0.2084142765935632,0.2714709570123831,0.13803516610007963
in Detroit I know Mr poter I'll come by,260.6,3.24,262.22,0.0,0.0,0.6,0.2083971477245029,0.27145277572239573,0.13804702339249028
dinner thank,263.84,3.24,265.46,0.3612,0.0,0.6,0.2084307909443936,0.2713925543649437,0.13810927760470068
it's been very,270.44,4.479,272.6795,0.0,0.2,0.3,0.20879439880986145,0.27113393884922266,0.13842799215184684
enjoyable I've enjoyed the,272.08,4.92,274.54,0.7351,0.5,0.7,0.20894993773522724,0.27103981094574503,0.13854840299811688
trip if you're wondering how you're,274.919,3.72,276.779,0.0,0.0,0.4,0.2091693498796659,0.2709117792369483,0.13871311305557346
going to pay me without hurting my,277.0,4.8,279.4,0.2163,0.0,0.4,0.20946979834644253,0.27074157405753607,0.13893258720751284
feelings Miss Morris forget it just um,278.639,5.4,281.339,-0.3612,0.0,-0.7,0.20972154263662682,0.2706016484212726,0.13911288481835657
take out your role and start counting,281.8,4.839,284.21950000000004,0.0,0.0,0.2,0.21014044221892175,0.27037196146201614,0.1394078941234252
you're not exactly timid are you not,284.039,5.961,287.0195,0.1877,-0.125,0.3,0.2105975038276018,0.2701239018717268,0.13972462405908226
about money money sings and I love,286.639,6.441,289.8595,0.6369,0.5,0.7,0.2111095196468166,0.26984756494988427,0.140074749143545
