text,start,duration,time_midpoint,vader,textblob,llama3
the glory of the world is its gathered,86.119,4.32,88.279,0.5423,0.0,-0.5
Beauty its tragedy,88.119,3.761,89.9995,-0.1531,0.0,0.4
the beauty that has been,90.439,4.241,92.5595,0.5859,0.0,0.8
lost in that empty space there might,91.88,4.559,94.1595,-0.4767,-0.1,0.8
have been a book of The Greatest Love,94.68,3.24,96.3,0.8555,0.75,-0.7
Letters ever,96.439,4.521,98.6995,0.0,0.0,0.5
written letters of unsurpassed charm and,97.92,5.44,100.64,0.4019,0.0,0.8
passion written in the last,100.96,5.759,103.8395,0.4588,0.0,0.8
century by this man the great poet,103.36,7.16,106.94,0.6249,0.8,0.8
Jeffrey Ashton to the beautiful Juliana,106.719,6.961,110.1995,0.5994,0.85,0.7
bordo over 30 years ago I Louis fbl and,110.52,6.48,113.76,0.0,0.0,0.7
an ambitious young publisher read those,113.68,6.28,116.82,0.4767,0.175,0.4
letters for a few amazing tormented,117.0,5.719,119.8595,0.5859,0.20000000000000004,0.7
hours I held them in my hand literary,119.96,4.519,122.2195,0.4939,0.1,0.7
Treasures that Publishers from Europe,122.719,4.441,124.9395,0.4215,0.0,0.4
and America had sought long and,124.479,5.081,127.0195,0.0,-0.05,0.2
desperately it all began with a brief,127.16,4.799,129.5595,-0.3818,-0.3,-0.7
tantalizing note from a derelict artist,129.56,5.08,132.1,0.0,0.0,0.7
Charles Russell who had vanished years,131.959,4.751,134.3345,0.0,0.0,-0.7
before on the continent,134.64,35.91,152.59499999999997,0.0,0.0,0.4
Venice I remember the long journey from,171.159,3.16,172.739,0.0,-0.05,0.3
York I remember standing down on the,174.319,5.241,176.93949999999998,0.0,-0.15555555555555559,0.4
footway of the canal waiting for Charles,176.56,5.84,179.48,0.0,0.0,0.2
and as as I waited phrases from his,179.56,5.239,182.1795,0.0,0.0,0.3
letter to me echoed through my,182.4,6.52,185.66,0.0,0.0,0.4
mind Juliana bordo still,184.799,7.961,188.7795,0.0,0.0,0.4
alive surely she has his letters Louis,188.92,6.959,192.3995,0.6705,0.3,0.4
what a success for you if you got them,192.76,5.24,195.38,0.5719,0.3,0.8
the publishing Triumph of the,195.879,6.561,199.1595,0.4767,0.0,0.6
decade what would you like to do about,198.0,4.44,200.22,0.3612,0.0,0.2
it welcome to Venice us how have you,207.92,5.08,210.46,0.4588,0.8,0.4
Charles have you made the,214.519,4.841,216.9395,0.0,0.0,0.2
arrangements yes I,217.319,5.241,219.9395,0.4019,0.0,0.7
right there it is,232.519,4.521,234.7795,0.0,0.2857142857142857,0.6
Juliana in that house still alive,237.04,5.72,239.9,0.3818,0.1,0.2
The Immortal,240.92,4.48,243.16,0.25,0.0,0.7
105 that is pretty close to Immortal,245.4,5.16,247.98,0.6369,0.25,0.8
isn't it that's where they,247.76,5.319,250.4195,0.0,0.0,0.2
met he came to this house as a guest to,250.56,5.56,253.34,0.0,0.0,0.2
have Martin bordo paint his portrait and,253.079,4.0,255.079,0.0,0.0,0.4
Juliana the Exquisite Juliana this is,257.079,5.161,259.6595,0.0,1.0,0.6
began the same LS,262.24,6.399,265.4395,0.0,0.0,0.4
vbal always at home with the past who,264.96,5.32,267.62,0.0,-0.25,0.5
would ever have thought that she'd still,268.639,3.801,270.53950000000003,0.0,0.0,0.4
