text,start,duration,time_midpoint,vader,textblob,llama3
Magazine's doing a story on the theater,93.92,4.32,96.08,0.0,0.0,0.6
why didn't you tell me look at my hair,95.939,4.921,98.3995,0.0,0.0,-0.7
what's so special about this place it's,98.24,4.3,100.39,0.4576,0.35714285714285715,-0.7
new Soldier this theater went through,100.86,2.88,102.3,0.0,0.13636363636363635,0.4
the blitz never missed a single,102.54,4.079,104.5795,0.2235,-0.07142857142857142,0.8
performance no kidding hi and one of,103.74,6.559,107.0195,-0.0762,0.0,0.4
your glasses is in only two hmm,106.619,3.68,108.459,0.0,0.0,0.3
she's an American,110.36,6.69,113.705,0.0,0.0,0.6
wonderful thing land lease,113.82,11.32,119.48,0.5719,1.0,0.8
I come into the park each day to watch,125.78,5.74,128.65,0.0,0.0,0.7
the children as they play and see They,128.7,5.94,131.67,0.34,0.0,0.7
Don't Go Near The Water Banks although,131.52,4.98,134.01000000000002,0.0,0.1,-0.7
it never was too hard to flirt with,134.64,4.92,137.1,0.0762,-0.2916666666666667,0.7
soldiers of the god I find it simpler,136.5,4.879,138.9395,0.2732,0.0,0.7
still to meet the Young,139.56,7.46,143.29,0.0,0.1,0.2
this little heart park bench is,141.379,8.801,145.77949999999998,0.6003,-0.1875,0.5
sometimes like a trench,147.02,6.24,150.14,0.3612,0.0,0.3
the pose that checks the Greeks,150.18,8.279,154.3195,0.0,0.0,0.6
auditioning their techniques,153.26,5.199,155.8595,0.0,0.0,0.4
first I embrace them then I place them,159.599,6.061,162.62949999999998,0.3182,0.25,0.4
all and on a roll,162.18,6.38,165.37,0.0,0.0,0.7
and the Yanks always rate a spot,165.66,5.84,168.57999999999998,0.0,0.0,0.7
on my Gallop home,168.56,6.88,172.0,0.0,0.0,0.5
what does an English girl think of a,171.5,8.26,175.63,0.0,0.0,0.3
yeah oh he's a doll and just as solid as,175.44,5.84,178.36,0.4215,0.0,0.7
but does an English girl think of his,181.28,7.42,184.99,0.0,0.0,0.2
looks and when he says what's cooking,185.58,6.72,188.94000000000003,0.0,0.0,0.4
does she know what cookies she just,188.7,6.84,192.12,0.0,0.0,0.4
adores his Southern Roar can't resist,192.3,6.0,195.3,0.3818,0.0,0.2
his higher or he says evening ma'am she,195.54,6.72,198.9,0.0,0.25,0.8
says evening Sam that she is,198.3,7.92,202.26,0.0,0.0,0.2
what does an English girl think of his,202.26,7.38,205.95,0.0,0.0,0.6
job and when a band is on the stand,206.22,7.739,210.0895,0.0,0.0,0.5
where men alive he knows from nothing he,209.64,6.48,212.88,0.3818,0.1,0.2
starts Rock cutting and throws the hip,213.959,4.821,216.3695,-0.128,-0.6,0.7
of course we do,218.78,3.84,220.7,0.0,0.0,0.8
there isn't one of them girls that,309.06,2.52,310.32,0.0,0.0,-0.7
couldn't be on the cover of your,310.62,3.56,312.4,0.0,0.0,0.7
girls we've made history now we're,318.0,4.5,320.25,0.0,0.0,0.7
making life why do you say it a six-page,319.8,4.5,322.05,0.0,0.0,0.2
spread glorifying the music box girls,322.5,5.12,325.06,0.5267,0.0,0.8
come on girls we're on,324.3,3.32,325.96000000000004,0.0,0.0,0.7
now miss Bruce just want to use,328.4,3.49,330.145,-0.0772,0.0,0.7
something informal surely,330.419,4.5,332.669,0.4404,0.5,0.4
calculation this will do more for the,334.919,4.461,337.1495,0.0,0.5,0.4
blood pressure,337.02,2.36,338.2,-0.296,0.0,0.2
just one more,339.9,4.57,342.185,0.0,0.5,-0.7
I'm sorry I'm on again,341.46,4.26,343.59,-0.0772,-0.5,0.5
getting all the pictures you want,345.72,2.759,347.09950000000003,0.0772,0.0,0.8
there's one I'd like to get right now,346.979,3.361,348.6595,0.3612,0.2857142857142857,0.6
the boss how about him is Tolliver oh,348.479,3.421,350.1895,0.0,0.0,0.2
the only features I have taken now are,350.34,4.26,352.47,0.0,0.0,0.2
X-rays fine we'll use them too,351.9,4.32,354.06,0.2023,0.4166666666666667,0.6
anything about the woman who kept this,354.6,3.0,356.1,0.0,0.0,0.5
theater going through the blitz is human,356.22,3.0,357.72,0.0,0.0,0.7
interest stuff,357.6,3.12,359.16,0.4588,0.0,0.7
I'd like to get some from up high with,360.72,3.3,362.37,0.3612,0.16,0.6
my view camera say I'm sure I'm around,362.4,5.359,365.0795,0.3182,0.5,0.3
I'll take over come along young man,364.02,3.739,365.8895,0.0,0.1,0.7
you were here during the blitz weren't,377.039,3.66,378.869,0.0,0.0,0.6
you Sam that I was,378.78,3.96,380.76,0.0,0.0,0.2
how was it well you've got to take,380.699,3.78,382.589,0.2732,0.0,0.3
things that you find them how did you,382.74,3.84,384.66,0.0,0.0,0.2
find them we didn't have them avoid they,384.479,6.601,387.7795,0.2235,0.0,0.4
found us no bombs eh yeah incendiaries,386.58,6.78,389.97,0.0,0.0,-0.7
even that didn't stop the show that it,391.08,4.44,393.3,0.2235,0.0,0.4
didn't act as he used to having things,393.36,4.44,395.58,0.0,0.0,-0.7
thrown at them I'd like to have had my,395.52,3.66,397.35,0.3612,0.0,0.7
camera here when things were popping,397.8,3.959,399.7795,0.0,0.0,-0.7
well you've got some rare pictures and a,399.18,4.739,401.5495,0.2732,0.3,0.4
story to go with it all there yes and a,401.759,5.101,404.3095,0.4019,0.0,0.2
story to go with it any special story,403.919,6.06,406.949,0.4019,0.35714285714285715,0.8
saying a very special story a story,406.86,4.8,409.26,0.4576,0.4642857142857143,0.8
that'll make you laugh if it didn't make,409.979,2.701,411.3295,0.5574,0.3,0.4
would you like to hear it that's what,412.68,4.079,414.7195,0.3612,0.0,0.3
I'm here for well I'll have to go back,414.419,4.981,416.9095,0.2732,0.0,-0.4
before the blitz back before the war,416.759,4.801,419.1595,-0.5994,0.0,0.4
there was peace on Earth and bad will,419.4,4.68,421.74,0.0,-0.6999999999999998,0.2
among men as you might say but we knew,421.56,4.56,423.84,0.0,0.0,0.2
the war wasn't far off it was in,424.08,4.53,426.345,-0.5994,0.1,-0.7
rehearsal so to speak like our new show,426.12,11.879,432.0595,0.4144,0.13636363636363635,0.4
come on Roz Judy Angela Tony that's your,438.38,5.14,440.95,0.0,0.0,0.4
all right we'll take it from the second,443.52,4.04,445.54,0.0,0.14285714285714285,0.4
Judy darling how nice of you to drop in,458.099,5.761,460.9795,0.6705,0.6,0.7
and what a lovely hat,461.34,4.32,463.5,0.5859,0.5,0.7
and now that we've all seen it you can,463.86,4.86,466.29,0.0,0.0,0.2
take it off well you see it was this way,465.66,6.24,468.78,0.2732,0.0,0.3
totally I when I call rehearsal at 10 I,468.72,6.18,471.81,0.0,0.0,0.6
don't mean 10 30.,471.9,5.96,474.88,0.0,-0.3125,-0.7
what's that,474.9,2.96,476.38,0.0,0.0,0.2
it's me Mrs Tolliver I just got it back,479.88,4.74,482.25,0.0,0.0,0.7
from the pawn brokers I was practicing,482.099,5.1,484.649,0.0,0.0,0.3
I hired you as an electrician didn't I,484.62,4.799,487.0195,0.0,0.0,0.4
but Mrs Tolliver you can get all the,487.199,3.661,489.0295,0.0,0.0,0.4
electricians you want but there's only,489.419,3.72,491.279,0.0387,0.0,0.2
one zylophone player like me well that's,490.86,4.38,493.05,0.5574,0.0,0.3
encouraging that's right now put that,493.139,5.101,495.6895,0.5267,0.2857142857142857,0.8
thing away and get back on your job,495.24,4.56,497.52,0.0,0.0,-0.7
very well ma'am,498.24,4.38,500.43,0.3384,0.2,0.7
all right girls we'll try it now and I,499.8,6.239,502.9195,0.0,0.2857142857142857,0.4
want no further interruptions there I'll,502.62,5.699,505.4695,0.092,0.0,-0.7
give a right,506.039,3.491,507.7845,0.0,0.2857142857142857,0.8
yes I have a letter from Mr holiday oh,522.02,5.1,524.5699999999999,0.6597,0.0,0.4
