text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
moris moris you're fat and you are,207.599,8.2,211.699,0.0,0.0,0.2,-0.08988773806734228,-0.23293784688628572,0.12802414294840084
sinner Janet Janet,211.239,7.56,215.019,0.0,0.0,-0.5,-0.08888412180113651,-0.23270066291106087,0.1281654104342377
look was it,223.48,7.0,226.98,0.0,0.0,-0.8,-0.08540982222338935,-0.2317473785875662,0.1285997153682384
a mama English she loves you in French,226.56,6.679,229.8995,0.5719,0.0,0.7,-0.08459499298421927,-0.23149149044742745,0.12868824283119656
we all miss you in any language it does,230.48,4.8,232.88,-0.1531,0.0,0.4,-0.0837764070325254,-0.231220970981266,0.12877164840192978
not look well that means she wants to,233.239,4.321,235.3995,-0.2057,0.2,-0.7,-0.08309482661789892,-0.23098501697327356,0.12883669830471844
you're a away too,241.48,4.36,243.66,0.0,0.0,0.8,-0.08092631029687157,-0.23016507604396427,0.12901532232181145
long almost 2 years,242.959,6.241,246.0795,0.0,-0.05,0.4,-0.08031015951614161,-0.22991158719554702,0.12905769911664217
huh thanks Maurice you remembered,245.84,6.88,249.28,0.4404,0.2,0.4,-0.07950821596825043,-0.22956708235684944,0.12910691691077722
bourbon straight water on the side you,249.2,6.039,252.2195,0.2263,0.2,0.3,-0.07878472990919169,-0.22924150224039117,0.12914531064179605
and Mr gamble only people who speak,252.72,3.639,254.5395,0.0,0.0,0.4,-0.07822249224382449,-0.22897837453510625,0.12917104274587804
English would put things like that in,255.239,3.321,256.8995,0.3612,0.0,0.6,-0.07765845727859345,-0.228705160096355,0.12919310961804373
stomachs you're back on business perhaps,258.799,6.4,261.999,0.0,0.0,0.7,-0.07646668481947098,-0.22809581019748265,0.12922676327158938
no no just to see my little girl a,262.04,4.0,264.04,0.2235,-0.1875,0.2,-0.07599996437517688,-0.2278447004175126,0.12923490381340097
ballerina she do not go back with you no,266.04,5.439,268.7595,-0.296,0.0,-0.7,-0.07494302391506538,-0.2272483572956865,0.12924218630338907
more for me thanks,268.6,6.28,271.74,0.4877,0.35,0.7,-0.07429144105647666,-0.22686054075032686,0.12923855777682647
the world has changed yes he not so,271.479,6.041,274.4995,0.4019,0.0,-0.7,-0.07369906106379893,-0.22649380139642233,0.12922957452786532
crazy anymore like it was after the war,274.88,3.48,276.62,-0.5859,-0.6,-0.7,-0.0732509249643576,-0.22620699697571403,0.1292190243276585
remember we had much laughter together a,278.36,6.42,281.57,0.4939,0.2,0.7,-0.07222854461529196,-0.22552073998866548,0.12918217483885056
sh maybe we had too many laughs,281.919,15.931,289.8845,0.4939,0.5,0.7,-0.07058511899912823,-0.22431582806319095,0.12908232758150204
some big day huh it's c for a very big,347.36,5.839,350.27950000000004,0.0,0.0,0.6,-0.06126307382590766,-0.21370462217064348,0.1270301467833567
very cold bourbon in water no bourbon no,349.88,6.159,352.9595,-0.0803,-0.7069297309534309,-0.7,-0.060949492918606976,-0.21316219263916983,0.12688901945819492
gin no gnac no anything how will you,353.199,5.481,355.9395,-0.0803,0.0,0.2,-0.06061019891920737,-0.2125522873091757,0.1267274674102932
celebrate for me I keep the per for you,356.039,7.041,359.5595,0.5719,0.0,0.7,-0.060211217629490034,-0.21180190203670246,0.1265247388866064
and me that uh lady over there how' you,358.68,8.079,362.7195,0.0,0.0,0.2,-0.05987464368988935,-0.211138428513424,0.1263420290749931
say she gives you the,363.08,7.64,366.9,0.0,0.0,0.4,-0.059445964986200896,-0.2102487166284909,0.12609220074275715
eye that one it's not even smiling at me,366.759,5.801,369.6595,-0.357,0.0,-0.7,-0.05917324854517529,-0.2096540219778126,0.12592229235703134
the eye without a smile is the most,370.72,3.37,372.405,-0.2755,0.4,0.7,-0.05890992619145061,-0.20905655005286028,0.1257493486967102
eye excuse,382.479,5.56,385.259,0.0772,-0.05,0.2,-0.05778139520480337,-0.20618367656472802,0.12488916570512151
me Charles,385.52,6.2,388.62,0.0,0.0,0.4,-0.05751410779125587,-0.20541229988670973,0.12465086874904709
CL I knew you'd make it oh but you I was,388.039,5.56,390.819,0.0,0.0,-0.7,-0.057345344891406365,-0.20490315931705874,0.12449203088128992
afraid of nah don't you know the bad,391.72,4.16,393.8,-0.5994,-0.6499999999999999,-0.7,-0.05712421972406053,-0.20420738252762632,0.12427305406331426
characters never die in a war excuse me,393.599,4.241,395.7195,-0.1164,-0.05,0.4,-0.05698646061829432,-0.2037559892448424,0.12412984878902719
