text,start,duration,time_midpoint,vader,textblob,llama3
at least one of them was here sir I,111.84,5.22,114.45,0.0,-0.3,0.4
found this waistband down on the beach,114.06,4.14,116.13,0.0,-0.15555555555555559,0.3
that's Peter blood's house,118.2,4.739,120.5695,0.0,0.0,0.4
I know what that could mean you remain,120.299,5.901,123.2495,0.0,-0.3125,0.3
here have Rogers follow me,122.939,3.261,124.5695,0.0,0.0,-0.7
yeah that's finished,152.72,3.58,154.51,0.296,0.0,0.2
you know what it means to be caught to,154.62,3.42,156.33,0.0,0.0,-0.7
help them run away slaves I guess you're,156.3,3.54,158.07000000000002,0.4019,0.0,0.6
fidgeting like an old woman I have a,158.04,5.18,160.63,0.3612,0.1,0.3
little fidget works at the end of a rope,159.84,3.38,161.53,0.0,-0.1875,-0.7
Captain Blood eye doctor blood Colonel,180.12,4.5,182.37,0.0,0.0,0.3
Ramsay I've come about some escaped,182.459,4.261,184.5895,0.0,0.0,-0.7
slaves and with a surprising lack of,184.62,4.02,186.63,-0.0516,0.7,0.4
manners too,186.72,4.08,188.76,0.0,0.0,0.6
we found a slave's waistband on the,188.64,3.0,190.14,0.0,0.0,-0.7
you're liable to find anything on the,191.64,4.08,193.68,0.0,-0.1,0.3
beach even seashells I just removed one,193.14,4.44,195.36,0.0,0.0,0.7
from his foot that should hold your,195.72,5.36,198.4,0.0,0.0,-0.7
Angus thank you Doctor blood,197.58,3.5,199.33,0.3612,0.0,0.4
okay you wanted to see me about some,205.8,3.84,207.72,0.2263,0.5,0.2
slaves I'm afraid I have none to sell,207.72,4.2,209.82,0.0,-0.6,-0.8
you you see this land and everything on,209.64,4.5,211.89,0.0,0.0,0.6
it is free I wasn't speaking of buying,211.92,4.739,214.2895,0.5106,0.4,0.7
you were a pilot once blood before your,214.14,4.739,216.5095,0.0,0.0,0.4
reform if you've taken to stealing,216.659,4.021,218.6695,-0.5719,0.0,-0.7
slaves now I perhaps currently also,218.879,4.021,220.8895,0.0,0.0,-0.8
heard that I was once a Slave an,220.68,3.839,222.5995,0.0,0.0,-0.7
ex-slave can hardly be expected to like,222.9,3.119,224.4595,0.3612,-0.1,-0.7
or slave owners next to Lady Isabella,226.019,6.86,229.449,0.0,0.0,-0.7
oh I'm sorry dear this is Colonel Ramsay,244.04,5.08,246.58,0.3182,-0.5,0.4
Colonel this is I had the honor of,247.379,2.94,248.849,0.4939,0.0,0.7
meeting the lady Isabella of the,249.12,3.179,250.7095,0.0,0.0,0.4
governor's reception oh if you have,250.319,3.48,252.059,0.0,0.0,0.4
business to discuss with my fiance,252.299,3.961,254.2795,0.0,0.0,0.7
Colonel please don't let me detain you,253.799,3.961,255.7795,0.5621,0.0,0.2
