text,start,duration,time_midpoint
he said Dave Miller stopped by his place,168.68,3.16,170.26000000000002
10 minutes ago to put water in his,170.28,6.039,173.2995
radiator thanks daughter,171.84,7.0,175.34
Margie have you finished your packing,176.319,4.961,178.7995
not yet I I I was just going to I don't,178.84,4.08,180.88
know what's got into you lately all you,181.28,3.8,183.18
do is sit around and mope I don't sit,182.92,4.879,185.3595
around and mope well stop moping now and,185.08,4.78,187.47
finish your,187.799,5.29,190.44400000000002
packing always saying she doesn't know,193.159,5.121,195.71949999999998
what's got into me I'll be glad to get,195.36,6.4,198.56
to the fair hear something different see,198.28,5.88,201.22
something different for,201.76,6.92,205.22
what has got into me,224.04,11.849,229.9645
Marie I'm coming,420.52,6.56,423.79999999999995
mother come,424.0,3.08,425.54
on ah he'll win first this year sure,429.639,5.84,432.559
he's half again the hog he was last year,433.319,4.121,435.3795
you don't really expect to win do you,435.479,5.481,438.2195
with that animated L can say listen you,437.44,5.92,440.4
can say anything you please about me but,440.96,4.84,443.38
don't say anything bad about blue boy,443.36,4.44,445.58000000000004
that's the finest Hampshire boar that,445.8,4.239,447.9195
ever breathed if you think that that,447.8,4.92,450.26
he's just as good as beat now be better,450.039,4.121,452.0995
if he was third or fourth best he'd,452.72,3.4,454.42
stand a better chance oh what are you,454.16,4.719,456.51950000000005
talking about if a hog or a man ever got,456.12,5.56,458.9
what he was entitled to just once the,458.879,4.841,461.2995
Eternal Stars would quit making melody,461.68,4.239,463.7995
in their sphere oh there you go with,463.72,5.039,466.2395
that book talk again I say he's the best,465.919,4.521,468.17949999999996
hog in the state and the judges will say,468.759,5.0,471.259
so too they might but if that turns out,470.44,5.96,473.42
good then something else probably happen,473.759,5.88,476.699
he might catch pneumonia or hog CER or,476.4,5.28,479.03999999999996
you might catch pneumonia or something,479.639,5.12,482.199
might happen to Wayne a mark my words,481.68,5.4,484.38
AEL there's compensation in this world,484.759,6.28,487.899
for every good is bad now Ralph Waldo,487.08,6.559,490.35949999999997
Emerson tells us I don't care what Waldo,491.039,5.401,493.73949999999996
Emerson tells us look I'll just make a,493.639,5.24,496.259
little bet with you on what I'll bet you,496.44,4.599,498.7395
we go to the fair and blue boy will win,498.879,4.28,501.019
the grand award and nothing bad will,501.039,5.321,503.6995
happen to him me or my family yes and,503.159,4.801,505.5595
we'll all have a good time too and be,506.36,3.88,508.3
better off for it after the is over it's,507.96,5.12,510.52
a foolish bet able if you'd asked me I'd,510.24,5.0,512.74
have given you 10 to one but you didn't,513.08,8.0,517.08
ask me so it's an even bet $5 $5 is,515.24,8.2,519.34
right I'll be around for the money the,521.08,4.48,523.32
day you get back be around with the,523.44,4.839,525.8595
money you mean you'll see you'll see,525.56,5.959,528.5395
yeah I'll see well well watch this you,528.279,5.0,530.779
got your chains on you're expecting a,531.519,4.88,533.9590000000001
shower nope I'm expecting good weather,533.279,4.761,535.6595
that's what put my James on so it,536.399,4.451,538.6245
wouldn't be fooled,538.04,6.55,541.3149999999999
do you want your name Mrs AEL Frank or,545.48,4.16,547.5600000000001
Mrs Melissa frake Melissa frake I guess,547.24,3.8,549.14
with your father entering Blue Boy the,549.64,3.6,551.4399999999999
judges might get us,551.04,6.239,554.1595
mixed ARA pneumonia he left out,553.24,8.8,557.64
earthquakes the old Gloom spreader Poor,557.279,4.761,559.6595
Dad I don't know let me,564.079,6.841,567.4994999999999
don't taste like Grandma's stitches I,570.92,4.0,572.92
followed a,572.76,5.759,575.6395
recipe I'll get it you left something,574.92,6.0,577.92
out able Frank I am not going to put,578.519,5.281,581.1595
liquor into my cooking making minc meat,580.92,5.08,583.4599999999999
without Brandy no such thing I don't,583.8,3.96,585.78
approve of it and I won't do it well,586.0,3.839,587.9195
you'll be sorry you know those judges at,587.76,3.96,589.74
the fair they like a little sniff now,589.839,4.321,591.9995
and thenor for Wayne Wayne's out back,591.72,5.4,594.4200000000001
somewhere I'll find,594.16,2.96,595.64
why don't you say hello to alen her ma,601.0,3.64,602.82
see how her mother is you know they had,603.16,3.16,604.74
the doctor again this morning I suppose,604.64,3.84,606.56
I should find out if she's going to the,606.32,4.8,608.72
fair yes I,608.48,2.64,609.8000000000001
will hello Elena how are you dear how's,612.68,5.599,615.4794999999999
your mother,616.839,3.44,618.5590000000001
feeling yes I,618.279,4.441,620.4995
know I'm sorry I couldn't get by to see,620.279,4.481,622.5195
her today but I've been so busy getting,622.72,4.48,624.96
ready to leave and,624.76,5.199,627.3595
all oh well I'm glad she's better dear,627.2,4.28,629.34
Wayne will be here any moment just hold,629.959,4.081,631.9994999999999
on and be sure to give my love to your,631.48,7.0,634.98
mother thank you dear,634.04,4.44,636.26
goodbye able I need a good size box a,638.839,5.321,641.4995
coton something to carry my pickles in,642.399,3.801,644.2995
