text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
this is Walter Winchell speaking to you,75.6,3.6,77.39999999999999,0.0,0.0,0.4,0.048043725818012264,0.09049253230716017,0.31534784329164806
from Broadway the big Street in the Big,77.04,5.88,79.98,0.0,0.0,0.4,0.04657723107358257,0.0892222605094936,0.31407658417833395
Town take a good look at,79.2,3.72,81.06,0.4404,0.7,0.7,0.04597809606655678,0.08870313030158783,0.31355733310179956
it just a lot of cold impersonal,82.96,5.08,85.5,-0.3182,-0.6,0.3,0.043605237413507046,0.08664611052930492,0.31150127304935293
buildings hustling imp personal crowds,85.6,4.72,87.96,0.0,0.0,-0.7,0.042352244648537735,0.08555917272023361,0.31041563252777205
and flashing imp personal lights but,88.04,4.28,90.18,0.0,0.0,0.4,0.041258696401615856,0.08461008911367156,0.3094680180617084
watch those lights every time one,90.32,3.64,92.14,0.0,0.0,0.4,0.0403222329120965,0.08379696690212393,0.3086563305511399
flashes on or off somebody makes a,92.32,3.799,94.2195,0.0,0.0,-0.5,0.039358106548553505,0.08295943595480282,0.30782036845260213
million dollars or loses a million,93.96,5.32,96.62,-0.3182,-0.3,-0.7,0.03828242257118935,0.08202448647671245,0.3068871653729793
dollars or begs for a dying or breaks,96.119,6.441,99.3395,0.0,0.0,0.3,0.03711144833923793,0.08100603875007571,0.3058704324211691
his heart sure just a big Street in a,99.28,5.92,102.24,0.7579,0.25,0.4,0.03591755182160066,0.07996684148176011,0.304832520541358
big town but with a personality with an,102.56,4.879,104.9995,0.0,0.0,0.7,0.03483362591205139,0.07902256045466555,0.3038887065992221
impact like a beautiful woman you see,105.2,4.0,107.2,0.7506,0.791329158084387,0.7,0.03400505404806109,0.07830015307032934,0.30316598943496526
once for a few seconds and then can,107.439,4.161,109.5195,0.0,-0.2,0.2,0.03316558907392396,0.0775676710857524,0.3024323885095242
never forget that's the way Damon Rion,109.2,5.239,111.8195,0.1695,0.0,0.7,0.03236712018582345,0.07687035841950536,0.3017330331318392
felt about the street Lindy's restaurant,111.6,4.839,114.0195,0.0,0.0,0.4,0.03163458876634227,0.0762300511464805,0.3010897811997682
was his observation tower here he used,114.439,3.201,116.0395,0.0,0.0,0.7,0.030988544093167106,0.07566482813621914,0.3005209015469623
to meet with his colorful crew of,116.439,2.96,117.919,0.0,0.3,0.7,0.030409997767286933,0.07515820379925908,0.3000099753260003
friends he made small talk with,117.64,3.88,119.58,0.4767,-0.25,0.3,0.02991661955437093,0.07472578369894443,0.2995729729205862
celebrities in big talk with bus boys,119.399,3.961,121.3795,0.0,0.0,0.4,0.02940086832037968,0.07427334572746294,0.29911468432591953
and he sat drinking coffee and trading,121.52,5.48,124.26,0.0,0.0,0.2,0.02861541126211647,0.07358340298187084,0.2984133043075272
stories far into the night and then when,123.36,5.36,126.04,0.0,0.1,0.4,0.02815440764931173,0.07317787844491698,0.2979993408006999
the morning fog would start to roll in,127.0,3.92,128.96,0.0,0.0,0.4,0.027437848835566252,0.07254655569418796,0.2973517188511702
across the East River the city would,128.72,4.879,131.1595,0.0,0.0,0.4,0.026930204543479285,0.07209844367704535,0.2968891751836771
awaken the sun and the early Rises would,130.92,4.8,133.32,0.0,0.1,0.7,0.026458011386603978,0.0716808769348976,0.29645550742290805
start to whip up a fresh batch of,133.599,4.841,136.0195,0.3182,0.3,0.7,0.0259043030872184,0.07119013917798012,0.2959418040030874
daylight and as the rest of the Town,135.72,5.0,138.22,0.0,0.0,0.7,0.02548231708457507,0.07081520547237148,0.29554567262284914
turned out to pound Pavements Damon,138.44,4.64,140.76,0.0,0.0,0.3,0.02502749005969183,0.07040998854840892,0.295113060390634
runan turned in to pound his typewriter,140.72,3.96,142.7,0.0,0.0,0.6,0.024703045475628863,0.07012009072815771,0.29480002145146544
to write about the Guys and Dolls he met,143.08,5.0,145.58,0.0,0.0,0.4,0.02425743213697119,0.06972050820641029,0.2943623603934098
on Broadway like Harry the horse dancing,144.68,7.04,148.20000000000002,0.3612,0.0,0.7,0.023888817609577437,0.06938840468124005,0.2939915569473295
Dan appal Landy or for instance take the,148.08,5.96,151.06,0.0,0.0,0.4,0.023525648958182373,0.06905936827431365,0.2936156255432018
Broadway bookie who made his living,151.72,5.72,154.58,0.0,0.0,0.4,0.023133656034624386,0.06870135469828698,0.29319286899878055
accepting bets on horse,154.04,8.479,158.27949999999998,0.3818,0.0,0.2,0.022785462691656093,0.06837955219407324,0.29279418253822426
races hey that's my penny identify,157.44,9.84,162.36,0.0,0.0,0.4,0.022475095243517512,0.06808751815156204,0.29240619549009694
it it's got a picture of Abraham,162.519,4.761,164.89950000000002,0.0,0.0,0.2,0.02231992579341943,0.0679381993952224,0.2921909436943948
Lincoln you kids with college,169.72,6.08,172.76,0.0,0.0,0.2,0.022017306688075465,0.06762766111554609,0.2916439675391687
educations this is sorrowful Jones who,173.48,3.759,175.3595,-0.4939,0.0,-0.7,0.021974222240781355,0.06757359989937951,0.29150031864349296
fell in love with money at the age of,175.8,3.76,177.68,0.6369,0.5,0.8,0.02195882353022376,0.0675450169254309,0.2913867159972595
six and they've been going steady ever,177.239,4.521,179.4995,0.0,0.1666666666666666,0.4,0.02196166298874439,0.067535327866504,0.2913069418384759
hi you Blinky hi you,181.76,5.839,184.6795,0.0,0.0,0.4,0.022039518742710474,0.06756725736207908,0.29112226876189157
sful who do you like today grey Joe and,184.04,7.64,187.86,0.4019,-0.05,0.4,0.022136880005837085,0.06762912622374197,0.29103813598881834
the second at dington here two bucks to,187.599,6.601,190.8995,0.0,0.0,0.2,0.02226387738223817,0.06771720149130174,0.2909770462620283
win you got,191.68,5.88,194.62,0.5859,0.791329158084387,0.8,0.022463007663251267,0.0678622452720497,0.2909262366937446
it a pencil sorrowful that ain't for,194.2,7.36,197.88,-0.4939,0.0,0.4,0.02267565463030054,0.06802186302991536,0.2909018281657163
free you've been eating carrots,197.56,4.0,199.56,0.5106,0.4,-0.7,0.02279872989772012,0.0681156154208939,0.2908960883399941
man who do you like,215.64,3.48,217.38,0.3612,0.0,0.4,0.02462196820255363,0.0695509972082737,0.2910669657862904
today my dreaming Jo win dreamy,223.04,6.32,226.2,0.5859,0.791329158084387,0.7,0.02583486401746763,0.07052561723279269,0.2912623295512009
Joe you got,227.28,4.239,229.3995,0.0,0.0,0.5,0.02631883348243278,0.0709165447559891,0.29134341183046253
it next time put a little starch in,229.36,3.159,230.9395,0.0,-0.09375,0.6,0.026559539204262933,0.07111129711891924,0.2913836941472675
these will,231.519,3.92,233.479,0.0,0.0,0.2,0.026967033344779935,0.07144141631677843,0.2914513821666996
Jo which means weather clear track fast,235.439,6.241,238.5595,0.3818,0.15,0.7,0.027819627954889257,0.0721335494497631,0.2915890646475726
I'll be back,238.72,2.96,240.2,0.0,0.0,0.6,0.028104965957386964,0.07236554710853524,0.29163346333806767
hello s what goes today happy I kind of,243.879,6.121,246.9395,0.5719,0.7,0.7,0.029324062818896667,0.07335833331561781,0.29181031246094696
like sudden death in the last race punch,247.28,6.239,250.3995,-0.34,0.0,-0.7,0.029976737229705498,0.0738906908162798,0.2918947539175102
B but I'll bet too undrey Joe to win too,250.0,5.879,252.9395,0.7351,0.791329158084387,0.4,0.030466286202624246,0.07429029527007641,0.29195266002825776
undrey Joe everybody wants dreamy Joe,253.519,4.96,255.999,0.0,0.2,0.6,0.03106674866791546,0.07478072825091572,0.29201674893943624
must be a hot tip I'll be seeing,255.879,6.001,258.8795,0.0,0.25,0.7,0.031641990231117155,0.07525081402709943,0.29207043340504174
you what am I,258.479,3.401,260.1795,0.0,0.0,0.2,0.03190451623200826,0.07546541878740608,0.29209227646603614
saying anything half today Nick I got a,267.199,5.961,270.1795,0.0,-0.1666666666666666,0.2,0.0339749850596482,0.07715898729568907,0.2921996448198766
fin writing on dreamy Joe a,270.24,5.92,273.2,0.0,0.0,0.5,0.034614780577756674,0.07768253732678576,0.29220707817796815
Jero hey get these things sharp and,285.039,4.72,287.399,0.0,-0.125,-0.7,0.03767234931051034,0.08018435415903608,0.2920406870464425
they're ruining all my,287.08,2.679,288.4195,-0.25,0.0,0.4,0.037893588306224246,0.08036530018547688,0.29201398369589665
shirts when sorrowful Jones enters this,292.52,4.92,294.98,-0.4939,0.0,-0.7,0.03931418519915094,0.08152666144511712,0.29178762440762385
doorway he enters another world a world,294.919,4.761,297.2995,0.0,0.0,0.4,0.0398145331557924,0.08193544372681026,0.29168353689834003
of wise money and dumb animals where,297.44,4.28,299.58,-0.0516,0.1624999999999999,0.6,0.04030479765528328,0.08233582643840803,0.29156813911279467
your bankroll can go faster than any,299.68,5.72,302.54,0.0,0.0,0.8,0.04093797338842673,0.08285265190726965,0.29139823571118106
horse in any race this is sel's place of,301.72,6.16,304.8,0.0,0.0,0.2,0.04141847515926321,0.08324463156985588,0.2912525985005246
business it's called a horse room and if,305.4,4.4,307.6,0.0,0.0,0.4,0.04200958406998857,0.08372653916183632,0.2910522671081249
the police knew about it they'd close it,307.88,3.879,309.8195,0.0,0.0,-0.7,0.042474355664765824,0.08410518917756725,0.29087726417847354
because betting on horses is against the,309.8,5.88,312.74,0.0,0.0,-0.7,0.04308010598147523,0.08459831139939175,0.29062433189716486
law except at RAC tracks where you been,311.759,6.0,314.759,0.0,0.0,0.7,0.04349458616648258,0.08493545101855161,0.29043392980152133
I'm picking up a load of the green stuff,315.68,4.799,318.0795,0.0,-0.2,0.2,0.04416775758920699,0.08548247737520556,0.29009214291851027
what a beautiful color 126 bucks and,317.759,4.081,319.7995,0.5994,0.791329158084387,0.4,0.044511938969290184,0.08576188225887844,0.28990066902618367
almost all of it on a dog would' make,320.479,3.361,322.1595,0.0,0.0,0.6,0.0449787462792008,0.08614049912919375,0.28962143057032863
better time if the jockey carried him,321.84,3.88,323.78,0.4404,0.5,0.6,0.045295416465741895,0.0863971058208974,0.2894183711733326
such as such as dreamy Joe and the,323.84,5.32,326.5,0.0,0.0,0.4,0.045819401916185165,0.08682124387409298,0.28905627293308156
second boys the second race is over,325.72,6.52,328.98,0.0,0.0,0.2,0.04628838972114133,0.08720032717595749,0.28870229038800593
dream me Joe one how do you feel well I,329.16,4.08,331.20000000000005,0.4767,0.0,0.4,0.04670065800242578,0.08753309861273019,0.2883656006831629
had a headache when I got up this,332.24,2.36,333.42,0.0,0.0,-0.7,0.047105386517277706,0.08785931595514938,0.28800971833667166
morning but I after picking up all this,333.24,4.04,335.26,0.0,0.0,0.3,0.04743484355508703,0.08812448747191969,0.2876998830469703
i don't tell,337.36,3.399,339.0595,0.0,0.0,-0.7,0.048096960421906886,0.0886562577642607,0.287016277024207
me my heada aches back dreamy,341.72,5.479,344.45950000000005,-0.25,0.0,0.3,0.04899254113089845,0.08937261274179961,0.2859393476146891
55 would you like to bet it all in the,352.52,4.519,354.7795,0.3612,0.0,0.6,0.05053683140134476,0.09059675253458101,0.2835152843400981
next race come on come on shell out kind,354.52,5.04,357.04,0.5267,0.3,0.7,0.050842729193347494,0.09083687911021478,0.282916640864512
of money will never bring any happiness,357.039,4.681,359.3795,-0.4449,0.7,-0.8,0.05114611409714524,0.09107397827869425,0.2822703580492073
either hey sorrowful hey don't bother me,362.44,6.479,365.6795,-0.2878,0.0,-0.7,0.05189278417114397,0.09165167463713825,0.28039076975911054
spit he giving blood I'll bother,366.28,5.319,368.9395,0.0,0.0,-0.7,0.05223668950473093,0.09191391168033182,0.27933587912521846
him big Steve would like you should come,368.919,6.441,372.1395,0.3612,0.0,0.4,0.0525445269676265,0.09214563403262524,0.27824400844027936
over to his Cafe right away pay,371.599,7.081,375.1395,-0.1027,0.2857142857142857,0.4,0.05280531950964383,0.09233886194624524,0.2771684227348896
off hey doesn't Big Steve own dreamy Joe,375.36,6.119,378.4195,0.0,0.3,0.4,0.053058497719396386,0.09252253586600016,0.2759335621425509
and which I have $10 riding with you at,378.68,5.28,381.32,0.0,0.0,0.2,0.05325359313789013,0.09266010823161341,0.27478919208380187
11 to one what you do tip everybody in,381.479,4.641,383.7995,0.0,0.0,0.6,0.05339825986601579,0.09275863066510862,0.2737711462310912
the street except me when Big Steve,383.96,4.959,386.4395,0.0,0.0,0.4,0.05352924325383798,0.09284364403945557,0.2726461511410066
wants to see you it's very healthy to,386.12,5.28,388.76,0.4576,0.425,0.3,0.053624235591110014,0.09290099473290549,0.271621753319957
call how do you like that big Steven his,392.84,4.32,395.0,0.3612,0.0,0.7,0.05378265740074708,0.09297153360135535,0.2686979541351236
dreamy Joe takes me over like I was a,395.24,5.079,397.7795,0.3612,0.0,0.7,0.053805998294177156,0.09296222941825066,0.2673142675565244
sucker a tourist he knew dreamy Joe was,397.16,4.92,399.62,-0.5267,-0.3,0.4,0.05380488634527932,0.09294178412779332,0.26636980957720474
going to win it was a boat race a big,400.319,4.401,402.5195,0.5859,0.4,0.7,0.05377599043673671,0.0928861793988317,0.26483591462428424
frame you had to Bar guys like that from,402.08,5.72,404.94,0.3612,0.0,0.4,0.053726735637048925,0.09281811871332553,0.2635127741964276
racing and now he wants to see me well,404.72,4.84,407.14,0.2732,0.2,0.3,0.053662455140182364,0.09273947379603459,0.26227698577528535
if he wants to see me let him come over,407.8,5.119,410.3595,0.0,0.2,0.7,0.053535478518745905,0.09259611058887937,0.26041243003647885
here I'm not afraid,409.56,6.88,413.0,0.0,0.3,0.4,0.05340268736451258,0.09245394543107364,0.25883424341136474
of you're so,412.919,3.521,414.6795,0.0,0.0,-0.7,0.053305024875837104,0.09235220748504626,0.25780782213888365
you better date the dummy Sor she,454.28,5.12,456.84,0.4404,0.5,0.6,0.047858016898210454,0.08725304847724139,0.22682443222638174
doesn't have to eat well well it doesn't,456.08,5.839,458.9995,0.4939,0.0,-0.7,0.04744273473355768,0.08687732853590453,0.2249950918070317
cost a scent to say hello hello glad,459.4,4.639,461.7195,0.4588,0.5,0.4,0.04690343678289846,0.08639065477075072,0.22266128196013005
O'Neal you know it's been almost four,461.919,4.84,464.339,0.0,0.0,0.2,0.04636741085615214,0.0859082153248076,0.22038310583541337
years since I saw you sorrowful but I,464.039,4.801,466.4395,-0.2732,0.0,-0.7,0.04592609771035804,0.08551190574542457,0.2185350810125477
recognize the,466.759,5.921,469.7195,0.0,0.0,0.2,0.045217124113909705,0.08487677739639979,0.21561244424806872
suit oh it's been lucky for me up to now,468.84,5.6,471.64,0.4215,0.3333333333333333,0.7,0.044791085992601135,0.08449597186591183,0.21388077318562768
some people seem to forget what some,472.68,4.239,474.7995,-0.2263,0.0,-0.7,0.04407321496406706,0.08385567306545959,0.2109999662005731
people used to spend on some people,474.44,5.64,477.26,0.0,0.0,0.2,0.04349998357280227,0.08334553578036766,0.20872962737926373
spend where did you ever learn that word,476.919,5.801,479.8195,0.0,0.0,0.6,0.042890961074842936,0.0828046023713569,0.20634363249951873
