text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
my name is Joe harmony this is my,72.79,8.369,76.9745,0.4019,0.0,-0.7,-0.03433415812651889,-0.17586931968519168,0.1141781988316525
stomping ground I'm a scout for the army,76.76,7.32,80.42,0.0,0.0,0.4,-0.03219322391994942,-0.17295345111527644,0.11691237395685523
had my work cut out for me for a long,81.159,3.601,82.9595,-0.2732,-0.05,0.6,-0.03067757356739475,-0.17087645283039105,0.11886904233673459
behind that pass there's the whole,86.89,8.17,90.975,0.0,-0.1,0.3,-0.026233099138960905,-0.16471501972969124,0.12472311177454698
patchy nation they used to come swarming,90.86,6.54,94.13,0.0,0.0,0.3,-0.024622033337585555,-0.16245106396139072,0.1268949575384849
out of that past killing everything in,95.06,7.77,98.945,-0.6597,-0.25,-0.7,-0.02231005798864187,-0.15916774879188855,0.13006748367817364
sight then we built a fort fort,97.4,9.51,102.155,0.0,0.0,0.7,-0.020865429027053597,-0.1570924355438769,0.13208815449841396
invincible plugged up the past just like,102.83,9.179,107.4195,0.6908,-0.25,0.6,-0.018659896365674833,-0.15388188774858133,0.13524077016814987
a cork in a bottle things was fine for a,106.91,10.67,112.245,0.2023,0.4166666666666667,0.2,-0.016812842662849267,-0.15114574070023712,0.13795664734902216
while but then patchi's is pretty smart,112.009,9.331,116.6745,0.8338,0.2321428571428571,0.4,-0.015260578186032906,-0.14880448567418686,0.14030533424261726
one day the bottle blew the cork plumb,117.58,5.91,120.535,0.0,0.0,0.4,-0.014016860091253788,-0.1468943866654784,0.14224110608066134
that's two sous boss all apaches fellow,204.2,6.48,207.44,0.0,0.0,0.2,-0.008172340916588205,-0.13141499293089157,0.16100513123721044
they started this whole business is step,208.01,4.95,210.485,0.0,0.2,0.4,-0.008574309591668555,-0.13167004136420168,0.1608898819215737
aside corporal the army doesn't shoot,210.68,5.97,213.665,0.2584,0.0,-0.7,-0.009026293173835498,-0.13198268226637447,0.1607200537057978
prisoners Joe our civilian take him back,212.96,6.99,216.455,-0.5106,0.0,0.4,-0.009448983571222517,-0.1322950011628159,0.1605299484651778
to Fort Winston with us you crazy,216.65,5.37,219.335,-0.34,-0.6,0.4,-0.009910021322354521,-0.13265378034711992,0.16029391191001627
this ain't no common engine he's just,219.95,3.93,221.915,0.2235,0.15,0.6,-0.010343617451291504,-0.1330058594746122,0.1600485318053186
about as near to of God as a fella can,222.02,3.27,223.655,0.2732,0.1,0.8,-0.010646683785965253,-0.13325934224356628,0.15986512448417828
get it shoot him now,223.88,3.96,225.86,-0.34,0.0,0.8,-0.011042697265143675,-0.13359877195376849,0.15961216360259117
