text,start,duration,time_midpoint,vader,textblob,llama3
we're late enough already they've closed,136.34,4.0,138.34,0.0,-0.13333333333333333,-0.7
the doors it's a medical school lecture,138.42,3.48,140.16,0.0,0.0,0.2
I want to see what the attraction is the,140.34,3.24,141.96,0.5106,0.0,0.2
psychology of crimes we'll have the,141.9,3.419,143.6095,0.0,0.0,0.3
psychology of crime come on I have a,143.58,5.48,146.32000000000002,-0.5423,0.0,0.3
good mind to stay who's the lecturer,145.319,3.741,147.18949999999998,0.4404,0.7,0.7
I'd say about you he only letters once a,150.2,7.44,153.92,0.0,0.0,0.2
week now he's about to say,153.36,4.28,155.5,0.0,0.0,-0.7
up to this point in the present series,162.98,4.72,165.34,0.0,0.0,0.4
of lectures we've dealt exclusively with,165.18,5.22,167.79000000000002,0.0,0.0,-0.7
abnormal mentality,167.7,4.679,170.03949999999998,0.0,0.0,0.2
I emphasize the fact that in civilized,170.4,4.74,172.77,0.0,0.4,0.7
communities 80 of our murderers and,172.379,5.22,174.989,-0.6486,0.0,-0.8
violent criminals were those whose Minds,175.14,4.679,177.47949999999997,-0.8225,-0.8,0.2
have been conditioned by exceptional,177.599,6.42,180.809,0.0,0.6666666666666666,0.7
nervous stress and unhealthy environment,179.819,6.78,183.209,-0.8074,-0.4,-0.7
last Friday we dealt with the smaller,184.019,5.701,186.8695,0.0,0.0,0.4
group of strictly moronic criminals,186.599,4.86,189.029,-0.8126,0.0,-0.8
and now we come to that much more,189.72,5.879,192.6595,0.0,0.5,0.5
interesting phenomenon the same Criminal,191.459,6.36,194.639,-0.1779,0.033333333333333326,0.6
the man who was prepared to pursue his,195.599,3.841,197.5195,0.2263,0.0,0.5
own ethical convictions even to the,197.819,3.361,199.4995,0.5106,0.4,0.7
point of murder,199.44,4.5,201.69,-0.6908,0.0,-0.7
the Nano's punishment is apt to wear,201.18,5.4,203.88,-0.4939,0.6,0.6
heavily on the conscious of society,203.94,4.62,206.25,0.0,-0.05,-0.7
because his actions as likely as not,206.58,3.9,208.53,0.0,0.0,0.7
have been inspired by Justice gretton,208.56,3.84,210.48,0.765,0.0,0.2
Integrity as those of The Men Who sit in,210.48,3.479,212.2195,0.3818,0.0,0.8
at worst is an irresponsible opportunist,213.959,5.521,216.7195,-0.7783,-1.0,0.8
at the best,217.62,3.539,219.3895,0.6369,1.0,-0.8
he's a man with a strong sense of,219.48,3.179,221.0695,0.5106,0.4333333333333333,0.6
even a Mystic,222.659,5.16,225.239,0.0,0.0,0.4
I propose to relate the case history of,225.78,4.14,227.85,0.0,0.0,0.3
a matter of this class and perfectly,227.819,5.461,230.5495,0.6486,1.0,0.4
sane valuable member of society,229.92,6.48,233.16,0.4767,0.0,0.8
you better give him a fictitious name uh,233.28,5.16,235.86,0.4404,0.5,0.2
he gives an old Victorious names all the,236.4,3.839,238.3195,0.0,0.1,0.4
characters in this case,238.44,5.64,241.26,0.0,0.0,0.2
he was a surgeon they'd call him Mr Mr,240.239,4.86,242.669,0.0,0.0,0.2
Mr Michael Joyce,245.099,3.661,246.9295,0.0,0.0,0.4
he was well thought of in the medical,247.44,2.939,248.9095,0.2732,0.0,0.7
profession and had a heart of his own in,248.76,3.24,250.38,0.6369,0.6,0.4
Harley Street,250.379,4.14,252.449,0.0,0.0,0.4
his marriage had been an unhappy one,252.0,4.079,254.0395,-0.4215,-0.6,-0.7
and he'd lived apart from his wife for,254.519,2.761,255.8995,0.0,0.0,-0.7
several years,256.079,3.361,257.7595,0.0,0.0,0.2
consequently he threw all his energy and,257.28,4.32,259.44,0.2732,0.0,0.6
interest into his work,259.44,4.259,261.5695,0.4588,0.0,0.7
as a brain specialist he operated in,261.6,4.26,263.73,0.0,0.0,0.6
three London hospitals and had developed,263.699,3.661,265.5295,0.0,0.1,0.2
a technique which considerably reduced,265.86,4.02,267.87,0.0,0.1,0.6
